trade_id,strategy_id,symbol,direction,range_context_time,range_high,range_low,range_midpoint,sweep_time,sweep_extreme,sweep_depth_points,sweep_depth_atr,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,target_price,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,ADX_H1_entry,EMA200_slope_ATR_H1_entry,ATR_M15_entry,quantity
Si-000001,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-01-25T13:00:00+0300,69.2,68.77,68.985,2023-01-25T13:45:00+0300,69.22,0.01999999999999602,0.3289388545332869,2023-01-25T13:45:00+0300,69.19,69.22608015736796,0.03608015736796233,36.08015736796233,68.985,2023-01-25T17:30:00+0300,69.22608015736796,STOP,15,-1.0,0.055432130730558186,-1.055432130730558,1.0,4.711731112097493,16.27602984054514,0.14468411114347243,0.06080157367962173,27716.065365279093
CNY-000001,R2_Liquidity_Sweep_False_Breakout_v1.0,CNY,SHORT,2023-01-25T16:00:00+0300,10.2,10.11,10.155,2023-01-25T16:30:00+0300,10.21,0.010000000000001563,0.6211398825498157,2023-01-25T16:30:00+0300,10.19,10.211609943312439,0.021609943312439484,21.609943312439484,10.155,2023-01-25T17:45:00+0300,10.211609943312439,STOP,5,-1.0,0.09254998826622216,-1.0925499882662222,1.0,0.0,12.976116476307732,0.07785451715401054,0.016099433124388947,46274.994133111075
Si-000002,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-01-30T10:00:00+0300,69.59,69.15,69.37,2023-01-30T10:30:00+0300,69.64,0.04999999999999716,0.839877483723349,2023-01-30T10:30:00+0300,69.57,69.64595324924991,0.07595324924992042,75.95324924992042,69.37,2023-01-30T12:45:00+0300,69.64595324924991,STOP,9,-1.0,0.026331987370534982,-1.026331987370535,1.0,2.1065589896427537,19.432796066637454,0.22710337514851603,0.05953249249918799,13027.035557583222
Si-000003,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-02-02T20:00:00+0300,70.51,69.4,69.95500000000001,2023-02-02T20:15:00+0300,70.53,0.01999999999999602,0.24542178080911778,2023-02-02T20:15:00+0300,70.47,70.53814923595374,0.06814923595374012,68.14923595374012,69.95500000000001,2023-02-03T09:15:00+0300,70.42,TIME_EXIT,16,0.7336839408432589,0.029347357633732026,0.704336583209527,0.0,4.6955772213970235,20.55873271892465,0.2954971618559841,0.08149235953736096,14369.796924199722
CNY-000002,R2_Liquidity_Sweep_False_Breakout_v1.0,CNY,LONG,2023-03-02T20:00:00+0300,10.95,10.84,10.895,2023-03-02T20:15:00+0300,10.83,0.009999999999999787,0.6146604136351534,2023-03-02T20:15:00+0300,10.85,10.828373085401603,0.021626914598396496,21.626914598396496,10.895,2023-03-03T09:15:00+0300,10.895,RANGE_MIDPOINT_TARGET,16,2.0807406343268404,0.0924773615256375,1.9882632728012029,0.0,2.0807406343268404,19.185413925458285,0.33464161263722253,0.0162691459839734,45733.500061570114
Si-000004,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-03-14T20:00:00+0300,75.5,74.86,75.18,2023-03-14T21:00:00+0300,75.51,0.010000000000005116,0.1461559967350739,2023-03-14T21:00:00+0300,75.45,75.51684200458647,0.06684200458646217,66.84200458646217,75.18,2023-03-14T21:30:00+0300,75.51684200458647,STOP,2,-1.0,0.029921304909593775,-1.0299213049095939,1.0,0.0,24.105436823328606,0.11645179856333097,0.06842004586463443,14754.018671635838
Si-000005,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,LONG,2023-03-23T16:00:00+0300,77.23,75.94,76.58500000000001,2023-03-23T16:15:00+0300,75.91,0.030000000000001137,0.24847131562279942,2023-03-23T16:15:00+0300,76.06,75.89792617170927,0.1620738282907297,162.0738282907297,76.58500000000001,2023-03-23T20:15:00+0300,76.13,TIME_EXIT,16,0.43190193468143706,0.01234005527661369,0.41956187940482337,0.8021035929798618,0.9255041457459741,23.721715687698364,0.20481215994243088,0.12073828290724586,6022.139612552382
Si-000006,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-03-24T16:00:00+0300,76.81,75.82,76.315,2023-03-24T16:15:00+0300,76.85,0.03999999999999204,0.3736335646692704,2023-03-24T16:15:00+0300,76.79,76.8607056763049,0.07070567630489677,70.70567630489677,76.315,2023-03-24T17:30:00+0300,76.8607056763049,STOP,5,-1.0,0.02828627211449908,-1.0282862721144992,1.0,0.7071568028626378,24.77929175160966,0.13430253943101803,0.10705676304910905,13862.059281035008
Si-000007,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,LONG,2023-03-28T00:00:00+0300,77.24,76.5,76.87,2023-03-28T09:30:00+0300,76.49,0.010000000000005116,0.14824410204828278,2023-03-28T09:30:00+0300,76.56,76.48325436906977,0.07674563093023323,76.74563093023323,76.87,2023-03-28T13:30:00+0300,76.71,TIME_EXIT,16,1.954508656477803,0.026060115419705522,1.9284485410580974,0.0,3.5181155816601932,14.062809915493142,0.26392592186382546,0.06745630930226242,12639.778456912103
Si-000008,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-03-28T16:00:00+0300,76.96,76.35,76.655,2023-03-28T16:30:00+0300,77.02,0.060000000000002274,0.6507210981838143,2023-03-28T16:30:00+0300,76.94,77.02922054013116,0.08922054013116565,89.22054013116565,76.655,2023-03-28T18:15:00+0300,77.02922054013116,STOP,7,-1.0,0.022416362835953954,-1.022416362835954,1.0,1.681227212696451,17.124351163507008,0.22874573733758988,0.09220540131165933,11082.141434659796
Si-000009,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,LONG,2023-04-24T13:00:00+0300,81.74,81.17,81.455,2023-04-24T13:15:00+0300,81.14,0.030000000000001137,0.2741980287656752,2023-04-24T13:15:00+0300,81.21,81.12905900230754,0.08094099769245133,80.94099769245133,81.455,2023-04-24T16:15:00+0300,81.12905900230754,STOP,12,-1.0,0.024709356902163842,-1.024709356902164,1.0,0.9883742760867082,15.037748871531317,0.2957370243966278,0.10940997692451908,12090.849918283024
Si-000010,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-04-26T13:00:00+0300,81.66,81.01,81.33500000000001,2023-04-26T13:15:00+0300,81.68,0.020000000000010232,0.3061958458390435,2023-04-26T13:15:00+0300,81.63,81.68653176725675,0.05653176725675735,56.53176725675735,81.33500000000001,2023-04-26T13:30:00+0300,81.68653176725675,STOP,1,-1.0,0.03537833853515231,-1.0353783385351523,1.0,0.0,12.773079654033431,0.338229273013815,0.06531767256739184,17134.033319434573
Si-000011,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-04-26T14:00:00+0300,81.66,81.01,81.33500000000001,2023-04-26T14:45:00+0300,81.67,0.010000000000005116,0.15706121818451096,2023-04-26T14:45:00+0300,81.64,81.67636694412255,0.03636694412254826,36.36694412254826,81.33500000000001,2023-04-26T18:45:00+0300,81.62,TIME_EXIT,16,0.5499499746968183,0.054994997469692775,0.4949549772271255,0.5499499746968183,5.499499746969355,13.496209423933239,0.33648704413688973,0.06366944122550613,26358.781426598594
CNY-000003,R2_Liquidity_Sweep_False_Breakout_v1.0,CNY,LONG,2023-04-27T15:00:00+0300,11.84,11.75,11.795,2023-04-27T16:00:00+0300,11.74,0.009999999999999787,0.6685183427692885,2023-04-27T16:00:00+0300,11.76,11.738504154731405,0.021495845268594493,21.495845268594493,11.795,2023-04-27T16:15:00+0300,11.738504154731405,STOP,1,-1.0,0.09304123541129165,-1.0930412354112917,1.0,0.0,19.204643088574247,0.1262749846749287,0.014958452685943539,46927.20349162475
Si-000012,R2_Liquidity_Sweep_False_Breakout_v1.0,Si,SHORT,2023-05-22T17:00:00+0300,80.14,79.65,79.89500000000001,2023-05-22T18:00:00+0300,80.15,0.010000000000005116,0.107589267351551,2023-05-22T18:00:00+0300,80.05,80.1592946073955,0.10929460739549768,109.29460739549768,79.89500000000001,2023-05-22T18:15:00+0300,80.1592946073955,STOP,1,-1.0,0.018299164502807747,-1.0182991645028077,1.0,0.0,10.699221917313821,0.27179428266415484,0.09294607395484747,8814.093713246137
