trade_id,strategy_id,symbol,direction,signal_time,round_level,round_level_step,penetration_points,penetration_atr,signal_open,signal_high,signal_low,signal_close,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,target_price,target_distance_points,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,H1_context_time,H1_ADX14,H1_ATR14,H1_EMA200_slope_ATR,quantity
CNY-000001,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-03T12:30:00+0300,10.0,0.05,0.009999999999999787,0.2225052823437038,10.0,10.03,9.99,10.02,2023-01-03T12:30:00+0300,10.02,9.985505724675537,0.034494275324462365,34.494275324462365,10.025,0.005000000000000782,2023-01-03T12:45:00+0300,10.025,ROUND_LEVEL_MIDPOINT_TARGET,1,0.14495158842936826,0.05798063537173824,0.08697095305763002,0.0,0.14495158842936826,2023-01-03T12:00:00+0300,,,,28990.31768586912
CNY-000002,R3_Round_Level_Rejection_v1.0,CNY,SHORT,2023-01-03T17:00:00+0300,10.15,0.05,0.009999999999999787,0.29538663235548923,10.14,10.16,10.11,10.13,2023-01-03T17:00:00+0300,10.13,10.163385393550229,0.03338539355022796,33.38539355022796,10.125,0.005000000000000782,2023-01-03T18:00:00+0300,10.125,ROUND_LEVEL_MIDPOINT_TARGET,4,0.14976609433938037,0.059906437735742786,0.0898596566036376,0.599064377357415,0.14976609433938037,2023-01-03T16:00:00+0300,,,,29979.269467792223
Si-000001,R3_Round_Level_Rejection_v1.0,Si,LONG,2023-01-03T18:45:00+0300,71.2,0.1,0.060000000000002274,0.24004390673876508,71.26,71.32,71.14,71.23,2023-01-03T18:45:00+0300,71.23,71.11500457278206,0.11499542721794853,114.99542721794853,71.25,0.01999999999999602,2023-01-03T19:00:00+0300,71.25,ROUND_LEVEL_MIDPOINT_TARGET,1,0.1739199591135952,0.017391995911362982,0.15652796320223222,0.6087198568977685,0.1739199591135952,2023-01-03T18:00:00+0300,,,,8695.99795568149
CNY-000003,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-03T19:00:00+0300,10.1,0.05,0.009999999999999787,0.3007221833662444,10.1,10.12,10.09,10.12,2023-01-03T19:00:00+0300,10.12,10.086674671656057,0.03332532834394186,33.32532834394186,10.125,0.005000000000000782,2023-01-03T19:30:00+0300,10.125,ROUND_LEVEL_MIDPOINT_TARGET,2,0.1500360311051435,0.06001441244204802,0.09002161866309547,0.9002161866307011,0.1500360311051435,2023-01-03T18:00:00+0300,,,,30060.291597898682
Si-000002,R3_Round_Level_Rejection_v1.0,Si,SHORT,2023-01-03T19:15:00+0300,71.3,0.1,0.030000000000001137,0.1242018972010426,71.26,71.33,71.23,71.28,2023-01-03T19:15:00+0300,71.28,71.35415422040731,0.07415422040730846,74.15422040730846,71.25,0.030000000000001137,2023-01-03T19:30:00+0300,71.25,ROUND_LEVEL_MIDPOINT_TARGET,1,0.40456227353236945,0.026970818235490274,0.3775914552968792,0.6742704558872186,0.40456227353236945,2023-01-03T19:00:00+0300,,,,13506.517553966632
CNY-000004,R3_Round_Level_Rejection_v1.0,CNY,SHORT,2023-01-03T20:30:00+0300,10.15,0.05,0.009999999999999787,0.3777622914854859,10.15,10.16,10.14,10.14,2023-01-03T20:30:00+0300,10.14,10.162647167339195,0.02264716733919414,22.64716733919414,10.125,0.015000000000000568,2023-01-03T21:45:00+0300,10.125,ROUND_LEVEL_MIDPOINT_TARGET,5,0.6623344886952346,0.08831126515936127,0.5740232235358733,0.0,0.6623344886952346,2023-01-03T20:00:00+0300,,,,44273.56769812369
Si-000003,R3_Round_Level_Rejection_v1.0,Si,SHORT,2023-01-03T23:00:00+0300,71.5,0.1,0.04000000000000625,0.29684424015199296,71.5,71.54,71.48,71.49,2023-01-03T23:00:00+0300,71.49,71.55347508039218,0.06347508039218042,63.475080392180416,71.45,0.03999999999999204,2023-01-03T23:15:00+0300,71.55347508039218,STOP,1,-1.0,0.031508427994781756,-1.0315084279947817,1.0,0.0,2023-01-03T22:00:00+0300,,,,15838.453426692835
CNY-000005,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-04T09:15:00+0300,10.15,0.05,0.009999999999999787,0.5400291901765469,10.17,10.18,10.14,10.16,2023-01-04T09:15:00+0300,10.16,10.138148248246225,0.021851751753775517,21.851751753775517,10.175,0.015000000000000568,2023-01-04T09:45:00+0300,10.175,ROUND_LEVEL_MIDPOINT_TARGET,2,0.6864438224001372,0.0915258429866815,0.5949179794134557,0.45762921493339775,0.6864438224001372,2023-01-04T00:00:00+0300,,0.053340243698193464,,46148.54092826079
Si-000004,R3_Round_Level_Rejection_v1.0,Si,LONG,2023-01-04T16:15:00+0300,72.0,0.1,0.04999999999999716,0.23337349971575128,72.06,72.08,71.95,72.04,2023-01-04T16:15:00+0300,72.04,71.92857511668596,0.11142488331404365,111.42488331404365,72.05,0.009999999999990905,2023-01-04T16:30:00+0300,71.92857511668596,STOP,1,-1.0,0.01794931204337125,-1.0179493120433714,1.0,0.08974656021677463,2023-01-04T16:00:00+0300,,0.49808413470582164,,8929.575107822653
CNY-000006,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-04T17:00:00+0300,10.25,0.05,0.009999999999999787,0.3633737248197123,10.26,10.26,10.24,10.26,2023-01-04T17:00:00+0300,10.26,10.237248012358362,0.022751987641637328,22.751987641637328,10.275,0.015000000000000568,2023-01-04T17:15:00+0300,10.237248012358362,STOP,1,-1.0,0.08790440780390964,-1.0879044078039097,1.0,0.0,2023-01-04T16:00:00+0300,,0.05486768856939074,,44586.24830770942
Si-000005,R3_Round_Level_Rejection_v1.0,Si,LONG,2023-01-04T18:30:00+0300,72.1,0.1,0.04999999999999716,0.25775663491113693,72.12,72.18,72.05,72.14,2023-01-04T18:30:00+0300,72.14,72.03060185724522,0.10939814275478454,109.39814275478454,72.15,0.010000000000005116,2023-01-04T18:45:00+0300,72.03060185724522,STOP,1,-1.0,0.01828184601344642,-1.0182818460134464,1.0,0.36563692026898553,2023-01-04T18:00:00+0300,,0.47584805492491716,,9002.42435097069
Si-000006,R3_Round_Level_Rejection_v1.0,Si,LONG,2023-01-04T19:45:00+0300,71.9,0.1,0.020000000000010232,0.11825491912787901,71.96,71.98,71.88,71.93,2023-01-04T19:45:00+0300,71.93,71.86308738431558,0.06691261568442997,66.91261568442997,71.95,0.01999999999999602,2023-01-04T20:00:00+0300,71.86308738431558,STOP,1,-1.0,0.02988972975488364,-1.0298897297548837,1.0,0.4483459463230592,2023-01-04T19:00:00+0300,,0.45685890814456653,,14568.552742791482
Si-000007,R3_Round_Level_Rejection_v1.0,Si,SHORT,2023-01-04T20:15:00+0300,72.0,0.1,0.030000000000001137,0.18730695613130968,72.0,72.03,71.95,71.99,2023-01-04T20:15:00+0300,71.99,72.04601649005441,0.056016490054418,56.016490054418,71.95,0.03999999999999204,2023-01-04T20:30:00+0300,72.04601649005441,STOP,1,-1.0,0.035703772193814216,-1.0357037721938143,1.0,0.0,2023-01-04T20:00:00+0300,,0.44351184327709725,,17223.149809227278
Si-000008,R3_Round_Level_Rejection_v1.0,Si,SHORT,2023-01-04T20:45:00+0300,72.1,0.1,0.05000000000001137,0.3338117037627688,72.07,72.15,72.07,72.08,2023-01-04T20:45:00+0300,72.08,72.16497850417957,0.08497850417957409,84.97850417957409,72.05,0.030000000000001137,2023-01-04T21:00:00+0300,72.05,ROUND_LEVEL_MIDPOINT_TARGET,1,0.3530304550502091,0.02353536367001305,0.32949509138019606,0.0,0.3530304550502091,2023-01-04T20:00:00+0300,,0.44351184327709725,,11235.64296896275
Si-000009,R3_Round_Level_Rejection_v1.0,Si,LONG,2023-01-04T22:30:00+0300,72.1,0.1,0.01999999999999602,0.17101041111922627,72.1,72.13,72.08,72.13,2023-01-04T22:30:00+0300,72.13,72.0683048056144,0.061695194385592345,61.695194385592345,72.15,0.020000000000010232,2023-01-04T22:45:00+0300,72.15,ROUND_LEVEL_MIDPOINT_TARGET,1,0.32417435748740947,0.03241743574872437,0.2917569217386851,0.0,0.32417435748740947,2023-01-04T22:00:00+0300,50.376542017768536,0.4149668444583144,,15526.88378032275
CNY-000007,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-04T23:45:00+0300,10.3,0.05,0.010000000000001563,0.5546331492172341,10.3,10.31,10.29,10.31,2023-01-04T23:45:00+0300,10.31,10.28819700643315,0.021802993566851114,21.802993566851114,10.325,0.014999999999998792,2023-01-05T00:00:00+0300,10.29,LEVEL_FAILURE,1,-0.9173052286915773,0.09173052286915154,-1.0090357515607289,0.9173052286915773,0.4586526143457479,2023-01-04T23:00:00+0300,53.24065014283511,0.047109230985691246,,46020.73493882602
Si-000010,R3_Round_Level_Rejection_v1.0,Si,SHORT,2023-01-05T11:00:00+0300,71.7,0.1,0.0799999999999983,0.4697081033923724,71.69,71.78,71.6,71.68,2023-01-05T11:00:00+0300,71.68,71.7970318543415,0.11703185434149077,117.03185434149077,71.65,0.030000000000001137,2023-01-05T11:15:00+0300,71.7970318543415,STOP,1,-1.0,0.01708936435514505,-1.017089364355145,1.0,0.08544682177576897,2023-01-05T10:00:00+0300,43.77998436093293,0.3938236724762826,,8209.123554572012
Si-000011,R3_Round_Level_Rejection_v1.0,Si,LONG,2023-01-05T12:30:00+0300,71.7,0.1,0.04999999999999716,0.2721048632621722,71.75,71.77,71.65,71.72,2023-01-05T12:30:00+0300,71.72,71.63162473121555,0.08837526878444635,88.37526878444635,71.75,0.030000000000001137,2023-01-05T12:45:00+0300,71.75,ROUND_LEVEL_MIDPOINT_TARGET,1,0.3394614852394203,0.022630765682627164,0.31683071955679315,0.2263076568262266,0.3394614852394203,2023-01-05T12:00:00+0300,41.28503697573055,0.40646020739026434,,10760.447953343546
CNY-000008,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-05T12:00:00+0300,10.3,0.05,0.010000000000001563,0.37046650399867753,10.31,10.32,10.29,10.32,2023-01-05T12:00:00+0300,10.32,10.287300700632292,0.032699299367708434,32.699299367708434,10.325,0.004999999999999005,2023-01-05T13:00:00+0300,10.287300700632292,STOP,4,-1.0,0.06116339000140968,-1.0611633900014097,1.0,0.0,2023-01-05T11:00:00+0300,49.25307158685481,0.05176712116456395,,30375.734200204966
Si-000012,R3_Round_Level_Rejection_v1.0,Si,LONG,2023-01-05T13:45:00+0300,71.8,0.1,0.06999999999999318,0.38716198000602037,71.82,71.82,71.73,71.81,2023-01-05T13:45:00+0300,71.81,71.71191971226129,0.09808028773871058,98.08028773871058,71.85,0.03999999999999204,2023-01-05T14:00:00+0300,71.85,ROUND_LEVEL_MIDPOINT_TARGET,1,0.4078291461231586,0.02039145730616199,0.38743768881699664,0.6117437191848828,0.4078291461231586,2023-01-05T13:00:00+0300,39.701602797440586,0.4002844782909603,,9726.423398003573
CNY-000009,R3_Round_Level_Rejection_v1.0,CNY,SHORT,2023-01-05T15:30:00+0300,10.35,0.05,0.009999999999999787,0.3600698512075321,10.34,10.36,10.32,10.34,2023-01-05T15:30:00+0300,10.34,10.362777238906968,0.022777238906968478,22.777238906968478,10.325,0.015000000000000568,2023-01-05T15:45:00+0300,10.325,ROUND_LEVEL_MIDPOINT_TARGET,1,0.658552165223655,0.08780695536315068,0.5707452098605044,0.0,0.658552165223655,2023-01-05T15:00:00+0300,46.80133515144499,0.053076862442240656,,43145.04770288544
Si-000013,R3_Round_Level_Rejection_v1.0,Si,LONG,2023-01-05T16:15:00+0300,71.8,0.1,0.09000000000000341,0.6043792243995351,71.8,71.82,71.71,71.82,2023-01-05T16:15:00+0300,71.82,71.69510868733295,0.1248913126670459,124.8913126670459,71.85,0.030000000000001137,2023-01-05T16:30:00+0300,71.85,ROUND_LEVEL_MIDPOINT_TARGET,1,0.24020886128388821,0.01601392408559194,0.22419493719829628,0.0,0.24020886128388821,2023-01-05T16:00:00+0300,34.760883618233294,0.3701840374654664,,7667.998886272017
Si-000014,R3_Round_Level_Rejection_v1.0,Si,SHORT,2023-01-05T18:45:00+0300,72.3,0.1,0.04999999999999716,0.31911671406466174,72.26,72.35,72.2,72.26,2023-01-05T18:45:00+0300,72.26,72.36566824857373,0.10566824857372126,105.66824857372126,72.25,0.010000000000005116,2023-01-05T19:00:00+0300,72.25,ROUND_LEVEL_MIDPOINT_TARGET,1,0.09463580720776729,0.018927161441543775,0.07570864576622352,0.6624506504539676,0.09463580720776729,2023-01-05T18:00:00+0300,31.465919133918472,0.3677607261819585,,9083.272402821025
CNY-000010,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-05T18:45:00+0300,10.4,0.05,0.009999999999999787,0.3299280785697236,10.4,10.42,10.39,10.41,2023-01-05T18:45:00+0300,10.41,10.38696903639019,0.02303096360981094,23.03096360981094,10.425,0.015000000000000568,2023-01-05T19:30:00+0300,10.38696903639019,STOP,3,-1.0,0.08683961443749674,-1.0868396144374968,1.0,0.4341980721874744,2023-01-05T18:00:00+0300,46.04466436040454,0.05526963075277053,,42913.26807366101
Si-000015,R3_Round_Level_Rejection_v1.0,Si,LONG,2023-01-05T19:45:00+0300,72.2,0.1,0.010000000000005116,0.07172960794399537,72.22,72.23,72.19,72.22,2023-01-05T19:45:00+0300,72.22,72.17605875553117,0.04394124446882586,43.94124446882586,72.25,0.030000000000001137,2023-01-05T20:00:00+0300,72.25,ROUND_LEVEL_MIDPOINT_TARGET,1,0.6827298671817239,0.045515324478779866,0.6372145427029441,0.0,0.6827298671817239,2023-01-05T19:00:00+0300,29.94408673174287,0.35863496002610395,,21859.648253653722
CNY-000011,R3_Round_Level_Rejection_v1.0,CNY,SHORT,2023-01-06T11:45:00+0300,10.4,0.05,0.009999999999999787,0.37529724755076665,10.4,10.41,10.39,10.39,2023-01-06T11:45:00+0300,10.39,10.412664554580472,0.02266455458047112,22.66455458047112,10.375,0.015000000000000568,2023-01-06T12:00:00+0300,10.412664554580472,STOP,1,-1.0,0.08824351667265048,-1.0882435166726505,1.0,0.0,2023-01-06T11:00:00+0300,44.19909466203132,0.049992990321620086,,43133.09169153454
CNY-000012,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-06T12:15:00+0300,10.4,0.05,0.009999999999999787,0.3688997040889542,10.41,10.41,10.39,10.41,2023-01-06T12:15:00+0300,10.41,10.387289236101532,0.022710763898468045,22.710763898468045,10.425,0.015000000000000568,2023-01-06T12:30:00+0300,10.387289236101532,STOP,1,-1.0,0.08806396865122225,-1.0880639686512223,1.0,0.0,2023-01-06T12:00:00+0300,42.4311689415569,0.04999349101293299,,42576.891303509714
CNY-000013,R3_Round_Level_Rejection_v1.0,CNY,SHORT,2023-01-06T12:45:00+0300,10.4,0.05,0.009999999999999787,0.3635560313505968,10.4,10.41,10.38,10.39,2023-01-06T12:45:00+0300,10.39,10.41275060764715,0.02275060764714887,22.75060764714887,10.375,0.015000000000000568,2023-01-06T13:30:00+0300,10.41275060764715,STOP,3,-1.0,0.0879097398636138,-1.0879097398636137,1.0,0.0,2023-01-06T12:00:00+0300,42.4311689415569,0.04999349101293299,,42039.87276618038
CNY-000014,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-06T13:45:00+0300,10.4,0.05,0.009999999999999787,0.38942461181613086,10.4,10.41,10.39,10.41,2023-01-06T13:45:00+0300,10.41,10.387432108886657,0.022567891113343563,22.567891113343563,10.425,0.015000000000000568,2023-01-06T14:00:00+0300,10.425,ROUND_LEVEL_MIDPOINT_TARGET,1,0.6646611295962706,0.08862148394616605,0.5760396456501045,0.4431074197308208,0.6646611295962706,2023-01-06T13:00:00+0300,40.78952362968779,0.049279670226294855,,41919.18164282349
Si-000016,R3_Round_Level_Rejection_v1.0,Si,LONG,2023-01-06T14:30:00+0300,72.0,0.1,0.060000000000002274,0.41423973910741546,72.0,72.05,71.94,72.01,2023-01-06T14:30:00+0300,72.01,71.92551563398304,0.08448436601696585,84.48436601696585,72.05,0.03999999999999204,2023-01-06T14:45:00+0300,72.05,ROUND_LEVEL_MIDPOINT_TARGET,1,0.47346037954477144,0.023673018977243283,0.44978736056752816,0.23673018977255392,0.47346037954477144,2023-01-06T14:00:00+0300,23.958194777927694,0.3083076046266364,,11441.890316526049
Si-000017,R3_Round_Level_Rejection_v1.0,Si,LONG,2023-01-06T15:00:00+0300,72.0,0.1,0.09000000000000341,0.6417210681135304,72.03,72.04,71.91,72.03,2023-01-06T15:00:00+0300,72.03,71.895975215016,0.13402478498400683,134.02478498400683,72.05,0.01999999999999602,2023-01-06T15:15:00+0300,72.05,ROUND_LEVEL_MIDPOINT_TARGET,1,0.1492261300951359,0.01492261300951656,0.13430351708561936,0.22383919514275688,0.1492261300951359,2023-01-06T14:00:00+0300,23.958194777927694,0.3083076046266364,,7244.9940349728095
Si-000018,R3_Round_Level_Rejection_v1.0,Si,SHORT,2023-01-06T15:45:00+0300,72.2,0.1,0.04999999999999716,0.37637038518227833,72.16,72.25,72.13,72.19,2023-01-06T15:45:00+0300,72.19,72.26328478593653,0.07328478593653642,73.28478593653642,72.15,0.03999999999999204,2023-01-06T16:00:00+0300,72.26328478593653,STOP,1,-1.0,0.027290794050104362,-1.0272907940501044,1.0,0.0,2023-01-06T15:00:00+0300,23.087887176768177,0.30057134715330547,,13267.595098332507
CNY-000015,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-09T11:45:00+0300,10.4,0.05,0.009999999999999787,0.29579124510985927,10.42,10.42,10.39,10.42,2023-01-09T11:45:00+0300,10.42,10.386619237328581,0.03338076267141865,33.38076267141865,10.425,0.005000000000000782,2023-01-09T12:00:00+0300,10.386619237328581,STOP,1,-1.0,0.05991474849412127,-1.0599147484941214,1.0,0.0,2023-01-09T11:00:00+0300,33.682222189068455,0.052020539282433324,,28503.75319027549
CNY-000016,R3_Round_Level_Rejection_v1.0,CNY,SHORT,2023-01-09T13:30:00+0300,10.25,0.05,0.009999999999999787,0.19940500781108478,10.21,10.26,10.21,10.23,2023-01-09T13:30:00+0300,10.23,10.265014919188726,0.03501491918872546,35.01491918872546,10.225,0.005000000000000782,2023-01-09T13:45:00+0300,10.265014919188726,STOP,1,-1.0,0.057118509662132395,-1.0571185096621325,1.0,0.0,2023-01-09T13:00:00+0300,31.72686866940894,0.06521158744250635,,26885.459028096262
CNY-000017,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-09T14:30:00+0300,10.25,0.05,0.019999999999999574,0.40396624917780405,10.28,10.3,10.23,10.27,2023-01-09T14:30:00+0300,10.27,10.225049091343472,0.044950908656527844,44.950908656527844,10.275,0.005000000000000782,2023-01-09T14:45:00+0300,10.275,ROUND_LEVEL_MIDPOINT_TARGET,1,0.1112324566830458,0.04449298267321136,0.06673947400983443,0.44492982673210413,0.1112324566830458,2023-01-09T14:00:00+0300,32.098597641582174,0.0691250454823274,,20721.283999062096
Si-000019,R3_Round_Level_Rejection_v1.0,Si,LONG,2023-01-09T14:45:00+0300,70.0,0.1,0.06999999999999318,0.26756618415762495,70.05,70.08,69.93,70.03,2023-01-09T14:45:00+0300,70.03,69.90383824857376,0.1261617514262383,126.16175142623831,70.05,0.01999999999999602,2023-01-09T15:00:00+0300,70.05,ROUND_LEVEL_MIDPOINT_TARGET,1,0.15852665149222517,0.01585266514922567,0.1426739863429995,0.6341066059690132,0.15852665149222517,2023-01-09T14:00:00+0300,31.688958118709515,0.40451143523948924,,7627.703128930197
CNY-000018,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-09T15:15:00+0300,10.25,0.05,0.019999999999999574,0.4443672049314972,10.25,10.27,10.23,10.26,2023-01-09T15:15:00+0300,10.26,10.225499217813997,0.03450078218600261,34.50078218600261,10.275,0.015000000000000568,2023-01-09T15:30:00+0300,10.24,LEVEL_FAILURE,1,-0.579697002003445,0.05796970020034573,-0.6376667022037907,0.8695455030051674,0.0,2023-01-09T15:00:00+0300,32.443774544314465,0.06918754223358975,,27015.68265272355
Si-000020,R3_Round_Level_Rejection_v1.0,Si,SHORT,2023-01-09T16:30:00+0300,69.8,0.1,0.07000000000000739,0.3257027721546943,69.8,69.87,69.74,69.76,2023-01-09T16:30:00+0300,69.76,69.89149198778289,0.13149198778287996,131.49198778287996,69.75,0.010000000000005116,2023-01-09T16:45:00+0300,69.75,ROUND_LEVEL_MIDPOINT_TARGET,1,0.07605026107383175,0.015210052214758569,0.06084020885907319,0.22815078322138718,0.07605026107383175,2023-01-09T16:00:00+0300,36.34703627755517,0.4048593497728245,,7328.943678756301
CNY-000019,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-09T17:00:00+0300,10.2,0.05,0.019999999999999574,0.5066277080635657,10.21,10.23,10.18,10.22,2023-01-09T17:00:00+0300,10.22,10.176052328034634,0.0439476719653662,43.9476719653662,10.225,0.004999999999999005,2023-01-09T17:15:00+0300,10.225,ROUND_LEVEL_MIDPOINT_TARGET,1,0.1137716692692926,0.045508667707726096,0.0682630015615665,0.0,0.1137716692692926,2023-01-09T16:00:00+0300,32.87231113885102,0.06781700350261897,,21073.214830447236
CNY-000020,R3_Round_Level_Rejection_v1.0,CNY,SHORT,2023-01-09T17:30:00+0300,10.25,0.05,0.009999999999999787,0.26232788404726726,10.25,10.26,10.24,10.24,2023-01-09T17:30:00+0300,10.24,10.263812023276259,0.023812023276258643,23.812023276258643,10.225,0.015000000000000568,2023-01-09T17:45:00+0300,10.225,ROUND_LEVEL_MIDPOINT_TARGET,1,0.6299338710522786,0.0839911828069673,0.5459426882453113,0.0,0.6299338710522786,2023-01-09T17:00:00+0300,33.681862565820445,0.0679729318238605,,38919.453349984724
CNY-000021,R3_Round_Level_Rejection_v1.0,CNY,SHORT,2023-01-09T18:15:00+0300,10.2,0.05,0.010000000000001563,0.27431728955327456,10.19,10.21,10.18,10.19,2023-01-09T18:15:00+0300,10.19,10.213645413680009,0.023645413680009497,23.645413680009497,10.175,0.014999999999998792,2023-01-09T18:30:00+0300,10.175,ROUND_LEVEL_MIDPOINT_TARGET,1,0.6343724919763285,0.08458299893018394,0.5497894930461446,0.0,0.6343724919763285,2023-01-09T18:00:00+0300,34.180354032296165,0.06740343669358478,,39407.66148626851
Si-000021,R3_Round_Level_Rejection_v1.0,Si,SHORT,2023-01-09T18:30:00+0300,69.7,0.1,0.030000000000001137,0.14373014854637567,69.7,69.73,69.6,69.66,2023-01-09T18:30:00+0300,69.66,69.75087244764123,0.0908724476412317,90.8724476412317,69.65,0.009999999999990905,2023-01-09T18:45:00+0300,69.75087244764123,STOP,1,-1.0,0.022008871246608053,-1.022008871246608,1.0,0.0,2023-01-09T18:00:00+0300,40.5098874800355,0.40046545975309866,,10611.397768989043
Si-000022,R3_Round_Level_Rejection_v1.0,Si,SHORT,2023-01-09T19:45:00+0300,69.9,0.1,0.030000000000001137,0.15960539911377014,69.89,69.93,69.86,69.86,2023-01-09T19:45:00+0300,69.86,69.94879635661863,0.08879635661863006,88.79635661863006,69.85,0.010000000000005116,2023-01-09T20:15:00+0300,69.94879635661863,STOP,2,-1.0,0.022523446638579615,-1.0225234466385795,1.0,0.0,2023-01-09T19:00:00+0300,42.31676355105732,0.402575069770735,,10748.51108390507
CNY-000022,R3_Round_Level_Rejection_v1.0,CNY,LONG,2023-01-09T19:30:00+0300,10.2,0.05,0.009999999999999787,0.31400764573433193,10.2,10.21,10.19,10.21,2023-01-09T19:30:00+0300,10.21,10.186815364168405,0.023184635831595912,23.184635831595912,10.225,0.014999999999998792,2023-01-09T20:30:00+0300,10.225,ROUND_LEVEL_MIDPOINT_TARGET,4,0.6469801858848636,0.08626402478465543,0.5607161611002082,0.43132012392334457,0.6469801858848636,2023-01-09T19:00:00+0300,35.04912992019862,0.0661603340726145,,40411.82534862
