trade_id,symbol,direction,entry_time,exit_time,MAE,MFE,status
1,Si,LONG,2023-02-20 20:00:00+00:00,2023-02-21 10:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
2,Si,LONG,2023-02-22 15:00:00+00:00,2023-02-24 08:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
3,CNY,LONG,2023-02-22 16:00:00+00:00,2023-02-24 08:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
4,Si,LONG,2023-02-24 11:00:00+00:00,2023-02-27 07:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
5,CNY,LONG,2023-03-01 07:00:00+00:00,2023-03-02 16:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
6,CNY,LONG,2023-03-17 17:00:00+00:00,2023-03-20 11:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
7,Si,LONG,2023-03-20 08:00:00+00:00,2023-03-20 11:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
8,CNY,LONG,2023-04-03 15:00:00+00:00,2023-04-04 13:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
9,Si,LONG,2023-04-03 15:00:00+00:00,2023-04-04 13:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
10,CNY,LONG,2023-04-05 15:00:00+00:00,2023-04-07 11:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
11,Si,LONG,2023-04-05 15:00:00+00:00,2023-04-07 11:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
12,Si,LONG,2023-04-11 09:00:00+00:00,2023-04-12 09:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
13,CNY,LONG,2023-04-11 09:00:00+00:00,2023-04-12 16:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
14,Si,SHORT,2023-05-04 09:00:00+00:00,2023-05-05 13:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
15,CNY,SHORT,2023-05-04 09:00:00+00:00,2023-05-08 07:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
16,CNY,SHORT,2023-05-10 10:00:00+00:00,2023-05-11 11:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
17,Si,SHORT,2023-05-10 10:00:00+00:00,2023-05-11 11:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
18,Si,LONG,2023-05-16 09:00:00+00:00,2023-05-17 14:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
19,Si,LONG,2023-06-02 13:00:00+00:00,2023-06-05 09:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
20,Si,LONG,2023-06-13 16:00:00+00:00,2023-06-14 10:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
21,CNY,LONG,2023-06-13 17:00:00+00:00,2023-06-14 10:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
22,CNY,LONG,2023-06-16 16:00:00+00:00,2023-06-19 08:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
23,Si,LONG,2023-06-16 16:00:00+00:00,2023-06-19 09:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
24,Si,LONG,2023-06-20 15:00:00+00:00,2023-06-21 07:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
25,CNY,LONG,2023-06-28 12:00:00+00:00,2023-06-29 19:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
26,Si,LONG,2023-06-28 12:00:00+00:00,2023-06-30 08:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
27,CNY,LONG,2023-06-30 16:00:00+00:00,2023-07-03 07:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
28,CNY,LONG,2023-07-04 09:00:00+00:00,2023-07-04 15:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
29,Si,LONG,2023-07-04 12:00:00+00:00,2023-07-04 15:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
30,Si,LONG,2023-07-05 10:00:00+00:00,2023-07-06 10:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
31,CNY,LONG,2023-07-06 08:00:00+00:00,2023-07-06 10:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
32,Si,LONG,2023-08-02 09:00:00+00:00,2023-08-03 08:00:00+00:00,,,NOT_CALCULABLE_FROM_SUPPLIED_TRADE_AND_EQUITY_ARTIFACTS
