parameter,configuration_id,scenario,trades,PF,expectancy,net_R,max_DD_R,winrate
donchian,T3_D10_ADX20_EMA100_ATR20_SL2.0_TR3.0,C0,139,2.7259066396999136,0.5567433128618139,77.38732048779212,-9.691932859140262,0.5251798561151079
donchian,T3_D10_ADX20_EMA100_ATR20_SL2.0_TR3.0,C1,139,2.6459341913542946,0.5429157415751977,75.46528807895248,-10.493564403809131,0.5179856115107914
donchian,T3_D10_ADX20_EMA100_ATR20_SL2.0_TR3.0,C2,139,2.5688686185225555,0.5290881702885813,73.54325567011281,-11.295195948478053,0.5179856115107914
donchian,T3_D55_ADX20_EMA100_ATR20_SL2.0_TR3.0,C0,89,1.7555884108394,0.34309188218537123,30.53517751449804,-14.061820249067697,0.42696629213483145
donchian,T3_D55_ADX20_EMA100_ATR20_SL2.0_TR3.0,C1,89,1.7124059451412115,0.32911656270918965,29.29137408111788,-14.66570815634529,0.4157303370786517
donchian,T3_D55_ADX20_EMA100_ATR20_SL2.0_TR3.0,C2,89,1.6706690657314263,0.31514124323300796,28.047570647737707,-15.269596063622872,0.4157303370786517
adx,T3_D20_ADX15_EMA100_ATR20_SL2.0_TR3.0,C0,118,1.9726728871920913,0.4278896882039878,50.49098320807056,-15.199707121382335,0.423728813559322
adx,T3_D20_ADX15_EMA100_ATR20_SL2.0_TR3.0,C1,118,1.9214303770469192,0.41325494141336655,48.764083086777255,-15.85873422610058,0.423728813559322
adx,T3_D20_ADX15_EMA100_ATR20_SL2.0_TR3.0,C2,118,1.8721120435458694,0.39862019462274534,47.03718296548395,-16.51776133081882,0.423728813559322
adx,T3_D20_ADX30_EMA100_ATR20_SL2.0_TR3.0,C0,69,3.046600898294343,0.8096607193111977,55.86658963247264,-10.63626047929337,0.4927536231884058
adx,T3_D20_ADX30_EMA100_ATR20_SL2.0_TR3.0,C1,69,2.9826038556548844,0.7967399696582105,54.975057906416524,-10.829364461023236,0.4927536231884058
adx,T3_D20_ADX30_EMA100_ATR20_SL2.0_TR3.0,C2,69,2.9205678868111895,0.7838192200052237,54.08352618036044,-11.022468442753098,0.4927536231884058
ema,T3_D20_ADX20_EMA50_ATR20_SL2.0_TR3.0,C0,119,2.085775285002336,0.4708743622558982,56.03404910845188,-15.075360014236194,0.42016806722689076
ema,T3_D20_ADX20_EMA50_ATR20_SL2.0_TR3.0,C1,119,2.028125213040725,0.4556044824152504,54.2169334074148,-15.701322158522935,0.42016806722689076
ema,T3_D20_ADX20_EMA50_ATR20_SL2.0_TR3.0,C2,119,1.9728864088256608,0.44033460257460244,52.39981770637769,-16.32728430280968,0.42016806722689076
ema,T3_D20_ADX20_EMA200_ATR20_SL2.0_TR3.0,C0,96,1.9808704156111259,0.42991756862261116,41.27208658777067,-13.228727295058354,0.40625
ema,T3_D20_ADX20_EMA200_ATR20_SL2.0_TR3.0,C1,96,1.928341822857842,0.4151711943902176,39.85643466146089,-13.782655630285545,0.40625
ema,T3_D20_ADX20_EMA200_ATR20_SL2.0_TR3.0,C2,96,1.8778667522356705,0.400424820157824,38.4407827351511,-14.336583965512736,0.40625
atr_regime,T3_D20_ADX20_EMA100_ATR10_SL2.0_TR3.0,C0,111,2.2175460822990636,0.5104302892439908,56.657762106082984,-11.412871228473072,0.4144144144144144
atr_regime,T3_D20_ADX20_EMA100_ATR10_SL2.0_TR3.0,C1,111,2.1605004783021338,0.4964075070267613,55.1012332799705,-12.057830226057407,0.4144144144144144
atr_regime,T3_D20_ADX20_EMA100_ATR10_SL2.0_TR3.0,C2,111,2.1056840528724727,0.4823847248095317,53.54470445385802,-12.772203577822598,0.4144144144144144
atr_regime,T3_D20_ADX20_EMA100_ATR50_SL2.0_TR3.0,C0,109,1.7474902420932845,0.3497264475230226,38.120182780009465,-16.721043658020275,0.3944954128440367
atr_regime,T3_D20_ADX20_EMA100_ATR50_SL2.0_TR3.0,C1,109,1.7019666745794988,0.3348414778248422,36.4977210829078,-17.478480910604603,0.3944954128440367
atr_regime,T3_D20_ADX20_EMA100_ATR50_SL2.0_TR3.0,C2,109,1.6579598394187023,0.31995650812666215,34.875259385806174,-18.235918163188934,0.3853211009174312
stop_atr,T3_D20_ADX20_EMA100_ATR20_SL1.5_TR3.0,C0,112,2.177462273979845,0.6078902153105226,68.08370411477853,-16.613030882589413,0.4017857142857143
stop_atr,T3_D20_ADX20_EMA100_ATR20_SL1.5_TR3.0,C1,112,2.112837123386521,0.5882822660905463,65.88761380214119,-17.434711728631324,0.4017857142857143
stop_atr,T3_D20_ADX20_EMA100_ATR20_SL1.5_TR3.0,C2,112,2.0511652554207163,0.56867431687057,63.69152348950384,-18.256392574673228,0.4017857142857143
stop_atr,T3_D20_ADX20_EMA100_ATR20_SL3.0_TR3.0,C0,108,1.947641820488503,0.3024804665604243,32.66789038852583,-11.40303663022965,0.4444444444444444
stop_atr,T3_D20_ADX20_EMA100_ATR20_SL3.0_TR3.0,C1,108,1.9007422405951007,0.2926942466768078,31.610978641095244,-11.790633251295642,0.4444444444444444
stop_atr,T3_D20_ADX20_EMA100_ATR20_SL3.0_TR3.0,C2,108,1.8554749901358905,0.2829080267931914,30.55406689366467,-12.178229872361637,0.4444444444444444
trail_atr,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR2.0,C0,135,1.7901023243024847,0.25147884104839285,33.949643541533035,-9.52401999433702,0.45185185185185184
trail_atr,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR2.0,C1,135,1.7287302665797166,0.237484075913963,32.06035024838501,-10.349117117932591,0.4444444444444444
trail_atr,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR2.0,C2,135,1.6699243048009944,0.22348931077953318,30.17105695523698,-11.174214241528155,0.43703703703703706
trail_atr,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR4.0,C0,97,2.4953588252062944,0.7387917785024947,71.66280251474198,-19.202470039073177,0.422680412371134
trail_atr,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR4.0,C1,97,2.4429376098222515,0.7240509890402105,70.23294593690042,-19.726611057273814,0.41237113402061853
trail_atr,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR4.0,C2,97,2.3918495034250427,0.7093101995779264,68.80308935905886,-20.25075207547446,0.4020618556701031
frozen_baseline,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.0,C0,109,2.1049567258779187,0.47802307756209034,52.10451545426785,-16.198643184283156,0.43119266055045874
frozen_baseline,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.0,C1,109,2.050317167764735,0.46344295761127374,50.515282379628836,-16.783903569375298,0.43119266055045874
frozen_baseline,T3_D20_ADX20_EMA100_ATR20_SL2.0_TR3.0,C2,109,1.9977724998693327,0.44886283766045715,48.92604930498983,-17.369163954467428,0.43119266055045874
