trade_id,fold_id,symbol,direction,entry_time,signal_time,feature_time,H4_close,EMA100,EMA100_slope,normalized_EMA_slope,ADX14,ATR14,ATR_mean20,ATR_ratio,Donchian_upper,Donchian_lower,breakout_distance_points,breakout_distance_ATR,initial_risk_R,initial_risk_points,entry_price
WF01-CNY-000001,WF01,CNY,LONG,2024-02-06T19:00:00+03:00,2024-02-06T19:00:00+03:00,2024-02-06T16:00:00+03:00,12.654,12.4859109432,0.0109255643035,0.151820201424,20.0529359093,0.0719638374936,0.0675809532048,1.06485383945,12.656,12.484,0.007,0.233102458135,1,0.0600594267,12.663
WF01-CNY-000002,WF01,CNY,LONG,2024-02-20T14:00:00+03:00,2024-02-20T14:00:00+03:00,2024-02-20T12:00:00+03:00,12.803,12.5620167116,0.0218457526971,0.347307467213,24.5399644635,0.062900325387,0.0628810235296,1.00030695838,12.823,12.68,0.005,0.209600578237,1,0.047709792,12.828
WF01-CNY-000003,WF01,CNY,LONG,2024-02-22T20:00:00+03:00,2024-02-22T20:00:00+03:00,2024-02-22T20:00:00+03:00,12.864,12.5989086179,0.0225998524627,0.348434631438,29.878134824,0.0648610970998,0.0608053958703,1.06669969287,12.847,12.738,0.017,0.506713096646,1,0.0670991143,12.864
WF01-Si-000001,WF01,Si,LONG,2024-02-22T20:00:00+03:00,2024-02-22T20:00:00+03:00,2024-02-22T20:00:00+03:00,93.29,91.0136670158,0.178797773533,0.344251936117,41.9180842694,0.519380589547,0.459319030361,1.13076218318,93.15,92.13,0.14,0.486215131415,1,0.5758767712,93.29
WF01-Si-000002,WF01,Si,LONG,2024-03-15T16:00:00+03:00,2024-03-15T16:00:00+03:00,2024-03-15T16:00:00+03:00,92.36,91.2562454407,0.0726210362017,0.163647909624,30.1844477188,0.443763909779,0.441593739009,1.00491440566,92.28,91.57,0.08,0.4498491677,1,0.3556747717,92.36
WF01-CNY-000004,WF01,CNY,LONG,2024-03-20T13:00:00+03:00,2024-03-20T13:00:00+03:00,2024-03-20T12:00:00+03:00,12.833,12.6574463924,0.0149954556316,0.233782352337,21.2752716504,0.0641428041156,0.0607059725364,1.05661438958,12.848,12.717,0.006,0.246756915295,1,0.0486308559,12.854
WF01-Si-000003,WF01,Si,LONG,2024-03-20T13:00:00+03:00,2024-03-20T13:00:00+03:00,2024-03-20T12:00:00+03:00,92.75,91.4205887947,0.108891732528,0.2199239786,30.7285489324,0.495133514866,0.460487692968,1.07523723745,92.8,91.8,0.09,0.46727306932,1,0.3852137258,92.89
WF01-Si-000004,WF01,Si,LONG,2024-03-22T12:00:00+03:00,2024-03-22T12:00:00+03:00,2024-03-22T12:00:00+03:00,92.87,91.5335078696,0.0875841995228,0.165463933519,25.480191231,0.529325017605,0.48787907061,1.0849512707,92.67,91.61,0.2,0.88097871637,1,0.4540404809,92.87
WF01-CNY-000005,WF01,CNY,SHORT,2024-04-24T17:00:00+03:00,2024-04-24T17:00:00+03:00,2024-04-24T16:00:00+03:00,12.716,12.7972995185,-0.000575295945714,-0.0123548124834,30.3375464823,0.0465645226494,0.0441055698877,1.05575152453,12.869,12.706,0.015,0.75232875734,1,0.0398761841,12.691
WF01-Si-000005,WF01,Si,SHORT,2024-04-25T19:00:00+03:00,2024-04-25T19:00:00+03:00,2024-04-25T16:00:00+03:00,92.26,92.8024003568,-0.0381274914156,-0.111689906555,30.405570375,0.341369176424,0.322093176757,1.05984603543,92.74,92.09,0.04,0.215453034951,1,0.3713106201,92.05
WF01-CNY-000006,WF01,CNY,SHORT,2024-04-26T13:00:00+03:00,2024-04-26T13:00:00+03:00,2024-04-26T12:00:00+03:00,12.698,12.7873682176,-0.00993130094534,-0.207021908467,34.4275735522,0.0479722219686,0.0455366693571,1.05348552377,12.736,12.658,0.003,0.129206515228,1,0.0464372868,12.655
WF01-Si-000006,WF01,Si,SHORT,2024-04-26T15:00:00+03:00,2024-04-26T15:00:00+03:00,2024-04-26T12:00:00+03:00,92.35,92.7815553277,-0.0499174143088,-0.140508656942,32.6429042479,0.355262198039,0.325822688122,1.09035438903,92.66,91.81,0.15,0.683904602069,1,0.4386576711,91.66
