fold_id,symbol,direction,trades,wins,losses,PF,expectancy_R,net_R,max_DD_R,winrate,median_R,average_win_R,average_loss_R,average_win,average_loss,sample_warning
WF01,Si,LONG,5,1,4,0.0919459209708,-0.597164155343,-2.98582077671,-2.98582077671,0.2,-1.00347296522,0.302332259178,-0.822038258973,0.302332259178,-0.822038258973,LOW_SAMPLE
WF01,Si,SHORT,2,0,2,0,-0.710734650653,-1.42146930131,-1.42146930131,0,-0.710734650653,,-0.710734650653,,-0.710734650653,LOW_SAMPLE
WF01,CNY,LONG,4,0,4,0,-0.947721936504,-3.79088774602,-3.79088774602,0,-1.00863969397,,-0.947721936504,,-0.947721936504,LOW_SAMPLE
WF01,CNY,SHORT,2,1,1,1.87446484647,0.351614084239,0.703228168477,-0.804181175853,0.5,0.351614084239,1.50740934433,-0.804181175853,1.50740934433,-0.804181175853,LOW_SAMPLE
WF02,Si,LONG,0,0,0,,,0,0,,,,,,,LOW_SAMPLE
WF02,Si,SHORT,5,2,3,6.51805317708,1.85717612252,9.28588061258,-1.00452899369,0.4,-0.0695842259696,5.48434943326,-0.560939417979,5.48434943326,-0.560939417979,LOW_SAMPLE
WF02,CNY,LONG,0,0,0,,,0,0,,,,,,,LOW_SAMPLE
WF02,CNY,SHORT,7,3,4,5.92289243722,1.98459491863,13.8921644304,-1.49196489226,0.428571428571,-0.39335836138,5.57137202643,-0.705487912217,5.57137202643,-0.705487912217,LOW_SAMPLE
WF03,Si,LONG,6,5,1,7.5155439834,0.774726979758,4.64836187855,-0.713426521315,0.833333333333,0.901912806621,1.07235767997,-0.713426521315,1.07235767997,-0.713426521315,LOW_SAMPLE
WF03,Si,SHORT,3,0,3,0,-1.00391304735,-3.01173914206,-3.01173914206,0,-1.0040875669,,-1.00391304735,,-1.00391304735,LOW_SAMPLE
WF03,CNY,LONG,5,4,1,8.48976076741,0.431898857217,2.15949428608,-0.288326203352,0.8,0.399123769166,0.611955122359,-0.288326203352,0.611955122359,-0.288326203352,LOW_SAMPLE
WF03,CNY,SHORT,0,0,0,,,0,0,,,,,,,LOW_SAMPLE
