trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-BR-H1-000001,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-02-04 17:00:00+03:00,2020-02-04 19:00:00+03:00,2020-02-04 19:00:00+03:00,50.8810452798,51.9156462892,1.03460100938,103.460100938,2020-02-05 13:00:00+03:00,51.5944792304,ATR_TRAILING_STOP,8,-0.689573994359,0.0193311236105,-0.708905117969,0.666533840701,0.657526626638,2020-02-04 16:00:00+03:00,2,966.556180527
T2-BR-H1-000002,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2020-02-18 20:00:00+03:00,2020-02-18 22:00:00+03:00,2020-02-18 22:00:00+03:00,53.5555617625,52.8256837066,0.729878055846,72.9878055846,2020-02-21 11:00:00+03:00,54.8592570101,ATR_TRAILING_STOP,31,1.78618227683,0.0274018376629,1.75878043917,0.0255354238622,3.14085713505,2020-02-18 19:00:00+03:00,2,1360.37923166
T2-BR-H1-000003,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-02-26 19:00:00+03:00,2020-02-26 20:00:00+03:00,2020-02-26 20:00:00+03:00,50.4896526238,51.5550502524,1.06539762861,106.539762861,2020-02-27 21:00:00+03:00,49.0216489272,ATR_TRAILING_STOP,15,1.37789277657,0.0187723338807,1.35912044269,0.087468495439,2.80773870359,2020-02-26 18:00:00+03:00,1,948.353971545
T2-BR-H1-000004,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-03-04 11:00:00+03:00,2020-03-04 12:00:00+03:00,2020-03-04 12:00:00+03:00,47.3793182785,48.0110656732,0.631747394648,63.1747394648,2020-03-04 14:00:00+03:00,48.0110656732,INITIAL_STOP,2,-1,0.0316582231592,-1.03165822316,0.664843625312,0.130078100604,2020-03-04 00:00:00+03:00,1,1621.06924636
T2-BR-H1-000005,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-03-13 17:00:00+03:00,2020-03-13 19:00:00+03:00,2020-03-13 19:00:00+03:00,30.2866060377,32.3460864324,2.05948039471,205.948039471,2020-03-13 23:00:00+03:00,32.3460864324,INITIAL_STOP,4,-1,0.00971118737102,-1.00971118737,0.625124596852,0.0576356011282,2020-03-13 00:00:00+03:00,2,492.13432619
T2-BR-H1-000006,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-03-19 12:00:00+03:00,2020-03-19 14:00:00+03:00,2020-03-19 14:00:00+03:00,23.8037931686,25.018716945,1.21492377635,121.492377635,2020-03-19 19:00:00+03:00,25.018716945,INITIAL_STOP,5,-1,0.0164619380979,-1.0164619381,0.255525956419,0.571175667289,2020-03-19 11:00:00+03:00,2,825.819017664
T2-BR-H1-000007,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-03-20 18:00:00+03:00,2020-03-20 19:00:00+03:00,2020-03-20 19:00:00+03:00,24.8173033496,26.1066650079,1.2893616583,128.93616583,2020-03-20 20:00:00+03:00,26.1066650079,INITIAL_STOP,1,-1,0.0155115516824,-1.01551155168,0,0,2020-03-20 17:00:00+03:00,1,770.233020143
T2-BR-H1-000008,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2020-04-09 15:00:00+03:00,2020-04-09 17:00:00+03:00,2020-04-09 17:00:00+03:00,28.3476280619,27.0019920926,1.34563596928,134.563596928,2020-04-09 19:00:00+03:00,27.9204405185,ATR_TRAILING_STOP,2,-0.317461448036,0.0148628607265,-0.332324308762,0.750191115819,1.30521055923,2020-04-09 14:00:00+03:00,2,730.527282804
T2-BR-H1-000009,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-04-17 13:00:00+03:00,2020-04-17 16:00:00+03:00,2020-04-17 16:00:00+03:00,23.0129557283,23.7820555796,0.769099851323,76.9099851323,2020-04-21 14:00:00+03:00,18.0269390761,ATR_TRAILING_STOP,26,6.48292499812,0.0260044257785,6.45692057234,0.789665901201,9.59337358351,2020-04-16 22:00:00+03:00,3,1273.90085902
T2-BR-H1-000010,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-04-22 16:00:00+03:00,2020-04-22 19:00:00+03:00,2020-04-22 19:00:00+03:00,16.7098351864,18.5187611155,1.80892592909,180.892592909,2020-04-23 18:00:00+03:00,18.5187611155,INITIAL_STOP,13,-1,0.0110562846595,-1.01105628466,0.943706494166,0.0952780595071,2020-04-22 15:00:00+03:00,3,576.595798252
T2-BR-H1-000011,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-04-28 13:00:00+03:00,2020-04-28 15:00:00+03:00,2020-04-28 15:00:00+03:00,16.2830613997,17.2018668347,0.918805435,91.8805435,2020-04-28 17:00:00+03:00,17.2018668347,INITIAL_STOP,2,-1,0.0217673940947,-1.02176739409,0.911110410402,0.00893245500394,2020-04-28 12:00:00+03:00,2,1123.71296541
T2-BR-H1-000012,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2020-05-15 19:00:00+03:00,2020-05-15 20:00:00+03:00,2020-05-15 20:00:00+03:00,25.8327748103,24.8659812479,0.966793562317,96.6793562317,2020-05-19 20:00:00+03:00,27.3689535534,ATR_TRAILING_STOP,28,1.58894184139,0.0206869395697,1.56825490182,0.0744291157962,2.82830640025,2020-05-15 17:00:00+03:00,1,1057.02410674
T2-BR-H1-000013,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2020-05-27 12:00:00+03:00,2020-05-27 13:00:00+03:00,2020-05-27 13:00:00+03:00,28.7030831225,28.1387771758,0.564305946717,56.4305946717,2020-05-27 15:00:00+03:00,28.3672810358,EMA50_TREND_LOSS,2,-0.595070969256,0.0354417672122,-0.630512736468,0.524229187202,0.0850101384652,2020-05-27 00:00:00+03:00,1,1839.33995816
T2-BR-H1-000014,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2020-06-03 19:00:00+03:00,2020-06-03 21:00:00+03:00,2020-06-03 21:00:00+03:00,29.614698301,29.1167908165,0.497907484493,49.7907484493,2020-06-03 23:00:00+03:00,29.1167908165,INITIAL_STOP,2,-1,0.0401681047642,-1.04016810476,0.195158530425,0.70557314846,2020-06-03 18:00:00+03:00,2,2071.48134663
T2-BR-H1-000015,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2020-06-04 00:00:00+03:00,2020-06-04 12:00:00+03:00,2020-06-04 12:00:00+03:00,29.5623755125,29.175318907,0.387056605499,38.7056605499,2020-06-08 16:00:00+03:00,31.2100550668,ATR_TRAILING_STOP,32,4.2569472551,0.051672028628,4.20527522647,0.8497105968,6.77837316993,2020-06-03 22:00:00+03:00,2,2637.02439136
T2-BR-H1-000016,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2020-06-16 19:00:00+03:00,2020-06-16 21:00:00+03:00,2020-06-16 21:00:00+03:00,30.5639831784,29.7933574221,0.770625756277,77.0625756277,2020-06-19 20:00:00+03:00,31.1719847413,ATR_TRAILING_STOP,41,0.78897124566,0.0259529347898,0.76301831087,0.620767962706,2.00779637938,2020-06-16 18:00:00+03:00,2,1380.1770934
T2-BR-H1-000017,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2020-07-10 18:00:00+03:00,2020-07-10 19:00:00+03:00,2020-07-10 19:00:00+03:00,31.1197736781,30.6513315749,0.46844210324,46.844210324,2020-07-13 11:00:00+03:00,30.9389288752,EMA50_TREND_LOSS,6,-0.386055825513,0.0426947105345,-0.428750536047,0.416940291554,0.694900485923,2020-07-10 17:00:00+03:00,1,2287.82910816
T2-BR-H1-000018,T2_Trend_Pullback_Continuation_v1.0,BR,LONG,2020-07-13 13:00:00+03:00,2020-07-13 15:00:00+03:00,2020-07-13 15:00:00+03:00,30.98956542,30.6738202351,0.315745184963,31.5745184963,2020-07-13 22:00:00+03:00,30.8521233699,EMA50_TREND_LOSS,7,-0.435294207885,0.0633422169282,-0.498636424813,0.252012436144,1.16842129485,2020-07-11 00:00:00+03:00,2,3379.68888913
T2-BR-H1-000019,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-09-01 17:00:00+03:00,2020-09-01 19:00:00+03:00,2020-09-01 19:00:00+03:00,32.3759791096,32.6617203309,0.285741221372,28.5741221372,2020-09-03 21:00:00+03:00,31.2177386516,ATR_TRAILING_STOP,30,4.05345946388,0.0699934013858,3.98346606249,0.543193591454,6.64177618642,2020-09-01 16:00:00+03:00,2,3715.94772655
