trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-BR-M30-000001,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-01-15 21:30:00+03:00,2020-01-15 22:00:00+03:00,2020-01-15 22:00:00+03:00,54.7101121768,55.0227146231,0.312602446361,31.2602446361,2020-01-16 10:30:00+03:00,55.0227146231,INITIAL_STOP,5,-1,0.0639790258611,-1.06397902586,0.93005774603,0.328255675069,2020-01-15 20:00:00+03:00,1,3198.95129306
T2-BR-M30-000002,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-01-30 18:00:00+03:00,2020-01-30 19:00:00+03:00,2020-01-30 19:00:00+03:00,50.1609124772,50.4977363114,0.336823834267,33.6823834267,2020-01-30 23:30:00+03:00,50.2554666561,ATR_TRAILING_STOP,9,-0.280722945709,0.0593782207946,-0.340101166504,0.406200577747,2.38642839426,2020-01-30 17:30:00+03:00,2,2937.32244897
T2-BR-M30-000003,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-02-04 12:30:00+03:00,2020-02-04 13:00:00+03:00,2020-02-04 13:00:00+03:00,48.5647932683,49.0320786225,0.467285354249,46.7285354249,2020-02-04 16:30:00+03:00,49.0320786225,INITIAL_STOP,7,-1,0.0428003998373,-1.04280039984,0.416475742603,0.567921467186,2020-02-04 11:00:00+03:00,1,2110.04983392
T2-BR-M30-000004,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-02-26 20:00:00+03:00,2020-02-26 20:30:00+03:00,2020-02-26 20:30:00+03:00,47.8217253931,48.4583294232,0.636604030044,63.6604030044,2020-02-27 19:30:00+03:00,46.0979571906,ATR_TRAILING_STOP,26,2.70775571817,0.0314167034076,2.67633901476,0.305704968448,4.29376523866,2020-02-26 17:00:00+03:00,1,1532.68495685
T2-BR-M30-000005,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-02-27 20:30:00+03:00,2020-02-27 21:30:00+03:00,2020-02-27 21:30:00+03:00,45.7517505981,46.7245404478,0.972789849688,97.2789849688,2020-03-02 10:30:00+03:00,44.9725252789,ATR_TRAILING_STOP,34,0.801021227159,0.0205594250458,0.780461802113,0.554702348369,1.54589179054,2020-02-27 19:30:00+03:00,2,1029.84916997
T2-BR-M30-000006,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-03-02 12:30:00+03:00,2020-03-02 13:00:00+03:00,2020-03-02 13:00:00+03:00,44.6547661468,45.1986788894,0.543912742646,54.3912742646,2020-03-02 19:30:00+03:00,45.0257127206,ATR_TRAILING_STOP,13,-0.681996476151,0.0367706038706,-0.718767080022,0.403158199989,1.59650647196,2020-02-29 00:00:00+03:00,1,1856.26409485
T2-BR-M30-000007,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-03-06 17:30:00+03:00,2020-03-06 18:00:00+03:00,2020-03-06 18:00:00+03:00,41.4269221197,42.8271947099,1.40027259021,140.027259021,2020-03-10 15:00:00+03:00,33.197632493,ATR_TRAILING_STOP,22,5.87691973993,0.0142829332944,5.86263680664,0.0626400556033,7.98660708943,2020-03-06 17:00:00+03:00,1,715.852542594
T2-BR-M30-000008,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-03-19 00:00:00+03:00,2020-03-19 10:30:00+03:00,2020-03-19 10:30:00+03:00,22.7615631803,23.4622011456,0.700637965273,70.0637965273,2020-03-19 11:30:00+03:00,23.4622011456,INITIAL_STOP,2,-1,0.0285454128827,-1.02854541288,0.413128347238,0.0876332857777,2020-03-18 23:00:00+03:00,1,1514.55552674
T2-BR-M30-000009,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-03-19 12:00:00+03:00,2020-03-19 12:30:00+03:00,2020-03-19 12:30:00+03:00,23.1387297378,24.0178920798,0.879162341933,87.9162341933,2020-03-19 18:30:00+03:00,23.646176573,ATR_TRAILING_STOP,12,-0.577193552236,0.0227489270708,-0.599942479307,0.3092839184,1.06752836351,2020-03-19 10:30:00+03:00,1,1194.59238678
T2-BR-M30-000010,T2_Trend_Pullback_Continuation_v1.0,BR,SHORT,2020-03-27 21:30:00+03:00,2020-03-27 22:30:00+03:00,2020-03-27 22:30:00+03:00,21.8318037595,22.1377795509,0.305975791481,30.5975791481,2020-03-31 10:30:00+03:00,20.0583835896,ATR_TRAILING_STOP,32,5.7959492849,0.0653646483051,5.7305846366,0.573333939173,8.97267614806,2020-03-27 21:00:00+03:00,2,3411.83789616
