trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-CNY-M30-000001,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2022-05-16 10:30:00+03:00,2022-05-16 12:00:00+03:00,2022-05-16 12:00:00+03:00,14.2211754453,14.581934943,0.360759497725,360.759497725,2022-05-16 13:00:00+03:00,14.581934943,INITIAL_STOP,2,-1,0.00554385958683,-1.00554385959,0,0.244845341082,2022-05-13 19:00:00+03:00,3,2771.92979341
T2-CNY-M30-000002,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2022-05-20 10:30:00+03:00,2022-05-20 11:00:00+03:00,2022-05-20 11:00:00+03:00,13.6617503243,13.9999161233,0.338165799006,338.165799006,2022-05-20 12:00:00+03:00,13.4214844489,ATR_TRAILING_STOP,2,0.710497265235,0.00591425864437,0.70458300659,0.130602033867,2.43790463219,2022-05-19 19:00:00+03:00,1,2927.39408987
T2-CNY-M30-000003,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2022-06-06 12:30:00+03:00,2022-06-06 13:30:00+03:00,2022-06-06 13:30:00+03:00,13.7942457477,13.982504485,0.188258737275,188.258737275,2022-06-06 16:00:00+03:00,13.982504485,INITIAL_STOP,5,-1,0.0106236769084,-1.01062367691,0,0.234598095014,2022-06-06 11:30:00+03:00,2,5295.47556192
T2-CNY-M30-000004,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2022-06-09 18:00:00+03:00,2022-06-10 10:30:00+03:00,2022-06-10 10:30:00+03:00,13.3967594775,13.8257854092,0.429025931723,429.025931723,2022-06-20 11:00:00+03:00,12.2956056366,ATR_TRAILING_STOP,91,2.56663702454,0.00466172287528,2.56197530167,0.377457022647,3.16601402276,2022-06-09 15:00:00+03:00,3,2300.1976446
T2-CNY-M30-000005,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2022-07-06 14:00:00+03:00,2022-07-06 14:30:00+03:00,2022-07-06 14:30:00+03:00,13.2109458475,13.0136690976,0.197276749816,197.276749816,2022-07-07 14:30:00+03:00,13.2702296814,ATR_TRAILING_STOP,18,0.300511002733,0.0101380421254,0.290372960607,0.483762579271,2.83346653573,2022-07-06 13:30:00+03:00,1,5130.49383328
T2-CNY-M30-000006,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2022-07-19 16:00:00+03:00,2022-07-19 17:30:00+03:00,2022-07-19 17:30:00+03:00,11.602182576,11.7324512308,0.130268654722,130.268654722,2022-07-21 10:30:00+03:00,11.4478042795,ATR_TRAILING_STOP,42,1.18507630931,0.0153528874944,1.16972342181,0.209314928061,2.09314928061,2022-07-19 15:30:00+03:00,3,7792.09775452
T2-CNY-M30-000007,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2022-08-22 13:00:00+03:00,2022-08-22 14:30:00+03:00,2022-08-22 14:30:00+03:00,11.888487904,12.0165689554,0.1280810514,128.0810514,2022-08-22 18:30:00+03:00,11.9430222522,EMA50_TREND_LOSS,8,-0.42577998531,0.0156151122913,-0.441395097601,0.532224981637,0.42577998531,2022-08-19 23:30:00+03:00,3,8017.88825548
T2-CNY-M30-000008,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2022-09-14 16:30:00+03:00,2022-09-14 17:00:00+03:00,2022-09-14 17:00:00+03:00,11.6567169242,11.7280427704,0.0713258462132,71.3258462132,2022-09-15 12:00:00+03:00,11.6881715178,ATR_TRAILING_STOP,20,-0.440998532866,0.0280403262798,-0.469038859146,0.764580458261,0.746376161635,2022-09-14 15:30:00+03:00,1,14334.3086859
T2-CNY-M30-000009,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2022-09-23 10:30:00+03:00,2022-09-23 11:00:00+03:00,2022-09-23 11:00:00+03:00,11.1810562206,11.3052001426,0.124143921942,124.143921942,2022-09-23 17:00:00+03:00,10.939254041,ATR_TRAILING_STOP,12,1.94775689284,0.0161103336249,1.93164655922,0.212668885471,3.72170549574,2022-09-23 10:00:00+03:00,1,8197.02806451
T2-CNY-M30-000010,T2_Trend_Pullback_Continuation_v1.0,CNY,SHORT,2022-09-29 11:00:00+03:00,2022-09-29 11:30:00+03:00,2022-09-29 11:30:00+03:00,10.8114345274,10.9351900124,0.123755485012,123.755485012,2022-09-29 16:00:00+03:00,10.86378408,ATR_TRAILING_STOP,9,-0.423007938927,0.0161608998568,-0.439168838784,0.213336398907,0.853345595628,2022-09-29 09:30:00+03:00,1,8381.59103871
