trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-GD-H1-000001,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-02-20 11:00:00+03:00,2020-02-20 14:00:00+03:00,2020-02-20 14:00:00+03:00,1990.59455163,1981.75992529,8.83462634094,8834.62634094,2020-02-26 00:00:00+03:00,2023.92905179,ATR_TRAILING_STOP,38,3.7731646902,0.000226381956952,3.77293830824,0.0418727643649,6.50423606468,2020-02-20 00:00:00+03:00,3,113.190978476
T2-GD-H1-000002,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-02-26 11:00:00+03:00,2020-02-26 12:00:00+03:00,2020-02-26 12:00:00+03:00,2040.4118222,2027.42925457,12.9825676263,12982.5676263,2020-02-26 17:00:00+03:00,2027.42925457,INITIAL_STOP,5,-1,0.000154052731137,-1.00015405273,0.949812696725,0.332434443854,2020-02-25 23:00:00+03:00,1,79.9325228225
T2-GD-H1-000003,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-02-26 19:00:00+03:00,2020-02-26 22:00:00+03:00,2020-02-26 22:00:00+03:00,2033.38314789,2014.51382383,18.8693240593,18869.3240593,2020-02-27 20:00:00+03:00,2024.90290634,ATR_TRAILING_STOP,12,-0.449419466513,0.000105992138018,-0.449525458651,0.32021251472,0.95410259488,2020-02-26 13:00:00+03:00,3,54.4455374963
T2-GD-H1-000004,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-03-06 19:00:00+03:00,2020-03-06 22:00:00+03:00,2020-03-06 22:00:00+03:00,2063.47080635,2028.51509697,34.9557093824,34955.7093824,2020-03-10 11:00:00+03:00,2036.93831101,ATR_TRAILING_STOP,3,-0.759031809398,5.72152599772e-05,-0.759089024658,0.236349804259,0.691411367682,2020-03-06 18:00:00+03:00,3,29.2579468895
T2-GD-H1-000005,T2_Trend_Pullback_Continuation_v1.0,GD,SHORT,2020-03-17 11:00:00+03:00,2020-03-17 13:00:00+03:00,2020-03-17 13:00:00+03:00,1813.89121319,1869.59634563,55.7051324427,55705.1324427,2020-03-17 18:00:00+03:00,1869.59634563,INITIAL_STOP,5,-1,3.59033344379e-05,-1.00003590333,0.732708697722,0.110681072163,2020-03-16 21:00:00+03:00,2,18.220382854
T2-GD-H1-000006,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-04-07 22:00:00+03:00,2020-04-08 11:00:00+03:00,2020-04-08 11:00:00+03:00,2017.63554539,1993.84559677,23.7899486201,23789.9486201,2020-04-14 23:00:00+03:00,2096.03400432,ATR_TRAILING_STOP,68,3.29544465124,8.40691180943e-05,3.29536058212,0.692020703047,4.93506734947,2020-04-07 19:00:00+03:00,3,42.2371146437
T2-GD-H1-000007,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-04-15 15:00:00+03:00,2020-04-15 17:00:00+03:00,2020-04-15 17:00:00+03:00,2094.42346162,2074.91310289,19.5103587273,19510.3587273,2020-04-15 19:00:00+03:00,2081.56539114,EMA50_TREND_LOSS,2,-0.659038137617,0.000102509647719,-0.659140647265,0.542012673928,0.055433114379,2020-04-14 21:00:00+03:00,2,53.1989802945
T2-GD-H1-000008,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-06-01 15:00:00+03:00,2020-06-01 18:00:00+03:00,2020-06-01 18:00:00+03:00,2089.13603077,2073.82423083,15.3117999418,15311.7999418,2020-06-02 19:00:00+03:00,2079.29505949,ATR_TRAILING_STOP,15,-0.642705058948,0.000130618216513,-0.642835677165,0.439494864939,0.588609194115,2020-06-01 14:00:00+03:00,3,67.339552961
T2-GD-H1-000009,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-06-23 11:00:00+03:00,2020-06-23 12:00:00+03:00,2020-06-23 12:00:00+03:00,2114.17500907,2102.28801811,11.8869909586,11886.9909586,2020-06-25 14:00:00+03:00,2114.0714302,ATR_TRAILING_STOP,16,-0.00871363286619,0.000168251158511,-0.00888188402471,0.22187900994,1.55315306958,2020-06-23 00:00:00+03:00,1,86.1834213396
T2-GD-H1-000010,T2_Trend_Pullback_Continuation_v1.0,GD,LONG,2020-07-09 14:00:00+03:00,2020-07-09 16:00:00+03:00,2020-07-09 16:00:00+03:00,2178.19369095,2169.07111568,9.1225752641,9122.5752641,2020-07-09 19:00:00+03:00,2169.07111568,INITIAL_STOP,3,-1,0.000219236338654,-1.00021923634,0.972477888616,0.44681416504,2020-07-09 13:00:00+03:00,2,112.289625364
