trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-NG-M30-000001,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2020-02-28 17:00:00+03:00,2020-02-28 18:30:00+03:00,2020-02-28 18:30:00+03:00,19.8692096104,20.2338079535,0.364598343045,36.4598343045,2020-02-28 21:00:00+03:00,20.2338079535,INITIAL_STOP,5,-1,0.0548548845093,-1.05485488451,0.480848469913,0.577018163896,2020-02-28 16:30:00+03:00,3,2742.74422546
T2-NG-M30-000002,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2020-03-18 22:30:00+03:00,2020-03-18 23:00:00+03:00,2020-03-18 23:00:00+03:00,18.9926268335,19.1918864004,0.199259566943,19.9259566943,2020-03-19 10:30:00+03:00,19.0978167667,ATR_TRAILING_STOP,3,-0.527904054222,0.100371592225,-0.628275646447,0.938496096395,8.73974489768,2020-03-18 22:00:00+03:00,1,4965.64087906
T2-NG-M30-000003,T2_Trend_Pullback_Continuation_v1.0,NG,LONG,2020-03-31 15:30:00+03:00,2020-03-31 16:00:00+03:00,2020-03-31 16:00:00+03:00,20.2170595754,19.824307158,0.392752417372,39.2752417372,2020-03-31 17:00:00+03:00,19.8600969745,ATR_TRAILING_STOP,2,-0.908874357105,0.0509226655658,-0.95979702267,0.239978219926,0.329970052398,2020-03-31 14:30:00+03:00,1,2503.44727407
T2-NG-M30-000004,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2020-04-02 18:00:00+03:00,2020-04-02 19:30:00+03:00,2020-04-02 19:30:00+03:00,18.3909265718,19.0545090897,0.663582517883,66.3582517883,2020-04-03 13:00:00+03:00,18.7910962705,ATR_TRAILING_STOP,15,-0.603044365874,0.0301394317376,-0.633183797612,0.479368547471,0.159789515824,2020-04-02 17:30:00+03:00,3,1467.48577977
T2-NG-M30-000005,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2020-04-15 19:30:00+03:00,2020-04-15 20:00:00+03:00,2020-04-15 20:00:00+03:00,19.1213797732,19.4238697141,0.302489940861,30.2489940861,2020-04-16 20:00:00+03:00,18.9066614272,ATR_TRAILING_STOP,28,0.709836318541,0.0661179011213,0.643718417419,0.116845240032,2.41480162733,2020-04-15 19:00:00+03:00,1,3198.88977255
T2-NG-M30-000006,T2_Trend_Pullback_Continuation_v1.0,NG,LONG,2020-04-21 12:30:00+03:00,2020-04-21 13:00:00+03:00,2020-04-21 13:00:00+03:00,22.3966376765,21.7727576074,0.623880069039,62.3880069039,2020-04-21 20:30:00+03:00,21.8209231996,ATR_TRAILING_STOP,14,-0.922796712708,0.0320574433974,-0.954854156105,0.679832772378,0.774253990764,2020-04-21 12:00:00+03:00,1,1560.97437906
T2-NG-M30-000007,T2_Trend_Pullback_Continuation_v1.0,NG,LONG,2020-04-22 20:30:00+03:00,2020-04-22 21:30:00+03:00,2020-04-22 21:30:00+03:00,22.8561163032,21.9336987183,0.922417584892,92.2417584892,2020-04-23 16:30:00+03:00,22.3607370339,ATR_TRAILING_STOP,17,-0.537044476753,0.0216821538613,-0.558726630614,0.536441568944,0.166041438006,2020-04-22 20:00:00+03:00,2,1045.6889253
T2-NG-M30-000008,T2_Trend_Pullback_Continuation_v1.0,NG,SHORT,2020-05-13 16:00:00+03:00,2020-05-13 16:30:00+03:00,2020-05-13 16:30:00+03:00,18.3697487776,18.8548665852,0.485117807587,48.5117807587,2020-05-14 15:00:00+03:00,17.7389481907,ATR_TRAILING_STOP,25,1.30030392009,0.0412270992473,1.25907682084,0.222744545883,2.18289654965,2020-05-13 14:00:00+03:00,1,1977.19517626
T2-NG-M30-000009,T2_Trend_Pullback_Continuation_v1.0,NG,LONG,2020-06-04 20:30:00+03:00,2020-06-04 21:30:00+03:00,2020-06-04 21:30:00+03:00,19.0112907436,18.8835097329,0.127781010666,12.7781010666,2020-06-05 17:00:00+03:00,19.0771279634,ATR_TRAILING_STOP,18,0.51523477121,0.156517779095,0.358716992115,0.732106206788,3.00976996124,2020-06-04 17:30:00+03:00,2,7600.88923822
T2-NG-M30-000010,T2_Trend_Pullback_Continuation_v1.0,NG,LONG,2020-07-07 16:00:00+03:00,2020-07-07 16:30:00+03:00,2020-07-07 16:30:00+03:00,18.1791606165,17.7767766969,0.402383919573,40.2383919573,2020-07-07 21:30:00+03:00,17.9405662173,ATR_TRAILING_STOP,10,-0.592952122445,0.0497037754918,-0.642655897937,0.332895285546,0.713347040457,2020-07-07 15:30:00+03:00,1,2422.39636753
