trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-Si-H1-000001,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2020-01-31 11:00:00+03:00,2020-01-31 13:00:00+03:00,2020-01-31 13:00:00+03:00,111275.075679,110800.484242,474.591437122,474591.437122,2020-02-03 19:00:00+03:00,111785.588714,ATR_TRAILING_STOP,20,1.07568951965,4.21415104353e-06,1.0756853055,0.0221078674411,3.00298532741,2020-01-31 00:00:00+03:00,2,2.10707552177
T2-Si-H1-000002,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2020-02-10 11:00:00+03:00,2020-02-10 13:00:00+03:00,2020-02-10 13:00:00+03:00,112284.07602,111742.077981,541.998039007,541998.039007,2020-02-11 11:00:00+03:00,112140.862352,ATR_TRAILING_STOP,12,-0.264232815721,3.69005025122e-06,-0.264236505771,0.538808273231,1.19376683291,2020-02-08 00:00:00+03:00,2,1.86487178977
T2-Si-H1-000003,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2020-02-26 18:00:00+03:00,2020-02-26 21:00:00+03:00,2020-02-26 21:00:00+03:00,114618.591539,113817.684041,800.907497875,800907.497875,2020-03-02 11:00:00+03:00,116877.649541,ATR_TRAILING_STOP,32,2.82062286578,2.4971672825e-06,2.82062036861,0.235807109998,4.91919832247,2020-02-26 17:00:00+03:00,3,1.25867976906
T2-Si-H1-000004,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2020-03-02 12:00:00+03:00,2020-03-02 14:00:00+03:00,2020-03-02 14:00:00+03:00,117093.003119,115761.478569,1331.52455024,1331524.55024,2020-03-02 22:00:00+03:00,116255.308159,ATR_TRAILING_STOP,8,-0.629124682799,1.50203764523e-06,-0.629126184837,0.467537359088,0.675039894863,2020-02-28 23:00:00+03:00,2,0.778446289365
T2-Si-H1-000005,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2020-03-13 16:00:00+03:00,2020-03-13 19:00:00+03:00,2020-03-13 19:00:00+03:00,128781.319022,125920.209778,2861.10924407,2861109.24407,2020-03-13 23:00:00+03:00,126369.860669,EMA50_TREND_LOSS,4,-0.84284036262,6.99029582372e-07,-0.84284106165,0.422336976483,0.059286087871,2020-03-13 00:00:00+03:00,3,0.359999998799
T2-Si-H1-000006,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2020-03-20 12:00:00+03:00,2020-03-20 14:00:00+03:00,2020-03-20 14:00:00+03:00,140662.098965,137987.578725,2674.52024003,2674520.24003,2020-03-24 00:00:00+03:00,141728.291201,ATR_TRAILING_STOP,24,0.398648034225,7.47797668557e-07,0.398647286427,0.245422244526,1.70874415291,2020-03-20 11:00:00+03:00,2,0.381869634749
T2-Si-H1-000007,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2020-04-09 22:00:00+03:00,2020-04-10 11:00:00+03:00,2020-04-10 11:00:00+03:00,131046.824814,132938.087212,1891.26239767,1891262.39767,2020-04-15 11:00:00+03:00,130600.183905,ATR_TRAILING_STOP,42,0.236160201594,1.05749472017e-06,0.2361591441,0.307052849917,0.948141982015,2020-04-09 21:00:00+03:00,3,0.542172003847
T2-Si-H1-000008,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2020-04-17 14:00:00+03:00,2020-04-17 15:00:00+03:00,2020-04-17 15:00:00+03:00,131317.826318,132246.12028,928.293961988,928293.961988,2020-04-20 11:00:00+03:00,132246.12028,INITIAL_STOP,10,-1,2.15448993734e-06,-1.00000215449,0.733628881165,0.282456597658,2020-04-17 11:00:00+03:00,1,1.10720430937
T2-Si-H1-000009,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2020-04-28 13:00:00+03:00,2020-04-28 14:00:00+03:00,2020-04-28 14:00:00+03:00,130935.960562,132173.638595,1237.67803321,1237678.03321,2020-04-30 14:00:00+03:00,129836.17589,ATR_TRAILING_STOP,28,0.888587049625,1.61592914016e-06,0.888585433696,0.810434934517,1.85120400832,2020-04-27 22:00:00+03:00,1,0.822130566169
T2-Si-H1-000010,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2020-06-03 14:00:00+03:00,2020-06-03 16:00:00+03:00,2020-06-03 16:00:00+03:00,121185.185659,121634.62387,449.438211775,449438.211775,2020-06-04 11:00:00+03:00,121634.62387,INITIAL_STOP,9,-1,4.44999990566e-06,-1.00000445,0.246672954905,1.18246400605,2020-06-03 13:00:00+03:00,2,2.28412841807
