trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-Si-M30-000001,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2020-01-17 17:00:00+03:00,2020-01-17 18:00:00+03:00,2020-01-17 18:00:00+03:00,107535.150947,107700.019813,164.868865311,164868.865311,2020-01-17 19:30:00+03:00,107700.019813,INITIAL_STOP,3,-1,1.21308531858e-05,-1.00001213085,0.885660201665,0.453373674662,2020-01-17 16:30:00+03:00,2,6.06542659292
T2-Si-M30-000002,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2020-02-03 14:30:00+03:00,2020-02-03 16:00:00+03:00,2020-02-03 16:00:00+03:00,111540.210399,111103.430282,436.780116912,436780.116912,2020-02-03 18:00:00+03:00,111142.138084,EMA50_TREND_LOSS,4,-0.911379203981,4.57896301265e-06,-0.911383782944,0.712388111409,0.123374477395,2020-02-03 13:00:00+03:00,3,2.26658641353
T2-Si-M30-000003,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2020-02-27 21:00:00+03:00,2020-02-27 22:00:00+03:00,2020-02-27 22:00:00+03:00,114949.030531,114491.663935,457.366596156,457366.596156,2020-02-28 15:00:00+03:00,116576.216792,ATR_TRAILING_STOP,14,3.55772868925,4.37285979521e-06,3.55772431639,0.543498171376,6.35094716343,2020-02-27 20:00:00+03:00,2,2.14483783597
T2-Si-M30-000004,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2020-03-12 22:30:00+03:00,2020-03-12 23:30:00+03:00,2020-03-12 23:30:00+03:00,129404.791988,128368.536441,1036.25554745,1036255.54745,2020-03-13 10:30:00+03:00,128368.536441,INITIAL_STOP,2,-1,1.930025856e-06,-1.00000193003,0.00335497755905,0.988040891139,2020-03-12 19:30:00+03:00,2,0.980335059755
T2-Si-M30-000005,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2020-03-20 14:00:00+03:00,2020-03-20 14:30:00+03:00,2020-03-20 14:30:00+03:00,140841.670826,137984.963659,2856.70716655,2856707.16655,2020-03-23 15:30:00+03:00,141858.210274,ATR_TRAILING_STOP,30,0.355843069966,7.00106760474e-07,0.355842369859,0.66873931396,1.14675955483,2020-03-20 13:30:00+03:00,1,0.352055282305
T2-Si-M30-000006,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2020-03-25 19:00:00+03:00,2020-03-25 19:30:00+03:00,2020-03-25 19:30:00+03:00,139579.135452,138806.952305,772.183147578,772183.147578,2020-03-25 20:00:00+03:00,138806.952305,INITIAL_STOP,1,-1,2.59005911522e-06,-1.00000259006,0,0,2020-03-25 18:00:00+03:00,1,1.30707025261
T2-Si-M30-000007,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2020-04-03 14:30:00+03:00,2020-04-03 15:00:00+03:00,2020-04-03 15:00:00+03:00,135533.085023,136848.513839,1315.42881613,1315428.81613,2020-04-07 15:00:00+03:00,133855.197035,ATR_TRAILING_STOP,56,1.27554449715,1.52041674583e-06,1.27554297673,0.777921048014,2.12667153399,2020-04-03 14:00:00+03:00,1,0.75960371793
T2-Si-M30-000008,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2020-04-07 15:30:00+03:00,2020-04-07 16:00:00+03:00,2020-04-07 16:00:00+03:00,133455.053081,134103.907831,648.854750479,648854.750479,2020-04-08 10:30:00+03:00,133720.558161,ATR_TRAILING_STOP,17,-0.409190315312,3.0823539452e-06,-0.409193397666,0.468281517785,1.1895427061,2020-04-07 14:30:00+03:00,1,1.55959388909
T2-Si-M30-000009,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2020-04-10 10:30:00+03:00,2020-04-10 11:00:00+03:00,2020-04-10 11:00:00+03:00,130041.143461,131468.45385,1427.310389,1427310.389,2020-04-10 19:30:00+03:00,130579.419109,ATR_TRAILING_STOP,17,-0.377125853247,1.40123691063e-06,-0.377127254484,0.403739062826,0.664334276105,2020-04-09 20:30:00+03:00,1,0.70608963497
T2-Si-M30-000010,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2020-04-14 20:30:00+03:00,2020-04-14 22:00:00+03:00,2020-04-14 22:00:00+03:00,129028.32117,129516.855189,488.534019119,488534.019119,2020-04-15 10:30:00+03:00,129516.855189,INITIAL_STOP,5,-1,4.09388071604e-06,-1.00000409388,0.321701403642,0.68987078781,2020-04-14 20:00:00+03:00,3,2.0551452091
