trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R
T3-BR-H1-000001,T3_MTF_Trend_v1.0,BR,SHORT,2020-01-15 19:00:00+03:00,57.6223585128,58.2527913333,0.630432820541,2020-01-16 12:00:00+03:00,58.2527913333,ATR_TRAILING_STOP,7,-1000,-1.03172423666,0.630432820541,0.0452010970448,1,0.0716985150076,-0.630432820541,-1.03172423666,1586.21183323,31.7242366646,-1031.72423666,0.01,630.432820541,0.0317242366646,T3_MTF_Trend_v1.0,0.630432820541,-1.06344847333
T3-BR-H1-000002,T3_MTF_Trend_v1.0,BR,SHORT,2020-01-22 18:00:00+03:00,57.3059508334,57.8542608496,0.54831001621,2020-01-24 11:00:00+03:00,56.3333328931,ATR_TRAILING_STOP,21,1755.54554339,1.73737103502,0.0813619746807,1.93460695352,0.148386810883,3.52830861433,0.972617940376,1.73737103502,1804.96932096,36.0993864192,1719.44615697,0.01,548.31001621,0.0364757152135,T3_MTF_Trend_v1.0,0.54831001621,1.70089531981
T3-BR-H1-000003,T3_MTF_Trend_v1.0,BR,SHORT,2020-01-24 18:00:00+03:00,55.2719014664,55.9833627341,0.711461267713,2020-01-28 19:00:00+03:00,54.0573253887,ATR_TRAILING_STOP,29,1718.89748488,1.67904583418,0.108482632908,2.39565814338,0.152478620876,3.36723621101,1.21457607773,1.67904583418,1415.22422217,28.3044844434,1690.59300044,0.01,711.461267713,0.0281111578488,T3_MTF_Trend_v1.0,0.711461267713,1.65093467633
T3-BR-H1-000004,T3_MTF_Trend_v1.0,BR,SHORT,2020-01-30 11:00:00+03:00,53.1112890277,53.9353010883,0.824012060642,2020-01-31 11:00:00+03:00,53.4347234,ATR_TRAILING_STOP,14,-401.84686134,-0.416783186488,0.334488118132,0.931142599124,0.405926240777,1.13001088649,-0.323434372339,-0.416783186488,1242.43709298,24.8487418597,-426.695603199,0.01,824.012060642,0.0242714894056,T3_MTF_Trend_v1.0,0.824012060642,-0.441054675894
T3-BR-H1-000005,T3_MTF_Trend_v1.0,BR,SHORT,2020-02-03 20:00:00+03:00,50.9090018981,51.6389383148,0.729936416639,2020-02-03 22:00:00+03:00,51.6389383148,ATR_TRAILING_STOP,2,-1019.51619318,-1.0273996468,0.729936416639,0.0465943638094,1,0.0638334555548,-0.729936416639,-1.0273996468,1396.71917983,27.9343835966,-1047.45057677,0.01,729.936416639,0.0273996467967,T3_MTF_Trend_v1.0,0.729936416639,-1.05479929359
T3-BR-H1-000006,T3_MTF_Trend_v1.0,BR,SHORT,2020-02-04 00:00:00+03:00,50.4803337511,51.2928129669,0.812479215871,2020-02-04 12:00:00+03:00,51.2928129669,ATR_TRAILING_STOP,2,-1009.04168741,-1.0246160143,0.812479215871,0,1,0,-0.812479215871,-1.0246160143,1241.92923055,24.8385846111,-1033.88027202,0.01,812.479215871,0.0246160143045,T3_MTF_Trend_v1.0,0.812479215871,-1.04923202861
T3-BR-H1-000007,T3_MTF_Trend_v1.0,BR,SHORT,2020-02-04 23:00:00+03:00,50.4616960055,51.4404666399,0.978770634368,2020-02-05 12:00:00+03:00,51.4404666399,ATR_TRAILING_STOP,3,-998.702884688,-1.02043379654,0.978770634368,0.0559132365712,1,0.0571259849938,-0.978770634368,-1.02043379654,1020.36457738,20.4072915476,-1019.11017624,0.01,978.770634368,0.020433796538,T3_MTF_Trend_v1.0,0.978770634368,-1.04086759308
T3-BR-H1-000008,T3_MTF_Trend_v1.0,BR,LONG,2020-02-12 18:00:00+03:00,52.1111364844,51.3370846722,0.774051812242,2020-02-13 14:00:00+03:00,51.3370846722,ATR_TRAILING_STOP,10,-988.511782925,-1.02583806366,0.774051812242,0.260928437332,1,0.337094278711,-0.774051812242,-1.02583806366,1277.06151874,25.5412303748,-1014.0530133,0.01,774.051812242,0.0258380636589,T3_MTF_Trend_v1.0,0.774051812242,-1.05167612732
T3-BR-H1-000009,T3_MTF_Trend_v1.0,BR,LONG,2020-02-14 14:00:00+03:00,53.2666767069,52.5310254024,0.735651304442,2020-02-18 11:00:00+03:00,53.0737005104,ATR_TRAILING_STOP,25,-256.646541577,-0.289506992207,0.419349274284,0.493900256379,0.570038103314,0.67137821057,-0.192976196462,-0.289506992207,1329.93885403,26.5987770805,-283.245318657,0.01,735.651304442,0.0271867933615,T3_MTF_Trend_v1.0,0.735651304442,-0.316693785568
T3-BR-H1-000010,T3_MTF_Trend_v1.0,BR,LONG,2020-02-18 23:00:00+03:00,53.769895836,53.1456192469,0.624276589136,2020-02-21 11:00:00+03:00,54.8592570101,ATR_TRAILING_STOP,30,1702.31290199,1.71296055736,0.0652321093331,2.0781086259,0.104492320341,3.32882677656,1.08936117408,1.71296055736,1562.67080423,31.2534160846,1671.0594859,0.01,624.276589136,0.0320370815566,T3_MTF_Trend_v1.0,0.624276589136,1.68092347581
