trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R
T3-CNY-H1-000001,T3_MTF_Trend_v1.0,CNY,SHORT,2022-05-12 12:00:00+03:00,14.482906827,15.1535713063,0.670664479333,2022-05-18 11:00:00+03:00,14.1932486905,ATR_TRAILING_STOP,35,431.897238434,0.428915121353,0.173794881924,0.854491502793,0.259138343061,1.27409685338,0.28965813654,0.428915121353,1491.05854092,2.98211708184,428.915121353,0.001,670.664479333,0.00298211708184,T3_MTF_Trend_v1.0,0.670664479333,0.425933004271
T3-CNY-H1-000002,T3_MTF_Trend_v1.0,CNY,SHORT,2022-05-20 11:00:00+03:00,13.4401375355,13.8052730182,0.365135482722,2022-05-20 13:00:00+03:00,13.3207816404,ATR_TRAILING_STOP,2,328.283161234,0.321403699771,0.043448720481,0.811042782312,0.118993421721,2.2212105388,0.119355895065,0.321403699771,2750.45619704,5.50091239408,322.78224884,0.001,365.135482722,0.00547741891609,T3_MTF_Trend_v1.0,0.365135482722,0.315926280855
T3-CNY-H1-000003,T3_MTF_Trend_v1.0,CNY,LONG,2022-05-26 13:00:00+03:00,14.5118726407,13.9035498419,0.608322798803,2022-05-30 12:00:00+03:00,14.1514371303,ATR_TRAILING_STOP,17,-596.960849267,-0.595794717973,0.57931627308,0.550350459426,0.952317214183,0.904701353474,-0.360435510349,-0.595794717973,1656.22096638,3.31244193275,-600.2732912,0.001,608.322798803,0.00328772816658,T3_MTF_Trend_v1.0,0.608322798803,-0.59908244614
T3-CNY-H1-000004,T3_MTF_Trend_v1.0,CNY,SHORT,2022-06-14 15:00:00+03:00,12.2090904552,12.6939722849,0.484881829735,2022-06-23 11:00:00+03:00,11.4636647183,ATR_TRAILING_STOP,59,1539.66274892,1.53321013745,0.391038484329,1.06160819889,0.80646141049,2.18941633566,0.745425736816,1.53321013745,2065.48107059,4.13096214118,1535.53178678,0.001,484.881829735,0.00412471632747,T3_MTF_Trend_v1.0,0.484881829735,1.52908542113
T3-CNY-H1-000005,T3_MTF_Trend_v1.0,CNY,SHORT,2022-06-28 12:00:00+03:00,11.188117064,11.4331656294,0.245048565354,2022-06-29 14:00:00+03:00,10.9563425747,ATR_TRAILING_STOP,11,961.78658411,0.937669187897,0,0.650156923817,0,2.65317580161,0.231774489271,0.937669187897,4149.66542322,8.29933084644,953.487253264,0.001,245.048565354,0.00816164745594,T3_MTF_Trend_v1.0,0.245048565354,0.929507540441
T3-CNY-H1-000006,T3_MTF_Trend_v1.0,CNY,LONG,2022-07-01 13:00:00+03:00,12.0279030906,11.4150844234,0.612818667248,2022-07-07 17:00:00+03:00,12.9872507536,ATR_TRAILING_STOP,40,1606.80270524,1.5622038201,0.148994295041,1.65248218137,0.243129498177,2.6965271616,0.959347663002,1.5622038201,1674.89093601,3.34978187202,1603.45292337,0.001,612.818667248,0.00326360815505,T3_MTF_Trend_v1.0,0.612818667248,1.55894021194
T3-CNY-H1-000007,T3_MTF_Trend_v1.0,CNY,SHORT,2022-07-15 14:00:00+03:00,11.7570043724,11.984192706,0.227188333693,2022-07-15 18:00:00+03:00,11.984192706,ATR_TRAILING_STOP,4,-1042.43896042,-1.00880326893,0.227188333693,0.0270898718257,1,0.119239713525,-0.227188333693,-1.00880326893,4588.43525757,9.17687051514,-1051.61583094,0.001,227.188333693,0.00880326893328,T3_MTF_Trend_v1.0,0.227188333693,-1.01760653787
T3-CNY-H1-000008,T3_MTF_Trend_v1.0,CNY,SHORT,2022-07-20 11:00:00+03:00,11.350656295,11.5428847988,0.192228503829,2022-07-21 11:00:00+03:00,11.4582292352,ATR_TRAILING_STOP,14,-577.474035826,-0.570014009581,0.107572940223,0.0948145513899,0.559609725304,0.493238773135,-0.107572940223,-0.570014009581,5368.20909263,10.7364181853,-588.210454012,0.001,192.228503829,0.0104042842771,T3_MTF_Trend_v1.0,0.192228503829,-0.580418293858
T3-CNY-H1-000009,T3_MTF_Trend_v1.0,CNY,LONG,2022-07-26 19:00:00+03:00,12.6916049503,12.4807858664,0.210819083973,2022-07-27 11:00:00+03:00,12.5641858886,ATR_TRAILING_STOP,6,-620.139033441,-0.6138868421,0.127419061715,0.203174038693,0.604400034918,0.963736464762,-0.127419061715,-0.6138868421,4866.92512954,9.73385025907,-629.8728837,0.001,210.819083973,0.00948680718229,T3_MTF_Trend_v1.0,0.210819083973,-0.623373649282
T3-CNY-H1-000010,T3_MTF_Trend_v1.0,CNY,LONG,2022-08-01 11:00:00+03:00,13.0166834122,12.8064617386,0.210221673671,2022-08-01 14:00:00+03:00,12.8064617386,ATR_TRAILING_STOP,3,-1019.74196874,-1.0095137669,0.210221673671,0.0135449359128,1,0.0644316814548,-0.210221673671,-1.0095137669,4850.79369282,9.70158738565,-1029.44355612,0.001,210.221673671,0.00951376689699,T3_MTF_Trend_v1.0,0.210221673671,-1.01902753379
