trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R
T3-CNY-M30-000001,T3_MTF_Trend_v1.0,CNY,LONG,2022-07-06 10:30:00+03:00,13.5790526977,13.1977879922,0.381264705503,2022-07-06 11:30:00+03:00,13.1977879922,ATR_TRAILING_STOP,2,-1000,-1.0052456993,0.381264705503,0.0272671740918,1,0.0715176980669,-0.381264705503,-1.0052456993,2622.84965161,5.24569930321,-1005.2456993,0.001,381.264705503,0.00524569930321,T3_MTF_Trend_v1.0,0.381264705503,-1.01049139861
T3-CNY-M30-000002,T3_MTF_Trend_v1.0,CNY,LONG,2022-07-26 21:30:00+03:00,12.9110069324,12.736329993,0.174676939466,2022-07-27 10:30:00+03:00,12.7424603317,ATR_TRAILING_STOP,6,-955.205041967,-0.976354413296,0.168546600748,0.0681679352294,0.964904705017,0.390251486189,-0.168546600748,-0.976354413296,5667.30528961,11.3346105792,-966.539652547,0.001,174.676939466,0.0114497082793,T3_MTF_Trend_v1.0,0.174676939466,-0.987804121575
T3-CNY-M30-000003,T3_MTF_Trend_v1.0,CNY,LONG,2022-07-28 14:00:00+03:00,12.6792359527,12.5298036038,0.149432348821,2022-08-01 10:30:00+03:00,12.8533279795,ATR_TRAILING_STOP,49,1142.05061397,1.1516383712,0.0545343481835,0.354473263193,0.364943391534,2.37213204497,0.174092026801,1.1516383712,6560.0397385,13.120079477,1128.93053449,0.001,149.432348821,0.0133839828911,T3_MTF_Trend_v1.0,0.149432348821,1.13825438831
T3-CNY-M30-000004,T3_MTF_Trend_v1.0,CNY,SHORT,2022-08-18 13:30:00+03:00,12.0248237745,12.1304722284,0.105648453981,2022-08-18 17:30:00+03:00,12.0985093809,ATR_TRAILING_STOP,8,-691.581760097,-0.716391045844,0.0736856064395,0.0954351093211,0.697460338156,0.90332707886,-0.0736856064395,-0.716391045844,9385.57465309,18.7711493062,-710.352909403,0.001,105.648453981,0.0189307076879,T3_MTF_Trend_v1.0,0.105648453981,-0.735321753532
T3-CNY-M30-000005,T3_MTF_Trend_v1.0,CNY,SHORT,2022-08-19 13:00:00+03:00,11.874854317,11.9838285934,0.108974276481,2022-08-19 23:30:00+03:00,11.8354632726,ATR_TRAILING_STOP,21,355.856637644,0.343118078599,0.0136335870459,0.163603044551,0.125108305246,1.50129966295,0.0393910443628,0.343118078599,9033.94777673,18.0678955535,337.78874209,0.001,108.974276481,0.0183529550697,T3_MTF_Trend_v1.0,0.108974276481,0.324765123529
T3-CNY-M30-000006,T3_MTF_Trend_v1.0,CNY,SHORT,2022-08-30 20:30:00+03:00,11.7930527947,11.8790342499,0.0859814552226,2022-08-31 10:30:00+03:00,11.8706628594,ATR_TRAILING_STOP,8,-891.666430792,-0.925898085204,0.0776100647537,0.0409007611376,0.902637255356,0.475692822734,-0.0776100647537,-0.925898085204,11489.0566529,22.9781133059,-914.644544098,0.001,85.9814552226,0.0232608298478,T3_MTF_Trend_v1.0,0.0859814552226,-0.949158915052
T3-CNY-M30-000007,T3_MTF_Trend_v1.0,CNY,SHORT,2022-09-15 13:30:00+03:00,11.5506779139,11.6336706005,0.0829926865916,2022-09-15 14:00:00+03:00,11.6336706005,ATR_TRAILING_STOP,1,-978.699364712,-1.02409850894,0.0829926865916,0,1,0,-0.0829926865916,-1.02409850894,11792.5976963,23.5851953927,-1002.2845601,0.001,82.9926865916,0.0240985089426,T3_MTF_Trend_v1.0,0.0829926865916,-1.04819701789
T3-CNY-M30-000008,T3_MTF_Trend_v1.0,CNY,SHORT,2022-09-22 10:30:00+03:00,11.4186701663,11.5135863519,0.0949161855968,2022-09-23 10:30:00+03:00,11.2787503777,ATR_TRAILING_STOP,30,1427.96524003,1.45306922844,0.0792046485522,0.277216269933,0.834469358985,2.92064275645,0.139919788572,1.45306922844,10205.5988978,20.4111977956,1407.55404224,0.001,94.9161855968,0.0210712218093,T3_MTF_Trend_v1.0,0.0949161855968,1.43199800664
T3-CNY-M30-000009,T3_MTF_Trend_v1.0,CNY,SHORT,2022-09-23 12:00:00+03:00,11.0886507973,11.2065486826,0.117897885267,2022-09-23 17:00:00+03:00,10.939254041,ATR_TRAILING_STOP,10,1245.31470318,1.25020695683,0.0396023242761,0.369621693244,0.335903601547,3.13510028111,0.149396756357,1.25020695683,8335.62075609,16.6712415122,1228.64346167,0.001,117.897885267,0.0169638326885,T3_MTF_Trend_v1.0,0.117897885267,1.23324312414
T3-CNY-M30-000010,T3_MTF_Trend_v1.0,CNY,SHORT,2022-10-03 11:00:00+03:00,11.0226469235,11.2625667796,0.239919856032,2022-10-03 17:30:00+03:00,11.2122228161,ATR_TRAILING_STOP,13,-786.243013857,-0.798499531298,0.18957589259,0.132007747587,0.790163414259,0.550216017009,-0.18957589259,-0.798499531298,4147.37867306,8.29475734613,-794.537771203,0.001,239.919856032,0.00833611703958,T3_MTF_Trend_v1.0,0.239919856032,-0.806835648338
