trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R
T3-NG-H1-000001,T3_MTF_Trend_v1.0,NG,LONG,2020-02-17 17:00:00+03:00,20.8770421639,20.60586029,0.271181873953,2020-02-19 16:00:00+03:00,21.1629940473,ATR_TRAILING_STOP,25,1054.46532703,0.980714085074,0.0433358425821,0.574199914213,0.159803610582,2.11739784022,0.285951883402,0.980714085074,3687.56209781,73.7512419561,980.714085074,0.01,271.181873953,0.0737512419561,T3_MTF_Trend_v1.0,0.271181873953,0.906962843118
T3-NG-H1-000002,T3_MTF_Trend_v1.0,NG,LONG,2020-02-20 20:00:00+03:00,21.852098622,21.5966051087,0.255493513354,2020-02-20 22:00:00+03:00,21.180393062,ATR_TRAILING_STOP,1,-2654.83480248,-2.70733119969,0.671705560023,0,2.62905132582,0,-0.671705560023,-2.70733119969,3952.37878094,79.0475756189,-2733.88237809,0.01,255.493513354,0.0782798738701,T3_MTF_Trend_v1.0,0.255493513354,-2.78561107356
T3-NG-H1-000003,T3_MTF_Trend_v1.0,NG,SHORT,2020-02-21 13:00:00+03:00,20.2053366039,20.6035508763,0.398214272395,2020-02-21 19:00:00+03:00,20.660362951,ATR_TRAILING_STOP,6,-1122.63422097,-1.19289131516,0.455026347112,0,1.14266709823,0,-0.455026347112,-1.19289131516,2467.185094,49.3437018799,-1171.97792285,0.01,398.214272395,0.0502242169265,T3_MTF_Trend_v1.0,0.398214272395,-1.24311553208
T3-NG-H1-000004,T3_MTF_Trend_v1.0,NG,SHORT,2020-02-27 18:00:00+03:00,19.2449328812,19.600487944,0.355555062804,2020-02-28 12:00:00+03:00,18.8490371191,ATR_TRAILING_STOP,8,1080.88808859,1.05720829613,0.131965254043,1.99047591514,0.371152791362,5.59822126971,0.395895762128,1.05720829613,2730.23404641,54.6046809282,1026.28340766,0.01,355.555062804,0.056250077955,T3_MTF_Trend_v1.0,0.355555062804,1.00095821818
T3-NG-H1-000005,T3_MTF_Trend_v1.0,NG,LONG,2020-03-10 17:00:00+03:00,20.7735304072,20.1677510582,0.605779349011,2020-03-11 22:00:00+03:00,20.918997497,ATR_TRAILING_STOP,19,235.572357407,0.207116815695,0.362904448617,1.16569307738,0.599070353272,1.9242865893,0.145467089781,0.207116815695,1619.42029473,32.3884058946,203.183951512,0.01,605.779349011,0.0330153215567,T3_MTF_Trend_v1.0,0.605779349011,0.174101494138
T3-NG-H1-000006,T3_MTF_Trend_v1.0,NG,SHORT,2020-03-12 14:00:00+03:00,19.6738199568,20.6269647436,0.953144786792,2020-03-12 22:00:00+03:00,20.6269647436,ATR_TRAILING_STOP,8,-983.043211433,-1.02098317095,0.953144786792,0.208944985567,1,0.21921641755,-0.953144786792,-1.02098317095,1031.36818777,20.6273637553,-1003.67057519,0.01,953.144786792,0.0209831709486,T3_MTF_Trend_v1.0,0.953144786792,-1.0419663419
T3-NG-H1-000007,T3_MTF_Trend_v1.0,NG,SHORT,2020-03-18 11:00:00+03:00,18.2661905804,18.8116979031,0.545507322697,2020-03-19 00:00:00+03:00,18.0450660979,ATR_TRAILING_STOP,13,394.413697194,0.368692543773,0.208944985567,1.12170465936,0.383028745672,2.05625958203,0.221124482452,0.368692543773,1783.67267532,35.6734535064,358.740243688,0.01,545.507322697,0.0366631192064,T3_MTF_Trend_v1.0,0.545507322697,0.332029424567
T3-NG-H1-000008,T3_MTF_Trend_v1.0,NG,LONG,2020-03-25 11:00:00+03:00,18.8380400146,18.373211732,0.464828282595,2020-03-25 14:00:00+03:00,18.373211732,ATR_TRAILING_STOP,3,-976.593908118,-1.04302664177,0.464828282595,0,1,0,-0.464828282595,-1.04302664177,2100.97781199,42.0195562398,-1018.61346436,0.01,464.828282595,0.0430266417704,T3_MTF_Trend_v1.0,0.464828282595,-1.08605328354
T3-NG-H1-000009,T3_MTF_Trend_v1.0,NG,LONG,2020-03-30 19:00:00+03:00,18.4909214034,18.1470947641,0.343826639372,2020-03-31 16:00:00+03:00,18.757523376,ATR_TRAILING_STOP,11,749.349204475,0.717227649943,0.0887919395123,0.810226448049,0.258246247803,2.3564970112,0.266601972544,0.717227649943,2810.74141096,56.2148282193,693.134376255,0.01,343.826639372,0.0581688493845,T3_MTF_Trend_v1.0,0.343826639372,0.659058800558
T3-NG-H1-000010,T3_MTF_Trend_v1.0,NG,SHORT,2020-04-01 11:00:00+03:00,18.1912486076,18.6153381812,0.424089573673,2020-04-02 19:00:00+03:00,17.5919030159,ATR_TRAILING_STOP,22,1375.5738065,1.36609251364,0.399563727805,1.48726498683,0.942168241357,3.50695956505,0.599345591708,1.36609251364,2295.12626026,45.9025252051,1329.67128129,0.01,424.089573673,0.0471598483943,T3_MTF_Trend_v1.0,0.424089573673,1.31893266525
T3-NG-H1-000011,T3_MTF_Trend_v1.0,NG,LONG,2020-04-06 17:00:00+03:00,18.9792770707,18.349672452,0.629604618734,2020-04-08 16:00:00+03:00,20.3172301107,ATR_TRAILING_STOP,27,2096.66887581,2.09330268674,0.0998909319513,2.20869949537,0.158656606033,3.50807384452,1.33795303998,2.09330268674,1567.07209682,31.3414419365,2065.32743387,0.01,629.604618734,0.0317659677278,T3_MTF_Trend_v1.0,0.629604618734,2.06153671901
T3-NG-H1-000012,T3_MTF_Trend_v1.0,NG,SHORT,2020-04-15 22:00:00+03:00,17.6806949554,18.1949828407,0.514287885307,2020-04-16 21:00:00+03:00,18.0182061971,ATR_TRAILING_STOP,13,-661.052702453,-0.695157813283,0.337511241748,0.355167758049,0.65626908856,0.690601058659,-0.337511241748,-0.695157813283,1958.60943484,39.1721886969,-700.22489115,0.01,514.287885307,0.0388887247228,T3_MTF_Trend_v1.0,0.514287885307,-0.734046538005
T3-NG-H1-000013,T3_MTF_Trend_v1.0,NG,LONG,2020-04-17 15:00:00+03:00,19.1457619573,18.5747485844,0.571013372892,2020-04-20 11:00:00+03:00,19.0545519768,ATR_TRAILING_STOP,10,-159.779348406,-0.194758977371,0.0912099805696,0.887919395123,0.159733527969,1.55498879234,-0.0912099805696,-0.194758977371,1751.77483219,35.0354966438,-194.81484505,0.01,571.013372892,0.0350254494018,T3_MTF_Trend_v1.0,0.571013372892,-0.229784426773
T3-NG-H1-000014,T3_MTF_Trend_v1.0,NG,LONG,2020-04-20 17:00:00+03:00,20.0669783298,19.3485727587,0.718405571117,2020-04-21 13:00:00+03:00,20.5740019896,ATR_TRAILING_STOP,10,704.589949392,0.677922999793,0.23307884122,1.69814584317,0.324439078134,2.36377042641,0.50702365984,0.677922999793,1389.65891575,27.793178315,676.796771077,0.01,718.405571117,0.0278394277607,T3_MTF_Trend_v1.0,0.718405571117,0.650083572033
