trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R
T3-NG-M30-000001,T3_MTF_Trend_v1.0,NG,SHORT,2020-02-06 17:00:00+03:00,21.1870378277,21.4339058554,0.246868027741,2020-02-06 19:00:00+03:00,21.4982728774,ATR_TRAILING_STOP,4,-1260.73454123,-1.34174948749,0.311235049699,0,1.26073454123,0,-0.311235049699,-1.34174948749,4050.74731285,81.0149462571,-1341.74948749,0.01,246.868027741,0.0810149462571,T3_MTF_Trend_v1.0,0.246868027741,-1.42276443375
T3-NG-M30-000002,T3_MTF_Trend_v1.0,NG,SHORT,2020-02-10 13:30:00+03:00,20.6337310726,20.9428145985,0.30908352586,2020-02-11 18:00:00+03:00,20.5118736279,ATR_TRAILING_STOP,32,388.964189487,0.329546663728,0.0922177925034,0.414980066265,0.298358808503,1.34261463826,0.121857444761,0.329546663728,3191.96082153,63.8392164305,325.124973057,0.01,309.08352586,0.0647074280143,T3_MTF_Trend_v1.0,0.30908352586,0.264839235714
T3-NG-M30-000003,T3_MTF_Trend_v1.0,NG,LONG,2020-02-12 22:00:00+03:00,21.2100922758,21.0414203878,0.168671888023,2020-02-13 10:30:00+03:00,21.1389663872,ATR_TRAILING_STOP,5,-417.395015632,-0.540255342045,0.0711258885571,0.172908360944,0.421681937582,1.02511665086,-0.0711258885571,-0.540255342045,5868.39790827,117.367958165,-534.762973797,0.01,168.671888023,0.118573404463,T3_MTF_Trend_v1.0,0.168671888023,-0.658828746508
T3-NG-M30-000004,T3_MTF_Trend_v1.0,NG,LONG,2020-02-17 10:30:00+03:00,21.8901984955,21.647336779,0.24286171655,2020-02-18 16:00:00+03:00,22.4283351316,ATR_TRAILING_STOP,33,2181.43913017,2.13346361669,0.126799464692,0.760796788153,0.522105610112,3.13263366067,0.538136636146,2.13346361669,4053.690055,81.0738010999,2100.36532907,0.01,242.86171655,0.0823513902649,T3_MTF_Trend_v1.0,0.24286171655,2.05111222642
T3-NG-M30-000005,T3_MTF_Trend_v1.0,NG,LONG,2020-02-18 17:30:00+03:00,22.6855769558,22.5111412738,0.174435682026,2020-02-18 18:30:00+03:00,22.4550324746,ATR_TRAILING_STOP,2,-1328.91457001,-1.43631439593,0.230544481259,0,1.32165895521,0,-0.230544481259,-1.43631439593,5764.24368414,115.284873683,-1444.19944369,0.01,174.435682026,0.11465544072,T3_MTF_Trend_v1.0,0.174435682026,-1.55096983665
T3-NG-M30-000006,T3_MTF_Trend_v1.0,NG,LONG,2020-02-18 21:00:00+03:00,22.708631404,22.5126627925,0.195968611423,2020-02-19 15:30:00+03:00,22.5818319393,ATR_TRAILING_STOP,12,-641.247226172,-0.749096825385,0.126799464692,0.115272240629,0.647039665033,0.588217877302,-0.126799464692,-0.749096825385,5057.17613027,101.143522605,-742.390748778,0.01,195.968611423,0.102057160352,T3_MTF_Trend_v1.0,0.195968611423,-0.851153985737
T3-NG-M30-000007,T3_MTF_Trend_v1.0,NG,LONG,2020-02-20 19:30:00+03:00,23.2043020387,22.9810398044,0.223262234309,2020-02-20 21:30:00+03:00,22.535723043,ATR_TRAILING_STOP,2,-2945.55084729,-3.08417139057,0.66857899565,0.0461088962517,2.99459063338,0.206523491958,-0.66857899565,-3.08417139057,4405.68858199,88.1137716398,-3033.66461893,0.01,223.262234309,0.0895807571841,T3_MTF_Trend_v1.0,0.223262234309,-3.17375214775
T3-NG-M30-000008,T3_MTF_Trend_v1.0,NG,SHORT,2020-02-21 10:30:00+03:00,21.9363073918,22.2372953085,0.300987916751,2020-02-21 18:30:00+03:00,21.982416288,ATR_TRAILING_STOP,11,-146.035835837,-0.219639701704,0.0461088962517,0.438034514391,0.153191851518,1.45532258942,-0.0461088962517,-0.219639701704,3167.19435313,63.3438870626,-209.3797229,0.01,300.987916751,0.0664478501857,T3_MTF_Trend_v1.0,0.300987916751,-0.28608755189
T3-NG-M30-000009,T3_MTF_Trend_v1.0,NG,SHORT,2020-02-25 11:00:00+03:00,21.0832928111,21.391556174,0.308263362933,2020-02-25 17:30:00+03:00,21.4175823089,ATR_TRAILING_STOP,10,-1031.50102578,-1.14930783358,0.334289497825,0.0922177925034,1.08442824553,0.299152619455,-0.334289497825,-1.14930783358,3085.65190497,61.7130380994,-1093.21406387,0.01,308.263362933,0.0648795880566,T3_MTF_Trend_v1.0,0.308263362933,-1.21418742164
T3-NG-M30-000010,T3_MTF_Trend_v1.0,NG,SHORT,2020-02-27 19:00:00+03:00,20.278281573,20.5823727073,0.304091134278,2020-02-27 23:00:00+03:00,20.5823727073,ATR_TRAILING_STOP,8,-940.261292427,-1.06576975698,0.304091134278,0.0584388517954,1,0.192175454027,-0.304091134278,-1.06576975698,3092.03783484,61.8407566969,-1002.10204912,0.01,304.091134278,0.065769756976,T3_MTF_Trend_v1.0,0.304091134278,-1.13153951395
