trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R
T3-Si-H1-000001,T3_MTF_Trend_v1.0,Si,LONG,2020-02-25 11:00:00+03:00,113903.372926,113175.704587,727.668339553,2020-02-26 19:00:00+03:00,114102.10635,ATR_TRAILING_STOP,22,273.109894496,0.273107145991,0,1323.76647791,0,1.81918932838,198.733423443,0.273107145991,1.37425245217,0.00274850490435,273.107145991,0.001,727668.339553,2.74850490435e-06,T3_MTF_Trend_v1.0,727.668339553,0.273104397486
T3-Si-H1-000002,T3_MTF_Trend_v1.0,Si,LONG,2020-02-27 12:00:00+03:00,115325.066647,114498.821029,826.245617765,2020-03-02 11:00:00+03:00,116877.649541,ATR_TRAILING_STOP,27,1884.21345277,1.8790791262,293.781728256,3233.34771157,0.355562222587,3.91330089026,1552.58289346,1.8790791262,1.21359926141,0.00242719852281,1884.21102557,0.001,826245.617765,2.42058772476e-06,T3_MTF_Trend_v1.0,826.245617765,1.87907670561
T3-Si-H1-000003,T3_MTF_Trend_v1.0,Si,LONG,2020-03-05 15:00:00+03:00,116603.366905,115625.527644,977.839261595,2020-03-10 12:00:00+03:00,126067.335437,ATR_TRAILING_STOP,25,9887.24509668,9.6784480879,402.201175588,14024.5801227,0.411316247347,14.3424187118,9463.96853166,9.6784480879,1.04472506049,0.00208945012097,9887.24300723,0.001,977839.261595,2.04532593295e-06,T3_MTF_Trend_v1.0,977.839261595,9.67844604257
T3-Si-H1-000004,T3_MTF_Trend_v1.0,Si,LONG,2020-03-11 18:00:00+03:00,126576.207359,124855.201995,1721.00536415,2020-03-12 20:00:00+03:00,129174.167027,ATR_TRAILING_STOP,16,1691.3791034,1.50955814679,627.78357407,5574.8580338,0.364777232627,3.23930311313,2597.95966813,1.50955814679,0.651041324524,0.00130208264905,1691.37780131,0.001,1721005.36415,1.16211142723e-06,T3_MTF_Trend_v1.0,1721.00536415,1.50955698468
T3-Si-H1-000005,T3_MTF_Trend_v1.0,Si,LONG,2020-03-18 11:00:00+03:00,135835.577901,133537.763184,2297.81471707,2020-03-19 11:00:00+03:00,140759.615576,ATR_TRAILING_STOP,14,2437.27244114,2.14292111451,701.229006134,9131.71538661,0.305172127641,3.97408690908,4924.03767445,2.14292111451,0.49497436906,0.000989948738121,2437.27145119,0.001,2297814.71707,8.70392197047e-07,T3_MTF_Trend_v1.0,2297.81471707,2.14292024412
T3-Si-H1-000006,T3_MTF_Trend_v1.0,Si,LONG,2020-03-23 11:00:00+03:00,144572.263527,141773.920643,2798.34288397,2020-03-23 16:00:00+03:00,141773.920643,ATR_TRAILING_STOP,5,-1161.73210431,-1.00000071471,2798.34288397,84.4680013303,1,0.0301850076395,-2798.34288397,-1.00000071471,0.415150020024,0.000830300040049,-1161.73293461,0.001,2798342.88397,7.14708698302e-07,T3_MTF_Trend_v1.0,2798.34288397,-1.00000142942
T3-Si-H1-000007,T3_MTF_Trend_v1.0,Si,LONG,2020-03-25 18:00:00+03:00,141360.719726,139250.890242,2109.82948466,2020-03-25 21:00:00+03:00,139250.890242,ATR_TRAILING_STOP,3,-1150.11477497,-1.00000094794,2109.82948466,52.7925008314,1,0.0250221646893,-2109.82948466,-1.00000094794,0.545122145334,0.00109024429067,-1150.11586521,0.001,2109829.48466,9.47943904729e-07,T3_MTF_Trend_v1.0,2109.82948466,-1.00000189589
T3-Si-H1-000008,T3_MTF_Trend_v1.0,Si,LONG,2020-04-21 19:00:00+03:00,137568.458417,135988.547411,1579.91100513,2020-04-22 11:00:00+03:00,135988.547411,ATR_TRAILING_STOP,6,-1138.61361631,-1.00000126589,1579.91100513,320.274505044,1,0.202716801139,-1579.91100513,-1.00000126589,0.720682122359,0.00144136424472,-1138.61505768,0.001,1579911.00513,1.26589408739e-06,T3_MTF_Trend_v1.0,1579.91100513,-1.00000253179
T3-Si-H1-000009,T3_MTF_Trend_v1.0,Si,SHORT,2020-06-05 16:00:00+03:00,120646.70215,121554.858199,908.156049149,2020-06-09 11:00:00+03:00,120899.077897,ATR_TRAILING_STOP,23,-313.255496341,-0.277901300595,494.489757788,747.893761779,0.544498666557,0.823530011697,-252.375747201,-0.277901300595,1.24122662266,0.00248245324533,-313.257978795,0.001,908156.049149,2.20226468994e-06,T3_MTF_Trend_v1.0,908.156049149,-0.277903502859
T3-Si-H1-000010,T3_MTF_Trend_v1.0,Si,SHORT,2020-06-16 16:00:00+03:00,121934.83917,122816.739845,881.900674525,2020-06-16 18:00:00+03:00,122816.739845,ATR_TRAILING_STOP,2,-1124.09488595,-1.00000226783,881.900674525,40.4742506374,1,0.0458943413999,-881.900674525,-1.00000226783,1.27462753848,0.00254925507695,-1124.09743521,0.001,881900.674525,2.26782908526e-06,T3_MTF_Trend_v1.0,881.900674525,-1.00000453566
