trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R
T3-Si-M30-000001,T3_MTF_Trend_v1.0,Si,LONG,2020-01-29 14:30:00+03:00,109669.792009,109321.668851,348.123158551,2020-01-29 22:30:00+03:00,109373.636622,ATR_TRAILING_STOP,16,-850.720155516,-0.850725900609,296.155387581,191.213775892,0.850720155516,0.549270484296,-296.155387581,-0.850725900609,2.87254661299,0.00574509322599,-850.725900609,0.001,348123.158551,5.74509322599e-06,T3_MTF_Trend_v1.0,348.123158551,-0.850731645702
T3-Si-M30-000002,T3_MTF_Trend_v1.0,Si,LONG,2020-01-30 17:30:00+03:00,110684.963329,110255.354468,429.608860907,2020-01-31 10:30:00+03:00,110479.511445,ATR_TRAILING_STOP,14,-474.161660361,-0.478234742979,213.811767588,354.614638927,0.497689379909,0.825436044727,-205.451883177,-0.478234742979,2.30789639418,0.00461579278836,-474.166276154,0.001,429608.860907,4.65539746033e-06,T3_MTF_Trend_v1.0,429.608860907,-0.478239398376
T3-Si-M30-000003,T3_MTF_Trend_v1.0,Si,LONG,2020-01-31 16:00:00+03:00,111368.118001,110921.750569,446.367431371,2020-02-03 14:30:00+03:00,111338.170556,ATR_TRAILING_STOP,25,-66.2025739406,-0.0670959441053,191.213775892,662.294987407,0.428377525897,1.48374397606,-29.9474442257,-0.0670959441053,2.2106251686,0.0044212503372,-66.206995191,0.001,446367.431371,4.48061363675e-06,T3_MTF_Trend_v1.0,446.367431371,-0.067100424719
T3-Si-M30-000004,T3_MTF_Trend_v1.0,Si,LONG,2020-02-07 17:30:00+03:00,111886.133503,111384.980962,501.152540725,2020-02-10 10:30:00+03:00,111608.015342,ATR_TRAILING_STOP,14,-547.237096952,-0.554961091383,333.754954284,283.344049731,0.665974782451,0.565384841351,-278.11816095,-0.554961091383,1.96764244047,0.00393528488094,-547.241032236,0.001,501152.540725,3.99080087892e-06,T3_MTF_Trend_v1.0,501.152540725,-0.554965082184
T3-Si-M30-000005,T3_MTF_Trend_v1.0,Si,LONG,2020-02-10 17:00:00+03:00,112188.59893,111733.460237,455.138693001,2020-02-11 10:30:00+03:00,111781.602615,ATR_TRAILING_STOP,15,-876.891698469,-0.89422921189,406.996314743,71.270589196,0.894224817625,0.156590925562,-406.996314743,-0.89422921189,2.15454456639,0.00430908913277,-876.896007558,0.001,455138.693001,4.39426493672e-06,T3_MTF_Trend_v1.0,455.138693001,-0.894233606155
T3-Si-M30-000006,T3_MTF_Trend_v1.0,Si,LONG,2020-02-25 10:30:00+03:00,112989.958482,112423.16473,566.793751206,2020-02-25 18:00:00+03:00,113448.482372,ATR_TRAILING_STOP,15,786.203726891,0.808974850547,3.4766141071,1341.97304535,0.00613382575179,2.3676567402,458.523890173,0.808974850547,1.71464070628,0.00342928141256,786.20029761,0.001,566793.751206,3.52862041217e-06,T3_MTF_Trend_v1.0,566.793751206,0.808971321926
T3-Si-M30-000007,T3_MTF_Trend_v1.0,Si,LONG,2020-02-26 10:30:00+03:00,114307.595228,113775.070782,532.524446239,2020-02-26 18:00:00+03:00,113775.070782,ATR_TRAILING_STOP,15,-979.709640859,-1.0000037557,532.524446239,234.671452231,1,0.44067733207,-532.524446239,-1.0000037557,1.83974585163,0.00367949170326,-979.71332035,0.001,532524.446239,3.75569612649e-06,T3_MTF_Trend_v1.0,532.524446239,-1.00000751139
T3-Si-M30-000008,T3_MTF_Trend_v1.0,Si,LONG,2020-02-27 12:00:00+03:00,114639.611875,114046.939229,592.672646369,2020-02-27 21:00:00+03:00,114825.671973,ATR_TRAILING_STOP,18,304.488517584,0.313930629998,292.035584998,1091.65682964,0.492743484599,1.84192207338,186.060097257,0.313930629998,1.63650627981,0.00327301255962,304.485244571,0.001,592672.646369,3.37454413031e-06,T3_MTF_Trend_v1.0,592.672646369,0.313927255454
T3-Si-M30-000009,T3_MTF_Trend_v1.0,Si,LONG,2020-02-28 10:30:00+03:00,116296.218497,115506.80042,789.418077813,2020-02-28 15:00:00+03:00,116576.216792,ATR_TRAILING_STOP,9,345.097748272,0.35468695487,173.830705356,1557.52311999,0.22020106993,1.97300158657,279.998294139,0.35468695487,1.23249946694,0.00246499893389,345.095283273,0.001,789418.077813,2.53351178065e-06,T3_MTF_Trend_v1.0,789.418077813,0.354684421358
T3-Si-M30-000010,T3_MTF_Trend_v1.0,Si,LONG,2020-03-04 18:00:00+03:00,115381.868987,114627.249547,754.619440565,2020-03-05 10:30:00+03:00,114960.560717,ATR_TRAILING_STOP,13,-545.134242735,-0.558308264412,564.949792408,521.492116069,0.748655232079,0.691066368073,-421.308270153,-0.558308264412,1.29390824096,0.00258781648191,-545.136830551,0.001,754619.440565,2.65034253359e-06,T3_MTF_Trend_v1.0,754.619440565,-0.558310914755
