strategy,effect,metric,value
T2,DATA_EFFECT_LEGACY_PARAMS,trades,6
T2,DATA_EFFECT_V2_PARAMS,trades,9
T2,PARAM_EFFECT_LEGACY_DATA,trades,2
T2,PARAM_EFFECT_QUARTERLY_DATA,trades,5
T2,DATA_PARAMETER_INTERACTION,trades,3
T2,UNIVERSE_EFFECT_LEGACY_PARAMS,trades,208
T2,UNIVERSE_EFFECT_V2_PARAMS,trades,204
T2,DATA_EFFECT_LEGACY_PARAMS,PF,-0.924157585019
T2,DATA_EFFECT_V2_PARAMS,PF,-1.32444765885
T2,PARAM_EFFECT_LEGACY_DATA,PF,0.477468803781
T2,PARAM_EFFECT_QUARTERLY_DATA,PF,0.0771787299521
T2,DATA_PARAMETER_INTERACTION,PF,-0.400290073829
T2,UNIVERSE_EFFECT_LEGACY_PARAMS,PF,-0.14849940642
T2,UNIVERSE_EFFECT_V2_PARAMS,PF,-0.246049882189
T2,DATA_EFFECT_LEGACY_PARAMS,expectancy,-0.37987177806
T2,DATA_EFFECT_V2_PARAMS,expectancy,-0.614123875066
T2,PARAM_EFFECT_LEGACY_DATA,expectancy,0.243706959785
T2,PARAM_EFFECT_QUARTERLY_DATA,expectancy,0.009454862778
T2,DATA_PARAMETER_INTERACTION,expectancy,-0.234252097007
T2,UNIVERSE_EFFECT_LEGACY_PARAMS,expectancy,-0.0761496054867
T2,UNIVERSE_EFFECT_V2_PARAMS,expectancy,-0.1026291732
T2,DATA_EFFECT_LEGACY_PARAMS,net_R,-24.7636280283
T2,DATA_EFFECT_V2_PARAMS,net_R,-41.346414378
T2,PARAM_EFFECT_LEGACY_DATA,net_R,18.5454459201
T2,PARAM_EFFECT_QUARTERLY_DATA,net_R,1.96265957041
T2,DATA_PARAMETER_INTERACTION,net_R,-16.5827863497
T2,UNIVERSE_EFFECT_LEGACY_PARAMS,net_R,28.6305164511
T2,UNIVERSE_EFFECT_V2_PARAMS,net_R,21.9979451831
T2,DATA_EFFECT_LEGACY_PARAMS,max_DD,-1.34574052629
T2,DATA_EFFECT_V2_PARAMS,max_DD,-3.4347897458
T2,PARAM_EFFECT_LEGACY_DATA,max_DD,3.18627649971
T2,PARAM_EFFECT_QUARTERLY_DATA,max_DD,1.0972272802
T2,DATA_PARAMETER_INTERACTION,max_DD,-2.08904921951
T2,UNIVERSE_EFFECT_LEGACY_PARAMS,max_DD,-4.15777034432
T2,UNIVERSE_EFFECT_V2_PARAMS,max_DD,-11.911278573
T2,DATA_EFFECT_LEGACY_PARAMS,recovery_factor,-2.85338451763
T2,DATA_EFFECT_V2_PARAMS,recovery_factor,-7.71089941927
T2,PARAM_EFFECT_LEGACY_DATA,recovery_factor,5.24846543883
T2,PARAM_EFFECT_QUARTERLY_DATA,recovery_factor,0.390950537189
T2,DATA_PARAMETER_INTERACTION,recovery_factor,-4.85751490164
T2,UNIVERSE_EFFECT_LEGACY_PARAMS,recovery_factor,1.44766023171
T2,UNIVERSE_EFFECT_V2_PARAMS,recovery_factor,-0.119733958095
T3,DATA_EFFECT_LEGACY_PARAMS,trades,6
T3,DATA_EFFECT_V2_PARAMS,trades,9
T3,PARAM_EFFECT_LEGACY_DATA,trades,-9
T3,PARAM_EFFECT_QUARTERLY_DATA,trades,-6
T3,DATA_PARAMETER_INTERACTION,trades,3
T3,UNIVERSE_EFFECT_LEGACY_PARAMS,trades,215
T3,UNIVERSE_EFFECT_V2_PARAMS,trades,216
T3,DATA_EFFECT_LEGACY_PARAMS,PF,-0.49004431542
T3,DATA_EFFECT_V2_PARAMS,PF,-0.933260430983
T3,PARAM_EFFECT_LEGACY_DATA,PF,0.241622118343
T3,PARAM_EFFECT_QUARTERLY_DATA,PF,-0.20159399722
T3,DATA_PARAMETER_INTERACTION,PF,-0.443216115563
T3,UNIVERSE_EFFECT_LEGACY_PARAMS,PF,-0.664733425317
T3,UNIVERSE_EFFECT_V2_PARAMS,PF,-0.528506485451
T3,DATA_EFFECT_LEGACY_PARAMS,expectancy,-0.134589609402
T3,DATA_EFFECT_V2_PARAMS,expectancy,-0.264553681643
T3,PARAM_EFFECT_LEGACY_DATA,expectancy,0.0701363742024
T3,PARAM_EFFECT_QUARTERLY_DATA,expectancy,-0.0598276980392
T3,DATA_PARAMETER_INTERACTION,expectancy,-0.129964072242
T3,UNIVERSE_EFFECT_LEGACY_PARAMS,expectancy,-0.211482772471
T3,UNIVERSE_EFFECT_V2_PARAMS,expectancy,-0.176802238749
T3,DATA_EFFECT_LEGACY_PARAMS,net_R,-10.3226875764
T3,DATA_EFFECT_V2_PARAMS,net_R,-19.7204164636
T3,PARAM_EFFECT_LEGACY_DATA,net_R,0.861937641868
T3,PARAM_EFFECT_QUARTERLY_DATA,net_R,-8.53579124535
T3,DATA_PARAMETER_INTERACTION,net_R,-9.39772888722
T3,UNIVERSE_EFFECT_LEGACY_PARAMS,net_R,30.6632242116
T3,UNIVERSE_EFFECT_V2_PARAMS,net_R,30.1082797751
T3,DATA_EFFECT_LEGACY_PARAMS,max_DD,-2.94487845962
T3,DATA_EFFECT_V2_PARAMS,max_DD,-5.73277509317
T3,PARAM_EFFECT_LEGACY_DATA,max_DD,5.30718477728
T3,PARAM_EFFECT_QUARTERLY_DATA,max_DD,2.51928814373
T3,DATA_PARAMETER_INTERACTION,max_DD,-2.78789663355
T3,UNIVERSE_EFFECT_LEGACY_PARAMS,max_DD,-12.4381951008
T3,UNIVERSE_EFFECT_V2_PARAMS,max_DD,-15.3965998878
T3,DATA_EFFECT_LEGACY_PARAMS,recovery_factor,-1.72921483609
T3,DATA_EFFECT_V2_PARAMS,recovery_factor,-6.16308881458
T3,PARAM_EFFECT_LEGACY_DATA,recovery_factor,4.40413331262
T3,PARAM_EFFECT_QUARTERLY_DATA,recovery_factor,-0.0297406658588
T3,DATA_PARAMETER_INTERACTION,recovery_factor,-4.43387397848
T3,UNIVERSE_EFFECT_LEGACY_PARAMS,recovery_factor,-0.36188208359
T3,UNIVERSE_EFFECT_V2_PARAMS,recovery_factor,-0.711241139131
