strategy,diagnostic_run_id,year,period_label,trades,PF,expectancy,net_R,max_DD
T2,LEGACY_DATA__LEGACY_PARAMS,2025,FULL_2025,41,1.55104207714,0.26253926069,10.7641096883,-9.46784963187
T2,LEGACY_DATA__LEGACY_PARAMS,2026,PARTIAL_THROUGH_2026-08-30,28,3.92879258397,1.14619916295,32.0935765625,-3.0682620182
T2,LEGACY_DATA__V2_PARAMS,2025,FULL_2025,44,3.05850753384,0.933556998166,41.0765079193,-6.28157313216
T2,LEGACY_DATA__V2_PARAMS,2026,PARTIAL_THROUGH_2026-08-30,27,2.60626280442,0.752837935245,20.3266242516,-4.07286199401
T2,QUARTERLY_DATA__LEGACY_PARAMS,2025,FULL_2025,44,1.15411539097,0.0754340725896,3.31909919394,-10.8135901582
T2,QUARTERLY_DATA__LEGACY_PARAMS,2026,PARTIAL_THROUGH_2026-08-30,31,1.92047016493,0.476611581568,14.7749590286,-7.56241466273
T2,QUARTERLY_DATA__V2_PARAMS,2025,FULL_2025,46,1.29793291298,0.128633681202,5.91714933527,-9.71636287796
T2,QUARTERLY_DATA__V2_PARAMS,2026,PARTIAL_THROUGH_2026-08-30,34,1.8811133027,0.41586966052,14.1395684577,-7.10418736523
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2025,FULL_2025,168,1.06338201364,0.0315139753692,5.29434786203,-14.9713605025
T2,QUARTERLY_ALL6__LEGACY_PARAMS,2026,PARTIAL_THROUGH_2026-08-30,115,1.728967106,0.36026284184,41.4302268116,-7.99453856247
T2,QUARTERLY_ALL6__V2_PARAMS,2025,FULL_2025,165,0.969917600125,-0.0143493037742,-2.36763512274,-21.6276414509
T2,QUARTERLY_ALL6__V2_PARAMS,2026,PARTIAL_THROUGH_2026-08-30,119,1.79514846619,0.373296622679,44.4222980988,-9.4491175594
T3,LEGACY_DATA__LEGACY_PARAMS,2025,FULL_2025,50,1.80824310069,0.395640879717,19.7820439858,-9.39173991117
T3,LEGACY_DATA__LEGACY_PARAMS,2026,PARTIAL_THROUGH_2026-08-30,47,4.88196881956,0.796779534416,37.4486381176,-3.4779684131
T3,LEGACY_DATA__V2_PARAMS,2025,FULL_2025,42,2.32936444019,0.549153762687,23.0644580329,-6.11436624222
T3,LEGACY_DATA__V2_PARAMS,2026,PARTIAL_THROUGH_2026-08-30,46,3.71016955416,0.761481776356,35.0281617124,-4.07399835522
T3,QUARTERLY_DATA__LEGACY_PARAMS,2025,FULL_2025,55,1.79281674619,0.371566170176,20.4361393597,-10.9767104962
T3,QUARTERLY_DATA__LEGACY_PARAMS,2026,PARTIAL_THROUGH_2026-08-30,48,2.92727744878,0.551496982652,26.4718551673,-3.46810663129
T3,QUARTERLY_DATA__V2_PARAMS,2025,FULL_2025,48,1.75415764646,0.338770397838,16.2609790962,-8.32546391036
T3,QUARTERLY_DATA__V2_PARAMS,2026,PARTIAL_THROUGH_2026-08-30,49,2.27284789711,0.451249473171,22.1112241854,-3.60006507341
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2025,FULL_2025,180,1.26444495318,0.13635485354,24.5438736372,-22.3473264964
T3,QUARTERLY_ALL6__LEGACY_PARAMS,2026,PARTIAL_THROUGH_2026-08-30,138,1.95265063712,0.384256123923,53.0273451014,-7.1754638498
T3,QUARTERLY_ALL6__V2_PARAMS,2025,FULL_2025,165,1.30775618662,0.164007421288,27.0612245126,-21.4505564874
T3,QUARTERLY_ALL6__V2_PARAMS,2026,PARTIAL_THROUGH_2026-08-30,148,1.66924190554,0.279859855028,41.4192585442,-12.5679444189
