trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,instrument,strategy,timeframe_pair,net_R
T2-Si-000001,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-01-26 14:30:00+03:00,2023-01-26 14:45:00+03:00,2023-01-26 14:45:00+03:00,69.16,69.2396871989,0.0796871989129,79.6871989129,2023-01-26 16:30:00+03:00,69.1957297192,ATR_TRAILING_STOP,7,-0.448374640837,0.0250981340452,-0.473472774883,0.250981340452,3.76472010678,2023-01-26 14:00:00+03:00,1,12549.0670226,USDRUBF,T2,H1_M15,-0.473472774883
T2-CNY-000001,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-01-31 12:45:00+03:00,2023-01-31 13:30:00+03:00,2023-01-31 13:30:00+03:00,10.46,10.4279890114,0.0320109885789,32.0109885789,2023-01-31 16:15:00+03:00,10.4279890114,INITIAL_STOP,11,-1,0.0624785452993,-1.0624785453,0.937178179489,0.312392726496,2023-01-31 12:30:00+03:00,3,31239.2726496,CNYRUBF,T2,H1_M15,-1.0624785453
T2-Si-000002,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-01-31 12:30:00+03:00,2023-01-31 13:00:00+03:00,2023-01-31 13:00:00+03:00,70.74,70.4989000255,0.241099974547,241.099974547,2023-01-31 16:15:00+03:00,70.5348429497,ATR_TRAILING_STOP,13,-0.850921078093,0.00829531402382,-0.859216392116,0.539195411548,0.290335990834,2023-01-31 10:15:00+03:00,2,4128.01898516,USDRUBF,T2,H1_M15,-0.859216392116
T2-Si-000003,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-01 12:15:00+03:00,2023-02-01 12:30:00+03:00,2023-02-01 12:30:00+03:00,70.3,70.0972033434,0.202796656559,202.796656559,2023-02-01 12:45:00+03:00,70.17,EMA50_TREND_LOSS,1,-0.641036209403,0.00986209552928,-0.650898304932,0,0,2023-02-01 11:15:00+03:00,1,4865.53282796,USDRUBF,T2,H1_M15,-0.650898304932
T2-Si-000004,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-01 16:15:00+03:00,2023-02-01 17:00:00+03:00,2023-02-01 17:00:00+03:00,70.21,70.0693214871,0.140678512883,140.678512883,2023-02-01 19:00:00+03:00,70.1131209117,ATR_TRAILING_STOP,8,-0.688655902615,0.0142168122125,-0.702872714827,0.568672488501,1.35059716019,2023-02-01 15:15:00+03:00,3,6968.30856726,USDRUBF,T2,H1_M15,-0.702872714827
T2-Si-000005,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-09 14:00:00+03:00,2023-02-09 14:15:00+03:00,2023-02-09 14:15:00+03:00,72.81,72.7091647917,0.100835208327,100.835208327,2023-02-09 15:15:00+03:00,72.7091647917,INITIAL_STOP,4,-1,0.0198343419247,-1.01983434192,0.991717096236,0.793373676989,2023-02-09 12:30:00+03:00,1,9653.38499051,USDRUBF,T2,H1_M15,-1.01983434192
T2-CNY-000002,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-02-09 14:00:00+03:00,2023-02-09 14:30:00+03:00,2023-02-09 14:30:00+03:00,10.76,10.7178375662,0.0421624337511,42.1624337511,2023-02-10 09:15:00+03:00,10.7522663535,ATR_TRAILING_STOP,39,-0.18342504901,0.0474355918779,-0.230860640888,0.711533878169,0.711533878169,2023-02-09 12:30:00+03:00,2,23465.7994457,CNYRUBF,T2,H1_M15,-0.230860640888
T2-CNY-000003,T2_Trend_Pullback_Continuation_v1.0,CNY,LONG,2023-02-13 13:15:00+03:00,2023-02-13 13:30:00+03:00,2023-02-13 13:30:00+03:00,10.79,10.7682038404,0.0217961596277,21.7961596277,2023-02-13 19:30:00+03:00,10.785411446,ATR_TRAILING_STOP,24,-0.210521214367,0.0917592839365,-0.302280498304,0.917592839365,1.83518567873,2023-02-13 12:45:00+03:00,1,45287.3879366,CNYRUBF,T2,H1_M15,-0.302280498304
T2-Si-000006,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-13 16:30:00+03:00,2023-02-13 16:45:00+03:00,2023-02-13 16:45:00+03:00,73.68,73.5709168604,0.109083139575,109.083139575,2023-02-13 19:30:00+03:00,73.6188831109,ATR_TRAILING_STOP,11,-0.560278052954,0.0183346391367,-0.578612692091,0,1.55844432662,2023-02-13 15:00:00+03:00,1,8832.47412721,USDRUBF,T2,H1_M15,-0.578612692091
T2-Si-000007,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-14 19:15:00+03:00,2023-02-14 19:30:00+03:00,2023-02-14 19:30:00+03:00,73.77,73.5355765884,0.234423411585,234.423411585,2023-02-14 20:15:00+03:00,73.5355765884,INITIAL_STOP,3,-1,0.00853157108531,-1.00853157109,0.511894265118,0,2023-02-14 19:00:00+03:00,1,4086.19266581,USDRUBF,T2,H1_M15,-1.00853157109
