trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,instrument,timeframe_pair,net_R
T3-Si-000001,T3,Si,LONG,2023-02-22 18:00:00+03:00,75.09,74.5862207038,0.503779296162,2023-02-24 11:00:00+03:00,74.8098209289,ATR_TRAILING_STOP,8,-556.154397877,-0.556154397877,0.28017907112,0.4,0.556154397877,0.793998489114,-0.28017907112,-0.556154397877,1984.99622279,0,-556.154397877,0.001,503.779296162,0,T3_MTF_Trend_v1.0,0.503779296162,USDRUBF,H4_H1,-0.560124390323
T3-CNY-000001,T3,CNY,LONG,2023-02-24 15:00:00+03:00,10.97,10.8838212209,0.0861787791058,2023-02-27 10:00:00+03:00,10.8983507272,ATR_TRAILING_STOP,10,-831.40273719,-0.83140273719,0.0716492728363,0.04,0.83140273719,0.464151388718,-0.0716492728363,-0.83140273719,11603.784718,0,-831.40273719,0.001,86.1787791058,0,T3_MTF_Trend_v1.0,0.0861787791058,CNYRUBF,H4_H1,-0.854610306626
T3-Si-000002,T3,Si,LONG,2023-02-24 14:00:00+03:00,75.9,75.3233162493,0.576683750699,2023-02-27 10:00:00+03:00,75.5520129743,ATR_TRAILING_STOP,11,-600.071842036,-0.603427832464,0.347987025701,0.48,0.603427832464,0.83234528356,-0.347987025701,-0.603427832464,1724.40866388,0,-600.071842036,0.001,576.683750699,0,T3_MTF_Trend_v1.0,0.576683750699,USDRUBF,H4_H1,-0.606895937812
T3-CNY-000002,T3,CNY,LONG,2023-03-01 10:00:00+03:00,10.86,10.7788727761,0.0811272239334,2023-03-02 19:00:00+03:00,10.8591082935,ATR_TRAILING_STOP,24,-10.9000745262,-0.0109914578073,0.01,0.09,0.123263184849,1.10936866364,-0.000891706458887,-0.0109914578073,12223.8371356,0,-10.9000745262,0.001,81.1272239334,0,T3_MTF_Trend_v1.0,0.0811272239334,CNYRUBF,H4_H1,-0.0356440947771
T3-Si-000003,T3,Si,LONG,2023-03-02 10:00:00+03:00,75.36,75.0087962643,0.351203735654,2023-03-02 20:00:00+03:00,75.1354074138,ATR_TRAILING_STOP,10,-632.099733696,-0.639493727981,0.224592586194,0.29,0.639493727981,0.825731535742,-0.224592586194,-0.639493727981,2814.42831398,0,-632.099733696,0.001,351.203735654,0,T3_MTF_Trend_v1.0,0.351203735654,USDRUBF,H4_H1,-0.645188428228
T3-CNY-000003,T3,CNY,LONG,2023-03-20 11:00:00+03:00,11.3,11.2096910565,0.0903089435299,2023-03-20 14:00:00+03:00,11.2096910565,ATR_TRAILING_STOP,3,-991.576971883,-1,0.0903089435299,0,1,0,-0.0903089435299,-1,10979.831378,0,-991.576971883,0.001,90.3089435299,0,T3_MTF_Trend_v1.0,0.0903089435299,CNYRUBF,H4_H1,-1.02214620083
T3-Si-000004,T3,Si,LONG,2023-03-20 11:00:00+03:00,77.64,77.1972091822,0.442790817845,2023-03-20 14:00:00+03:00,77.1972091822,ATR_TRAILING_STOP,3,-982.116740264,-1,0.442790817845,0.06,1,0.135504164906,-0.442790817845,-1,2218.01514549,0,-982.116740264,0.001,442.790817845,0,T3_MTF_Trend_v1.0,0.442790817845,USDRUBF,H4_H1,-1.0045168055
T3-Si-000005,T3,Si,LONG,2023-03-24 18:00:00+03:00,77.04,76.610968873,0.429031126964,2023-03-27 11:00:00+03:00,76.7185862359,ATR_TRAILING_STOP,8,-728.40677566,-0.749161876276,0.321413764057,0.2,0.749161876276,0.466166642536,-0.321413764057,-0.749161876276,2266.25881377,0,-728.40677566,0.001,429.031126964,0,T3_MTF_Trend_v1.0,0.429031126964,USDRUBF,H4_H1,-0.753823542702
T3-CNY-000004,T3,CNY,LONG,2023-04-03 18:00:00+03:00,11.44,11.3647057793,0.0752942207484,2023-04-04 16:00:00+03:00,11.4826289618,ATR_TRAILING_STOP,13,555.782335811,0.566165123554,0.01,0.15,0.132812318138,1.99218477207,0.0426289617929,0.566165123554,13037.6699886,0,555.782335811,0.001,75.2942207484,0,T3_MTF_Trend_v1.0,0.0752942207484,CNYRUBF,H4_H1,0.539602659926
T3-Si-000006,T3,Si,LONG,2023-04-03 18:00:00+03:00,78.73,78.2748348174,0.455165182605,2023-04-04 16:00:00+03:00,79.0769653179,ATR_TRAILING_STOP,13,735.613215711,0.762284399533,0.08,1.07,0.17576036801,2.35079492213,0.34696531791,0.762284399533,2120.13471589,0,735.613215711,0.001,455.165182605,0,T3_MTF_Trend_v1.0,0.455165182605,USDRUBF,H4_H1,0.757890390333
T3-CNY-000005,T3,CNY,LONG,2023-04-05 18:00:00+03:00,11.6,11.5312883638,0.0687116362166,2023-04-07 14:00:00+03:00,11.9383614032,ATR_TRAILING_STOP,26,4861.43007368,4.92436829923,0.03,0.5,0.436607271371,7.27678785619,0.338361403173,4.92436829923,14367.5668326,0,4861.43007368,0.001,68.7116362166,0,T3_MTF_Trend_v1.0,0.0687116362166,CNYRUBF,H4_H1,4.8952611478
T3-Si-000007,T3,Si,LONG,2023-04-05 18:00:00+03:00,79.91,79.4760922473,0.433907752717,2023-04-07 14:00:00+03:00,82.178880431,ATR_TRAILING_STOP,26,5084.45836725,5.22894651406,0.13,3.27,0.299602851495,7.53616403376,2.268880431,5.22894651406,2240.95474481,0,5084.45836725,0.001,433.907752717,0,T3_MTF_Trend_v1.0,0.433907752717,USDRUBF,H4_H1,5.22433723943
T3-Si-000008,T3,Si,LONG,2023-04-11 12:00:00+03:00,82.34,81.7099463042,0.630053695821,2023-04-12 12:00:00+03:00,81.9710889274,ATR_TRAILING_STOP,15,-599.114520639,-0.585523226152,0.42,0.28,0.666609850535,0.444406567023,-0.368911072626,-0.585523226152,1624.00796586,0,-599.114520639,0.001,630.053695821,0,T3_MTF_Trend_v1.0,0.630053695821,USDRUBF,H4_H1,-0.588697558773
T3-CNY-000006,T3,CNY,LONG,2023-04-11 12:00:00+03:00,11.96,11.871098454,0.0889015459736,2023-04-12 19:00:00+03:00,11.8926892968,ATR_TRAILING_STOP,22,-784.268358931,-0.757137600277,0.0673107031793,0.03,0.757137600277,0.337451949474,-0.0673107031793,-0.757137600277,11651.4658425,0,-784.268358931,0.001,88.9015459736,0,T3_MTF_Trend_v1.0,0.0889015459736,CNYRUBF,H4_H1,-0.779634396909
T3-Si-000009,T3,Si,SHORT,2023-05-04 17:00:00+03:00,77.82,78.3588210302,0.538821030156,2023-05-05 16:00:00+03:00,77.3090307325,ATR_TRAILING_STOP,14,964.640722769,0.948309807756,0.43,1.51,0.798038636086,2.80241474532,0.510969267522,0.948309807756,1887.86446482,0,964.640722769,0.001,538.821030156,0,T3_MTF_Trend_v1.0,0.538821030156,USDRUBF,H4_H1,0.944598000147
T3-CNY-000007,T3,CNY,SHORT,2023-05-04 12:00:00+03:00,11.37,11.441204479,0.0712044790278,2023-05-08 10:00:00+03:00,11.1914554448,ATR_TRAILING_STOP,28,2577.6767772,2.50749050644,0.01,0.31,0.140440603408,4.35365870564,0.178544555178,2.50749050644,14437.1626154,0,2577.6767772,0.001,71.2044790278,0,T3_MTF_Trend_v1.0,0.0712044790278,CNYRUBF,H4_H1,2.47940238576
T3-CNY-000008,T3,CNY,SHORT,2023-05-10 13:00:00+03:00,11.03,11.1330488331,0.103048833123,2023-05-11 14:00:00+03:00,10.9695362411,ATR_TRAILING_STOP,16,618.296556634,0.586748603636,0,0.21,0,2.03786878157,0.0604637589416,0.586748603636,10225.9033751,0,618.296556634,0.001,103.048833123,0,T3_MTF_Trend_v1.0,0.103048833123,CNYRUBF,H4_H1,0.567340329526
T3-Si-000010,T3,Si,SHORT,2023-05-10 13:00:00+03:00,76.46,77.150909312,0.690909311967,2023-05-11 14:00:00+03:00,76.3070015128,ATR_TRAILING_STOP,16,227.39478061,0.221445107947,0.07,1.16,0.101315757058,1.67894683124,0.15299848717,0.221445107947,1486.25509191,0,227.39478061,0.001,690.909311967,0,T3_MTF_Trend_v1.0,0.690909311967,USDRUBF,H4_H1,0.218550372031
