strategy,instrument,timeframe,status,reason,evidence,limitations
T2,USDRUBF,M30,ROBUST_TIMEFRAME_CANDIDATE,"All fixed trade-count, expectancy, net-R, drawdown, concentration, year, direction, and instrument gates passed.",trades=99; expectancy=0.22001441511325687; net_R=21.78142709621243; max_drawdown=-8.17554240967137; top5_share=0.5628392403844786,Descriptive development evidence only; no validation or selection inference.
T2,CNYRUBF,M30,RESEARCH_ONLY,2023/2024 results are not both positive; LONG/SHORT results are not both positive,trades=79; expectancy=0.22577545418021136; net_R=17.836260880236697; max_drawdown=-8.714674240772005; top5_share=0.42567602653956216,Retained for future research; failed gates require independent evidence.
T2,USDRUBF,H1,RESEARCH_ONLY,high or unavailable top-5 concentration; LONG/SHORT results are not both positive,trades=41; expectancy=0.8763772188542537; net_R=35.9314659730244; max_drawdown=-10.165164622124605; top5_share=0.6610038402873722,Retained for future research; failed gates require independent evidence.
T2,CNYRUBF,H1,ROBUST_TIMEFRAME_CANDIDATE,"All fixed trade-count, expectancy, net-R, drawdown, concentration, year, direction, and instrument gates passed.",trades=38; expectancy=0.6226547749670776; net_R=23.66088144874895; max_drawdown=-3.5096741168399994; top5_share=0.5845790416490074,Descriptive development evidence only; no validation or selection inference.
T2,USDRUBF,H4,RESEARCH_ONLY,insufficient trade count; high or unavailable top-5 concentration,trades=10; expectancy=0.3084299136451; net_R=3.084299136451; max_drawdown=-3.2045794832360004; top5_share=1.0,Retained for future research; failed gates require independent evidence.
T2,CNYRUBF,H4,RESEARCH_ONLY,insufficient trade count; high or unavailable top-5 concentration; 2023/2024 results are not both positive; LONG/SHORT results are not both positive,trades=9; expectancy=0.5445873066847778; net_R=4.901285760163001; max_drawdown=-4.153000073267999; top5_share=1.0,Retained for future research; failed gates require independent evidence.
T2,USDRUBF,D1,RESEARCH_ONLY,insufficient trade count; non-positive expectancy; non-positive net R; high or unavailable top-5 concentration; 2023/2024 results are not both positive; LONG/SHORT results are not both positive,trades=3; expectancy=-1.00073489841; net_R=-3.0022046952299997; max_drawdown=-3.0022046952299997; top5_share=None,Retained for future research; failed gates require independent evidence.
T2,CNYRUBF,D1,RESEARCH_ONLY,insufficient trade count; high or unavailable top-5 concentration; 2023/2024 results are not both positive; LONG/SHORT results are not both positive; paired instrument result is not positive,trades=2; expectancy=0.03589709948700001; net_R=0.07179419897400002; max_drawdown=-0.46496505863; top5_share=1.0,Retained for future research; failed gates require independent evidence.
T3,USDRUBF,M30,ROBUST_TIMEFRAME_CANDIDATE,"All fixed trade-count, expectancy, net-R, drawdown, concentration, year, direction, and instrument gates passed.",trades=119; expectancy=0.5168713839047255; net_R=61.50769468466233; max_drawdown=-13.069847940226737; top5_share=0.27192506265327515,Descriptive development evidence only; no validation or selection inference.
T3,CNYRUBF,M30,ROBUST_TIMEFRAME_CANDIDATE,"All fixed trade-count, expectancy, net-R, drawdown, concentration, year, direction, and instrument gates passed.",trades=116; expectancy=0.3326181563295128; net_R=38.58370613422348; max_drawdown=-8.269902624621405; top5_share=0.3881622043601637,Descriptive development evidence only; no validation or selection inference.
T3,USDRUBF,H1,ROBUST_TIMEFRAME_CANDIDATE,"All fixed trade-count, expectancy, net-R, drawdown, concentration, year, direction, and instrument gates passed.",trades=62; expectancy=0.44606015644388486; net_R=27.65572969952086; max_drawdown=-8.010759078310203; top5_share=0.4965652819368299,Descriptive development evidence only; no validation or selection inference.
T3,CNYRUBF,H1,ROBUST_TIMEFRAME_CANDIDATE,"All fixed trade-count, expectancy, net-R, drawdown, concentration, year, direction, and instrument gates passed.",trades=52; expectancy=0.5363435416986492; net_R=27.889864168329755; max_drawdown=-5.188657461920473; top5_share=0.5969587351198005,Descriptive development evidence only; no validation or selection inference.
T3,USDRUBF,H4,RESEARCH_ONLY,insufficient trade count; high or unavailable top-5 concentration; LONG/SHORT results are not both positive,trades=14; expectancy=0.5729141725481856; net_R=8.020798415674598; max_drawdown=-2.8224149266537895; top5_share=0.9349489467949382,Retained for future research; failed gates require independent evidence.
T3,CNYRUBF,H4,RESEARCH_ONLY,insufficient trade count; high or unavailable top-5 concentration; 2023/2024 results are not both positive; LONG/SHORT results are not both positive,trades=13; expectancy=0.3735489180624215; net_R=4.85613593481148; max_drawdown=-4.78469196701395; top5_share=1.0,Retained for future research; failed gates require independent evidence.
T3,USDRUBF,D1,RESEARCH_ONLY,insufficient trade count; non-positive expectancy; non-positive net R; high or unavailable top-5 concentration; 2023/2024 results are not both positive; LONG/SHORT results are not both positive; paired instrument result is not positive,trades=2; expectancy=-0.08032382112599458; net_R=-0.16064764225198916; max_drawdown=-0.32978526412092674; top5_share=1.0,Retained for future research; failed gates require independent evidence.
T3,CNYRUBF,D1,RESEARCH_ONLY,insufficient trade count; non-positive expectancy; non-positive net R; high or unavailable top-5 concentration; 2023/2024 results are not both positive; LONG/SHORT results are not both positive; paired instrument result is not positive,trades=2; expectancy=-0.6624541502125461; net_R=-1.3249083004250921; max_drawdown=-1.3249083004250921; top5_share=None,Retained for future research; failed gates require independent evidence.
