strategy,instrument,timeframe,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,average_holding_hours,trades_per_year,trades_per_month,yearly_consistency,direction_consistency,instrument_consistency
T2,USDRUBF,M30,99,1.46660362726,0.220014415113,21.7814270962,-8.17554240967,2.66421798148,0.262626262626,15.2777777778,49.5,4.125,True,True,True
T2,CNYRUBF,M30,79,1.51583168381,0.22577545418,17.8362608802,-8.71467424077,2.04669278363,0.405063291139,19.9810126582,39.5,3.29166666667,False,False,True
T2,USDRUBF,H1,41,2.92570592294,0.876377218854,35.931465973,-10.1651646221,3.53476478825,0.414634146341,41.1463414634,20.5,1.70833333333,True,False,True
T2,CNYRUBF,H1,38,2.6262830423,0.622654774967,23.6608814487,-3.50967411684,6.74161778589,0.473684210526,42.5,19,1.58333333333,True,True,True
T2,USDRUBF,H4,10,1.69152267582,0.308429913645,3.08429913645,-3.20457948324,0.962466105954,0.5,195.8,5,0.416666666667,True,True,True
T2,CNYRUBF,H4,9,1.77825336845,0.544587306685,4.90128576016,-4.15300007327,1.18017955061,0.222222222222,119,4.5,0.375,False,False,True
T2,USDRUBF,D1,3,0,-1.00073489841,-3.00220469523,-3.00220469523,-1,0,160,1.5,0.125,False,False,True
T2,CNYRUBF,D1,2,1.15440772944,0.035897099487,0.071794198974,-0.46496505863,0.154407729444,0.5,336,1,0.0833333333333,False,False,False
T3,USDRUBF,M30,119,2.29212799301,0.516871383905,61.5076946847,-13.0698479402,4.70607576813,0.453781512605,20.3697478992,59.5,4.95833333333,True,True,True
T3,CNYRUBF,M30,116,1.73885301886,0.33261815633,38.5837061342,-8.26990262462,4.66555749028,0.422413793103,19.1681034483,58,4.83333333333,True,True,True
T3,USDRUBF,H1,62,2.0972015897,0.446060156444,27.6557296995,-8.01075907831,3.45232323543,0.467741935484,40.0806451613,31,2.58333333333,True,True,True
T3,CNYRUBF,H1,52,2.17150788186,0.536343541699,27.8898641683,-5.18865746192,5.37516002415,0.403846153846,37.75,26,2.16666666667,True,True,True
T3,USDRUBF,H4,14,2.25783648695,0.572914172548,8.02079841567,-2.82241492665,2.84182114399,0.5,151.642857143,7,0.583333333333,True,False,True
T3,CNYRUBF,H4,13,1.69378911114,0.373548918062,4.85613593481,-4.78469196701,1.01493178,0.384615384615,141.769230769,6.5,0.541666666667,False,False,True
T3,USDRUBF,D1,2,0.512871981469,-0.080323821126,-0.160647642252,-0.329785264121,-0.487128018531,0.5,216,1,0.0833333333333,False,False,False
T3,CNYRUBF,D1,2,0,-0.662454150213,-1.32490830043,-1.32490830043,-1,0,252,1,0.0833333333333,False,False,False
