strategy,instrument,timeframe,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5
T2,USDRUBF,M30,0.21545809167,0.431564851246,0.562839240384,0.802599667134,7.03068791411,1.1506120085,0.0717417134093,-7.76446051258,0.833669051026,-0.080879797006,-16.7517965669,0.64114155575,-0.178210601776
T2,CNYRUBF,M30,0.116162666421,0.291119598466,0.42567602654,0.651970807206,11.7477182041,1.33974863358,0.150611771847,2.57753659522,1.07454337268,0.0339149552002,-4.47509554488,0.870578475744,-0.06047426412
T2,USDRUBF,H1,0.281639199387,0.501009258917,0.661003840287,0.888669789116,20.5566919162,2.10171244916,0.513917297906,8.58121013864,1.45990016668,0.225821319438,-0.152945278066,0.991803072324,-0.00424847994627
T2,CNYRUBF,H1,0.164531960125,0.397523087296,0.584579041649,0.853190747941,17.3741257065,2.19417554551,0.46957096504,8.47154954117,1.58227489921,0.242044272605,1.32415341061,1.09101301833,0.0401258609275
T2,USDRUBF,H4,0.366104078281,0.895119266828,1,1,0.322243276541,1.0722493257,0.0358048085046,-3.6688881754,0.177408138417,-0.5241268822,-4.46015618041,0,-0.892031236083
T2,CNYRUBF,H4,0.779487036075,1,1,1,-3.8282581048,0.392127920887,-0.4785322631,-6.29780217967,0,-0.899686025667,-6.29780217967,0,-0.899686025667
T2,USDRUBF,D1,,,,,-3.00220469523,0,-1.00073489841,-3.00220469523,0,-1.00073489841,-3.00220469523,0,-1.00073489841
T2,CNYRUBF,D1,1,1,1,1,-0.46496505863,0,-0.46496505863,-0.46496505863,0,-0.46496505863,-0.46496505863,0,-0.46496505863
T3,USDRUBF,M30,0.0691983859821,0.178329429479,0.271925062653,0.465430372618,53.9574896663,2.13351643543,0.457266861579,42.0502502045,1.88337411572,0.362502156935,31.838072431,1.6688409449,0.279281337114
T3,CNYRUBF,M30,0.108889235598,0.271432848346,0.38816220436,0.571415262623,28.6960418634,1.54951064282,0.249530798812,13.9363030942,1.2668711911,0.123330115878,3.33671832834,1.063895998,0.0300605254806
T3,USDRUBF,H1,0.177542646939,0.356887589588,0.496565281937,0.698560952874,18.2705722633,1.7248588683,0.299517578086,8.79014290631,1.34873636947,0.148985472988,1.40658095301,1.05580409103,0.0246768588248
T3,CNYRUBF,H1,0.270123145629,0.457671511661,0.59695873512,0.839492470647,13.9253962436,1.58493334205,0.273046985169,4.22976969634,1.17767058698,0.0863218305375,-2.9709163455,0.875207283402,-0.0632109860745
T3,USDRUBF,H4,0.608632447562,0.825232150509,0.934948946795,1,-0.741963294709,0.883643939705,-0.057074099593,-3.86044899338,0.394597227327,-0.350949908489,-5.44009224988,0.146874641441,-0.604454694432
T3,CNYRUBF,H4,0.55087397442,0.946595225736,1,1,-1.67479283838,0.760724771655,-0.139566069865,-6.36629656952,0.0904564251316,-0.636629656952,-6.99944097834,0,-0.874930122292
T3,USDRUBF,D1,1,1,1,1,-0.329785264121,0,-0.329785264121,-0.329785264121,0,-0.329785264121,-0.329785264121,0,-0.329785264121
T3,CNYRUBF,D1,,,,,-1.32490830043,0,-0.662454150213,-1.32490830043,0,-0.662454150213,-1.32490830043,0,-0.662454150213
