strategy,instrument,timeframe,dimension,segment,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,average_holding_hours
T2,USDRUBF,M30,YEAR,2023,46,1.1827796004,0.0813125784836,3.74037861025,-5.29753964037,0.706059579383,0.282608695652,14.5
T2,USDRUBF,M30,YEAR,2024,53,1.68814525676,0.340397141245,18.041048486,-8.17554240967,2.20670966915,0.245283018868,15.9528301887
T2,USDRUBF,M30,DIRECTION,LONG,62,1.35891925967,0.165648183308,10.2701873651,-10.8599945351,0.945689920181,0.274193548387,14.8225806452
T2,USDRUBF,M30,DIRECTION,SHORT,37,1.63715609557,0.311114587327,11.5112397311,-5.35541835026,2.149456677,0.243243243243,16.0405405405
T2,CNYRUBF,M30,YEAR,2023,40,2.33037847842,0.504064365442,20.1625746177,-3.84607592822,5.24237560411,0.45,28.9125
T2,CNYRUBF,M30,YEAR,2024,39,0.880223727236,-0.0596490701911,-2.32631373745,-5.38665105219,-0.431866425895,0.358974358974,10.8205128205
T2,CNYRUBF,M30,DIRECTION,LONG,47,2.18058964387,0.411423436521,19.3369015165,-3.85207798936,5.0198624145,0.489361702128,23.7872340426
T2,CNYRUBF,M30,DIRECTION,SHORT,32,0.917541128438,-0.0468950198833,-1.50064063627,-6.48283025845,-0.231479242312,0.28125,14.390625
T2,USDRUBF,H1,YEAR,2023,19,4.04317534063,1.13850206705,21.6315392739,-1.75671282288,12.3136456865,0.526315789474,43.4736842105
T2,USDRUBF,H1,YEAR,2024,22,2.23802019364,0.649996668143,14.2999266991,-8.40845179925,1.70066107775,0.318181818182,39.1363636364
T2,USDRUBF,H1,DIRECTION,LONG,32,3.72665453537,1.2024874661,38.4795989154,-6.30355184451,6.10443125789,0.4375,45.46875
T2,USDRUBF,H1,DIRECTION,SHORT,9,0.439535841087,-0.283125882482,-2.54813294233,-3.89342211081,-0.654471277404,0.333333333333,25.7777777778
T2,CNYRUBF,H1,YEAR,2023,18,2.22438181417,0.556701032926,10.0206185927,-2.39967230641,4.17582791029,0.333333333333,32.8888888889
T2,CNYRUBF,H1,YEAR,2024,20,3.14306853817,0.682013142804,13.6402628561,-1.30918328238,10.4189100484,0.6,51.15
T2,CNYRUBF,H1,DIRECTION,LONG,27,2.98982185266,0.649258516224,17.5299799381,-2.06034036365,8.50829321571,0.518518518519,43
T2,CNYRUBF,H1,DIRECTION,SHORT,11,2.06824438598,0.557354682791,6.1309015107,-3.31476349907,1.84957433989,0.363636363636,41.2727272727
