trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R_C1,net_R_C1,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity,year
T2-Si-M30-000001,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-01-20 13:00:00+03:00,2023-01-20 14:00:00+03:00,2023-01-20 14:00:00+03:00,68.75,68.8709112114,0.120911211389,120.911211389,2023-01-20 15:30:00+03:00,68.8709112114,INITIAL_STOP,3,-1,0.0165410632895,-1.01654106329,0.661642531582,0.578937215134,2023-01-20 12:30:00+03:00,2,8270.53164477,2023
T2-Si-M30-000002,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-01-26 17:30:00+03:00,2023-01-26 19:00:00+03:00,2023-01-26 19:00:00+03:00,69.35,69.1666968479,0.183303152084,183.303152084,2023-01-26 23:00:00+03:00,69.1666968479,INITIAL_STOP,8,-1,0.0109108871139,-1.01091088711,0.872870969109,0.109108871139,2023-01-26 17:00:00+03:00,3,5399.98673299,2023
T2-Si-M30-000003,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-01-31 11:00:00+03:00,2023-01-31 12:30:00+03:00,2023-01-31 12:30:00+03:00,70.64,70.3049790744,0.33502092562,335.02092562,2023-01-31 17:30:00+03:00,70.3922720391,ATR_TRAILING_STOP,10,-0.739440261695,0.00596977635441,-0.745410038049,0.656675398985,0.507430990125,2023-01-31 10:30:00+03:00,3,2924.67774043,2023
T2-Si-M30-000004,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-01 11:00:00+03:00,2023-02-01 12:30:00+03:00,2023-02-01 12:30:00+03:00,70.3,70.0328829524,0.267117047562,267.117047562,2023-02-01 14:00:00+03:00,70.11,EMA50_TREND_LOSS,3,-0.711298667509,0.00748735439483,-0.718786021904,0.561551579613,0.0374367719742,2023-02-01 10:00:00+03:00,3,3640.81781575,2023
T2-Si-M30-000005,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-10 17:00:00+03:00,2023-02-10 17:30:00+03:00,2023-02-10 17:30:00+03:00,73.17,72.8553897327,0.314610267338,314.610267338,2023-02-10 23:30:00+03:00,73.1580177023,ATR_TRAILING_STOP,12,-0.0380861623734,0.00635707161411,-0.0444432339875,0.222497506494,1.36677039703,2023-02-10 16:00:00+03:00,1,3068.98482246,2023
T2-Si-M30-000006,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-11 00:00:00+03:00,2023-02-13 09:30:00+03:00,2023-02-13 09:30:00+03:00,73.42,73.0837434997,0.336256500341,336.256500341,2023-02-13 20:30:00+03:00,73.4704604152,ATR_TRAILING_STOP,22,0.15006524836,0.00594784040745,0.144117407952,0.565044838708,1.2787856876,2023-02-10 22:30:00+03:00,1,2870.14532023,2023
T2-Si-M30-000007,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-02-24 19:30:00+03:00,2023-02-24 20:30:00+03:00,2023-02-24 20:30:00+03:00,76.08,75.5879988697,0.492001130347,492.001130347,2023-02-27 09:30:00+03:00,75.6129037861,ATR_TRAILING_STOP,8,-0.94938036735,0.00406503131118,-0.953445398661,0.345527661451,0.0609754696678,2023-02-24 19:00:00+03:00,2,1964.41805837,2023
T2-Si-M30-000008,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-16 11:00:00+03:00,2023-03-16 12:30:00+03:00,2023-03-16 12:30:00+03:00,76.3,76.0367075145,0.263292485527,263.292485527,2023-03-17 10:30:00+03:00,76.5141352347,ATR_TRAILING_STOP,26,0.813297934865,0.00759611500496,0.80570181986,0.531728050347,2.46873737661,2023-03-16 10:30:00+03:00,3,3635.80788317,2023
T2-Si-M30-000009,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-29 13:00:00+03:00,2023-03-29 14:30:00+03:00,2023-03-29 14:30:00+03:00,77.11,76.9486690275,0.161330972529,161.330972529,2023-03-30 09:30:00+03:00,77.0842726155,ATR_TRAILING_STOP,20,-0.15946959303,0.0123968756194,-0.171866468649,0.185953134291,1.05373442765,2023-03-29 11:00:00+03:00,3,5981.45358524,2023
T2-Si-M30-000010,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-03-30 13:00:00+03:00,2023-03-30 13:30:00+03:00,2023-03-30 13:30:00+03:00,77.17,76.9790417344,0.190958265628,190.958265628,2023-03-31 09:30:00+03:00,77.18,ATR_TRAILING_STOP,22,0.0523674634722,0.0104734926944,0.0418939707778,0.366572244305,1.20445165986,2023-03-30 10:00:00+03:00,1,5044.74221233,2023
T2-Si-M30-000011,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-04-04 15:30:00+03:00,2023-04-04 16:30:00+03:00,2023-04-04 16:30:00+03:00,79.19,78.8507969643,0.339203035671,339.203035671,2023-04-06 16:30:00+03:00,80.5701241297,ATR_TRAILING_STOP,60,4.06872576187,0.00589617364727,4.06282958822,0.530655628255,5.63084583315,2023-04-04 15:00:00+03:00,2,2841.18566592,2023
T2-Si-M30-000012,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-05-05 15:30:00+03:00,2023-05-05 16:00:00+03:00,2023-05-05 16:00:00+03:00,77.05,77.3751088726,0.32510887257,325.10887257,2023-05-05 16:30:00+03:00,77.3751088726,INITIAL_STOP,1,-1,0.00615178535175,-1.00615178535,0,0,2023-05-05 15:00:00+03:00,1,3084.79390332,2023
T2-Si-M30-000013,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-05-17 10:00:00+03:00,2023-05-17 11:00:00+03:00,2023-05-17 11:00:00+03:00,80.76,80.3918257788,0.368174221185,368.174221185,2023-05-17 16:00:00+03:00,80.5309923009,ATR_TRAILING_STOP,10,-0.62200905428,0.00543221085269,-0.627441265132,0.570382139532,0.86915373643,2023-05-17 09:30:00+03:00,2,2696.55824969,2023
T2-Si-M30-000014,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-05-23 14:00:00+03:00,2023-05-23 14:30:00+03:00,2023-05-23 14:30:00+03:00,80.23,79.9251387983,0.304861201676,304.861201676,2023-05-23 16:30:00+03:00,80.1,EMA50_TREND_LOSS,4,-0.426423563528,0.00656036251581,-0.432983926044,0.393621750949,0.262414500632,2023-05-23 13:00:00+03:00,1,3236.14146657,2023
T2-Si-M30-000015,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-05-23 17:00:00+03:00,2023-05-23 18:30:00+03:00,2023-05-23 18:30:00+03:00,80.24,80.0055579713,0.234442028685,234.442028685,2023-05-24 10:00:00+03:00,80.16,EMA50_TREND_LOSS,13,-0.341235743645,0.00853089359112,-0.349766637236,0.3838902116,0.426544679556,2023-05-23 13:00:00+03:00,3,4189.95806795,2023
T2-Si-M30-000016,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-05-24 17:00:00+03:00,2023-05-24 18:00:00+03:00,2023-05-24 18:00:00+03:00,80.14,80.0087628573,0.131237142711,131.237142711,2023-05-25 10:00:00+03:00,80.1188259919,ATR_TRAILING_STOP,14,-0.16134158144,0.0152395881127,-0.176581169553,0.152395881127,1.98114645465,2023-05-24 16:30:00+03:00,2,7458.76116866,2023
T2-Si-M30-000017,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-05-30 15:30:00+03:00,2023-05-30 16:00:00+03:00,2023-05-30 16:00:00+03:00,81.02,80.7424320255,0.277567974487,277.567974487,2023-05-31 00:00:00+03:00,80.8355077884,ATR_TRAILING_STOP,16,-0.664673984739,0.00720544221174,-0.671879426951,0.576435376939,1.00876190964,2023-05-30 14:00:00+03:00,1,3520.35573204,2023
T2-Si-M30-000018,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-05-31 12:30:00+03:00,2023-05-31 14:00:00+03:00,2023-05-31 14:00:00+03:00,81.16,80.892368648,0.267631351985,267.631351985,2023-05-31 20:30:00+03:00,80.98,EMA50_TREND_LOSS,13,-0.672566942045,0.00747296602272,-0.680039908068,0.93412075284,0.485742791477,2023-05-31 09:30:00+03:00,3,3626.52885605,2023
T2-Si-M30-000019,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-06-19 12:30:00+03:00,2023-06-19 13:30:00+03:00,2023-06-19 13:30:00+03:00,84.09,83.80185603,0.288143970023,288.143970023,2023-06-19 16:30:00+03:00,83.80185603,INITIAL_STOP,6,-1,0.00694097467956,-1.00694097468,0.832916961547,0.0347048733978,2023-06-19 10:00:00+03:00,2,3345.45448985,2023
T2-Si-M30-000020,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-06-22 17:00:00+03:00,2023-06-22 17:30:00+03:00,2023-06-22 17:30:00+03:00,83.94,83.6739152856,0.266084714438,266.084714438,2023-06-22 20:00:00+03:00,83.85,EMA50_TREND_LOSS,5,-0.338238144156,0.00751640320347,-0.34575454736,0.300656128139,0.56373024026,2023-06-22 16:30:00+03:00,1,3586.32364802,2023
T2-Si-M30-000021,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-06-30 12:00:00+03:00,2023-06-30 13:00:00+03:00,2023-06-30 13:00:00+03:00,88.06,87.5620604374,0.497939562576,497.939562576,2023-07-03 09:30:00+03:00,88.744284153,ATR_TRAILING_STOP,23,1.37423134128,0.0040165517069,1.37021478957,0,3.07266205578,2023-06-30 11:00:00+03:00,2,1909.8030313,2023
T2-Si-M30-000022,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-07-04 17:00:00+03:00,2023-07-04 18:30:00+03:00,2023-07-04 18:30:00+03:00,89.11,88.4259347192,0.684065280796,684.065280796,2023-07-06 12:30:00+03:00,92.4806838985,ATR_TRAILING_STOP,48,4.92743016368,0.00292369757119,4.9245064661,0.438554635679,6.66603046232,2023-07-04 16:00:00+03:00,3,1409.21750673,2023
T2-Si-M30-000023,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-07-06 19:00:00+03:00,2023-07-06 19:30:00+03:00,2023-07-06 19:30:00+03:00,91.53,90.9203644479,0.609635552061,609.635552061,2023-07-07 16:30:00+03:00,91.37,EMA50_TREND_LOSS,24,-0.262451885326,0.00328064856657,-0.265732533892,0.721742684645,0.557710256317,2023-07-06 15:30:00+03:00,1,1659.13692085,2023
T2-Si-M30-000024,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-07-12 16:30:00+03:00,2023-07-12 17:30:00+03:00,2023-07-12 17:30:00+03:00,90.62,90.3489780113,0.271021988701,271.021988701,2023-07-13 10:00:00+03:00,90.8247383459,ATR_TRAILING_STOP,15,0.755430756142,0.00737947503665,0.748051281105,0.664152753299,2.47212413728,2023-07-12 16:00:00+03:00,2,3722.1372912,2023
T2-Si-M30-000025,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-07-18 14:00:00+03:00,2023-07-18 14:30:00+03:00,2023-07-18 14:30:00+03:00,90.74,90.5538896763,0.186110323673,186.110323673,2023-07-18 23:30:00+03:00,90.65,EMA50_TREND_LOSS,18,-0.483584135602,0.0107463141245,-0.494330449726,0.698510418091,0.805973559336,2023-07-18 00:00:00+03:00,1,5460.88594332,2023
T2-Si-M30-000026,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-07-19 14:30:00+03:00,2023-07-19 15:30:00+03:00,2023-07-19 15:30:00+03:00,91.09,90.9158260979,0.174173902114,174.173902114,2023-07-20 09:30:00+03:00,91.0742007873,ATR_TRAILING_STOP,18,-0.0907094146056,0.0114827765568,-0.102192191162,0.28706941392,1.37793318682,2023-07-19 13:30:00+03:00,2,5806.28454154,2023
T2-Si-M30-000027,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-07-25 11:00:00+03:00,2023-07-25 11:30:00+03:00,2023-07-25 11:30:00+03:00,89.97,90.2756410314,0.305641031381,305.641031381,2023-07-25 18:30:00+03:00,90.2756410314,INITIAL_STOP,14,-1,0.00654362403819,-1.00654362404,0.785234884583,0.32718120191,2023-07-25 10:30:00+03:00,1,3305.41275131,2023
T2-Si-M30-000028,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-08-02 09:30:00+03:00,2023-08-02 10:30:00+03:00,2023-08-02 10:30:00+03:00,92.31,91.9947310988,0.315268901194,315.268901194,2023-08-02 15:00:00+03:00,92.8037218348,ATR_TRAILING_STOP,9,1.56603405189,0.00634379094299,1.55969026095,0.412346411294,3.6159608375,2023-08-02 00:00:00+03:00,2,3172.21569518,2023
T2-Si-M30-000029,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-08-07 15:30:00+03:00,2023-08-07 16:00:00+03:00,2023-08-07 16:00:00+03:00,96.33,95.8903153979,0.439684602106,439.684602106,2023-08-07 17:30:00+03:00,95.8903153979,INITIAL_STOP,3,-1,0.00454871512539,-1.00454871513,0.977973751959,0.29566648315,2023-08-07 15:00:00+03:00,1,2310.06368866,2023
T2-Si-M30-000030,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-08-09 13:00:00+03:00,2023-08-09 13:30:00+03:00,2023-08-09 13:30:00+03:00,97.18,96.8821117915,0.297888208495,297.888208495,2023-08-09 18:30:00+03:00,97.0704212927,ATR_TRAILING_STOP,10,-0.367851778387,0.0067139280541,-0.374565706441,0.402835683246,2.41701409948,2023-08-09 10:00:00+03:00,1,3375.41470089,2023
T2-Si-M30-000031,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-09-06 15:30:00+03:00,2023-09-06 16:00:00+03:00,2023-09-06 16:00:00+03:00,97.84,97.652699188,0.187300811969,187.300811969,2023-09-07 14:30:00+03:00,98.1060953895,ATR_TRAILING_STOP,27,1.42068465526,0.0106780103032,1.41000664496,0.106780103032,3.95086381218,2023-09-06 14:00:00+03:00,1,5348.24159895,2023
T2-Si-M30-000032,T2_Trend_Pullback_Continuation_v1.0,Si,LONG,2023-09-07 15:30:00+03:00,2023-09-07 17:00:00+03:00,2023-09-07 17:00:00+03:00,98.15,97.5108564453,0.639143554675,639.143554675,2023-09-08 10:30:00+03:00,98.16,EMA50_TREND_LOSS,17,0.0156459373279,0.00312918746559,0.0125167498623,0,0.485024057166,2023-09-07 14:00:00+03:00,3,1589.39951149,2023
T2-Si-M30-000033,T2_Trend_Pullback_Continuation_v1.0,Si,SHORT,2023-09-12 12:00:00+03:00,2023-09-12 13:00:00+03:00,2023-09-12 13:00:00+03:00,94.62,95.1905268486,0.570526848632,570.526848632,2023-09-12 17:00:00+03:00,94.9217128582,ATR_TRAILING_STOP,8,-0.528832006713,0.00350553178136,-0.532337538495,0.315497860323,0.999076557688,2023-09-12 11:00:00+03:00,2,1780.77790374,2023
