trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,year
T3-CNY-H1-000001,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-08 16:00:00+03:00,10.64,10.5667389768,0.0732610232402,2023-02-10 10:00:00+03:00,10.7058671428,ATR_TRAILING_STOP,24,899.074840306,0.899074840306,0.04,0.16,0.545992919985,2.18397167994,0.0658671427703,0.899074840306,13649.8229996,0,899.074840306,0.001,73.2610232402,0,T3_MTF_Trend_v1.0,0.0732610232402,2023
T3-CNY-H1-000002,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-13 14:00:00+03:00,10.81,10.7341089465,0.0758910534667,2023-02-14 17:00:00+03:00,10.773600117,ATR_TRAILING_STOP,18,-483.945650347,-0.479633387237,0.04,0.05,0.527071349953,0.658839187441,-0.0363998830352,-0.479633387237,13295.2528963,0,-483.945650347,0.001,75.8910534667,0,T3_MTF_Trend_v1.0,0.0758910534667,2023
T3-CNY-H1-000003,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-15 13:00:00+03:00,10.87,10.8033000684,0.066699931605,2023-02-15 18:00:00+03:00,10.8111077384,ATR_TRAILING_STOP,5,-886.608713071,-0.882943357464,0.0588922615539,0.04,0.882943357464,0.599700764866,-0.0588922615539,-0.882943357464,15054.7574448,0,-886.608713071,0.001,66.699931605,0,T3_MTF_Trend_v1.0,0.066699931605,2023
T3-CNY-H1-000004,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-16 10:00:00+03:00,10.92,10.8544627509,0.0655372490799,2023-02-16 19:00:00+03:00,10.8544627509,ATR_TRAILING_STOP,9,-995.285204769,-1,0.0655372490799,0,1,0,-0.0655372490799,-1,15186.5575492,0,-995.285204769,0.001,65.5372490799,0,T3_MTF_Trend_v1.0,0.0655372490799,2023
T3-CNY-H1-000005,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-20 18:00:00+03:00,10.89,10.8002945525,0.0897054474578,2023-02-21 13:00:00+03:00,10.8019268556,ATR_TRAILING_STOP,10,-967.402995957,-0.981803747016,0.0880731444418,0.04,0.981803747016,0.445903801091,-0.0880731444418,-0.981803747016,10984.0860354,0,-967.402995957,0.001,89.7054474578,0,T3_MTF_Trend_v1.0,0.0897054474578,2023
T3-CNY-H1-000006,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-22 19:00:00+03:00,10.91,10.8408434708,0.0691565291659,2023-02-24 11:00:00+03:00,10.860650003,ATR_TRAILING_STOP,7,-696.228336816,-0.713598521709,0.0493499969793,0.05,0.713598521709,0.722997533321,-0.0493499969793,-0.713598521709,14107.9712144,0,-696.228336816,0.001,69.1565291659,0,T3_MTF_Trend_v1.0,0.0691565291659,2023
T3-CNY-H1-000007,T3_MTF_Trend_v1.0,CNY,LONG,2023-03-01 10:00:00+03:00,10.86,10.7788727761,0.0811272239334,2023-03-02 19:00:00+03:00,10.8591082935,ATR_TRAILING_STOP,24,-10.6473816451,-0.0109914578073,0.01,0.09,0.123263184849,1.10936866364,-0.000891706458887,-0.0109914578073,11940.4558966,0,-10.6473816451,0.001,81.1272239334,0,T3_MTF_Trend_v1.0,0.0811272239334,2023
T3-CNY-H1-000008,T3_MTF_Trend_v1.0,CNY,LONG,2023-03-17 20:00:00+03:00,11.22,11.1469214503,0.0730785497066,2023-03-20 14:00:00+03:00,11.1856411144,ATR_TRAILING_STOP,9,-455.395711062,-0.470163758982,0.05,0.1,0.684195296715,1.36839059343,-0.034358885631,-0.470163758982,13254.0885043,0,-455.395711062,0.001,73.0785497066,0,T3_MTF_Trend_v1.0,0.0730785497066,2023
T3-CNY-H1-000009,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-03 18:00:00+03:00,11.44,11.3647057793,0.0752942207484,2023-04-04 16:00:00+03:00,11.4826289618,ATR_TRAILING_STOP,13,545.803339377,0.566165123554,0.01,0.15,0.132812318138,1.99218477207,0.0426289617929,0.566165123554,12803.5803928,0,545.803339377,0.001,75.2942207484,0,T3_MTF_Trend_v1.0,0.0752942207484,2023
T3-CNY-H1-000010,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-05 18:00:00+03:00,11.6,11.5312883638,0.0687116362166,2023-04-07 14:00:00+03:00,11.9383614032,ATR_TRAILING_STOP,26,4774.14375628,4.92436829923,0.03,0.5,0.436607271371,7.27678785619,0.338361403173,4.92436829923,14109.5991195,0,4774.14375628,0.001,68.7116362166,0,T3_MTF_Trend_v1.0,0.0687116362166,2023
T3-CNY-H1-000011,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-11 12:00:00+03:00,11.96,11.871098454,0.0889015459736,2023-04-12 19:00:00+03:00,11.8926892968,ATR_TRAILING_STOP,22,-770.186926952,-0.757137600277,0.0673107031793,0.03,0.757137600277,0.337451949474,-0.0673107031793,-0.757137600277,11442.2653541,0,-770.186926952,0.001,88.9015459736,0,T3_MTF_Trend_v1.0,0.0889015459736,2023
T3-CNY-H1-000012,T3_MTF_Trend_v1.0,CNY,SHORT,2023-05-04 12:00:00+03:00,11.37,11.441204479,0.0712044790278,2023-05-08 10:00:00+03:00,11.1914554448,ATR_TRAILING_STOP,28,2531.3949404,2.50749050644,0.01,0.31,0.140440603408,4.35365870564,0.178544555178,2.50749050644,14177.9453194,0,2531.3949404,0.001,71.2044790278,0,T3_MTF_Trend_v1.0,0.0712044790278,2023
T3-CNY-H1-000013,T3_MTF_Trend_v1.0,CNY,SHORT,2023-05-10 13:00:00+03:00,11.03,11.1330488331,0.103048833123,2023-05-11 14:00:00+03:00,10.9695362411,ATR_TRAILING_STOP,16,607.195125847,0.586748603636,0,0.21,0,2.03786878157,0.0604637589416,0.586748603636,10042.2986674,0,607.195125847,0.001,103.048833123,0,T3_MTF_Trend_v1.0,0.103048833123,2023
T3-CNY-H1-000014,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-13 20:00:00+03:00,11.77,11.6882096912,0.0817903087581,2023-06-14 13:00:00+03:00,11.7455909858,ATR_TRAILING_STOP,8,-310.645720318,-0.298434063791,0.0244090142214,0.1,0.298434063791,1.22263873946,-0.0244090142214,-0.298434063791,12726.6802953,0,-310.645720318,0.001,81.7903087581,0,T3_MTF_Trend_v1.0,0.0817903087581,2023
T3-CNY-H1-000015,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-16 19:00:00+03:00,11.8,11.7296311735,0.0703688264904,2023-06-19 11:00:00+03:00,11.7304286178,ATR_TRAILING_STOP,7,-1026.0517951,-0.988667647795,0.0695713821644,0.03,0.988667647795,0.426325142769,-0.0695713821644,-0.988667647795,14748.1875906,0,-1026.0517951,0.001,70.3688264904,0,T3_MTF_Trend_v1.0,0.0703688264904,2023
T3-CNY-H1-000016,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-28 15:00:00+03:00,11.84,11.7666792577,0.0733207422539,2023-06-29 22:00:00+03:00,12.09,ATR_TRAILING_STOP,22,3503.62020376,3.40967633871,0.01,0.45,0.136387053548,6.13741740968,0.25,3.40967633871,14014.480815,0,3503.62020376,0.001,73.3207422539,0,T3_MTF_Trend_v1.0,0.0733207422539,2023
T3-CNY-H1-000017,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-30 19:00:00+03:00,12.35,12.220043247,0.129956752972,2023-07-03 10:00:00+03:00,12.220043247,ATR_TRAILING_STOP,6,-1062.5883377,-1,0.129956752972,0.01,1,0.0769486753962,-0.129956752972,-1,8176.47650774,0,-1062.5883377,0.001,129.956752972,0,T3_MTF_Trend_v1.0,0.129956752972,2023
T3-CNY-H1-000018,T3_MTF_Trend_v1.0,CNY,LONG,2023-07-04 12:00:00+03:00,12.38,12.2619886459,0.118011354052,2023-07-04 18:00:00+03:00,12.2917765765,ATR_TRAILING_STOP,6,-786.430507966,-0.747584198214,0.0882234234989,0.09,0.747584198214,0.762638482739,-0.0882234234989,-0.747584198214,8914.07833403,0,-786.430507966,0.001,118.011354052,0,T3_MTF_Trend_v1.0,0.118011354052,2023
T3-CNY-H1-000019,T3_MTF_Trend_v1.0,CNY,LONG,2023-07-06 11:00:00+03:00,12.86,12.6860644244,0.17393557561,2023-07-06 13:00:00+03:00,12.6860644244,ATR_TRAILING_STOP,2,-1044.09814924,-1,0.17393557561,0.04,1,0.229970205117,-0.17393557561,-1,6002.78663858,0,-1044.09814924,0.001,173.93557561,0,T3_MTF_Trend_v1.0,0.17393557561,2023
T3-CNY-H1-000020,T3_MTF_Trend_v1.0,CNY,LONG,2023-08-02 12:00:00+03:00,12.92,12.8391557824,0.0808442175697,2023-08-07 18:00:00+03:00,13.3100817848,ATR_TRAILING_STOP,51,4987.50368246,4.8251043364,0,0.57,0,7.05059702642,0.390081784768,4.8251043364,12785.7897426,0,4987.50368246,0.001,80.8442175697,0,T3_MTF_Trend_v1.0,0.0808442175697,2023
T3-CNY-H1-000021,T3_MTF_Trend_v1.0,CNY,LONG,2023-08-09 15:00:00+03:00,13.54,13.4222147349,0.1177852651,2023-08-09 19:00:00+03:00,13.4222147349,ATR_TRAILING_STOP,4,-1083.53220457,-1,0.1177852651,0.04,1,0.339601052526,-0.1177852651,-1,9199.21692798,0,-1083.53220457,0.001,117.7852651,0,T3_MTF_Trend_v1.0,0.1177852651,2023
T3-CNY-H1-000022,T3_MTF_Trend_v1.0,CNY,LONG,2023-08-11 15:00:00+03:00,13.6,13.5050019764,0.094998023598,2023-08-14 18:00:00+03:00,13.7967419722,ATR_TRAILING_STOP,18,2221.56727304,2.07101121409,0.03,0.37,0.315796043578,3.8948178708,0.196741972188,2.07101121409,11291.7810487,0,2221.56727304,0.001,94.998023598,0,T3_MTF_Trend_v1.0,0.094998023598,2023
T3-CNY-H1-000023,T3_MTF_Trend_v1.0,CNY,LONG,2023-09-14 19:00:00+03:00,13.34,13.2225507242,0.117449275821,2023-09-15 14:00:00+03:00,13.2297567709,ATR_TRAILING_STOP,10,-1027.73469521,-0.938645456454,0.110243229113,0.05,0.938645456454,0.425715694291,-0.110243229113,-0.938645456454,9322.429173,0,-1027.73469521,0.001,117.449275821,0,T3_MTF_Trend_v1.0,0.117449275821,2023
T3-CNY-H1-000024,T3_MTF_Trend_v1.0,CNY,LONG,2023-10-09 14:00:00+03:00,13.897,13.7944063562,0.102593643759,2023-10-09 17:00:00+03:00,13.8617445676,ATR_TRAILING_STOP,3,-372.725656691,-0.343641487789,0.0352554323791,0.137,0.343641487789,1.33536537918,-0.0352554323791,-0.343641487789,10572.1482205,0,-372.725656691,0.001,102.593643759,0,T3_MTF_Trend_v1.0,0.102593643759,2023
T3-CNY-H1-000025,T3_MTF_Trend_v1.0,CNY,SHORT,2023-10-31 10:00:00+03:00,12.553,12.6553354836,0.102335483606,2023-10-31 16:00:00+03:00,12.6423232669,ATR_TRAILING_STOP,6,-943.46775973,-0.872847459592,0.089323266892,0.059,0.872847459592,0.576535116861,-0.089323266892,-0.872847459592,10562.3964792,0,-943.46775973,0.001,102.335483606,0,T3_MTF_Trend_v1.0,0.102335483606,2023
T3-CNY-H1-000026,T3_MTF_Trend_v1.0,CNY,SHORT,2023-11-16 12:00:00+03:00,12.24,12.3068267947,0.0668267947234,2023-11-16 20:00:00+03:00,12.3068267947,ATR_TRAILING_STOP,8,-1071.47327414,-1,0.0668267947234,0.002,1,0.0299281150365,-0.0668267947234,-1,16033.5877035,0,-1071.47327414,0.001,66.8267947234,0,T3_MTF_Trend_v1.0,0.0668267947234,2023
