trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,year
T3-Si-H4-000001,T3_MTF_Trend_v1.0,Si,LONG,2023-04-06 12:00:00+03:00,80.49,79.4871493348,1.00285066521,2023-04-07 16:00:00+03:00,80.8787702743,ATR_TRAILING_STOP,4,387.665170725,0.387665170725,0.03,2.17,0.0299147231394,2.16383164042,0.388770274341,0.387665170725,997.15743798,0,387.665170725,0.001,1002.85066521,0,T3_MTF_Trend_v1.0,1.00285066521,2023
T3-Si-H4-000002,T3_MTF_Trend_v1.0,Si,SHORT,2023-05-11 12:00:00+03:00,75.38,76.9793125197,1.59931251968,2023-05-11 16:00:00+03:00,76.9793125197,ATR_TRAILING_STOP,1,-1003.87665171,-1,1.59931251968,0,1,0,-1.59931251968,-1,627.692611267,0,-1003.87665171,0.001,1599.31251968,0,T3_MTF_Trend_v1.0,1.59931251968,2023
T3-Si-H4-000003,T3_MTF_Trend_v1.0,Si,LONG,2023-05-17 12:00:00+03:00,80.69,79.1579017804,1.53209821962,2023-06-15 16:00:00+03:00,83.3773879922,ATR_TRAILING_STOP,61,1743.24854938,1.75405725155,1.3,4.31,0.848509569004,2.81313557108,2.6873879922,1.75405725155,648.677658171,0,1743.24854938,0.001,1532.09821962,0,T3_MTF_Trend_v1.0,1.53209821962,2023
T3-Si-H4-000004,T3_MTF_Trend_v1.0,Si,LONG,2023-06-28 16:00:00+03:00,86,84.7860006514,1.21399934863,2023-06-30 16:00:00+03:00,87.66,ATR_TRAILING_STOP,6,1382.79218785,1.3673812938,0.05,8.71,0.0411861835482,7.1746331741,1.66,1.3673812938,833.007342078,0,1382.79218785,0.001,1213.99934863,0,T3_MTF_Trend_v1.0,1.21399934863,2023
T3-Si-H4-000005,T3_MTF_Trend_v1.0,Si,LONG,2023-08-07 13:00:00+03:00,96.44,94.853696218,1.58630378197,2023-08-07 21:00:00+03:00,94.853696218,ATR_TRAILING_STOP,2,-1025.09829256,-1,1.58630378197,0.14,1,0.0882554789261,-1.58630378197,-1,646.21814826,0,-1025.09829256,0.001,1586.30378197,0,T3_MTF_Trend_v1.0,1.58630378197,2023
T3-Si-H4-000006,T3_MTF_Trend_v1.0,Si,LONG,2023-08-08 20:00:00+03:00,97.13,95.4097405655,1.72025943453,2023-08-14 21:00:00+03:00,98.8209984379,ATR_TRAILING_STOP,12,997.58512052,0.982990358301,0.75,4.49,0.435980750894,2.61007142868,1.69099843792,0.982990358301,589.938522797,0,997.58512052,0.001,1720.25943453,0,T3_MTF_Trend_v1.0,1.72025943453,2023
T3-Si-H4-000007,T3_MTF_Trend_v1.0,Si,LONG,2023-08-25 20:00:00+03:00,95.63,93.8740385312,1.75596146884,2023-09-11 13:00:00+03:00,96.6817410072,ATR_TRAILING_STOP,28,613.822434355,0.598954490695,0.57,2.95,0.324608489489,1.67999130525,1.05174100725,0.598954490695,583.625084621,0,613.822434355,0.001,1755.96146884,0,T3_MTF_Trend_v1.0,1.75596146884,2023
T3-Si-H4-000008,T3_MTF_Trend_v1.0,Si,SHORT,2023-12-14 12:00:00+03:00,89.55,90.8656692807,1.3156692807,2023-12-20 16:00:00+03:00,90.8656692807,ATR_TRAILING_STOP,13,-1030.96138519,-1,1.3156692807,0.02,1,0.0152013885962,-1.3156692807,-1,783.602232194,0,-1030.96138519,0.001,1315.6692807,0,T3_MTF_Trend_v1.0,1.3156692807,2023
T3-Si-H4-000009,T3_MTF_Trend_v1.0,Si,SHORT,2024-06-13 14:00:00+03:00,88.05,89.5431547128,1.49315471279,2024-06-13 18:00:00+03:00,89.5431547128,ATR_TRAILING_STOP,1,-1020.65177133,-1,1.49315471279,0,1,0,-1.49315471279,-1,683.553929536,0,-1020.65177133,0.001,1493.15471279,0,T3_MTF_Trend_v1.0,1.49315471279,2024
T3-Si-H4-000010,T3_MTF_Trend_v1.0,Si,SHORT,2024-06-18 21:00:00+03:00,85.25,87.3350246308,2.08502463078,2024-06-20 13:00:00+03:00,84.0993617605,ATR_TRAILING_STOP,4,557.622644162,0.551858343799,0,4.68,0,2.24457780062,1.15063823952,0.551858343799,484.620295944,0,557.622644162,0.001,2085.02463078,0,T3_MTF_Trend_v1.0,2.08502463078,2024
