trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,year
T3-CNY-M30-000001,T3_MTF_Trend_v1.0,CNY,LONG,2023-01-30 14:30:00+03:00,10.35,10.3096466529,0.0403533470837,2023-01-31 10:30:00+03:00,10.42,ATR_TRAILING_STOP,22,1734.67642857,1.73467642857,0.02,0.14,0.495621836735,3.46935285714,0.07,1.73467642857,24781.0918367,0,1734.67642857,0.001,40.3533470837,0,T3_MTF_Trend_v1.0,0.0403533470837,2023
T3-CNY-M30-000002,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-08 19:30:00+03:00,10.68,10.6235817282,0.0564182717575,2023-02-10 09:30:00+03:00,10.7383542517,ATR_TRAILING_STOP,40,1052.25678267,1.03431476819,0.02,0.12,0.354495084251,2.12697050551,0.0583542516746,1.03431476819,18032.2213459,0,1052.25678267,0.001,56.4182717575,0,T3_MTF_Trend_v1.0,0.0564182717575,2023
T3-CNY-M30-000003,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-10 20:00:00+03:00,10.78,10.7337148249,0.0462851751464,2023-02-10 23:00:00+03:00,10.7337148249,ATR_TRAILING_STOP,6,-1027.86933211,-1,0.0462851751464,0.02,1,0.432103798608,-0.0462851751464,-1,22207.3121439,0,-1027.86933211,0.001,46.2851751464,0,T3_MTF_Trend_v1.0,0.0462851751464,2023
T3-CNY-M30-000004,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-15 12:00:00+03:00,10.84,10.7921286531,0.0478713469168,2023-02-15 17:30:00+03:00,10.8359365284,ATR_TRAILING_STOP,11,-86.3763173878,-0.0848831682359,0.01,0.07,0.208893224111,1.46225256878,-0.00406347159402,-0.0848831682359,21256.7789363,0,-86.3763173878,0.001,47.8713469168,0,T3_MTF_Trend_v1.0,0.0478713469168,2023
T3-CNY-M30-000005,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-16 10:00:00+03:00,10.92,10.8727556115,0.0472443884981,2023-02-16 10:30:00+03:00,10.8727556115,ATR_TRAILING_STOP,1,-1016.72687562,-1,0.0472443884981,0,1,0,-0.0472443884981,-1,21520.5849401,0,-1016.72687562,0.001,47.2443884981,0,T3_MTF_Trend_v1.0,0.0472443884981,2023
T3-CNY-M30-000006,T3_MTF_Trend_v1.0,CNY,LONG,2023-02-20 16:30:00+03:00,10.84,10.7752961505,0.0647038494685,2023-02-21 13:00:00+03:00,10.8385414231,ATR_TRAILING_STOP,23,-22.6902204357,-0.0225423514723,0.02,0.09,0.3091006202,1.3909527909,-0.00145857691633,-0.0225423514723,15556.4099374,0,-22.6902204357,0.001,64.7038494685,0,T3_MTF_Trend_v1.0,0.0647038494685,2023
T3-CNY-M30-000007,T3_MTF_Trend_v1.0,CNY,SHORT,2023-02-28 09:30:00+03:00,10.67,10.7380616513,0.0680616513113,2023-02-28 10:30:00+03:00,10.7380616513,ATR_TRAILING_STOP,2,-1006.33270466,-1,0.0680616513113,0.02,1,0.293851230681,-0.0680616513113,-1,14785.6051869,0,-1006.33270466,0.001,68.0616513113,0,T3_MTF_Trend_v1.0,0.0680616513113,2023
T3-CNY-M30-000008,T3_MTF_Trend_v1.0,CNY,LONG,2023-03-17 09:30:00+03:00,11.14,11.0906770059,0.0493229941475,2023-03-20 09:30:00+03:00,11.1818615085,ATR_TRAILING_STOP,30,845.555704197,0.848721965363,0.04,0.12,0.810980774613,2.43294232384,0.0418615085305,0.848721965363,20198.8827895,0,845.555704197,0.001,49.3229941475,0,T3_MTF_Trend_v1.0,0.0493229941475,2023
T3-CNY-M30-000009,T3_MTF_Trend_v1.0,CNY,LONG,2023-03-20 11:00:00+03:00,11.3,11.2275284004,0.0724715995915,2023-03-20 13:00:00+03:00,11.2275284004,ATR_TRAILING_STOP,4,-1004.72493465,-1,0.0724715995915,0,1,0,-0.0724715995915,-1,13863.705787,0,-1004.72493465,0.001,72.4715995915,0,T3_MTF_Trend_v1.0,0.0724715995915,2023
T3-CNY-M30-000010,T3_MTF_Trend_v1.0,CNY,LONG,2023-03-21 09:30:00+03:00,11.23,11.1834091089,0.0465908911051,2023-03-21 10:30:00+03:00,11.1834091089,ATR_TRAILING_STOP,2,-994.677685306,-1,0.0465908911051,0.02,1,0.429268458396,-0.0465908911051,-1,21349.1878286,0,-994.677685306,0.001,46.5908911051,0,T3_MTF_Trend_v1.0,0.0465908911051,2023
T3-CNY-M30-000011,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-03 14:00:00+03:00,11.35,11.2925893974,0.0574106026336,2023-04-04 15:00:00+03:00,11.5121912126,ATR_TRAILING_STOP,32,2781.97219365,2.82510904224,0,0.24,0,4.18041248464,0.162191212621,2.82510904224,17152.4224321,0,2781.97219365,0.001,57.4106026336,0,T3_MTF_Trend_v1.0,0.0574106026336,2023
T3-CNY-M30-000012,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-05 18:00:00+03:00,11.6,11.5524008322,0.0475991677633,2023-04-06 16:30:00+03:00,11.6965944832,ATR_TRAILING_STOP,27,2054.80073311,2.02933134546,0.03,0.19,0.630263120338,3.99166642881,0.0965944831599,2.02933134546,21272.4439936,0,2054.80073311,0.001,47.5991677633,0,T3_MTF_Trend_v1.0,0.0475991677633,2023
T3-CNY-M30-000013,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-06 19:30:00+03:00,11.83,11.7626977129,0.0673022870719,2023-04-07 14:00:00+03:00,12.0111631842,ATR_TRAILING_STOP,19,2780.87784106,2.691783475,0.01,0.31,0.14858336076,4.60608418357,0.18116318417,2.691783475,15350.1267589,0,2780.87784106,0.001,67.3022870719,0,T3_MTF_Trend_v1.0,0.0673022870719,2023
T3-CNY-M30-000014,T3_MTF_Trend_v1.0,CNY,LONG,2023-04-10 11:30:00+03:00,11.9,11.8168732781,0.0831267219495,2023-04-10 16:30:00+03:00,11.8228864046,ATR_TRAILING_STOP,10,-984.164698186,-0.927663133674,0.0771135953757,0.02,0.927663133674,0.240596519759,-0.0771135953757,-0.927663133674,12762.5316054,0,-984.164698186,0.001,83.1267219495,0,T3_MTF_Trend_v1.0,0.0831267219495,2023
T3-CNY-M30-000015,T3_MTF_Trend_v1.0,CNY,SHORT,2023-04-27 18:00:00+03:00,11.7,11.7406906329,0.0406906329267,2023-04-28 09:30:00+03:00,11.7406906329,ATR_TRAILING_STOP,13,-1051.06576915,-1,0.0406906329267,0,1,0,-0.0406906329267,-1,25830.6566782,0,-1051.06576915,0.001,40.6906329267,0,T3_MTF_Trend_v1.0,0.0406906329267,2023
T3-CNY-M30-000016,T3_MTF_Trend_v1.0,CNY,SHORT,2023-04-28 12:30:00+03:00,11.68,11.7273124007,0.0473124007233,2023-04-28 17:00:00+03:00,11.521328332,ATR_TRAILING_STOP,9,3489.71120988,3.35370147285,0.01,0.28,0.211361077585,5.91811017237,0.15867166799,3.35370147285,21993.2849644,0,3489.71120988,0.001,47.3124007233,0,T3_MTF_Trend_v1.0,0.0473124007233,2023
T3-CNY-M30-000017,T3_MTF_Trend_v1.0,CNY,SHORT,2023-05-02 12:30:00+03:00,11.45,11.5207419145,0.070741914485,2023-05-02 18:30:00+03:00,11.5207419145,ATR_TRAILING_STOP,12,-1075.45222356,-1,0.070741914485,0,1,0,-0.070741914485,-1,15202.4755251,0,-1075.45222356,0.001,70.741914485,0,T3_MTF_Trend_v1.0,0.070741914485,2023
T3-CNY-M30-000018,T3_MTF_Trend_v1.0,CNY,SHORT,2023-05-03 11:30:00+03:00,11.42,11.4819578765,0.0619578765188,2023-05-03 17:30:00+03:00,11.4819578765,ATR_TRAILING_STOP,12,-1064.69770132,-1,0.0619578765188,0.01,1,0.1613999795,-0.0619578765188,-1,17184.2187167,0,-1064.69770132,0.001,61.9578765188,0,T3_MTF_Trend_v1.0,0.0619578765188,2023
T3-CNY-M30-000019,T3_MTF_Trend_v1.0,CNY,SHORT,2023-05-04 13:00:00+03:00,11.31,11.3697528878,0.0597528878199,2023-05-04 23:30:00+03:00,11.3116606031,ATR_TRAILING_STOP,21,-29.293310099,-0.0277911768603,0.03,0.09,0.502067784413,1.50620335324,-0.00166060307332,-0.0277911768603,17640.1637271,0,-29.293310099,0.001,59.7528878199,0,T3_MTF_Trend_v1.0,0.0597528878199,2023
T3-CNY-M30-000020,T3_MTF_Trend_v1.0,CNY,SHORT,2023-05-05 10:00:00+03:00,11.16,11.2380349474,0.0780349474022,2023-05-05 15:30:00+03:00,11.1781788092,ATR_TRAILING_STOP,11,-245.48055094,-0.232957282014,0.02,0.1,0.256295424881,1.2814771244,-0.0181788092489,-0.232957282014,13503.6650409,0,-245.48055094,0.001,78.0349474022,0,T3_MTF_Trend_v1.0,0.0780349474022,2023
T3-CNY-M30-000021,T3_MTF_Trend_v1.0,CNY,SHORT,2023-05-10 11:00:00+03:00,11.14,11.2051020712,0.0651020711918,2023-05-11 13:30:00+03:00,10.9258457014,ATR_TRAILING_STOP,35,3458.27789179,3.28951590439,0,0.32,0,4.91535820814,0.214154298595,3.28951590439,16148.533625,0,3458.27789179,0.001,65.1020711918,0,T3_MTF_Trend_v1.0,0.0651020711918,2023
T3-CNY-M30-000022,T3_MTF_Trend_v1.0,CNY,LONG,2023-05-30 09:30:00+03:00,11.45,11.4102965462,0.0397034538417,2023-05-30 10:30:00+03:00,11.4102965462,ATR_TRAILING_STOP,2,-1085.88576462,-1,0.0397034538417,0,1,0,-0.0397034538417,-1,27349.9068606,0,-1085.88576462,0.001,39.7034538417,0,T3_MTF_Trend_v1.0,0.0397034538417,2023
T3-CNY-M30-000023,T3_MTF_Trend_v1.0,CNY,LONG,2023-05-30 20:00:00+03:00,11.46,11.4027759636,0.0572240364063,2023-05-30 23:00:00+03:00,11.4027759636,ATR_TRAILING_STOP,6,-1075.02690697,-1,0.0572240364063,0,1,0,-0.0572240364063,-1,18786.282382,0,-1075.02690697,0.001,57.2240364063,0,T3_MTF_Trend_v1.0,0.0572240364063,2023
T3-CNY-M30-000024,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-13 09:30:00+03:00,11.62,11.578666397,0.0413336030354,2023-06-13 14:00:00+03:00,11.6649523197,ATR_TRAILING_STOP,9,1157.45301981,1.08754902493,0.04,0.13,0.967735620961,3.14514076812,0.0449523196781,1.08754902493,25748.4603263,0,1157.45301981,0.001,41.3336030354,0,T3_MTF_Trend_v1.0,0.0413336030354,2023
T3-CNY-M30-000025,T3_MTF_Trend_v1.0,CNY,LONG,2023-06-13 19:30:00+03:00,11.76,11.699291201,0.0607087989963,2023-06-14 12:00:00+03:00,11.784002949,ATR_TRAILING_STOP,15,425.368334549,0.395378419584,0.01,0.11,0.164720768082,1.8119284489,0.024002949002,0.395378419584,17721.5030751,0,425.368334549,0.001,60.7087989963,0,T3_MTF_Trend_v1.0,0.0607087989963,2023
