trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,year
T3-Si-M30-000001,T3_MTF_Trend_v1.0,Si,LONG,2023-01-30 15:00:00+03:00,70,69.7934130989,0.206586901069,2023-01-31 10:00:00+03:00,70.5710808297,ATR_TRAILING_STOP,20,2764.36127734,2.76436127734,0.17,0.9,0.822898253084,4.35652016339,0.571080829721,2.76436127734,4840.57795932,0,2764.36127734,0.001,206.586901069,0,T3_MTF_Trend_v1.0,0.206586901069,2023
T3-Si-M30-000002,T3_MTF_Trend_v1.0,Si,LONG,2023-02-02 17:00:00+03:00,70.31,70.0274720622,0.28252793785,2023-02-02 22:30:00+03:00,70.2131377271,ATR_TRAILING_STOP,11,-352.318771647,-0.34284139683,0.1,0.28,0.353947297252,0.991052432304,-0.096862272856,-0.34284139683,3637.31679279,0,-352.318771647,0.001,282.52793785,0,T3_MTF_Trend_v1.0,0.28252793785,2023
T3-Si-M30-000003,T3_MTF_Trend_v1.0,Si,LONG,2023-02-08 10:30:00+03:00,71.5,71.2525741723,0.247425827713,2023-02-09 15:00:00+03:00,72.7169808468,ATR_TRAILING_STOP,39,5037.20631612,4.91856835669,0.02,1.7,0.080832305119,6.87074593511,1.21698084682,4.91856835669,4139.10073384,0,5037.20631612,0.001,247.425827713,0,T3_MTF_Trend_v1.0,0.247425827713,2023
T3-Si-M30-000004,T3_MTF_Trend_v1.0,Si,LONG,2023-02-10 17:30:00+03:00,73.17,72.8777946532,0.292205346755,2023-02-10 23:30:00+03:00,73.1580177023,ATR_TRAILING_STOP,12,-44.0610996387,-0.0410064287297,0.07,0.43,0.239557560385,1.47156787093,-0.0119822977261,-0.0410064287297,3677.1828447,0,-44.0610996387,0.001,292.205346755,0,T3_MTF_Trend_v1.0,0.292205346755,2023
T3-Si-M30-000005,T3_MTF_Trend_v1.0,Si,LONG,2023-02-13 11:30:00+03:00,73.65,73.3076567543,0.342343245653,2023-02-13 20:30:00+03:00,73.4704604152,ATR_TRAILING_STOP,18,-563.279195659,-0.524443192741,0.179539584764,0.2,0.524443192741,0.584208984811,-0.179539584764,-0.524443192741,3137.35378413,0,-563.279195659,0.001,342.343245653,0,T3_MTF_Trend_v1.0,0.342343245653,2023
T3-Si-M30-000006,T3_MTF_Trend_v1.0,Si,LONG,2023-02-15 11:30:00+03:00,73.99,73.7062162616,0.283783738372,2023-02-17 11:00:00+03:00,74.8475739943,ATR_TRAILING_STOP,59,3228.68543414,3.02192789203,0,1.15,0,4.05238160086,0.857573994291,3.02192789203,3764.90595055,0,3228.68543414,0.001,283.783738372,0,T3_MTF_Trend_v1.0,0.283783738372,2023
T3-Si-M30-000007,T3_MTF_Trend_v1.0,Si,LONG,2023-02-20 17:30:00+03:00,74.68,74.2754494996,0.404550500445,2023-02-21 13:00:00+03:00,74.4380499009,ATR_TRAILING_STOP,21,-658.300782796,-0.598071436801,0.29,0.3,0.71684499137,0.741563784175,-0.24195009906,-0.598071436801,2720.81220613,0,-658.300782796,0.001,404.550500445,0,T3_MTF_Trend_v1.0,0.404550500445,2023
T3-Si-M30-000008,T3_MTF_Trend_v1.0,Si,LONG,2023-02-28 14:00:00+03:00,74.99,74.5595543388,0.430445661206,2023-03-01 16:30:00+03:00,74.9555172656,ATR_TRAILING_STOP,35,-87.6495080955,-0.0801093785257,0.3,0.36,0.696952082546,0.836342499055,-0.0344827344083,-0.0801093785257,2541.83751955,0,-87.6495080955,0.001,430.445661206,0,T3_MTF_Trend_v1.0,0.430445661206,2023
T3-Si-M30-000009,T3_MTF_Trend_v1.0,Si,LONG,2023-03-14 20:30:00+03:00,75.5,75.2832040012,0.21679599881,2023-03-16 11:00:00+03:00,76.0764786345,ATR_TRAILING_STOP,41,2907.0334161,2.65908336722,0.09,0.99,0.415136812921,4.56650494213,0.576478634516,2.65908336722,5042.74268298,0,2907.0334161,0.001,216.79599881,0,T3_MTF_Trend_v1.0,0.21679599881,2023
T3-Si-M30-000010,T3_MTF_Trend_v1.0,Si,LONG,2023-03-17 15:00:00+03:00,76.9,76.5822282049,0.317771795058,2023-03-20 13:00:00+03:00,77.3401715579,ATR_TRAILING_STOP,26,1554.61223788,1.38518133048,0.08,0.92,0.251752991436,2.89515940152,0.440171557867,1.38518133048,3531.83255503,0,1554.61223788,0.001,317.771795058,0,T3_MTF_Trend_v1.0,0.317771795058,2023
T3-Si-M30-000011,T3_MTF_Trend_v1.0,Si,LONG,2023-03-24 16:30:00+03:00,76.83,76.5241552035,0.305844796541,2023-03-27 09:30:00+03:00,76.9144189697,ATR_TRAILING_STOP,16,314.071758609,0.276018983021,0.09,0.41,0.29426689948,1.34054920874,0.0844189697034,0.276018983021,3720.39317362,0,314.071758609,0.001,305.844796541,0,T3_MTF_Trend_v1.0,0.305844796541,2023
T3-Si-M30-000012,T3_MTF_Trend_v1.0,Si,LONG,2023-03-31 16:30:00+03:00,77.97,77.6767903311,0.293209668929,2023-03-31 17:00:00+03:00,77.6767903311,ATR_TRAILING_STOP,1,-1141.00361082,-1,0.293209668929,0,1,0,-0.293209668929,-1,3891.42559654,0,-1141.00361082,0.001,293.209668929,0,T3_MTF_Trend_v1.0,0.293209668929,2023
T3-Si-M30-000013,T3_MTF_Trend_v1.0,Si,LONG,2023-04-03 14:00:00+03:00,78.2,77.8828434481,0.31715655193,2023-04-04 10:30:00+03:00,79.2464483011,ATR_TRAILING_STOP,23,3727.05930233,3.29946928325,0.01,1.6,0.0315301700033,5.04482720052,1.04644830108,3.29946928325,3561.62774454,0,3727.05930233,0.001,317.15655193,0,T3_MTF_Trend_v1.0,0.31715655193,2023
T3-Si-M30-000014,T3_MTF_Trend_v1.0,Si,LONG,2023-04-05 10:30:00+03:00,79.65,79.3511089609,0.298891039133,2023-04-06 16:30:00+03:00,80.5701241297,ATR_TRAILING_STOP,42,3592.1447494,3.07846007163,0.27,1.45,0.903339226172,4.85126621463,0.920124129738,3.07846007163,3903.97842346,0,3592.1447494,0.001,298.891039133,0,T3_MTF_Trend_v1.0,0.298891039133,2023
T3-Si-M30-000015,T3_MTF_Trend_v1.0,Si,LONG,2023-04-06 18:30:00+03:00,81.24,80.8613320572,0.378667942793,2023-04-07 10:00:00+03:00,82.0375375977,ATR_TRAILING_STOP,13,2533.26633096,2.10616613541,0.09,1.42,0.23767525536,3.74998736235,0.797537597676,2.10616613541,3176.35975826,0,2533.26633096,0.001,378.667942793,0,T3_MTF_Trend_v1.0,0.378667942793,2023
