strategy,instrument,timeframe,status,trades,PF,expectancy,net_R,max_drawdown,recovery_factor,win_rate,average_holding_hours,average_MAE_R,average_MFE_R
T2,CNYRUBF,M30,AVAILABLE,79,1.51583168381,0.22577545418,17.8362608802,-8.71467424078,2.04669278363,0.405063291139,19.9810126582,0.446767877126,1.70569841774
T2,EURRUBF,M30,DATA_UNAVAILABLE,0,,,0,0,,,,,
T2,HKDRUBF,M30,DATA_UNAVAILABLE,0,,,0,0,,,,,
T2,USDRUBF,M30,AVAILABLE,99,1.46660362726,0.220014415113,21.7814270962,-8.17554240967,2.66421798148,0.262626262626,15.2777777778,0.467524558895,1.65525573378
T2,CNYRUBF,H1,AVAILABLE,38,2.6262830423,0.622654774967,23.6608814487,-3.50967411685,6.74161778587,0.473684210526,42.5,0.424821536013,2.36944991891
T2,EURRUBF,H1,DATA_UNAVAILABLE,0,,,0,0,,,,,
T2,HKDRUBF,H1,DATA_UNAVAILABLE,0,,,0,0,,,,,
T2,USDRUBF,H1,AVAILABLE,41,2.92570592294,0.876377218854,35.931465973,-10.1651646221,3.53476478825,0.414634146341,41.1463414634,0.472696754802,2.65743380569
T2,CNYRUBF,H4,AVAILABLE,9,1.77825336845,0.544587306684,4.90128576016,-4.15300007327,1.18017955061,0.222222222222,119,0.420432899809,2.41246059734
T2,EURRUBF,H4,DATA_UNAVAILABLE,0,,,0,0,,,,,
T2,HKDRUBF,H4,DATA_UNAVAILABLE,0,,,0,0,,,,,
T2,USDRUBF,H4,AVAILABLE,10,1.69152267582,0.308429913645,3.08429913645,-3.20457948323,0.962466105955,0.5,195.8,0.385558220596,1.89735485387
T2,CNYRUBF,D1,AVAILABLE,2,1.15440772944,0.0358970994871,0.0717941989742,-0.46496505863,0.154407729445,0.5,336,0.523604939661,1.79276453572
T2,EURRUBF,D1,DATA_UNAVAILABLE,0,,,0,0,,,,,
T2,HKDRUBF,D1,DATA_UNAVAILABLE,0,,,0,0,,,,,
T2,USDRUBF,D1,AVAILABLE,3,0,-1.00073489841,-3.00220469522,-3.00220469522,-1,0,160,0.770133871026,0.360290054212
T3,CNYRUBF,M30,AVAILABLE,116,1.73885301886,0.33261815633,38.5837061343,-8.26990262462,4.66555749029,0.422413793103,19.1681034483,0.582597421909,1.73551314624
T3,EURRUBF,M30,DATA_UNAVAILABLE,0,,,0,0,,,,,
T3,HKDRUBF,M30,DATA_UNAVAILABLE,0,,,0,0,,,,,
T3,USDRUBF,M30,AVAILABLE,119,2.29212799301,0.516871383905,61.5076946847,-13.0698479402,4.70607576813,0.453781512605,20.3697478992,0.58715661636,1.84395219279
T3,CNYRUBF,H1,AVAILABLE,52,2.17150788186,0.536343541698,27.8898641683,-5.18865746193,5.37516002414,0.403846153846,37.75,0.578810726377,2.10112953763
T3,EURRUBF,H1,DATA_UNAVAILABLE,0,,,0,0,,,,,
T3,HKDRUBF,H1,DATA_UNAVAILABLE,0,,,0,0,,,,,
T3,USDRUBF,H1,AVAILABLE,62,2.0972015897,0.446060156444,27.6557296995,-8.01075907831,3.45232323543,0.467741935484,40.0806451613,0.528701488275,2.03822034189
T3,CNYRUBF,H4,AVAILABLE,13,1.69378911114,0.373548918063,4.85613593482,-4.78469196701,1.01493178,0.384615384615,141.769230769,0.694599174393,1.81529802965
T3,EURRUBF,H4,DATA_UNAVAILABLE,0,,,0,0,,,,,
T3,HKDRUBF,H4,DATA_UNAVAILABLE,0,,,0,0,,,,,
T3,USDRUBF,H4,AVAILABLE,14,2.25783648695,0.572914172548,8.02079841567,-2.82241492665,2.84182114399,0.5,151.642857143,0.618476659573,2.29455942687
T3,CNYRUBF,D1,AVAILABLE,2,0,-0.662454150212,-1.32490830042,-1.32490830042,-1,0,252,0.655661939645,0.807221327464
T3,EURRUBF,D1,DATA_UNAVAILABLE,0,,,0,0,,,,,
T3,HKDRUBF,D1,DATA_UNAVAILABLE,0,,,0,0,,,,,
T3,USDRUBF,D1,AVAILABLE,2,0.512871981468,-0.0803238211263,-0.160647642253,-0.329785264121,-0.487128018532,0.5,216,0.206081056751,1.52809171901
