configuration_id,bollinger_period,bollinger_std,bbw_percentile_threshold,adx_range_max,max_initial_stop_atr,max_holding_bars
R1-0000-1f40eee4940b,20,2,50,15,2,10
R1-0001-f2bd7d8bcaae,20,2,30,20,2,10
R1-0002-efa57b2b7521,20,2,40,20,2,10
R1-0003-1d030e82a197,15,2,50,20,2,10
R1-0004-f038a930a552,20,1.5,50,20,2,10
R1-0005-ce563554c1b8,20,2,50,20,1.5,10
R1-0006-9ac11e56b037,20,2,50,20,2,10
R1-0007-ff20c80f889d,20,2,50,20,2.5,10
R1-0008-70c2b2ef50cf,20,2,50,20,2,15
R1-0009-ad645ee68f3b,20,2,50,20,2,5
R1-0010-bb2139d9364c,20,2.5,50,20,2,10
R1-0011-a3bf7936393e,25,2,50,20,2,10
R1-0012-242c433a3714,20,2,60,20,2,10
R1-0013-e55c8f537655,20,2,50,25,2,10
