configuration_id,range_lookback_h1,adx_range_max,ema_slope_max_atr,minimum_sweep_atr,maximum_sweep_atr,max_initial_stop_atr,max_holding_bars_m15
R2-0000-c5a1135d8e59,20,20,0.35,0.05,1,1.5,16
R2-0001-aeeef9d7e7da,20,25,0.25,0.05,1,1.5,16
R2-0002-0c7f3178992e,20,25,0.35,0.05,1,1.5,12
R2-0003-9c9d3de1b843,20,25,0.35,0.05,1,1,16
R2-0004-c78ea2575e55,20,25,0.35,0.05,0.75,1.5,16
R2-0005-0a0f682c44e9,10,25,0.35,0.05,1,1.5,16
R2-0006-8ff82e8df1b5,20,25,0.35,0.05,1,1.5,16
R2-0007-31645ce92c0a,30,25,0.35,0.05,1,1.5,16
R2-0008-91ac93194900,20,25,0.35,0.1,1,1.5,16
R2-0009-f7c5090b7527,20,25,0.35,0.05,1,1.5,20
R2-0010-9593a857b372,20,25,0.5,0.05,1,1.5,16
R2-0011-1038466bf130,20,30,0.35,0.05,1,1.5,16
