configuration_id,neighbor_count,positive_neighbors,stable_neighbors,classification,expectancy_C1,PF_C1
R2-0000-c5a1135d8e59,1,0,0,NO_EDGE,-0.0645358040092,0.907145797396
R2-0001-aeeef9d7e7da,1,0,0,LOCAL_SPIKE,0.0330833649084,1.05098070019
R2-0002-0c7f3178992e,1,0,0,NO_EDGE,-0.0215393246603,0.965436165668
R2-0003-9c9d3de1b843,1,0,0,LOCAL_SPIKE,0.0112037596577,1.01521768469
R2-0004-c78ea2575e55,1,0,0,NO_EDGE,-0.0192127569907,0.971457866834
R2-0005-0a0f682c44e9,1,0,0,NO_EDGE,-0.0292405159645,0.95349034994
R2-0006-8ff82e8df1b5,11,2,0,NO_EDGE,-0.0327794399647,0.950301333946
R2-0007-31645ce92c0a,1,0,0,NO_EDGE,-0.0534797145338,0.921620189234
R2-0008-91ac93194900,1,0,0,NO_EDGE,-0.0429589255605,0.93410889175
R2-0009-f7c5090b7527,1,0,0,NO_EDGE,-0.0158447381949,0.976186105726
R2-0010-9593a857b372,1,0,0,NO_EDGE,-0.127278068495,0.815051145398
R2-0011-1038466bf130,1,0,0,NO_EDGE,-0.0600754817773,0.909789619866
