configuration_id,trades,trade_count,PF_C0,expectancy_C0,net_R_C0,max_DD_C0,recovery_factor_C0,win_rate_C0,PF_C05,expectancy_C05,net_R_C05,max_DD_C05,recovery_factor_C05,win_rate_C05,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,PF_C2,expectancy_C2,net_R_C2,max_DD_C2,recovery_factor_C2,win_rate_C2,Si_trades,Si_expectancy_C1,CNY_trades,CNY_expectancy_C1,Y2023_trades,Y2023_expectancy_C1,Y2024_trades,Y2024_expectancy_C1,LONG_trades,LONG_expectancy_C1,SHORT_trades,SHORT_expectancy_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5
R2-0000-c5a1135d8e59,103,103,1.02809091569,0.0178902261775,1.84269329628,-14.0333705318,0.131307962838,0.291262135922,0.964977950362,-0.0233227889159,-2.40224725834,-16.6794158401,-0.144024663775,0.291262135922,0.907145797396,-0.0645358040092,-6.64718781295,-19.5103049403,-0.340701379773,0.291262135922,0.804877479748,-0.146961834196,-15.1370689222,-25.1720831406,-0.60134351367,0.281553398058,56,-0.0737757248049,47,-0.0535265366783,38,-0.145300238014,65,-0.0173196733601,45,-0.128481262369,58,-0.0149229483854,0.129378604397,0.296051633308,0.441754826645,0.647143576612,-15.049057473,0.789780540145,-0.147539779147,-25.8728337171,0.638583802429,-0.258728337171,-35.3348250964,0.506409762926,-0.36055943976
R2-0001-aeeef9d7e7da,121,121,1.19105863669,0.113504447583,13.7340381575,-9.06711694493,1.51470839529,0.330578512397,1.11792869331,0.0732939062457,8.86856265573,-9.74569821585,0.909997668643,0.330578512397,1.05098070019,0.0330833649084,4.00308715391,-10.5116718152,0.380823072131,0.330578512397,0.932739459228,-0.0473377177663,-5.72786384972,-13.7383235603,-0.416925968046,0.330578512397,60,-0.00444151668131,61,0.0699930845048,38,-0.0974028557634,83,0.0928240442521,52,0.267432303276,69,-0.143527429224,0.101810354462,0.239563486663,0.363088972426,0.560939278291,-4.39878250615,0.943979982569,-0.0366565208846,-15.7668193638,0.799204099236,-0.133617113252,-25.9607238695,0.669381197717,-0.223799343702
R2-0002-0c7f3178992e,173,173,1.098001464,0.056188225699,9.72056304593,-10.5557578475,0.92087779829,0.346820809249,1.02899869483,0.0173244505194,2.99712993985,-13.5427057739,0.221309536654,0.329479768786,0.965436165668,-0.0215393246603,-3.72630316623,-17.3742829888,-0.214472342175,0.323699421965,0.852868682374,-0.0992668750196,-17.1731693784,-26.1069479137,-0.657800729337,0.323699421965,94,-0.0319250029742,79,-0.00918168210955,55,-0.00861472640013,118,-0.0275635018154,72,0.184812893148,101,-0.168641895771,0.0807227791703,0.187365317963,0.285305459335,0.454513894739,-12.1281728263,0.887503475264,-0.070512632711,-23.2278490313,0.784546911515,-0.136634406066,-33.421753537,0.689991956964,-0.198939009149
R2-0003-9c9d3de1b843,92,92,1.16139513471,0.10780889657,9.91841848445,-11.7237137398,0.846013362713,0.260869565217,1.08475393386,0.0595063281139,5.47458218648,-14.7149300677,0.372042691423,0.260869565217,1.01521768469,0.0112037596577,1.03074588851,-17.9675453077,0.0573670955527,0.260869565217,0.893843373411,-0.0854013772546,-7.85692670743,-24.4727757876,-0.321047631687,0.260869565217,55,0.0270637941732,37,-0.0123719673247,28,-0.362339356199,64,0.174628872845,38,0.159218262637,54,-0.0929545942905,0.122183830376,0.324514637533,0.481918940878,0.758618214188,-7.37112377155,0.891174499313,-0.081001360127,-21.2842337527,0.685764685729,-0.239148693851,-32.1080099968,0.525965053326,-0.36905758617
R2-0004-c78ea2575e55,154,154,1.10060331611,0.0623195600674,9.59721225037,-11.2765902174,0.851073956345,0.331168831169,1.03334904063,0.0215534015383,3.3192238369,-12.947468615,0.256360832807,0.331168831169,0.971457866834,-0.0192127569907,-2.95876457657,-15.1846949007,-0.1948517633,0.331168831169,0.861388297274,-0.100745074049,-15.5147414035,-23.8353893173,-0.650912019812,0.324675324675,82,-0.115682967155,72,0.0906560934736,49,-0.11146850219,105,0.0238399241022,67,0.246098354778,87,-0.223532808582,0.0834311035269,0.196316437189,0.297542561441,0.48017785652,-11.3606342366,0.890408064974,-0.0742525113506,-22.7286710943,0.780744719538,-0.150521000624,-32.9225756,0.682407804804,-0.220956883221
R2-0005-0a0f682c44e9,262,262,1.09638713995,0.0551561127018,14.4509015279,-26.0611032422,0.554500758987,0.370229007634,1.02157955231,0.0129577983686,3.39494317258,-30.0125874825,0.113117310347,0.370229007634,0.95349034994,-0.0292405159645,-7.66101518271,-36.1286504478,-0.212048196867,0.370229007634,0.834145212358,-0.113637144631,-29.7729318933,-49.189863421,-0.605265593818,0.36641221374,140,0.0950076000242,122,-0.171820321198,93,0.0997106662748,169,-0.100201817434,119,-0.00232502453273,143,-0.0516387221211,0.0534953935433,0.123717439363,0.182213673655,0.302135165763,-16.0628848428,0.902483008431,-0.0615436200873,-27.0918059734,0.835526965388,-0.104601567465,-36.2790967581,0.779751370483,-0.141163800615
R2-0006-8ff82e8df1b5,173,173,1.07384283108,0.0449481103946,7.77602309826,-11.1410921055,0.697958783991,0.329479768786,1.00959474941,0.00608433521494,1.05258999218,-13.4395199352,0.0783205052901,0.329479768786,0.950301333946,-0.0327794399647,-5.67084311389,-17.1804097891,-0.330076126443,0.329479768786,0.844450084638,-0.110506990324,-19.117709326,-25.8384944428,-0.739892541665,0.323699421965,94,-0.0886340739034,79,0.0336805042155,55,-0.0984040699663,118,-0.00219168869277,72,0.193913881102,101,-0.194382599537,0.0774839408053,0.182322545852,0.276333036999,0.445949664307,-14.072712774,0.87666824164,-0.081818097523,-25.4407496316,0.777039975414,-0.149651468421,-35.6346541373,0.687701680273,-0.212111036531
R2-0007-31645ce92c0a,121,121,1.0351893004,0.0221670087343,2.68220805685,-21.1280198418,0.126950281045,0.314049586777,0.976131560328,-0.0156563528998,-1.89441870087,-23.8999880533,-0.0792644204109,0.314049586777,0.921620189234,-0.0534797145338,-6.47104545859,-26.6719562648,-0.242616079389,0.305785123967,0.824331477675,-0.129126437802,-15.624298974,-32.3188747816,-0.483441923013,0.305785123967,63,-0.0728082840479,58,-0.0324848890271,32,-0.439503218128,89,0.0853152530506,53,0.256935869081,68,-0.295421272351,0.113178656027,0.255875878383,0.357987563195,0.55206905484,-15.0827030308,0.81731245485,-0.125689191923,-25.9404005735,0.685799813779,-0.219833903165,-33.7099827066,0.591691623499,-0.290603299195
R2-0008-91ac93194900,163,163,1.0519178345,0.0313115667003,5.10378537214,-11.8082040374,0.432223677368,0.331288343558,0.990719731045,-0.00582367943011,-0.949259747108,-12.8017082913,-0.0741510215282,0.331288343558,0.93410889175,-0.0429589255605,-7.00230486636,-16.0045471444,-0.437519712566,0.331288343558,0.832729764932,-0.117229417821,-19.1083951049,-23.6167952053,-0.809101952182,0.325153374233,89,-0.119533818773,74,0.0491379054648,54,-0.134588585428,109,0.00243558483243,69,0.156143042839,94,-0.18910824279,0.0846377736293,0.199155776061,0.301845941091,0.474996260886,-15.4041745264,0.855047994825,-0.0950874970767,-26.772211384,0.748075710488,-0.16732632115,-36.9661158897,0.652151914238,-0.233962758796
R2-0009-f7c5090b7527,173,173,1.10084289884,0.0618828121644,10.7057265044,-11.8928218462,0.900183879227,0.306358381503,1.03599501496,0.0230190369848,3.98229339836,-13.726456885,0.290118085951,0.306358381503,0.976186105726,-0.0158447381949,-2.74113970771,-17.4673467389,-0.156929369336,0.300578034682,0.869643702204,-0.0935722885542,-16.1880059199,-26.0021570245,-0.622563962851,0.300578034682,94,-0.0655374091911,79,0.0432832500791,55,-0.106434974053,118,0.0263795242812,72,0.266130548149,101,-0.216856823509,0.0747726148303,0.171099037978,0.25530622823,0.433108584735,-11.1430093678,0.90319411804,-0.0647849381848,-21.9667856118,0.809161602149,-0.129216385952,-31.4287769912,0.726959713023,-0.187076053519
