configuration_id,donchian_period,bbw_percentile_window,bb_period,ema_period,stop_atr,trail_atr
T1-0000-d40d6424aff2,20,100,15,50,2,3
T1-0001-ccda65eec550,10,100,20,50,2,3
T1-0002-0481eb623e21,15,100,20,50,2,3
T1-0003-f4688d045204,20,100,20,100,2,3
T1-0004-dc0a2025b1c3,20,100,20,150,2,3
T1-0005-2b36951632eb,20,100,20,50,1.5,3
T1-0006-6a82878db618,20,100,20,50,2,2
T1-0007-36ba7008fa91,20,100,20,50,2,3
T1-0008-38c6a093042c,20,100,20,50,2,4
T1-0009-c031b709f787,20,100,20,50,2.5,3
T1-0010-dc8888f0a6c6,20,100,20,50,3,3
T1-0011-992694a505be,25,100,20,50,2,3
T1-0012-854c8cf5bfe9,30,100,20,50,2,3
T1-0013-31ce9b497a01,40,100,20,50,2,3
T1-0014-e1b4e518eb50,50,100,20,50,2,3
T1-0015-b220524c4c8e,20,70,20,50,2,3
T1-0016-c68a02ea1afc,20,80,20,50,2,3
T1-0017-91411e1ae5cd,20,90,20,50,2,3
T1-0018-231dd048966d,20,100,25,50,2,3
