parameter,value,configurations,positive_C1_share,mean_expectancy_C1,std_expectancy_C1
bb_period,15,1,1,0.178622407138,0
bb_period,20,17,0.176470588235,-0.0717014067346,0.210112688728
bb_period,25,1,0,-0.177861809342,0
bbw_percentile_window,70,1,0,-0.153314930743,0
bbw_percentile_window,80,1,0,-0.340829022832,0
bbw_percentile_window,90,1,0,-0.091201303371,0
bbw_percentile_window,100,16,0.25,-0.0395511287341,0.213369972589
donchian_period,10,1,0,-0.0804020411481,0
donchian_period,15,1,0,-0.0945569353241,0
donchian_period,20,13,0.307692307692,-0.0209523206572,0.214739894414
donchian_period,25,1,0,-0.0972122011225,0
donchian_period,30,1,0,-0.0100960604942,0
donchian_period,40,1,0,-0.171787726198,0
donchian_period,50,1,0,-0.491728183861,0
ema_period,50,17,0.176470588235,-0.0745474962474,0.217080156678
ema_period,100,1,0,-0.0236849943315,0
ema_period,150,1,1,0.0728291138456,0
stop_atr,1.5,1,0,-0.0567416849178,0
stop_atr,2,16,0.25,-0.0606851488311,0.226350939009
stop_atr,2.5,1,0,-0.121764700162,0
stop_atr,3,1,0,-0.0686945503137,0
trail_atr,2,1,1,0.0267099646293,0
trail_atr,3,17,0.117647058824,-0.108138596665,0.143426877686
trail_atr,4,1,1,0.593482861987,0
