configuration_id,ema_fast,ema_trend,ema_slow,adx_threshold,impulse_distance_atr,confirmation_window,max_initial_stop_atr,trailing_atr
T2-0000-2696ace53d38,20,50,200,15,0.5,3,3,3
T2-0001-8b4dd7c871ba,20,50,200,20,0.5,2,3,3
T2-0002-22d7ea10c462,15,50,200,20,0.5,3,3,3
T2-0003-1d7fc9f67a72,20,50,150,20,0.5,3,3,3
T2-0004-ee4694de69de,20,40,200,20,0.5,3,3,3
T2-0005-2584c9b32dae,20,50,200,20,0.3,3,3,3
T2-0006-0110b9f337d4,20,50,200,20,0.5,3,2,3
T2-0007-608dc87d09f1,20,50,200,20,0.5,3,2.5,3
T2-0008-70259021ce57,20,50,200,20,0.5,3,3,2
T2-0009-0f598fd08d5f,20,50,200,20,0.5,3,3,3
T2-0010-ebe6fd055996,20,50,200,20,0.5,3,3,4
T2-0011-25baa7acaa00,20,50,200,20,0.7,3,3,3
T2-0012-13256c8f5c15,20,60,200,20,0.5,3,3,3
T2-0013-edad2c7fa494,20,50,250,20,0.5,3,3,3
T2-0014-a98459cab4f2,25,50,200,20,0.5,3,3,3
T2-0015-033b0f5e6256,30,50,200,20,0.5,3,3,3
T2-0016-3d984a978619,20,50,200,20,0.5,4,3,3
T2-0017-7c89b4a215cd,20,50,200,25,0.5,3,3,3
T2-0018-5e30bd66ffce,20,50,200,30,0.5,3,3,3
