configuration_id,neighbor_count,positive_neighbors,stable_neighbors,classification,expectancy_C1,PF_C1
T2-0000-2696ace53d38,1,1,1,LOCAL_SPIKE,0.431998539572,1.99873532752
T2-0001-8b4dd7c871ba,1,1,0,LOCAL_SPIKE,0.325500148271,1.74589018184
T2-0002-22d7ea10c462,1,1,1,LOCAL_SPIKE,0.61542037421,2.3766423021
T2-0003-1d7fc9f67a72,1,1,1,LOCAL_SPIKE,0.584117594826,2.38261634593
T2-0004-ee4694de69de,1,1,1,LOCAL_SPIKE,0.580167268696,2.42695879823
T2-0005-2584c9b32dae,1,1,1,LOCAL_SPIKE,0.545519480013,2.27176859218
T2-0006-0110b9f337d4,1,1,1,LOCAL_SPIKE,0.878562016001,2.74217779491
T2-0007-608dc87d09f1,2,2,2,ROBUST_PLATEAU,0.754333511668,2.79452271776
T2-0008-70259021ce57,1,1,0,LOCAL_SPIKE,0.181894840303,1.53433105966
T2-0009-0f598fd08d5f,15,15,10,ROBUST_PLATEAU,0.532454866083,2.24786524529
T2-0010-ebe6fd055996,1,1,0,LOCAL_SPIKE,1.29865972663,3.56410604394
T2-0011-25baa7acaa00,1,1,1,LOCAL_SPIKE,0.577222635375,2.31833028583
T2-0012-13256c8f5c15,1,1,1,LOCAL_SPIKE,0.554829166804,2.33759828778
T2-0013-edad2c7fa494,1,1,1,LOCAL_SPIKE,0.528990754863,2.23456376941
T2-0014-a98459cab4f2,2,2,0,LOCAL_SPIKE,0.332721233456,1.7127033287
T2-0015-033b0f5e6256,1,1,0,LOCAL_SPIKE,0.214676643453,1.42830984016
T2-0016-3d984a978619,1,1,1,LOCAL_SPIKE,0.485469606024,2.10338492471
T2-0017-7c89b4a215cd,2,2,2,ROBUST_PLATEAU,0.656579952906,2.4755498746
T2-0018-5e30bd66ffce,1,1,1,LOCAL_SPIKE,0.718782437882,2.52940145277
