configuration_id,ema_period,adx_threshold,breakout_period,atr_average_period,stop_atr,trail_atr
T3-0000-0e8b28aef6af,100,15,20,20,2,3
T3-0001-0ceadfe6ba89,100,20,20,10,2,3
T3-0002-fde65b87e674,100,20,10,20,2,3
T3-0003-5ce129d7f93a,100,20,20,20,1.5,3
T3-0004-d9d86ab01cd1,100,20,20,20,2,2.5
T3-0005-d9ca2a54c842,100,20,20,20,2,2
T3-0006-782a150195d6,100,20,20,20,2,3
T3-0007-30681f09c487,100,20,20,20,2,3.5
T3-0008-ccf5a5d662c5,100,20,20,20,2,4
T3-0009-4e73cdb77246,100,20,20,20,2.5,3
T3-0010-f061b189e0f8,100,20,20,20,3,3
T3-0011-e465514e7d09,150,20,20,20,2,3
T3-0012-ce4f64b5cf6f,200,20,20,20,2,3
T3-0013-aeef6145060a,50,20,20,20,2,3
T3-0014-0050d828c1a8,75,20,20,20,2,3
T3-0015-d6feb972db57,100,20,30,20,2,3
T3-0016-2e29f26637ab,100,20,40,20,2,3
T3-0017-1bef08206dd9,100,20,55,20,2,3
T3-0018-aeeb96942cf3,100,20,20,30,2,3
T3-0019-4e27874898fc,100,20,20,50,2,3
T3-0020-8f50652483e0,100,25,20,20,2,3
T3-0021-59bb19b16087,100,30,20,20,2,3
