configuration_id,is_baseline,ema_fast,ema_trend,ema_slow,adx_threshold,impulse_distance_atr,confirmation_window,max_initial_stop_atr,trailing_atr
T2-H1-2696ace53d38,False,20,50,200,15,0.5,3,3,3
T2-H1-8b4dd7c871ba,False,20,50,200,20,0.5,2,3,3
T2-H1-22d7ea10c462,False,15,50,200,20,0.5,3,3,3
T2-H1-1d7fc9f67a72,False,20,50,150,20,0.5,3,3,3
T2-H1-ee4694de69de,False,20,40,200,20,0.5,3,3,3
T2-H1-2584c9b32dae,False,20,50,200,20,0.3,3,3,3
T2-H1-d171cb18dcd0,False,20,50,200,20,0.5,3,2,3
T2-H1-608dc87d09f1,False,20,50,200,20,0.5,3,2.5,3
T2-H1-2f9d182d308e,False,20,50,200,20,0.5,3,3,2
T2-H1-0f598fd08d5f,True,20,50,200,20,0.5,3,3,3
T2-H1-3eefc31bed0c,False,20,50,200,20,0.5,3,3,4
T2-H1-25baa7acaa00,False,20,50,200,20,0.7,3,3,3
T2-H1-13256c8f5c15,False,20,60,200,20,0.5,3,3,3
T2-H1-edad2c7fa494,False,20,50,250,20,0.5,3,3,3
T2-H1-a98459cab4f2,False,25,50,200,20,0.5,3,3,3
T2-H1-033b0f5e6256,False,30,50,200,20,0.5,3,3,3
T2-H1-3d984a978619,False,20,50,200,20,0.5,4,3,3
T2-H1-7c89b4a215cd,False,20,50,200,25,0.5,3,3,3
T2-H1-5e30bd66ffce,False,20,50,200,30,0.5,3,3,3
