configuration_id,neighbor_ids,neighbor_count,positive_neighbors,stable_positive_neighbors,stability_tolerance,expectancy_C1,PF_C1,classification
T2-H1-2696ace53d38,T2-H1-0f598fd08d5f,1,1,1,0.0927850822032,0.265100234866,1.60260589997,LOCAL_SPIKE
T2-H1-8b4dd7c871ba,T2-H1-0f598fd08d5f,1,1,1,0.0925242085983,0.264354881709,1.59806656923,LOCAL_SPIKE
T2-H1-22d7ea10c462,T2-H1-0f598fd08d5f,1,1,1,0.0840208202285,0.240059486367,1.51710339483,LOCAL_SPIKE
T2-H1-1d7fc9f67a72,T2-H1-0f598fd08d5f,1,1,1,0.0928088149494,0.265168042713,1.58447845502,LOCAL_SPIKE
T2-H1-ee4694de69de,T2-H1-0f598fd08d5f,1,1,1,0.0927134839821,0.26489566852,1.60028064375,LOCAL_SPIKE
T2-H1-2584c9b32dae,T2-H1-0f598fd08d5f,1,1,1,0.0893539515917,0.255297004548,1.56500187338,LOCAL_SPIKE
T2-H1-d171cb18dcd0,T2-H1-608dc87d09f1,1,1,1,0.116457549225,0.332735854929,1.66874422756,LOCAL_SPIKE
T2-H1-608dc87d09f1,T2-H1-d171cb18dcd0;T2-H1-0f598fd08d5f,2,2,2,0.109270899296,0.312202569418,1.6663779647,ROBUST_PLATEAU
T2-H1-2f9d182d308e,T2-H1-0f598fd08d5f,1,1,0,0.0464016381959,0.132576109131,1.36748370219,LOCAL_SPIKE
T2-H1-0f598fd08d5f,T2-H1-2696ace53d38;T2-H1-8b4dd7c871ba;T2-H1-22d7ea10c462;T2-H1-1d7fc9f67a72;T2-H1-ee4694de69de;T2-H1-2584c9b32dae;T2-H1-608dc87d09f1;T2-H1-2f9d182d308e;T2-H1-3eefc31bed0c;T2-H1-25baa7acaa00;T2-H1-13256c8f5c15;T2-H1-edad2c7fa494;T2-H1-a98459cab4f2;T2-H1-3d984a978619;T2-H1-7c89b4a215cd,15,15,14,0.0962218738554,0.274919639587,1.61480664821,ROBUST_PLATEAU
T2-H1-3eefc31bed0c,T2-H1-0f598fd08d5f,1,1,1,0.102532538009,0.292950108597,1.58658697977,LOCAL_SPIKE
T2-H1-25baa7acaa00,T2-H1-0f598fd08d5f,1,1,1,0.0999594138867,0.28559832539,1.63864720171,LOCAL_SPIKE
T2-H1-13256c8f5c15,T2-H1-0f598fd08d5f,1,1,1,0.0953859381908,0.272531251974,1.60667695675,LOCAL_SPIKE
T2-H1-edad2c7fa494,T2-H1-0f598fd08d5f,1,1,1,0.0969455235537,0.276987210153,1.61994153333,LOCAL_SPIKE
T2-H1-a98459cab4f2,T2-H1-0f598fd08d5f;T2-H1-033b0f5e6256,2,2,2,0.0785483442174,0.224423840621,1.49070753729,ROBUST_PLATEAU
T2-H1-033b0f5e6256,T2-H1-a98459cab4f2,1,1,1,0.0732041709691,0.209154774198,1.44080386015,LOCAL_SPIKE
T2-H1-3d984a978619,T2-H1-0f598fd08d5f,1,1,1,0.0987543242234,0.282155212067,1.63560918745,LOCAL_SPIKE
T2-H1-7c89b4a215cd,T2-H1-0f598fd08d5f;T2-H1-5e30bd66ffce,2,2,2,0.100643791638,0.287553690393,1.65863215399,ROBUST_PLATEAU
T2-H1-5e30bd66ffce,T2-H1-7c89b4a215cd,1,1,1,0.0853427205013,0.243836344289,1.51117108437,LOCAL_SPIKE
