configuration_id,neighbor_ids,neighbor_count,positive_neighbors,stable_positive_neighbors,stability_tolerance,expectancy_C1,PF_C1,classification
T2-M30-2696ace53d38,T2-M30-0f598fd08d5f,1,1,1,0.0455946842999,0.130270526571,1.27727319233,LOCAL_SPIKE
T2-M30-8b4dd7c871ba,T2-M30-0f598fd08d5f,1,1,1,0.0584839367059,0.167096962017,1.35808396251,LOCAL_SPIKE
T2-M30-22d7ea10c462,T2-M30-0f598fd08d5f,1,1,1,0.0488496497536,0.139570427867,1.29145544191,LOCAL_SPIKE
T2-M30-1d7fc9f67a72,T2-M30-0f598fd08d5f,1,1,1,0.0377610107475,0.107888602136,1.22472257886,LOCAL_SPIKE
T2-M30-ee4694de69de,T2-M30-0f598fd08d5f,1,1,1,0.0334752010521,0.0956434315773,1.20295705783,LOCAL_SPIKE
T2-M30-2584c9b32dae,T2-M30-0f598fd08d5f,1,1,1,0.0384578262243,0.109879503498,1.2311957289,LOCAL_SPIKE
T2-M30-d171cb18dcd0,T2-M30-608dc87d09f1,1,1,1,0.0406708742417,0.116202497833,1.21985527592,LOCAL_SPIKE
T2-M30-608dc87d09f1,T2-M30-d171cb18dcd0;T2-M30-0f598fd08d5f,2,2,2,0.0419533451036,0.119866700296,1.24353692394,ROBUST_PLATEAU
T2-M30-2f9d182d308e,T2-M30-0f598fd08d5f,1,1,1,0.0357797845661,0.102227955903,1.26491034181,LOCAL_SPIKE
T2-M30-0f598fd08d5f,T2-M30-2696ace53d38;T2-M30-8b4dd7c871ba;T2-M30-22d7ea10c462;T2-M30-1d7fc9f67a72;T2-M30-ee4694de69de;T2-M30-2584c9b32dae;T2-M30-608dc87d09f1;T2-M30-2f9d182d308e;T2-M30-3eefc31bed0c;T2-M30-25baa7acaa00;T2-M30-13256c8f5c15;T2-M30-edad2c7fa494;T2-M30-a98459cab4f2;T2-M30-3d984a978619;T2-M30-7c89b4a215cd,15,15,13,0.0436891708263,0.124826202361,1.26342603406,ROBUST_PLATEAU
T2-M30-3eefc31bed0c,T2-M30-0f598fd08d5f,1,1,1,0.0597529710553,0.170722774444,1.32843602089,LOCAL_SPIKE
T2-M30-25baa7acaa00,T2-M30-0f598fd08d5f,1,1,1,0.0464681627754,0.132766179358,1.27904162521,LOCAL_SPIKE
T2-M30-13256c8f5c15,T2-M30-0f598fd08d5f,1,1,1,0.0453583600558,0.129595314445,1.26909337436,LOCAL_SPIKE
T2-M30-edad2c7fa494,T2-M30-0f598fd08d5f,1,1,1,0.047298396148,0.135138274709,1.28565191794,LOCAL_SPIKE
T2-M30-a98459cab4f2,T2-M30-0f598fd08d5f;T2-M30-033b0f5e6256,2,2,1,0.0297435445396,0.0849815558275,1.17972736349,LOCAL_SPIKE
T2-M30-033b0f5e6256,T2-M30-a98459cab4f2,1,1,1,0.0373030857328,0.106580244951,1.22194017948,LOCAL_SPIKE
T2-M30-3d984a978619,T2-M30-0f598fd08d5f,1,1,1,0.0414303335241,0.118372381497,1.25032015556,LOCAL_SPIKE
T2-M30-7c89b4a215cd,T2-M30-0f598fd08d5f;T2-M30-5e30bd66ffce,2,2,2,0.0626518916357,0.179005404674,1.38439307062,ROBUST_PLATEAU
T2-M30-5e30bd66ffce,T2-M30-7c89b4a215cd,1,1,1,0.0666149099824,0.190328314235,1.39419134558,LOCAL_SPIKE
