configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,Si_trades,Si_expectancy_C1,CNY_trades,CNY_expectancy_C1,GD_trades,GD_expectancy_C1,BR_trades,BR_expectancy_C1,MIX_trades,MIX_expectancy_C1,NG_trades,NG_expectancy_C1,Y2020_trades,Y2020_expectancy_C1,Y2021_trades,Y2021_expectancy_C1,Y2022_trades,Y2022_expectancy_C1,Y2023_trades,Y2023_expectancy_C1,Y2024_trades,Y2024_expectancy_C1,LONG_trades,LONG_expectancy_C1,SHORT_trades,SHORT_expectancy_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5
T2-M30-2696ace53d38,1977,1.27727319233,0.130270526571,257.544831031,-24.3551176897,10.5745672968,0.345472938796,365,0.102415391541,166,0.17937966218,306,-0.0594377639004,376,0.00134562217724,425,0.211019784441,339,0.349217647859,297,0.111202536213,416,0.0999637240354,326,0.141833995248,475,0.213991816348,463,0.0756992945168,1091,0.146892269955,886,0.109802894481,0.0123943454228,0.0347397502996,0.0547193823789,0.0938742639918,242.84026039,1.26144222718,0.122894868619,216.32981766,1.23290104056,0.109589573283,192.626112361,1.20738159211,0.0976805843615
T2-M30-8b4dd7c871ba,1225,1.35808396251,0.167096962017,204.693778471,-21.2803144527,9.61892639911,0.354285714286,228,0.162520377119,112,0.0589779264579,200,-0.00225708463518,222,0.098643576734,239,0.262309847655,224,0.343277205477,195,0.121260063317,261,0.132139680666,197,0.195058691457,265,0.313339754346,307,0.0817524832296,641,0.152166558282,584,0.183484614061,0.0179167637345,0.0487046458651,0.0747934083629,0.130592774671,190.784456522,1.33375149302,0.155869654022,166.882898685,1.29193896406,0.136565383539,146.629408591,1.25650823411,0.120188039829
T2-M30-22d7ea10c462,1661,1.29145544191,0.139570427867,231.826480688,-27.9252015863,8.30169407985,0.360024081878,324,0.0576046266095,165,0.217203634792,255,-0.0111142467989,283,0.175511876469,339,0.168665261879,295,0.248510949293,270,0.151180751476,320,0.0533377914377,292,0.120807803661,380,0.249878758067,399,0.109548315275,874,0.171587178766,787,0.104014341101,0.0112300906737,0.0284774275749,0.0452576403814,0.0849581940104,220.290525425,1.27695228019,0.132705135798,202.573437231,1.25467811309,0.122179395193,185.3361958,1.23300721595,0.111917992633
T2-M30-1d7fc9f67a72,1499,1.22472257886,0.107888602136,161.725014602,-31.1747474866,5.18769284888,0.346897931955,285,0.0417722438644,144,0.104922309933,221,-0.0519895023111,271,0.117202279722,310,0.132149558289,268,0.274151535844,233,0.151612157824,314,0.0458881895331,241,0.133650245704,350,0.213262386368,361,0.0142353071246,804,0.128906638967,695,0.0835742113262,0.0166833835597,0.0462696805468,0.0694237635579,0.116499656699,147.020443961,1.20429006232,0.0981444886255,120.943371976,1.16805505637,0.0808444999839,100.535590303,1.13969772812,0.0672928984623
T2-M30-ee4694de69de,1481,1.20295705783,0.0956434315773,141.647922166,-26.9725434886,5.25155969164,0.331532748143,277,0.0399308181679,140,0.0754462399535,218,-0.0397571646414,266,0.104619315245,316,0.14372077999,264,0.210027157197,231,0.19424999606,304,0.0662365219442,238,0.124911451892,350,0.145980602006,358,-0.0116811895172,790,0.0960053185735,691,0.0952296968061,0.0175144366877,0.0485745225238,0.0728503442601,0.121108973996,126.943351525,1.1818879426,0.0857725348144,100.86627954,1.14452399313,0.0682451147093,80.4850624938,1.11532122203,0.0545291751313
T2-M30-2584c9b32dae,1492,1.2311957289,0.109879503498,163.940219219,-26.2594591577,6.24309199341,0.347184986595,276,0.0479752093881,142,0.0801978267285,230,-0.0558007062332,270,0.141171655387,306,0.147791488167,268,0.25673354527,235,0.125106025692,305,0.0762398085032,240,0.140959004391,348,0.218354643588,364,0.00403732023433,795,0.130315428594,697,0.0865702345575,0.0168430036599,0.0467123707851,0.0700879830224,0.117614279929,149.235648578,1.21045869473,0.100090978255,123.158576593,1.1736836575,0.0827122744078,102.75079492,1.14490370356,0.0690993913383
T2-M30-d171cb18dcd0,1015,1.21985527592,0.116202497833,117.945535301,-41.2690730031,2.85796425067,0.333004926108,192,0.0970271237409,97,0.000932138802915,164,-0.0394061515289,175,0.152470096709,224,0.0611855320264,163,0.400617747433,170,0.14571747676,206,-0.035629307158,168,0.12368372426,229,0.361296724433,242,-0.0124074960526,535,0.170158580361,480,0.0560639475165,0.0224698113039,0.0623177539049,0.0929469473053,0.153343396285,103.24096466,1.19244535805,0.101815547002,77.1638926752,1.14383663504,0.0762489058055,57.1197039665,1.10647345187,0.0565541623431
T2-M30-608dc87d09f1,1306,1.24353692394,0.119866700296,156.545910587,-30.8484751622,5.07467256529,0.346860643185,242,0.0740102543658,128,0.0905556712157,197,-0.0330677096929,234,0.170763539045,272,0.0954882070122,233,0.290245414078,201,0.108390329964,267,0.0541473003854,218,0.139723239489,301,0.285169408677,319,0.0125594571803,689,0.135782667389,617,0.102093440446,0.0183957183661,0.0510186683164,0.076549220232,0.127052078759,141.841339946,1.22066116891,0.108690681951,115.764267961,1.18009332607,0.0888444113284,95.3564862877,1.14834514208,0.0732947627116
T2-M30-2f9d182d308e,1524,1.26491034181,0.102227955903,155.795404797,-23.0679766028,6.75375250631,0.375984251969,284,0.0559727192342,147,0.0564616921184,237,0.0158332341339,266,0.200187075249,319,0.122765165325,271,0.130756300916,241,0.117145442288,307,0.0996055015593,248,0.13996712386,355,0.152915099192,373,0.0214148989163,812,0.133016462559,712,0.067115220784,0.021731770198,0.0471165437066,0.0696939439344,0.116198913929,139.629106864,1.23742160094,0.0916803065424,120.74533404,1.2053121384,0.0793854924652,103.949970602,1.17675375136,0.0684331603698
T2-M30-0f598fd08d5f,1438,1.26342603406,0.124826202361,179.500078995,-29.8239638364,6.01865265058,0.349791376912,269,0.073324548713,138,0.0998731989901,218,-0.0447276132885,257,0.144624818138,299,0.159783958052,257,0.275486038555,225,0.157197077681,293,0.077540681849,235,0.135552891734,335,0.249364712885,350,0.017197738175,767,0.149137034797,671,0.0970372180418,0.0170803425314,0.0473706061918,0.0710756098809,0.119271611426,164.795508354,1.24184628464,0.114680242418,138.718436369,1.20357677695,0.096667899909,118.310654696,1.17362725815,0.0825615175828
T2-M30-3eefc31bed0c,1337,1.32843602089,0.170722774444,228.256349431,-26.3202207402,8.67228096923,0.329842931937,244,0.222737433459,131,0.147516678698,207,0.0235223214951,241,0.128932127381,277,0.177478807868,237,0.293165981984,216,0.199217479874,270,0.0657733250219,211,0.199912494054,314,0.290606140478,326,0.104400956034,707,0.256863574383,630,0.0740536545116,0.0187792342901,0.0467465376771,0.071671831976,0.128576149388,210.918684374,1.30348900962,0.157873266747,185.0982632,1.26633623639,0.13875432024,162.086334315,1.23322457761,0.121686437173
T2-M30-25baa7acaa00,1380,1.27904162521,0.132766179358,183.217327514,-27.2419916773,6.72554817887,0.349275362319,258,0.0520005373044,133,0.12760838739,204,-0.0322375920572,245,0.161812880124,290,0.176874429925,250,0.273872007353,217,0.158264670198,278,0.10861630972,227,0.15134098779,323,0.234297993119,335,0.0258086685782,734,0.147552438145,646,0.115965693369,0.0175093537988,0.0485604256444,0.0737986977021,0.124408028237,168.512756874,1.25664643287,0.122199243563,142.435684889,1.21693081947,0.10343913209,121.240273648,1.18465001896,0.0881747444713
T2-M30-13256c8f5c15,1431,1.26909337436,0.129595314445,185.450894971,-29.2063313958,6.34968125431,0.352900069881,271,0.0690872470746,137,0.197100875235,212,0.000419067574665,258,0.130116210661,294,0.159083921962,259,0.228941827698,227,0.160336431829,293,0.0706561945318,233,0.128266362796,336,0.27701905411,342,0.0157537872394,765,0.151915688043,666,0.103957047475,0.0168125211005,0.0466278304829,0.0699611374103,0.117401420967,170.746324331,1.24775671523,0.119403024007,144.669252345,1.20991830364,0.101309000242,124.261470672,1.18030615841,0.0871398812569
T2-M30-edad2c7fa494,1402,1.28565191794,0.135138274709,189.463861142,-29.1351193232,6.50293753872,0.348074179743,268,0.0745702537551,135,0.115918630554,211,-0.0451976967816,252,0.185016052945,286,0.173887621872,250,0.268043307336,219,0.161318071328,281,0.118392926362,231,0.115176547235,330,0.26137060273,341,0.0234859527888,750,0.154820525599,652,0.112497648684,0.0172440672027,0.047824680044,0.0717569095004,0.120414896776,174.759290501,1.26348204987,0.124738965382,148.682218516,1.22416602631,0.106277497152,128.274436843,1.19339750961,0.0918213577972
T2-M30-a98459cab4f2,1320,1.17972736349,0.0849815558275,112.175653692,-33.7208506699,3.32659619979,0.342424242424,245,-0.013824074974,127,0.150626754326,202,0.0751167488749,236,0.0777916843198,264,0.0938646595674,246,0.154960420177,207,0.108383560823,274,-0.0174530523019,207,0.185334417652,307,0.219532913515,325,-0.0345798029854,728,0.139589948789,592,0.0178279915095,0.0188903454973,0.0429520444384,0.0647257087804,0.114280362132,98.2663317441,1.157441906,0.0745006305869,80.54924355,1.12905566135,0.0611611568337,64.5168789027,1.10336867372,0.0490622653252
T2-M30-033b0f5e6256,1240,1.22194017948,0.106580244951,132.159503739,-33.6311611061,3.92967412936,0.331451612903,226,0.0388921617839,127,0.0354306101978,179,0.0452401981342,221,0.294738273718,257,0.0940122472204,230,0.0933647225537,193,0.0524593721544,266,0.0725179093957,192,0.00911184230063,287,0.185169346308,302,0.158450347357,679,0.130832198142,561,0.0772271679158,0.083074833813,0.112476005245,0.136824938286,0.186721328809,71.7115097799,1.12042770214,0.0578785389669,50.3182460017,1.08450122945,0.0406776443021,32.6011578075,1.05474828983,0.0263976986296
T2-M30-3d984a978619,1550,1.25032015556,0.118372381497,183.477191321,-28.1584789604,6.51587720979,0.347096774194,288,0.0884042956833,152,0.18862626291,241,-0.0525422005005,271,0.141119862343,326,0.123122409825,272,0.233922221413,245,0.114717964251,312,0.109230336707,247,0.135518561198,367,0.209968091959,379,0.028390634992,823,0.18563466624,727,0.0422281444359,0.0151774378808,0.0410422151914,0.0618878437639,0.106724120667,169.567869373,1.23134349907,0.109469250725,145.864164073,1.19900424668,0.0942884059942,126.760244076,1.17294053712,0.0820454654216
T2-M30-7c89b4a215cd,982,1.38439307062,0.179005404674,175.783307389,-33.5282069751,5.24284843266,0.366598778004,179,0.106726156572,100,0.172461932329,148,0.0455558563771,173,0.149254570224,201,0.328419363063,181,0.225732225204,161,0.368685913244,182,0.0555240091264,168,0.170897087318,237,0.305161099114,234,0.0225880963106,511,0.168716131232,471,0.190168501762,0.0232268785893,0.0606685080367,0.0880795448258,0.150296632704,161.078736749,1.35223794085,0.164198508409,137.375031449,1.30040400849,0.140321789019,120.021536219,1.2624563591,0.122847017625
T2-M30-5e30bd66ffce,613,1.39419134558,0.190328314235,116.671256626,-20.7666645631,5.61819912253,0.360522022838,108,0.144282786085,75,0.278784620051,94,0.0328065712871,105,0.127961619957,128,0.244643431994,103,0.314036137219,100,0.489794129815,104,0.0336553664375,106,0.0543247399772,149,0.272692246863,154,0.115598170878,306,0.18395356435,307,0.196682299464,0.0356347055982,0.0930776993844,0.135131745621,0.228569163417,101.966685986,1.34450974744,0.166612232003,78.262980686,1.26442322263,0.128299968338,60.9094854564,1.20579183533,0.100180074764
