parameter,value,configurations,positive_C1_share,mean_expectancy_C1
adx_threshold,15,1,1,0.130270526571
adx_threshold,20,16,1,0.122584938045
adx_threshold,25,1,1,0.179005404674
adx_threshold,30,1,1,0.190328314235
confirmation_window,2,1,1,0.167096962017
confirmation_window,3,17,1,0.12797023004
confirmation_window,4,1,1,0.118372381497
ema_fast,15,1,1,0.139570427867
ema_fast,20,16,1,0.133114439097
ema_fast,25,1,1,0.0849815558275
ema_fast,30,1,1,0.106580244951
ema_slow,150,1,1,0.107888602136
ema_slow,200,17,1,0.130466845727
ema_slow,250,1,1,0.135138274709
ema_trend,40,1,1,0.0956434315773
ema_trend,50,17,1,0.131513206363
ema_trend,60,1,1,0.129595314445
impulse_distance_atr,0.3,1,1,0.109879503498
impulse_distance_atr,0.5,17,1,0.130489268903
impulse_distance_atr,0.7,1,1,0.132766179358
max_initial_stop_atr,2,1,1,0.116202497833
max_initial_stop_atr,2.5,1,1,0.119866700296
max_initial_stop_atr,3,17,1,0.130876120945
trailing_atr,2,1,1,0.102227955903
trailing_atr,3,17,1,0.12870661905
trailing_atr,4,1,1,0.170722774444
