configuration_id,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,Si_trades,Si_expectancy_C1,CNY_trades,CNY_expectancy_C1,GD_trades,GD_expectancy_C1,BR_trades,BR_expectancy_C1,MIX_trades,MIX_expectancy_C1,NG_trades,NG_expectancy_C1,Y2020_trades,Y2020_expectancy_C1,Y2021_trades,Y2021_expectancy_C1,Y2022_trades,Y2022_expectancy_C1,Y2023_trades,Y2023_expectancy_C1,Y2024_trades,Y2024_expectancy_C1,LONG_trades,LONG_expectancy_C1,SHORT_trades,SHORT_expectancy_C1,top_1_positive_R_share,top_3_positive_R_share,top_5_positive_R_share,top_10_positive_R_share,net_R_without_best_trade,PF_R_C1_without_best_trade,expectancy_C1_without_best_trade,net_R_without_top3,PF_R_C1_without_top3,expectancy_C1_without_top3,net_R_without_top5,PF_R_C1_without_top5,expectancy_C1_without_top5
T3-H1-782a150195d6,741,1.47227192074,0.204521852252,151.550692518,-19.2163232319,7.88656033154,0.40620782726,148,0.301795372046,69,0.597587483209,114,0.292573789092,131,0.031993329741,144,0.0947256489879,135,0.107158588944,99,0.322041516262,152,0.0551243278714,116,0.495424302216,186,0.0184765183825,188,0.267999112211,414,0.232465668791,327,0.169143442321,0.0286899597818,0.0777506666836,0.104672317757,0.161092647663,137.996184186,1.43003249855,0.18648132998,114.817561226,1.35780179737,0.155579351254,102.098486449,1.31816580643,0.138720769631
T3-H1-aeef6145060a,776,1.34112279194,0.151903112617,117.876815391,-21.6655809256,5.44074104433,0.385309278351,161,0.211702179541,71,0.606806217088,112,0.233506600571,139,0.00761532842407,152,0.0200869488145,141,0.0740782761478,115,0.176104067147,163,-0.00331614787256,115,0.487262390484,195,0.0189563361334,188,0.204434677237,418,0.199598636847,358,0.0962139251082,0.0292480939376,0.0792632272814,0.106708611853,0.160812757956,104.322307058,1.30189750653,0.134609428462,81.1436840982,1.23482107127,0.104972424448,68.4246093212,1.19801344048,0.0887478720119
T3-H1-0050d828c1a8,746,1.46197078462,0.19876274769,148.277009777,-18.1591213823,8.16542863802,0.399463806971,151,0.264597915512,70,0.610510825945,111,0.310094173364,133,0.0246435551154,142,0.0834553219052,139,0.115383200963,100,0.351343689854,152,0.0631440569857,116,0.523437513057,187,0.0280253761454,191,0.196781399349,410,0.222693483,336,0.169561552817,0.0288858909247,0.0782816460613,0.105387152041,0.158821282356,134.722501444,1.419740456,0.180835572408,111.543878484,1.3475253051,0.150126350584,98.8248037069,1.30789784726,0.133366806622
T3-H1-e465514e7d09,712,1.35169213078,0.15422172413,109.80586758,-16.2276686407,6.76658305092,0.397471910112,141,0.219436429987,69,0.537347683136,114,0.238105209974,127,-0.14417113582,134,0.122988477876,127,0.129713583407,78,-0.00283193510772,147,0.037938332053,116,0.448514251011,184,0.0104592276742,187,0.270041030469,404,0.197018642487,308,0.0980855065441,0.0321176001279,0.0622556285724,0.0899226106855,0.147452172183,96.2513592476,1.30827902342,0.135374626227,83.5322844706,1.26754168754,0.117817044387,71.8560590334,1.23014444553,0.101635161292
T3-H1-ce4f64b5cf6f,690,1.36425249871,0.159505441957,110.058754951,-16.1087762874,6.83222319233,0.398550724638,137,0.229119012436,68,0.568298357592,110,0.229350169229,126,-0.149503443343,126,0.193554449324,123,0.0751724923723,70,0.0775331045209,147,-0.0195676721644,112,0.444527834736,180,0.0350114195714,181,0.284081284138,401,0.174785400667,289,0.138303838351,0.0328826609964,0.0637385957016,0.0920646222414,0.150964573062,96.5042466178,1.31939224629,0.140064218603,83.7851718408,1.27729696026,0.121958037614,72.1089464036,1.23865310778,0.105268534896
T3-H1-0e8b28aef6af,897,1.49730440048,0.215515835945,193.317704842,-23.2786904466,8.30449226882,0.41248606466,168,0.258373738141,75,0.608486226608,157,0.234391033518,168,0.0771864679165,168,0.133786957087,161,0.198953553888,119,0.296626759959,206,0.0409359032268,140,0.504135593779,211,0.0732504596523,221,0.287563322293,509,0.23953192037,388,0.184010199418,0.0232875789237,0.0631100496667,0.0849622961985,0.1319113488,179.763196509,1.46243580608,0.200628567533,156.58457355,1.4028094454,0.175150529698,143.865498773,1.37008998051,0.161284191449
T3-H1-8f50652483e0,539,1.51956306578,0.216408117274,116.64397521,-12.5377802765,9.30339921723,0.423005565863,109,0.342148900525,56,0.720086010222,80,0.342040039985,86,-0.0890618136239,116,0.0623121223564,92,0.131443859351,74,0.215641262581,104,0.00155165497293,85,0.606964127557,148,0.0210512949066,128,0.357950056045,302,0.271855527744,237,0.145753611104,0.0397320523135,0.0868282911128,0.117674074047,0.181725856265,103.089466878,1.45918770656,0.191616109438,87.0226813964,1.38762200154,0.162355748874,76.4997056761,1.34074988906,0.143257875798
T3-H1-59bb19b16087,369,1.44114032387,0.190137577204,70.1607659881,-17.6783599712,3.96873726422,0.409214092141,79,0.366227740363,46,0.588670551671,59,0.24848388048,55,-0.200378258772,73,0.114986924827,57,0.0371252437603,52,0.225823583823,60,-0.128594040731,61,0.523496758842,106,-0.0473469919048,90,0.435767343619,203,0.319549261275,166,0.0318811201761,0.0591370878928,0.110734324732,0.154859827879,0.249936482817,56.6062576553,1.35591548187,0.153821352324,44.7799198764,1.28155662326,0.122349507859,34.6661398203,1.21796558137,0.095236647858
T3-H1-fde65b87e674,980,1.37233213698,0.168562777018,165.191521478,-23.7558353116,6.95372397186,0.392857142857,193,0.248146867034,91,0.532265947957,154,0.191042059654,183,-0.00795951666057,187,0.121005277943,172,0.106227338738,131,0.187609166531,210,0.0328417203603,156,0.346220504179,242,0.0858526269125,241,0.244527904654,553,0.185502723755,427,0.146624157474,0.0222621602674,0.0540620136672,0.0751594706764,0.119815066785,151.637013145,1.341781059,0.154889696777,132.275398068,1.29814109823,0.135389353191,119.430029361,1.26918837997,0.122492337806
T3-H1-d6feb972db57,663,1.38407586715,0.168251434319,111.550700954,-20.2596200906,5.50606084689,0.404223227753,132,0.289149803012,60,0.596239685321,106,0.0923603905378,119,0.0243422835426,126,0.0958695582269,120,0.107017069681,87,0.265615896592,139,-0.00839377905519,108,0.39291885789,162,0.0685248677362,167,0.216003521039,365,0.187771497586,298,0.144342631996,0.0335833704206,0.0827443471416,0.108377650165,0.165961976496,98.0505240365,1.33759393461,0.148112574073,78.2883061636,1.26955141313,0.118618645702,67.9839763285,1.23407297702,0.103319112961
