parameter,value,configurations,positive_C1_share,mean_expectancy_C1
ema_period,50,1,1,0.151903112617
ema_period,75,1,1,0.19876274769
ema_period,100,18,1,0.185805265087
ema_period,150,1,1,0.15422172413
ema_period,200,1,1,0.159505441957
adx_threshold,15,1,1,0.215515835945
adx_threshold,20,19,1,0.178254014081
adx_threshold,25,1,1,0.216408117274
adx_threshold,30,1,1,0.190137577204
breakout_period,10,1,1,0.168562777018
breakout_period,20,18,1,0.187946447407
breakout_period,30,1,1,0.168251434319
breakout_period,40,1,1,0.163962684187
breakout_period,55,1,1,0.125074849112
atr_average_period,10,1,1,0.181138560267
atr_average_period,20,19,1,0.180657591616
atr_average_period,30,1,1,0.203160457152
atr_average_period,50,1,1,0.192094539846
stop_atr,1.5,1,1,0.24691926419
stop_atr,2,19,1,0.181861773247
stop_atr,2.5,1,1,0.167391541441
stop_atr,3,1,1,0.139203300647
trail_atr,2,1,1,0.143210067424
trail_atr,2.5,1,1,0.143325831456
trail_atr,3,18,1,0.180374212069
trail_atr,3.5,1,1,0.227373792428
trail_atr,4,1,1,0.248242289411
