strategy,timeframe,configuration_id,changed_parameter,changed_value,trades,PF_C1,expectancy_C1,net_R_C1,max_DD_C1,recovery_factor_C1,win_rate_C1,stable_neighbor_count
T2,M30,T2-M30-608dc87d09f1,max_initial_stop_atr,2.5,1306,1.24353692394,0.119866700296,156.545910587,-30.8484751622,5.07467256529,0.346860643185,2
T2,M30,T2-M30-0f598fd08d5f,BASELINE,BASELINE,1438,1.26342603406,0.124826202361,179.500078995,-29.8239638364,6.01865265058,0.349791376912,13
T2,M30,T2-M30-7c89b4a215cd,adx_threshold,25,982,1.38439307062,0.179005404674,175.783307389,-33.5282069751,5.24284843266,0.366598778004,2
T2,H1,T2-H1-608dc87d09f1,max_initial_stop_atr,2.5,630,1.6663779647,0.312202569418,196.687618734,-15.059244765,13.0609218326,0.368253968254,2
T2,H1,T2-H1-0f598fd08d5f,BASELINE,BASELINE,707,1.61480664821,0.274919639587,194.368185188,-15.7752217981,12.3211063322,0.370579915134,14
T2,H1,T2-H1-a98459cab4f2,ema_fast,25,649,1.49070753729,0.224423840621,145.651072563,-14.9346837251,9.75253813499,0.354391371341,2
T2,H1,T2-H1-7c89b4a215cd,adx_threshold,25,482,1.65863215399,0.287553690393,138.60087877,-13.1617691553,10.5305660003,0.387966804979,2
T3,M30,T3-M30-782a150195d6,BASELINE,BASELINE,1563,1.36949736407,0.164794611832,257.573978294,-27.1058951497,9.5025077339,0.401151631478,12
T3,M30,T3-M30-0050d828c1a8,ema_period,75,1581,1.36261268342,0.162875006507,257.505385288,-22.5343558886,11.4272352208,0.399746995572,2
T3,M30,T3-M30-e465514e7d09,ema_period,150,1516,1.41908542285,0.182704410584,276.979886446,-29.8583773344,9.27645475652,0.408311345646,2
T3,M30,T3-M30-d6feb972db57,breakout_period,30,1359,1.41725692209,0.18354419106,249.436555651,-30.1356993767,8.2771118909,0.401766004415,2
T3,M30,T3-M30-2e29f26637ab,breakout_period,40,1263,1.37410427499,0.167956460656,212.129009808,-32.4287208142,6.54139307633,0.395882818686,2
T3,M30,T3-M30-aeeb96942cf3,atr_average_period,30,1566,1.3486037229,0.158415577212,248.078793914,-21.7187677834,11.4223236046,0.399106002554,2
T3,M30,T3-M30-4e73cdb77246,stop_atr,2.5,1535,1.37160440874,0.139057433072,213.453159765,-22.9454581282,9.30263229318,0.412377850163,2
T3,M30,T3-M30-d9d86ab01cd1,trail_atr,2.5,1673,1.32197008446,0.129465292535,216.595434411,-25.1469740235,8.61318082283,0.401673640167,2
T3,M30,T3-M30-30681f09c487,trail_atr,3.5,1479,1.39808840692,0.193060137453,285.535943293,-30.023209754,9.51050689226,0.391480730223,2
T3,H1,T3-H1-782a150195d6,BASELINE,BASELINE,741,1.47227192074,0.204521852252,151.550692518,-19.2163232319,7.88656033154,0.40620782726,12
T3,H1,T3-H1-0050d828c1a8,ema_period,75,746,1.46197078462,0.19876274769,148.277009777,-18.1591213823,8.16542863802,0.399463806971,2
T3,H1,T3-H1-e465514e7d09,ema_period,150,712,1.35169213078,0.15422172413,109.80586758,-16.2276686407,6.76658305092,0.397471910112,2
T3,H1,T3-H1-8f50652483e0,adx_threshold,25,539,1.51956306578,0.216408117274,116.64397521,-12.5377802765,9.30339921723,0.423005565863,2
T3,H1,T3-H1-d6feb972db57,breakout_period,30,663,1.38407586715,0.168251434319,111.550700954,-20.2596200906,5.50606084689,0.404223227753,2
T3,H1,T3-H1-2e29f26637ab,breakout_period,40,614,1.3716086614,0.163962684187,100.673088091,-21.9230031271,4.59212123026,0.403908794788,2
T3,H1,T3-H1-aeeb96942cf3,atr_average_period,30,714,1.46328578667,0.203160457152,145.056566406,-16.2129477802,8.9469582196,0.40056022409,2
T3,H1,T3-H1-4e73cdb77246,stop_atr,2.5,725,1.46490681122,0.167391541441,121.358867544,-15.9848082915,7.59213781806,0.422068965517,2
T3,H1,T3-H1-30681f09c487,trail_atr,3.5,701,1.47248885359,0.227373792428,159.389028492,-22.824738387,6.98317000568,0.390870185449,2
