trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-H1-CNYRUBF-000001,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2023-01-23 15:00:00+03:00,2023-01-23 16:00:00+03:00,2023-01-23 16:00:00+03:00,10.11,10.1627255359,0.0527255358533,52.7255358533,2023-01-23 20:00:00+03:00,10.1627255359,INITIAL_STOP,4,-1,0.0379322839992,-1.037932284,0.568984259988,0,2023-01-23 11:00:00+03:00,1,18966.1419996
T2-H1-CNYRUBF-000002,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-01-31 23:00:00+03:00,2023-02-01 10:00:00+03:00,2023-02-01 10:00:00+03:00,10.42,10.3160527261,0.103947273905,103.947273905,2023-02-03 00:00:00+03:00,10.41,ATR_TRAILING_STOP,29,-0.0962026191198,0.019240523824,-0.115443142944,0.577215714719,0.769620952958,2023-01-31 16:00:00+03:00,2,9520.41010779
T2-H1-CNYRUBF-000003,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-02-11 00:00:00+03:00,2023-02-13 11:00:00+03:00,2023-02-13 11:00:00+03:00,10.78,10.6860139952,0.0939860047955,93.9860047955,2023-02-14 17:00:00+03:00,10.773600117,ATR_TRAILING_STOP,21,-0.0680940002622,0.0212797639856,-0.0893737642478,0.212797639856,0.851190559425,2023-02-10 22:00:00+03:00,2,10517.2916978
T2-H1-CNYRUBF-000004,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-03-10 11:00:00+03:00,2023-03-10 12:00:00+03:00,2023-03-10 12:00:00+03:00,10.91,10.8574308694,0.0525691305969,52.5691305969,2023-03-13 11:00:00+03:00,10.9124888662,ATR_TRAILING_STOP,14,0.047344632273,0.03804514127,0.009299491003,0.19022570635,1.5218056508,2023-03-10 10:00:00+03:00,1,18786.5916087
T2-H1-CNYRUBF-000005,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-03-13 14:00:00+03:00,2023-03-13 15:00:00+03:00,2023-03-13 15:00:00+03:00,10.95,10.856686287,0.0933137130002,93.3137130002,2023-03-14 12:00:00+03:00,10.91,EMA50_TREND_LOSS,12,-0.428661540881,0.0214330770441,-0.450094617925,0.535826926102,0,2023-03-13 12:00:00+03:00,1,10584.5818077
T2-H1-CNYRUBF-000006,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-03-20 16:00:00+03:00,2023-03-20 17:00:00+03:00,2023-03-20 17:00:00+03:00,11.19,11.115048626,0.0749513740383,74.9513740383,2023-03-21 23:00:00+03:00,11.1501635139,ATR_TRAILING_STOP,21,-0.531497742799,0.0266839671142,-0.558181709914,0.667099177855,0.800519013426,2023-03-20 12:00:00+03:00,1,13118.3866512
T2-H1-CNYRUBF-000007,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-04-04 16:00:00+03:00,2023-04-04 19:00:00+03:00,2023-04-04 19:00:00+03:00,11.53,11.4359292064,0.0940707935985,94.0707935985,2023-04-07 14:00:00+03:00,11.9383614032,ATR_TRAILING_STOP,40,4.34100093719,0.0212605839017,4.31974035329,0.212605839017,6.05926641199,2023-04-04 15:00:00+03:00,3,10393.798067
T2-H1-CNYRUBF-000008,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-06-26 23:00:00+03:00,2023-06-27 11:00:00+03:00,2023-06-27 11:00:00+03:00,11.79,11.7249747597,0.0650252403148,65.0252403148,2023-06-29 22:00:00+03:00,12.09,ATR_TRAILING_STOP,41,4.61359309935,0.030757287329,4.58283581202,0.61514574658,7.68932183225,2023-06-26 22:00:00+03:00,3,15686.0506996
T2-H1-CNYRUBF-000009,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-07-03 11:00:00+03:00,2023-07-03 13:00:00+03:00,2023-07-03 13:00:00+03:00,12.33,12.2238427143,0.106157285732,106.157285732,2023-07-03 17:00:00+03:00,12.2238427143,INITIAL_STOP,4,-1,0.0188399692609,-1.01883996926,0.470999231521,0.0941998463043,2023-07-03 10:00:00+03:00,2,10048.6145634
T2-H1-CNYRUBF-000010,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-08-03 11:00:00+03:00,2023-08-03 13:00:00+03:00,2023-08-03 13:00:00+03:00,13.04,12.9748034357,0.0651965642836,65.1965642836,2023-08-07 18:00:00+03:00,13.3178304364,ATR_TRAILING_STOP,37,4.26142756905,0.0306764631231,4.23075110593,0.306764631231,6.90220420271,2023-08-03 10:00:00+03:00,2,16195.1070621
T2-H1-CNYRUBF-000011,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-08-31 17:00:00+03:00,2023-08-31 20:00:00+03:00,2023-08-31 20:00:00+03:00,13.19,13.1369621155,0.0530378845057,53.0378845057,2023-09-01 18:00:00+03:00,13.2149976381,ATR_TRAILING_STOP,14,0.471316651662,0.0377088946635,0.433607756998,0.188544473317,2.45107815313,2023-08-31 15:00:00+03:00,3,20750.0050841
T2-H1-CNYRUBF-000012,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-09-06 15:00:00+03:00,2023-09-06 18:00:00+03:00,2023-09-06 18:00:00+03:00,13.41,13.3568067743,0.0531932256897,53.1932256897,2023-09-07 15:00:00+03:00,13.3775921817,ATR_TRAILING_STOP,13,-0.609247096447,0.0375987726645,-0.646845869111,0.375987726645,0.939969316614,2023-09-06 14:00:00+03:00,3,20779.1193314
T2-H1-CNYRUBF-000013,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-09-07 17:00:00+03:00,2023-09-07 18:00:00+03:00,2023-09-07 18:00:00+03:00,13.4,13.2955480886,0.1044519114,104.4519114,2023-09-08 10:00:00+03:00,13.37,EMA50_TREND_LOSS,8,-0.287213509048,0.0191475672698,-0.306361076318,0.0957378363492,0.287213509048,2023-09-07 09:00:00+03:00,1,10513.5341985
T2-H1-CNYRUBF-000014,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2023-09-21 19:00:00+03:00,2023-09-21 20:00:00+03:00,2023-09-21 20:00:00+03:00,13.13,13.1642572492,0.0342572491954,34.2572491954,2023-09-22 10:00:00+03:00,13.1642572492,INITIAL_STOP,5,-1,0.0583818037635,-1.05838180376,0.583818037635,0.583818037635,2023-09-21 17:00:00+03:00,1,31958.0362514
T2-H1-CNYRUBF-000015,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-10-02 12:00:00+03:00,2023-10-02 13:00:00+03:00,2023-10-02 13:00:00+03:00,13.515,13.4223820877,0.0926179122633,92.6179122633,2023-10-03 14:00:00+03:00,13.5265037167,ATR_TRAILING_STOP,16,0.124206176136,0.0215940950419,0.102612081094,0.161955712815,1.24166046491,2023-10-02 11:00:00+03:00,1,11695.4407668
T2-H1-CNYRUBF-000016,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-10-04 20:00:00+03:00,2023-10-04 22:00:00+03:00,2023-10-04 22:00:00+03:00,13.62,13.5765778284,0.0434221716387,43.4221716387,2023-10-06 12:00:00+03:00,13.7545747146,ATR_TRAILING_STOP,20,3.09921658744,0.04605941906,3.05315716838,0.6908912859,5.57318970626,2023-10-04 19:00:00+03:00,2,24971.5471948
T2-H1-CNYRUBF-000017,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-10-10 10:00:00+03:00,2023-10-10 11:00:00+03:00,2023-10-10 11:00:00+03:00,13.752,13.5310457965,0.220954203509,220.954203509,2023-10-10 13:00:00+03:00,13.633,EMA50_TREND_LOSS,2,-0.538573143712,0.00905164947415,-0.547624793186,0.357540154229,0.0407324226337,2023-10-09 16:00:00+03:00,1,5057.26864689
T2-H1-CNYRUBF-000018,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-10-10 16:00:00+03:00,2023-10-10 17:00:00+03:00,2023-10-10 17:00:00+03:00,13.71,13.6330222479,0.0769777521328,76.9777521328,2023-10-11 12:00:00+03:00,13.681,EMA50_TREND_LOSS,10,-0.376732227124,0.0259815329051,-0.402713760029,0.766455220701,1.48094737559,2023-10-10 11:00:00+03:00,1,14436.7098278
T2-H1-CNYRUBF-000019,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2023-10-19 20:00:00+03:00,2023-10-19 21:00:00+03:00,2023-10-19 21:00:00+03:00,13.209,13.2667372405,0.0577372404715,57.7372404715,2023-10-23 10:00:00+03:00,13.0831204944,ATR_TRAILING_STOP,19,2.18021340472,0.0346396880707,2.14557371665,0.207838128424,3.61984740339,2023-10-19 19:00:00+03:00,1,19170.1245445
T2-H1-CNYRUBF-000020,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2023-10-30 10:00:00+03:00,2023-10-30 11:00:00+03:00,2023-10-30 11:00:00+03:00,12.754,12.8451417493,0.0911417493404,91.1417493404,2023-10-30 20:00:00+03:00,12.7801501175,ATR_TRAILING_STOP,9,-0.286917002704,0.0219438403857,-0.30886084309,0,1.19593930102,2023-10-27 16:00:00+03:00,1,12404.6109976
T2-H1-CNYRUBF-000021,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2023-11-21 16:00:00+03:00,2023-11-21 19:00:00+03:00,2023-11-21 19:00:00+03:00,12.3,12.3373011731,0.0373011730923,37.3011730923,2023-11-22 14:00:00+03:00,12.3373011731,INITIAL_STOP,10,-1,0.0536176166646,-1.05361761666,0.750646633304,1.34044041661,2023-11-21 10:00:00+03:00,3,30215.8334496
T2-H1-CNYRUBF-000022,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2023-11-30 10:00:00+03:00,2023-11-30 13:00:00+03:00,2023-11-30 13:00:00+03:00,12.394,12.4262307326,0.0322307326276,32.2307326276,2023-11-30 16:00:00+03:00,12.424,EMA50_TREND_LOSS,3,-0.930788646557,0.0620525764371,-0.992841222994,0.775657205464,0.0930788646557,2023-11-30 09:00:00+03:00,3,34600.8534622
T2-H1-CNYRUBF-000023,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-01-30 16:00:00+03:00,2024-01-30 18:00:00+03:00,2024-01-30 18:00:00+03:00,12.445,12.3953160597,0.0496839402701,49.6839402701,2024-01-31 12:00:00+03:00,12.4250832787,ATR_TRAILING_STOP,10,-0.400868393913,0.0402544562514,-0.441122850165,0.301908421885,0.905725265656,2024-01-30 14:00:00+03:00,2,22223.2491528
T2-H1-CNYRUBF-000024,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-02-02 21:00:00+03:00,2024-02-02 23:00:00+03:00,2024-02-02 23:00:00+03:00,12.595,12.5759535277,0.0190464723499,19.0464723499,2024-02-05 16:00:00+03:00,12.5898585546,ATR_TRAILING_STOP,9,-0.269942135935,0.105006321552,-0.374948457487,0.210012643104,4.30525918363,2024-02-02 19:00:00+03:00,2,57715.0432761
T2-H1-CNYRUBF-000025,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-02-16 22:00:00+03:00,2024-02-19 09:00:00+03:00,2024-02-19 09:00:00+03:00,12.735,12.6761918825,0.0588081175051,58.8081175051,2024-02-21 16:00:00+03:00,12.7864279748,ATR_TRAILING_STOP,39,0.874504693336,0.0340089104166,0.840495782919,0.272071283333,1.71744997604,2024-02-16 16:00:00+03:00,3,18622.3659942
T2-H1-CNYRUBF-000026,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-03-28 11:00:00+03:00,2024-03-28 14:00:00+03:00,2024-03-28 14:00:00+03:00,12.707,12.7432379553,0.0362379552554,36.2379552554,2024-03-28 18:00:00+03:00,12.7432379553,INITIAL_STOP,4,-1,0.055190751959,-1.05519075196,0.965838159283,0.303549135775,2024-03-28 10:00:00+03:00,3,30474.9795675
T2-H1-CNYRUBF-000027,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-03-29 14:00:00+03:00,2024-03-29 16:00:00+03:00,2024-03-29 16:00:00+03:00,12.682,12.7173554065,0.0353554065321,35.3554065321,2024-04-01 10:00:00+03:00,12.7080560956,ATR_TRAILING_STOP,10,-0.736976268775,0.0565684345386,-0.793544703314,0.565684345386,1.04651603896,2024-03-29 12:00:00+03:00,2,30906.1058576
T2-H1-CNYRUBF-000028,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-04-26 12:00:00+03:00,2024-04-26 13:00:00+03:00,2024-04-26 13:00:00+03:00,12.655,12.706310348,0.0513103479921,51.3103479921,2024-04-27 09:00:00+03:00,12.583,ATR_TRAILING_STOP,12,1.40322571991,0.0389784922197,1.36424722769,0.0584677383296,2.9623654087,2024-04-26 11:00:00+03:00,1,21126.8668552
T2-H1-CNYRUBF-000029,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-04-27 11:00:00+03:00,2024-04-27 12:00:00+03:00,2024-04-27 12:00:00+03:00,12.548,12.625934154,0.077934154014,77.934154014,2024-04-27 16:00:00+03:00,12.625934154,INITIAL_STOP,4,-1,0.0256626895525,-1.02566268955,0.641567238813,0.0641567238813,2024-04-27 09:00:00+03:00,1,14099.2830553
T2-H1-CNYRUBF-000030,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-05-22 16:00:00+03:00,2024-05-22 18:00:00+03:00,2024-05-22 18:00:00+03:00,12.411,12.4504143638,0.0394143638192,39.4143638192,2024-05-27 16:00:00+03:00,12.2252704834,ATR_TRAILING_STOP,45,4.7122292124,0.0507429222802,4.66148629012,0.989486984464,6.57120843529,2024-05-22 15:00:00+03:00,2,27592.6197738
T2-H1-CNYRUBF-000031,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-06-04 11:00:00+03:00,2024-06-04 12:00:00+03:00,2024-06-04 12:00:00+03:00,12.206,12.3022812129,0.096281212855,96.281212855,2024-06-05 11:00:00+03:00,12.2607367524,ATR_TRAILING_STOP,15,-0.568509170174,0.0207724844826,-0.589281654656,0.810126894823,0.15579363362,2024-06-04 10:00:00+03:00,1,11822.050301
T2-H1-CNYRUBF-000032,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-06-28 11:00:00+03:00,2024-06-28 13:00:00+03:00,2024-06-28 13:00:00+03:00,11.555,11.7859631979,0.23096319789,230.96319789,2024-06-28 17:00:00+03:00,11.6946531971,ATR_TRAILING_STOP,4,-0.604655626534,0.00865938824139,-0.613315014775,0.0606157176897,0.476266353276,2024-06-28 10:00:00+03:00,2,4899.19564821
T2-H1-CNYRUBF-000033,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-07-16 11:00:00+03:00,2024-07-16 14:00:00+03:00,2024-07-16 14:00:00+03:00,12.05,12.00012216,0.0498778399992,49.8778399992,2024-07-17 18:00:00+03:00,12.0043272965,ATR_TRAILING_STOP,18,-0.915691286193,0.0400979673545,-0.955789253547,0.601469510317,0.280685771481,2024-07-16 10:00:00+03:00,3,22546.9672854
T2-H1-CNYRUBF-000034,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-07-25 20:00:00+03:00,2024-07-25 21:00:00+03:00,2024-07-25 21:00:00+03:00,11.736,11.7826864855,0.0466864854812,46.6864854812,2024-07-26 14:00:00+03:00,11.7566017891,ATR_TRAILING_STOP,8,-0.441279502489,0.0428389496315,-0.484118452121,0.385550546683,1.24232953931,2024-07-25 19:00:00+03:00,1,23857.9808781
T2-H1-CNYRUBF-000035,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-08-01 11:00:00+03:00,2024-08-01 12:00:00+03:00,2024-08-01 12:00:00+03:00,11.777,11.8365257542,0.0595257541793,59.5257541793,2024-08-02 11:00:00+03:00,11.7916606746,ATR_TRAILING_STOP,14,-0.246291287163,0.0335989023167,-0.279890189479,0.335989023167,0.789574204443,2024-08-01 00:00:00+03:00,1,18621.4011505
T2-H1-CNYRUBF-000036,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-08-02 15:00:00+03:00,2024-08-02 18:00:00+03:00,2024-08-02 18:00:00+03:00,11.803,11.858894297,0.0558942970438,55.8942970438,2024-08-02 23:00:00+03:00,11.809,EMA50_TREND_LOSS,5,-0.107345477398,0.0357818257994,-0.143127303197,0.196800041896,0.339927345094,2024-08-02 00:00:00+03:00,3,19775.729453
T2-H1-CNYRUBF-000037,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-08-23 15:00:00+03:00,2024-08-23 18:00:00+03:00,2024-08-23 18:00:00+03:00,11.855,11.9066737257,0.0516737257016,51.6737257016,2024-08-27 11:00:00+03:00,11.7334701556,ATR_TRAILING_STOP,23,2.35186920851,0.0387043893747,2.31316481913,0.270930725623,4.2961872206,2024-08-23 14:00:00+03:00,3,21360.3417009
T2-H1-CNYRUBF-000038,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-09-02 13:00:00+03:00,2024-09-02 16:00:00+03:00,2024-09-02 16:00:00+03:00,12.018,11.9300342737,0.0879657263135,87.9657263135,2024-09-03 18:00:00+03:00,12.0480575325,ATR_TRAILING_STOP,17,0.341695950936,0.0227361278514,0.318959823084,0.591139324135,1.69384152493,2024-09-02 12:00:00+03:00,3,12837.9593788
T2-H1-CNYRUBF-000039,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-09-05 11:00:00+03:00,2024-09-05 13:00:00+03:00,2024-09-05 13:00:00+03:00,12.315,12.1918866246,0.123113375393,123.113375393,2024-09-10 18:00:00+03:00,12.6292314341,ATR_TRAILING_STOP,50,2.5523744522,0.0162451885802,2.53612926362,0,3.2815280932,2024-09-05 10:00:00+03:00,2,9202.10685597
T2-H1-CNYRUBF-000040,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-10-01 14:00:00+03:00,2024-10-01 16:00:00+03:00,2024-10-01 16:00:00+03:00,13.281,13.1885954464,0.0924045535951,92.4045535951,2024-10-02 11:00:00+03:00,13.2491278562,ATR_TRAILING_STOP,10,-0.344919623545,0.0216439550021,-0.366563578547,0.10821977501,0.508632942549,2024-10-01 00:00:00+03:00,2,12571.1803236
T2-H1-CNYRUBF-000041,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-10-03 16:00:00+03:00,2024-10-03 18:00:00+03:00,2024-10-03 18:00:00+03:00,13.465,13.3786909427,0.0863090572618,86.3090572618,2024-10-04 11:00:00+03:00,13.3786909427,INITIAL_STOP,8,-1,0.0231725390527,-1.02317253905,0.637244823949,0,2024-10-03 13:00:00+03:00,2,13409.672338
T2-H1-CNYRUBF-000042,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-10-31 13:00:00+03:00,2024-10-31 16:00:00+03:00,2024-10-31 16:00:00+03:00,13.639,13.5799926141,0.0590073858513,59.0073858513,2024-10-31 17:00:00+03:00,13.5799926141,INITIAL_STOP,1,-1,0.0338940620932,-1.03389406209,0,0,2024-10-31 12:00:00+03:00,3,19413.4040329
T2-H1-CNYRUBF-000043,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-11-02 17:00:00+03:00,2024-11-02 19:00:00+03:00,2024-11-02 19:00:00+03:00,13.659,13.6285558152,0.0304441848097,30.4441848097,2024-11-05 16:00:00+03:00,13.7201049717,ATR_TRAILING_STOP,12,2.00711472784,0.0656939909051,1.94142073693,0.361316949978,4.46719138154,2024-11-02 12:00:00+03:00,2,37238.330382
T2-H1-CNYRUBF-000044,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-11-20 11:00:00+03:00,2024-11-20 13:00:00+03:00,2024-11-20 13:00:00+03:00,13.826,13.7883126275,0.0376873725279,37.6873725279,2024-11-20 17:00:00+03:00,13.7883126275,INITIAL_STOP,4,-1,0.0530681728613,-1.05306817286,0.557215815044,0.344943123599,2024-11-20 10:00:00+03:00,2,30665.4520937
T2-H1-CNYRUBF-000045,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-11-21 19:00:00+03:00,2024-11-21 20:00:00+03:00,2024-11-21 20:00:00+03:00,13.937,13.8541268276,0.0828731724108,82.8731724108,2024-11-22 11:00:00+03:00,13.8908596435,ATR_TRAILING_STOP,6,-0.556758661469,0.0241332622104,-0.58089192368,0.349932302051,0.434398719788,2024-11-21 18:00:00+03:00,1,13798.554723
T2-H1-CNYRUBF-000046,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2024-11-28 00:00:00+03:00,2024-11-28 11:00:00+03:00,2024-11-28 11:00:00+03:00,14.76,14.4023917085,0.357608291481,357.608291481,2024-11-29 17:00:00+03:00,14.5798799949,ATR_TRAILING_STOP,21,-0.50367961081,0.00559271148809,-0.509272322298,0.480973187976,0.204133969315,2024-11-27 17:00:00+03:00,2,3179.14141876
T2-H1-CNYRUBF-000047,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2024-12-24 17:00:00+03:00,2024-12-24 19:00:00+03:00,2024-12-24 19:00:00+03:00,13.685,13.7815532742,0.0965532741602,96.5532741602,2024-12-27 16:00:00+03:00,13.5122448665,ATR_TRAILING_STOP,42,1.78922087325,0.0207139531766,1.76850692008,0.36249418059,3.07602204672,2024-12-24 16:00:00+03:00,2,11714.7501052
