trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-H1-GLDRUBF-000001,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-07-31 11:00:00+03:00,2023-07-31 13:00:00+03:00,2023-07-31 13:00:00+03:00,5678.2,5648.14094913,30.0590508717,30059.0508717,2023-08-02 16:00:00+03:00,5728.54325147,ATR_TRAILING_STOP,33,1.67481174591,6.65357002966e-05,1.67474521021,0.299410651335,3.3866671451,2023-07-31 10:00:00+03:00,2,33.2678501483
T2-H1-GLDRUBF-000002,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-08-03 15:00:00+03:00,2023-08-03 18:00:00+03:00,2023-08-03 18:00:00+03:00,5792,5742.88147445,49.1185255507,49118.5255507,2023-08-04 20:00:00+03:00,5832.54158797,ATR_TRAILING_STOP,17,0.825382837088,4.07178346169e-05,0.825342119253,0.187302039238,2.14379399258,2023-08-03 09:00:00+03:00,3,20.6998773009
T2-H1-GLDRUBF-000003,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-08-07 23:00:00+03:00,2023-08-08 09:00:00+03:00,2023-08-08 09:00:00+03:00,5893,5860.27246057,32.7275394336,32727.5394336,2023-08-09 10:00:00+03:00,5913.44374351,ATR_TRAILING_STOP,17,0.624664850067,6.11106130986e-05,0.624603739454,0.956381094994,2.50553513704,2023-08-07 17:00:00+03:00,2,31.3234393667
T2-H1-GLDRUBF-000004,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-08-10 11:00:00+03:00,2023-08-10 12:00:00+03:00,2023-08-10 12:00:00+03:00,5938,5886.95090508,51.0490949224,51049.0949224,2023-08-14 12:00:00+03:00,6173.5,ATR_TRAILING_STOP,32,4.61320617649,3.91779717749e-05,4.61316699852,0.0587669576623,9.10496064048,2023-08-09 17:00:00+03:00,1,20.206864701
T2-H1-GLDRUBF-000005,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-08-25 18:00:00+03:00,2023-08-25 20:00:00+03:00,2023-08-25 20:00:00+03:00,5898.6,5848.78295125,49.8170487455,49817.0487455,2023-08-31 16:00:00+03:00,6009.04509763,ATR_TRAILING_STOP,58,2.21701406275,4.01468985089e-05,2.21697391585,0.283035634488,3.15353887788,2023-08-25 17:00:00+03:00,2,21.6618395432
T2-H1-GLDRUBF-000006,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-09-01 17:00:00+03:00,2023-09-01 19:00:00+03:00,2023-09-01 19:00:00+03:00,6021.4,5978.75391675,42.6460832547,42646.0832547,2023-09-06 10:00:00+03:00,6060.40028331,ATR_TRAILING_STOP,37,0.914510321445,4.68976245263e-05,0.914463423821,0.42676838319,1.71645305766,2023-09-01 16:00:00+03:00,2,25.8652809086
T2-H1-GLDRUBF-000007,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-09-06 11:00:00+03:00,2023-09-06 13:00:00+03:00,2023-09-06 13:00:00+03:00,6078.4,6037.34281262,41.0571873772,41057.1873772,2023-09-07 09:00:00+03:00,6060,EMA50_TREND_LOSS,12,-0.448155394351,4.87125428643e-05,-0.448204106894,0.319067155761,0.618649294376,2023-09-06 09:00:00+03:00,2,27.1119384856
T2-H1-GLDRUBF-000008,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,SHORT,2023-09-28 00:00:00+03:00,2023-09-28 10:00:00+03:00,2023-09-28 10:00:00+03:00,5798.2,5840.23755084,42.0375508436,42037.5508436,2023-09-29 11:00:00+03:00,5832.08655276,ATR_TRAILING_STOP,16,-0.80610197513,4.75765109971e-05,-0.806149551641,0.896817232294,0.275943763783,2023-09-27 21:00:00+03:00,1,26.3609743528
T2-H1-GLDRUBF-000009,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-10-18 17:00:00+03:00,2023-10-18 20:00:00+03:00,2023-10-18 20:00:00+03:00,5966.7,5925.2048673,41.4951326992,41495.1326992,2023-10-19 14:00:00+03:00,5925.2048673,INITIAL_STOP,9,-1,4.81984240055e-05,-1.00004819842,0.710926754081,0.320519519637,2023-10-18 16:00:00+03:00,3,26.4902742909
T2-H1-GLDRUBF-000010,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-10-19 19:00:00+03:00,2023-10-19 21:00:00+03:00,2023-10-19 21:00:00+03:00,5934.3,5909.00438278,25.2956172168,25295.6172168,2023-10-20 15:00:00+03:00,5909.00438278,INITIAL_STOP,9,-1,7.90650800436e-05,-1.00007906508,0.367652622203,0.86971588048,2023-10-19 10:00:00+03:00,2,43.0202881921
