trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-H1-IMOEXF-000001,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2023-12-05 10:00:00+03:00,2023-12-05 12:00:00+03:00,2023-12-05 12:00:00+03:00,3103,3127.06627119,24.0662711898,24066.2711898,2023-12-05 14:00:00+03:00,3127.06627119,INITIAL_STOP,2,-1,8.31038586837e-05,-1.00008310386,0.415519293418,0,2023-12-05 00:00:00+03:00,2,41.5519293418
T2-H1-IMOEXF-000002,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2023-12-07 17:00:00+03:00,2023-12-07 20:00:00+03:00,2023-12-07 20:00:00+03:00,3073,3090.40897138,17.4089713751,17408.9713751,2023-12-08 11:00:00+03:00,3090.40897138,INITIAL_STOP,6,-1,0.000114883295337,-1.0001148833,0.861624715026,0.315929062176,2023-12-07 15:00:00+03:00,3,56.8671834555
T2-H1-IMOEXF-000003,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2023-12-12 15:00:00+03:00,2023-12-12 17:00:00+03:00,2023-12-12 17:00:00+03:00,3033.5,3049.92486498,16.4248649756,16424.8649756,2023-12-13 14:00:00+03:00,3044.5832771,ATR_TRAILING_STOP,12,-0.674786497252,0.00012176660222,-0.674908263854,0.547949709989,1.67429078052,2023-12-12 14:00:00+03:00,2,59.6716040821
T2-H1-IMOEXF-000004,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-01-11 13:00:00+03:00,2024-01-11 14:00:00+03:00,2024-01-11 14:00:00+03:00,3174.5,3156.89949654,17.6005034569,17600.5034569,2024-01-15 14:00:00+03:00,3189.40197483,ATR_TRAILING_STOP,31,0.846678895649,0.000113633113103,0.846565262536,0.596573843793,1.70449669655,2024-01-10 19:00:00+03:00,1,55.3099676748
T2-H1-IMOEXF-000005,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-01-30 16:00:00+03:00,2024-01-30 17:00:00+03:00,2024-01-30 17:00:00+03:00,3191.5,3182.93039296,8.569607043,8569.607043,2024-02-02 11:00:00+03:00,3221.90420562,ATR_TRAILING_STOP,41,3.5479112949,0.000233382929925,3.54767791197,0,5.19277019083,2024-01-30 15:00:00+03:00,1,114.558864088
T2-H1-IMOEXF-000006,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-02-13 10:00:00+03:00,2024-02-13 11:00:00+03:00,2024-02-13 11:00:00+03:00,3260.5,3245.37957379,15.1204262106,15120.4262106,2024-02-14 21:00:00+03:00,3253.24346159,ATR_TRAILING_STOP,25,-0.479916260787,0.000132271403739,-0.480048532191,0.925899826171,0.628289167759,2024-02-13 00:00:00+03:00,1,67.2304375409
T2-H1-IMOEXF-000007,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-03-05 11:00:00+03:00,2024-03-05 13:00:00+03:00,2024-03-05 13:00:00+03:00,3302.5,3287.81422418,14.6857758191,14685.7758191,2024-03-06 00:00:00+03:00,3299.01322827,ATR_TRAILING_STOP,11,-0.237425095599,0.000136186199805,-0.237561281798,0.272372399611,1.05544304849,2024-03-05 10:00:00+03:00,2,68.8879454018
T2-H1-IMOEXF-000008,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-03-06 12:00:00+03:00,2024-03-06 14:00:00+03:00,2024-03-06 14:00:00+03:00,3311,3296.32643932,14.6735606849,14673.5606849,2024-03-11 18:00:00+03:00,3324.58326737,ATR_TRAILING_STOP,34,0.925696745742,0.000136299569201,0.925560446173,0.340748923003,2.11264332262,2024-03-05 23:00:00+03:00,2,68.7815044569
T2-H1-IMOEXF-000009,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-03-12 12:00:00+03:00,2024-03-12 15:00:00+03:00,2024-03-12 15:00:00+03:00,3325,3312.88553758,12.1144624239,12114.4624239,2024-03-13 14:00:00+03:00,3332.50165346,ATR_TRAILING_STOP,14,0.61923122938,0.000165091931447,0.619066137449,0.0825459657237,1.93983019451,2024-03-12 09:00:00+03:00,3,84.0822270137
T2-H1-IMOEXF-000010,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-03-25 11:00:00+03:00,2024-03-25 13:00:00+03:00,2024-03-25 13:00:00+03:00,3245,3268.79260928,23.7926092755,23792.6092755,2024-03-25 17:00:00+03:00,3267.19802381,ATR_TRAILING_STOP,4,-0.932979798779,8.40597168996e-05,-0.933063858496,0.609432947522,0.714507593647,2024-03-25 10:00:00+03:00,2,43.0771103519
T2-H1-IMOEXF-000011,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-04-02 14:00:00+03:00,2024-04-02 15:00:00+03:00,2024-04-02 15:00:00+03:00,3371,3359.42161461,11.578385388,11578.385388,2024-04-05 10:00:00+03:00,3397.16409668,ATR_TRAILING_STOP,42,2.25973620706,0.000172735656397,2.2595634714,0.690942625586,3.62744878433,2024-04-02 13:00:00+03:00,1,87.6938962162
T2-H1-IMOEXF-000012,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-04-05 16:00:00+03:00,2024-04-05 18:00:00+03:00,2024-04-05 18:00:00+03:00,3402,3392.33586093,9.66413907125,9664.13907125,2024-04-09 16:00:00+03:00,3424.89658935,ATR_TRAILING_STOP,28,2.36923218739,0.000206950664229,2.36902523672,0.620851992688,4.19075095064,2024-04-04 23:00:00+03:00,2,107.438053283
T2-H1-IMOEXF-000013,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-04-15 11:00:00+03:00,2024-04-15 12:00:00+03:00,2024-04-15 12:00:00+03:00,3469.5,3455.85993059,13.6400694103,13640.0694103,2024-04-16 12:00:00+03:00,3466.5973709,ATR_TRAILING_STOP,16,-0.212801637042,0.000146626819838,-0.212948263862,0.146626819838,0.989731033908,2024-04-15 10:00:00+03:00,1,77.9243680959
T2-H1-IMOEXF-000014,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-04-26 17:00:00+03:00,2024-04-26 18:00:00+03:00,2024-04-26 18:00:00+03:00,3454.5,3444.26530439,10.2346956132,10234.6956132,2024-04-30 10:00:00+03:00,3479.15140268,ATR_TRAILING_STOP,37,2.40861121974,0.000195413725585,2.40841580602,0,3.90827451171,2024-04-26 13:00:00+03:00,1,103.630866593
T2-H1-IMOEXF-000015,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-05-13 15:00:00+03:00,2024-05-13 18:00:00+03:00,2024-05-13 18:00:00+03:00,3465,3449.96413148,15.0358685248,15035.8685248,2024-05-20 11:00:00+03:00,3507.1981153,ATR_TRAILING_STOP,69,2.80649669375,0.000133015262584,2.80636367848,0.33253815646,3.79093498364,2024-05-13 14:00:00+03:00,3,72.2389108105
T2-H1-IMOEXF-000016,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-05-28 16:00:00+03:00,2024-05-28 17:00:00+03:00,2024-05-28 17:00:00+03:00,3327.5,3354.25304199,26.7530419885,26753.0419885,2024-05-29 22:00:00+03:00,3329.24642232,ATR_TRAILING_STOP,21,-0.0652793923381,7.47578537371e-05,-0.0653541501918,0.0934473171714,1.55122546505,2024-05-28 12:00:00+03:00,1,41.7394320952
T2-H1-IMOEXF-000017,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-06-20 11:00:00+03:00,2024-06-20 14:00:00+03:00,2024-06-20 14:00:00+03:00,3055,3102.06412775,47.0641277468,47064.1277468,2024-06-20 16:00:00+03:00,3071.82213009,ATR_TRAILING_STOP,2,-0.357429976817,4.24952101686e-05,-0.357472472027,0.212476050843,1.15799447709,2024-06-20 10:00:00+03:00,3,23.7107761536
T2-H1-IMOEXF-000018,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-07-03 11:00:00+03:00,2024-07-03 13:00:00+03:00,2024-07-03 13:00:00+03:00,3227,3204.1401978,22.8598022025,22859.8022025,2024-07-03 18:00:00+03:00,3205.83015191,ATR_TRAILING_STOP,5,-0.926073108789,8.7489820878e-05,-0.92616059861,0.87489820878,0.196852096976,2024-07-03 10:00:00+03:00,2,48.6416223639
T2-H1-IMOEXF-000019,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-08-20 14:00:00+03:00,2024-08-20 16:00:00+03:00,2024-08-20 16:00:00+03:00,2784,2805.28822974,21.2882297391,21288.2297391,2024-08-21 18:00:00+03:00,2783.58222255,ATR_TRAILING_STOP,17,0.0196248092759,9.3948629102e-05,0.0195308606468,0.657640403714,1.62061385201,2024-08-20 13:00:00+03:00,2,51.7487620694
T2-H1-IMOEXF-000020,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-08-28 18:00:00+03:00,2024-08-28 19:00:00+03:00,2024-08-28 19:00:00+03:00,2706,2724.5660859,18.5660859017,18566.0859017,2024-08-29 11:00:00+03:00,2724.5660859,INITIAL_STOP,7,-1,0.000107723297769,-1.0001077233,0.915648031037,0.161584946654,2024-08-28 17:00:00+03:00,1,59.3477107217
T2-H1-IMOEXF-000021,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-09-24 12:00:00+03:00,2024-09-24 13:00:00+03:00,2024-09-24 13:00:00+03:00,2858,2823.80814301,34.1918569941,34191.8569941,2024-09-25 11:00:00+03:00,2855.50198935,ATR_TRAILING_STOP,13,-0.0730586421943,5.84934594324e-05,-0.0731171356537,0.365584121452,0.833531796911,2024-09-24 11:00:00+03:00,1,31.9033552817
T2-H1-IMOEXF-000022,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-09-25 12:00:00+03:00,2024-09-25 13:00:00+03:00,2024-09-25 13:00:00+03:00,2883.5,2853.23304022,30.2669597836,30266.9597836,2024-09-25 17:00:00+03:00,2853.23304022,INITIAL_STOP,4,-1,6.60786552167e-05,-1.00006607866,0.743384871187,0.214755629454,2024-09-25 10:00:00+03:00,1,36.0141019097
T2-H1-IMOEXF-000023,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-10-23 17:00:00+03:00,2024-10-23 18:00:00+03:00,2024-10-23 18:00:00+03:00,2744,2758.89841657,14.898416572,14898.416572,2024-10-24 18:00:00+03:00,2720.4691086,ATR_TRAILING_STOP,15,1.57942230218,0.00013424245391,1.57928805972,0.0335606134775,3.62454625557,2024-10-23 16:00:00+03:00,1,72.4329511734
T2-H1-IMOEXF-000024,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-11-18 18:00:00+03:00,2024-11-18 21:00:00+03:00,2024-11-18 21:00:00+03:00,2727,2711.53153906,15.4684609401,15468.4609401,2024-11-18 22:00:00+03:00,2713,EMA50_TREND_LOSS,1,-0.905067417777,0.000129295345397,-0.905196713122,0,0,2024-11-16 00:00:00+03:00,3,70.8654180134
T2-H1-IMOEXF-000025,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-11-20 14:00:00+03:00,2024-11-20 16:00:00+03:00,2024-11-20 16:00:00+03:00,2640,2671.10746667,31.1074666685,31107.4666685,2024-11-21 23:00:00+03:00,2615.94240887,ATR_TRAILING_STOP,22,0.773370309815,6.42932457764e-05,0.773306016569,0.0964398686647,2.7324629455,2024-11-20 13:00:00+03:00,2,34.9194740378
T2-H1-IMOEXF-000026,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-11-22 11:00:00+03:00,2024-11-22 12:00:00+03:00,2024-11-22 12:00:00+03:00,2601,2634.99418284,33.9941828426,33994.1828426,2024-11-27 13:00:00+03:00,2486.42925587,ATR_TRAILING_STOP,46,3.37030440356,5.88335954202e-05,3.37024556997,0.588335954202,5.03027240843,2024-11-21 20:00:00+03:00,1,32.2012876639
T2-H1-IMOEXF-000027,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-11-27 14:00:00+03:00,2024-11-27 16:00:00+03:00,2024-11-27 16:00:00+03:00,2468,2517.48091505,49.4809150501,49480.9150501,2024-11-27 20:00:00+03:00,2517.48091505,INITIAL_STOP,4,-1,4.04196243739e-05,-1.00004041962,0.889231736225,0.131363779215,2024-11-27 12:00:00+03:00,2,22.868394215
T2-H1-IMOEXF-000028,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-12-04 13:00:00+03:00,2024-12-04 16:00:00+03:00,2024-12-04 16:00:00+03:00,2540,2562.27659062,22.2765906207,22276.5906207,2024-12-05 12:00:00+03:00,2498.86087497,ATR_TRAILING_STOP,11,1.84674242704,8.97803453882e-05,1.84665264669,0.157115604429,3.56876872918,2024-12-04 11:00:00+03:00,3,50.2874583671
T2-H1-IMOEXF-000029,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2024-12-11 17:00:00+03:00,2024-12-11 19:00:00+03:00,2024-12-11 19:00:00+03:00,2511.5,2538.85856467,27.3585646655,27358.5646655,2024-12-11 20:00:00+03:00,2538.85856467,INITIAL_STOP,1,-1,7.31032502784e-05,-1.00007310325,0,0,2024-12-11 16:00:00+03:00,2,41.7024778884
