trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-H1-USDRUBF-000001,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-01-31 23:00:00+03:00,2023-02-01 10:00:00+03:00,2023-02-01 10:00:00+03:00,70.34,69.8377947184,0.502205281639,502.205281639,2023-02-02 00:00:00+03:00,69.9253233322,ATR_TRAILING_STOP,14,-0.825711482842,0.00398243521747,-0.82969391806,0.736750515232,0.318594817398,2023-01-31 17:00:00+03:00,2,1991.21760874
T2-H1-USDRUBF-000002,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-03-20 14:00:00+03:00,2023-03-20 17:00:00+03:00,2023-03-20 17:00:00+03:00,77.09,76.5833262195,0.506673780461,506.673780461,2023-03-21 13:00:00+03:00,76.7327701905,ATR_TRAILING_STOP,11,-0.705048935452,0.00394731299927,-0.708996248452,0.611833514886,0.671043209875,2023-03-20 13:00:00+03:00,3,1957.28119169
T2-H1-USDRUBF-000003,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-03-30 13:00:00+03:00,2023-03-30 14:00:00+03:00,2023-03-30 14:00:00+03:00,77.22,76.8952522991,0.324747700868,324.747700868,2023-03-31 18:00:00+03:00,77.4449143499,ATR_TRAILING_STOP,19,0.692581808347,0.00615862712701,0.68642318122,0.400310763256,2.34027830827,2023-03-30 11:00:00+03:00,1,3032.11360909
T2-H1-USDRUBF-000004,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-04-03 10:00:00+03:00,2023-04-03 13:00:00+03:00,2023-04-03 13:00:00+03:00,77.91,77.3606859947,0.549314005269,549.314005269,2023-04-04 16:00:00+03:00,79.0769653179,ATR_TRAILING_STOP,18,2.12440481531,0.00364090480274,2.12076391051,0.0728180960549,3.44065503859,2023-03-31 23:00:00+03:00,3,1804.8528349
T2-H1-USDRUBF-000005,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-05-18 16:00:00+03:00,2023-05-18 17:00:00+03:00,2023-05-18 17:00:00+03:00,80.28,79.5341693545,0.745830645477,745.830645477,2023-05-19 12:00:00+03:00,79.71,EMA50_TREND_LOSS,10,-0.764248564278,0.00268157390975,-0.766930138188,0.603354129693,0.308380999621,2023-05-18 11:00:00+03:00,1,1357.48893582
T2-H1-USDRUBF-000006,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-05-30 11:00:00+03:00,2023-05-30 13:00:00+03:00,2023-05-30 13:00:00+03:00,80.97,80.2142975665,0.755702433452,755.702433452,2023-06-01 18:00:00+03:00,80.7611138809,ATR_TRAILING_STOP,35,-0.27641318839,0.00264654434268,-0.279059732733,0.330818042835,0.436679816542,2023-05-30 10:00:00+03:00,2,1329.48098093
T2-H1-USDRUBF-000007,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-06-09 19:00:00+03:00,2023-06-09 20:00:00+03:00,2023-06-09 20:00:00+03:00,82.61,82.3686535631,0.241346436946,241.346436946,2023-06-14 13:00:00+03:00,84.1886177754,ATR_TRAILING_STOP,23,6.5408787274,0.00828684286916,6.53259188453,0.49721057215,9.90277722865,2023-06-09 15:00:00+03:00,1,4151.24554707
T2-H1-USDRUBF-000008,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-06-14 14:00:00+03:00,2023-06-14 17:00:00+03:00,2023-06-14 17:00:00+03:00,84.09,83.6696264633,0.420373536717,420.373536717,2023-06-15 13:00:00+03:00,83.8045149579,ATR_TRAILING_STOP,11,-0.679122297577,0.00475767341498,-0.683879970992,0.261672037824,1.28457182205,2023-06-14 12:00:00+03:00,3,2539.02185471
T2-H1-USDRUBF-000009,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-06-26 16:00:00+03:00,2023-06-26 18:00:00+03:00,2023-06-26 18:00:00+03:00,85.29,84.3024258917,0.987574108273,987.574108273,2023-06-27 10:00:00+03:00,84.5403198047,ATR_TRAILING_STOP,7,-0.759112849417,0.00202516447449,-0.761138013892,0.45566200676,0.394907072526,2023-06-26 10:00:00+03:00,2,1073.37594206
T2-H1-USDRUBF-000010,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-07-04 18:00:00+03:00,2023-07-04 19:00:00+03:00,2023-07-04 19:00:00+03:00,89.42,88.4110279589,1.00897204107,1008.97204107,2023-07-06 13:00:00+03:00,92.1104127311,ATR_TRAILING_STOP,24,2.66648888334,0.00198221548129,2.66450666786,0.604575721793,4.21220789774,2023-07-04 16:00:00+03:00,1,1042.61554495
T2-H1-USDRUBF-000011,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-07-06 18:00:00+03:00,2023-07-06 20:00:00+03:00,2023-07-06 20:00:00+03:00,91.57,90.5891367795,0.980863220541,980.863220541,2023-07-10 15:00:00+03:00,90.877162194,ATR_TRAILING_STOP,26,-0.706355169133,0.00203902028144,-0.708394189414,0.734047301318,0.305853042216,2023-07-06 16:00:00+03:00,2,1101.07069046
T2-H1-USDRUBF-000012,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-08-03 11:00:00+03:00,2023-08-03 13:00:00+03:00,2023-08-03 13:00:00+03:00,93.62,93.2557552683,0.364244731658,364.244731658,2023-08-07 18:00:00+03:00,95.6759392168,ATR_TRAILING_STOP,37,5.64438971407,0.00549081380229,5.63889890027,0.439265104183,8.86766429069,2023-08-03 10:00:00+03:00,2,2944.03458679
T2-H1-USDRUBF-000013,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-08-10 12:00:00+03:00,2023-08-10 13:00:00+03:00,2023-08-10 13:00:00+03:00,97.38,96.6798649015,0.7001350985,700.1350985,2023-08-10 16:00:00+03:00,96.6798649015,INITIAL_STOP,3,-1,0.0028565915411,-1.00285659154,0.428488731165,0.15711253476,2023-08-09 18:00:00+03:00,1,1617.99882825
T2-H1-USDRUBF-000014,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-08-30 13:00:00+03:00,2023-08-30 14:00:00+03:00,2023-08-30 14:00:00+03:00,95.97,95.6255627036,0.344437296399,344.437296399,2023-08-31 16:00:00+03:00,95.9411175449,ATR_TRAILING_STOP,18,-0.0838540292831,0.00580657211316,-0.0896606013962,0.116131442263,1.45164302829,2023-08-30 12:00:00+03:00,1,3255.91114276
T2-H1-USDRUBF-000015,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-09-01 11:00:00+03:00,2023-09-01 13:00:00+03:00,2023-09-01 13:00:00+03:00,96.38,95.9493997329,0.430600267138,430.600267138,2023-09-01 17:00:00+03:00,95.9798808449,ATR_TRAILING_STOP,4,-0.929212510039,0.0046446789578,-0.933857188996,0.627031659303,0.789595422826,2023-09-01 10:00:00+03:00,2,2602.06927755
T2-H1-USDRUBF-000016,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-09-28 10:00:00+03:00,2023-09-28 11:00:00+03:00,2023-09-28 11:00:00+03:00,96.96,96.5115790005,0.44842099949,448.42099949,2023-09-28 20:00:00+03:00,96.6957907415,ATR_TRAILING_STOP,9,-0.589199120575,0.00446009442528,-0.593659215,0.401408498275,0.713615108044,2023-09-28 00:00:00+03:00,1,2475.32633016
T2-H1-USDRUBF-000017,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-10-03 14:00:00+03:00,2023-10-03 16:00:00+03:00,2023-10-03 16:00:00+03:00,99.25,98.8908972542,0.359102745785,359.102745785,2023-10-06 12:00:00+03:00,100.457490461,ATR_TRAILING_STOP,41,3.36252082419,0.00556943666813,3.35695138752,0.556943666813,5.54158948479,2023-10-03 13:00:00+03:00,2,3072.65475443
T2-H1-USDRUBF-000018,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-10-09 11:00:00+03:00,2023-10-09 14:00:00+03:00,2023-10-09 14:00:00+03:00,101.23,100.244208553,0.985791446996,985.791446996,2023-10-09 17:00:00+03:00,101.042238262,ATR_TRAILING_STOP,3,-0.190468012605,0.00202882669158,-0.192496839296,0,1.04484574617,2023-10-06 18:00:00+03:00,3,1156.87686538
T2-H1-USDRUBF-000019,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2023-10-30 10:00:00+03:00,2023-10-30 11:00:00+03:00,2023-10-30 11:00:00+03:00,93.6,94.3223547041,0.722354704065,722.354704065,2023-10-31 16:00:00+03:00,92.6082328965,ATR_TRAILING_STOP,21,1.3729641378,0.00276872288468,1.37019541491,0.0138436144234,2.6025995116,2023-10-27 16:00:00+03:00,1,1575.74111869
T2-H1-USDRUBF-000020,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2023-12-13 23:00:00+03:00,2023-12-14 00:00:00+03:00,2023-12-14 00:00:00+03:00,89.63,90.1934304094,0.563430409421,563.430409421,2023-12-14 14:00:00+03:00,90.00739842,ATR_TRAILING_STOP,6,-0.669822596948,0.00354968416074,-0.673372281109,0.585697886522,0.461458940896,2023-12-13 19:00:00+03:00,1,2047.88409964
T2-H1-USDRUBF-000021,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2023-12-15 12:00:00+03:00,2023-12-15 13:00:00+03:00,2023-12-15 13:00:00+03:00,89.73,90.007616534,0.277616534019,277.616534019,2023-12-15 14:00:00+03:00,90.007616534,INITIAL_STOP,1,-1,0.00720418186571,-1.00720418187,0,0,2023-12-15 11:00:00+03:00,1,4128.25028897
T2-H1-USDRUBF-000022,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2023-12-21 11:00:00+03:00,2023-12-21 12:00:00+03:00,2023-12-21 12:00:00+03:00,91.41,90.8062162776,0.603783722386,603.783722386,2023-12-21 18:00:00+03:00,91.8160248764,ATR_TRAILING_STOP,6,0.67246741064,0.00331244438339,0.669154966256,0,2.2524621807,2023-12-21 00:00:00+03:00,1,1879.02923571
T2-H1-USDRUBF-000023,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2023-12-29 10:00:00+03:00,2023-12-29 11:00:00+03:00,2023-12-29 11:00:00+03:00,89.62,90.3967023732,0.776702373241,776.702373241,2023-12-29 13:00:00+03:00,90.0095661117,ATR_TRAILING_STOP,2,-0.501564209334,0.00257498891326,-0.504139198247,0.0901246119641,0.605122394616,2023-12-29 09:00:00+03:00,1,1470.47189671
T2-H1-USDRUBF-000024,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-01-30 12:00:00+03:00,2024-01-30 15:00:00+03:00,2024-01-30 15:00:00+03:00,89.5,89.2196136614,0.280386338645,280.386338645,2024-01-31 12:00:00+03:00,89.521149243,ATR_TRAILING_STOP,13,0.0754289352094,0.00713301514499,0.0682959200644,0.2853206058,1.96157916487,2024-01-30 11:00:00+03:00,3,4052.84061921
T2-H1-USDRUBF-000025,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-02-14 17:00:00+03:00,2024-02-14 18:00:00+03:00,2024-02-14 18:00:00+03:00,91.59,91.3458640358,0.244135964162,244.135964162,2024-02-16 11:00:00+03:00,92.0952399453,ATR_TRAILING_STOP,25,2.06950232442,0.00819215639477,2.06131016803,0.53249016566,3.89127428752,2024-02-14 16:00:00+03:00,1,4657.80301781
T2-H1-USDRUBF-000026,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-02-16 12:00:00+03:00,2024-02-16 14:00:00+03:00,2024-02-16 14:00:00+03:00,92.5,92.1205079811,0.379492018883,379.492018883,2024-02-16 19:00:00+03:00,92.2494666544,ATR_TRAILING_STOP,5,-0.660180802561,0.00527020306221,-0.665451005623,0.658775382776,0.974987566509,2024-02-16 11:00:00+03:00,2,3058.2386407
T2-H1-USDRUBF-000027,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2024-02-29 20:00:00+03:00,2024-02-29 23:00:00+03:00,2024-02-29 23:00:00+03:00,91.18,91.4307868586,0.250786858581,250.786858581,2024-03-01 10:00:00+03:00,91.4307868586,INITIAL_STOP,3,-1,0.00797489952749,-1.00797489953,0.717740957474,0.0398744976375,2024-02-29 19:00:00+03:00,3,4596.94774341
T2-H1-USDRUBF-000028,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-03-25 15:00:00+03:00,2024-03-25 17:00:00+03:00,2024-03-25 17:00:00+03:00,92.89,92.5755273951,0.314472604937,314.472604937,2024-03-26 12:00:00+03:00,92.71,EMA50_TREND_LOSS,11,-0.57238690167,0.006359854463,-0.578746756133,0.44518981241,0.25439417852,2024-03-25 13:00:00+03:00,2,3629.03981435
T2-H1-USDRUBF-000029,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,LONG,2024-04-17 17:00:00+03:00,2024-04-17 20:00:00+03:00,2024-04-17 20:00:00+03:00,94.43,94.1451252194,0.284874780569,284.874780569,2024-04-18 12:00:00+03:00,94.1451252194,INITIAL_STOP,7,-1,0.00702062848809,-1.00702062849,0.421237709286,0.421237709286,2024-04-17 13:00:00+03:00,3,3982.90346767
T2-H1-USDRUBF-000030,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2024-04-25 10:00:00+03:00,2024-04-25 11:00:00+03:00,2024-04-25 11:00:00+03:00,92.24,92.6754740648,0.435474064816,435.474064816,2024-04-26 12:00:00+03:00,92.4490650211,ATR_TRAILING_STOP,17,-0.480086044125,0.00459269601014,-0.484678740135,0.620013961369,0.551123521217,2024-04-25 09:00:00+03:00,1,2579.26452238
T2-H1-USDRUBF-000031,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2024-04-26 13:00:00+03:00,2024-04-26 14:00:00+03:00,2024-04-26 14:00:00+03:00,92,92.4199255022,0.419925502201,419.925502201,2024-04-27 10:00:00+03:00,91.7948314104,ATR_TRAILING_STOP,12,0.488583304789,0.00476274955799,0.483820555231,0.11906873895,1.6669623453,2024-04-26 10:00:00+03:00,1,2661.80280723
T2-H1-USDRUBF-000032,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2024-05-22 16:00:00+03:00,2024-05-22 18:00:00+03:00,2024-05-22 18:00:00+03:00,90.12,90.4568943352,0.336894335222,336.894335222,2024-05-23 10:00:00+03:00,90.4568943352,INITIAL_STOP,8,-1,0.0059365794877,-1.00593657949,0.742072435962,0.148414487192,2024-05-22 11:00:00+03:00,2,3333.88457561
T2-H1-USDRUBF-000033,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2024-05-24 23:00:00+03:00,2024-05-27 09:00:00+03:00,2024-05-27 09:00:00+03:00,89.63,89.8136292322,0.18362923221,183.62923221,2024-05-27 16:00:00+03:00,88.9830038976,ATR_TRAILING_STOP,7,3.52338293115,0.0108915120754,3.51249141907,0,6.69827992634,2024-05-24 22:00:00+03:00,2,6054.96449808
T2-H1-USDRUBF-000034,T2_Trend_Pullback_Continuation_v1.0,USDRUBF,SHORT,2024-06-04 10:00:00+03:00,2024-06-04 11:00:00+03:00,2024-06-04 11:00:00+03:00,88.94,89.4952098499,0.555209849881,555.209849881,2024-06-06 13:00:00+03:00,88.9625306942,ATR_TRAILING_STOP,34,-0.0405805015393,0.00360224156763,-0.044182743107,0.342212948925,0.738459521364,2024-06-04 09:00:00+03:00,1,2072.95091595
