trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-M30-CNYRUBF-000001,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2023-01-23 09:30:00+03:00,2023-01-23 10:00:00+03:00,2023-01-23 10:00:00+03:00,10.09,10.1317864417,0.0417864417239,41.7864417239,2023-01-23 13:00:00+03:00,10.1317864417,INITIAL_STOP,6,-1,0.0478624146371,-1.04786241464,0.957248292742,0.239312073186,2023-01-20 23:30:00+03:00,1,23931.2073186
T2-M30-CNYRUBF-000002,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2023-01-23 15:00:00+03:00,2023-01-23 15:30:00+03:00,2023-01-23 15:30:00+03:00,10.12,10.141909536,0.0219095360298,21.9095360298,2023-01-23 19:30:00+03:00,10.141909536,INITIAL_STOP,8,-1,0.0912844524538,-1.09128445245,0.912844524538,0.456422262269,2023-01-23 11:00:00+03:00,1,45163.9584931
T2-M30-CNYRUBF-000003,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-01-25 15:00:00+03:00,2023-01-25 16:30:00+03:00,2023-01-25 16:30:00+03:00,10.19,10.1480445247,0.0419554753233,41.9554753233,2023-01-26 12:00:00+03:00,10.2439452175,ATR_TRAILING_STOP,21,1.28577300292,0.0476695826847,1.23810342023,0,2.86017496108,2023-01-25 14:00:00+03:00,3,23327.6556965
T2-M30-CNYRUBF-000004,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-01-26 12:30:00+03:00,2023-01-26 13:00:00+03:00,2023-01-26 13:00:00+03:00,10.26,10.2073212785,0.0526787215399,52.6787215399,2023-01-27 10:30:00+03:00,10.24,EMA50_TREND_LOSS,25,-0.379659935081,0.0379659935081,-0.41762592859,0.759319870163,0.759319870163,2023-01-26 11:30:00+03:00,1,18809.1216994
T2-M30-CNYRUBF-000005,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-02-09 14:00:00+03:00,2023-02-09 14:30:00+03:00,2023-02-09 14:30:00+03:00,10.76,10.7169460618,0.0430539381664,43.0539381664,2023-02-10 09:30:00+03:00,10.7283542517,ATR_TRAILING_STOP,20,-0.735025636983,0.0464533579314,-0.781478994915,0.69680036897,0.69680036897,2023-02-09 13:30:00+03:00,1,22917.8216828
T2-M30-CNYRUBF-000006,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-02-10 13:00:00+03:00,2023-02-10 13:30:00+03:00,2023-02-10 13:30:00+03:00,10.73,10.6873205978,0.0426794022093,42.6794022093,2023-02-10 23:00:00+03:00,10.7328588002,ATR_TRAILING_STOP,19,0.0669831362338,0.0468610124902,0.0201221237437,0.468610124902,1.64013543716,2023-02-10 00:00:00+03:00,1,22938.2689156
T2-M30-CNYRUBF-000007,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-02-13 09:30:00+03:00,2023-02-13 10:30:00+03:00,2023-02-13 10:30:00+03:00,10.78,10.7068687065,0.0731312934967,73.1312934967,2023-02-14 16:30:00+03:00,10.7999577304,ATR_TRAILING_STOP,42,0.272902739683,0.0273480736409,0.245554666042,0.273480736409,1.09392294563,2023-02-10 22:30:00+03:00,2,13389.460956
T2-M30-CNYRUBF-000008,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-03-03 12:30:00+03:00,2023-03-03 13:00:00+03:00,2023-03-03 13:00:00+03:00,10.92,10.8877924886,0.0322075113965,32.2075113965,2023-03-06 11:00:00+03:00,10.9296106916,ATR_TRAILING_STOP,26,0.298399076138,0.0620973156038,0.236301760534,0.620973156038,1.86291946811,2023-03-03 12:00:00+03:00,1,30477.146469
T2-M30-CNYRUBF-000009,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,SHORT,2023-03-09 18:30:00+03:00,2023-03-09 19:30:00+03:00,2023-03-09 19:30:00+03:00,10.85,10.8719498928,0.0219498928169,21.9498928169,2023-03-09 22:30:00+03:00,10.8719498928,INITIAL_STOP,6,-1,0.0911166180485,-1.09111661805,0.911166180485,0,2023-03-09 17:30:00+03:00,2,44825.3926376
T2-M30-CNYRUBF-000010,T2_Trend_Pullback_Continuation_v1.0,CNYRUBF,LONG,2023-03-16 11:30:00+03:00,2023-03-16 12:30:00+03:00,2023-03-16 12:30:00+03:00,11.04,11.0068221575,0.0331778425121,33.1778425121,2023-03-20 09:30:00+03:00,11.1818615085,ATR_TRAILING_STOP,54,4.27579064187,0.0602811951763,4.21550944669,0.301405975882,6.6309314694,2023-03-16 11:00:00+03:00,2,29332.1342406
