trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-M30-GLDRUBF-000001,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-07-20 12:30:00+03:00,2023-07-20 13:30:00+03:00,2023-07-20 13:30:00+03:00,5689,5658.83635881,30.1636411898,30163.6411898,2023-07-20 17:30:00+03:00,5658.83635881,INITIAL_STOP,8,-1,6.63049924052e-05,-1.00006630499,0.991259636458,0,2023-07-20 12:00:00+03:00,2,33.1524962026
T2-M30-GLDRUBF-000002,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,SHORT,2023-07-25 15:30:00+03:00,2023-07-25 17:00:00+03:00,2023-07-25 17:00:00+03:00,5579.2,5608.80955257,29.6095525682,29609.5525682,2023-07-25 18:30:00+03:00,5608.69467869,ATR_TRAILING_STOP,3,-0.996120377653,6.75457690687e-05,-0.996187923422,0.597780056258,0,2023-07-25 15:00:00+03:00,3,33.4351332959
T2-M30-GLDRUBF-000003,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-08-04 19:30:00+03:00,2023-08-04 20:30:00+03:00,2023-08-04 20:30:00+03:00,5867,5817.79333217,49.206667825,49206.667825,2023-08-07 17:30:00+03:00,5892.89620698,ATR_TRAILING_STOP,24,0.526274347143,4.06448981083e-05,0.526233702245,0.345481633921,1.58515102623,2023-08-04 19:00:00+03:00,2,19.9187859377
T2-M30-GLDRUBF-000004,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,SHORT,2023-08-21 17:00:00+03:00,2023-08-21 18:30:00+03:00,2023-08-21 18:30:00+03:00,5647,5693.84425019,46.8442501913,46844.2501913,2023-08-21 20:30:00+03:00,5693.84425019,INITIAL_STOP,4,-1,4.26946741987e-05,-1.00004269467,0.397060470048,0.0213473370993,2023-08-21 16:30:00+03:00,3,21.033422261
T2-M30-GLDRUBF-000005,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-08-24 11:00:00+03:00,2023-08-24 11:30:00+03:00,2023-08-24 11:30:00+03:00,5838.4,5816.15942002,22.240579977,22240.579977,2023-08-25 12:00:00+03:00,5838.66619494,ATR_TRAILING_STOP,31,0.0119688849856,8.99257124619e-05,0.0118789592731,0.777857412796,1.95588424605,2023-08-24 10:00:00+03:00,1,43.8586370573
T2-M30-GLDRUBF-000006,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-08-25 18:00:00+03:00,2023-08-25 19:00:00+03:00,2023-08-25 19:00:00+03:00,5892.5,5849.43786791,43.0621320855,43062.1320855,2023-08-31 13:00:00+03:00,6024.07500352,ATR_TRAILING_STOP,109,3.05546885747,4.64445187254e-05,3.05542241295,0.301889371715,3.78987272799,2023-08-25 17:30:00+03:00,2,22.654646907
T2-M30-GLDRUBF-000007,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-09-06 10:30:00+03:00,2023-09-06 12:00:00+03:00,2023-09-06 12:00:00+03:00,6073.7,6037.80886883,35.8911311682,35891.1311682,2023-09-06 21:30:00+03:00,6073.5,EMA50_TREND_LOSS,19,-0.00557240726302,5.57240726302e-05,-0.00562813133565,0.234041105047,0.838647293085,2023-09-06 09:00:00+03:00,3,28.0115104793
T2-M30-GLDRUBF-000008,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,LONG,2023-09-07 18:00:00+03:00,2023-09-07 18:30:00+03:00,2023-09-07 18:30:00+03:00,6079.9,6059.99651089,19.9034891116,19903.4891116,2023-09-08 11:00:00+03:00,6064.63801649,ATR_TRAILING_STOP,14,-0.766799399934,0.000100484894321,-0.766899884829,0.205994033358,0.854121601728,2023-09-07 13:00:00+03:00,1,50.5091448008
T2-M30-GLDRUBF-000009,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,SHORT,2023-09-12 12:00:00+03:00,2023-09-12 13:00:00+03:00,2023-09-12 13:00:00+03:00,5835,5867.98115654,32.9811565357,32981.1565357,2023-09-12 17:00:00+03:00,5826.9648494,ATR_TRAILING_STOP,8,0.243628527353,6.06406872916e-05,0.243567886666,0.0242562749167,2.37408290747,2023-09-12 11:00:00+03:00,2,30.2475295239
T2-M30-GLDRUBF-000010,T2_Trend_Pullback_Continuation_v1.0,GLDRUBF,SHORT,2023-09-22 10:30:00+03:00,2023-09-22 11:30:00+03:00,2023-09-22 11:30:00+03:00,5877,5889.80504812,12.8050481223,12805.0481223,2023-09-22 17:30:00+03:00,5877.71739346,ATR_TRAILING_STOP,12,-0.0560242686952,0.000156188401706,-0.0561804570969,0.929320990152,2.70205934952,2023-09-22 10:00:00+03:00,2,78.0964137028
