trade_id,strategy_id,symbol,direction,pullback_time,confirmation_time,entry_time,entry_price,initial_stop,initial_risk_points,initial_risk_ticks,exit_time,exit_price,exit_reason,bars_held,gross_R,cost_R,net_R,MAE_R,MFE_R,impulse_reference_time,setup_age_bars,quantity
T2-M30-IMOEXF-000001,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2023-11-23 10:30:00+03:00,2023-11-23 12:00:00+03:00,2023-11-23 12:00:00+03:00,3238,3227.44123858,10.558761422,10558.761422,2023-11-23 13:30:00+03:00,3227.44123858,INITIAL_STOP,3,-1,0.000189416155937,-1.00018941616,0.615602506794,0,2023-11-23 10:00:00+03:00,3,94.7080779684
T2-M30-IMOEXF-000002,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2023-11-24 11:00:00+03:00,2023-11-24 12:00:00+03:00,2023-11-24 12:00:00+03:00,3232,3224.19254896,7.8074510439,7807.4510439,2023-11-24 14:00:00+03:00,3224.5,EMA50_TREND_LOSS,4,-0.960620816939,0.000256165551184,-0.96087698249,0.768496653551,0.256165551184,2023-11-24 10:30:00+03:00,2,126.801705226
T2-M30-IMOEXF-000003,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2023-11-27 11:00:00+03:00,2023-11-27 12:00:00+03:00,2023-11-27 12:00:00+03:00,3226,3214.74903126,11.2509687383,11250.9687383,2023-11-27 12:30:00+03:00,3222,EMA50_TREND_LOSS,1,-0.355524941278,0.000177762470639,-0.355702703748,0,0,2023-11-25 00:00:00+03:00,2,87.1467572899
T2-M30-IMOEXF-000004,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2023-12-07 14:00:00+03:00,2023-12-07 14:30:00+03:00,2023-12-07 14:30:00+03:00,3062.5,3076.53785418,14.037854179,14037.854179,2023-12-07 16:00:00+03:00,3076.53785418,INITIAL_STOP,3,-1,0.000142471917324,-1.00014247192,0.106853937993,0.605505648629,2023-12-07 13:30:00+03:00,1,69.5973769373
T2-M30-IMOEXF-000005,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2023-12-07 19:00:00+03:00,2023-12-07 19:30:00+03:00,2023-12-07 19:30:00+03:00,3069,3080.05444545,11.0544454472,11054.4454472,2023-12-07 22:00:00+03:00,3080.05444545,INITIAL_STOP,5,-1,0.000180922689388,-1.00018092269,0.904613446942,0.542768068165,2023-12-07 15:30:00+03:00,1,87.4966060554
T2-M30-IMOEXF-000006,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2023-12-12 11:00:00+03:00,2023-12-12 11:30:00+03:00,2023-12-12 11:30:00+03:00,3013.5,3039.5921575,26.0921575004,26092.1575004,2023-12-12 14:30:00+03:00,3034.71875101,ATR_TRAILING_STOP,6,-0.813223322379,7.66513846152e-05,-0.813299973764,0.632373923075,0.421582615383,2023-12-12 09:00:00+03:00,1,36.6988603346
T2-M30-IMOEXF-000007,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,SHORT,2023-12-15 10:30:00+03:00,2023-12-15 12:00:00+03:00,2023-12-15 12:00:00+03:00,3006,3022.60120186,16.6012018628,16601.2018628,2023-12-15 14:00:00+03:00,3022.60120186,INITIAL_STOP,4,-1,0.000120473205285,-1.00012047321,0.542129423784,0.361419615856,2023-12-15 10:00:00+03:00,3,57.2105970405
T2-M30-IMOEXF-000008,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2023-12-19 17:30:00+03:00,2023-12-19 18:30:00+03:00,2023-12-19 18:30:00+03:00,3088,3079.23296574,8.76703425939,8767.03425939,2023-12-20 20:00:00+03:00,3104.05887089,ATR_TRAILING_STOP,34,1.83173356167,0.000228127316585,1.83150543436,0.399222804023,3.87816438194,2023-12-19 13:00:00+03:00,2,107.250165954
T2-M30-IMOEXF-000009,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-01-04 11:00:00+03:00,2024-01-04 12:00:00+03:00,2024-01-04 12:00:00+03:00,3143.5,3136.14260133,7.3573986667,7357.3986667,2024-01-04 17:30:00+03:00,3137.59152261,ATR_TRAILING_STOP,11,-0.803066091627,0.000271835208421,-0.803337926836,0.815505625264,0.407752812632,2024-01-04 10:30:00+03:00,2,130.1393255
T2-M30-IMOEXF-000010,T2_Trend_Pullback_Continuation_v1.0,IMOEXF,LONG,2024-01-09 22:30:00+03:00,2024-01-09 23:30:00+03:00,2024-01-09 23:30:00+03:00,3164.5,3154.60304237,9.89695763044,9896.95763044,2024-01-10 09:30:00+03:00,3154.60304237,INITIAL_STOP,3,-1,0.000202082303944,-1.0002020823,0.858849791764,0.101041151972,2024-01-09 22:00:00+03:00,2,95.9683854348
