trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R
T3-H1-CNYRUBF-000001,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2023-02-22 19:00:00+03:00,10.91,10.8408434708,0.0691565291659,2023-02-24 11:00:00+03:00,10.860650003,ATR_TRAILING_STOP,7,-713.598521709,-0.742518423042,0.0493499969793,0.05,0.713598521709,0.722997533321,-0.0493499969793,-0.742518423042,14459.9506664,28.9199013328,-742.518423042,0.001,69.1565291659,0.0289199013328,T3_MTF_Trend_v1.0,0.0691565291659,-0.771438324374
T3-H1-CNYRUBF-000002,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2023-03-01 10:00:00+03:00,10.86,10.7788727761,0.0811272239334,2023-03-02 19:00:00+03:00,10.8591082935,ATR_TRAILING_STOP,24,-10.9098442081,-0.0356440947771,0.01,0.09,0.123263184849,1.10936866364,-0.000891706458887,-0.0356440947771,12234.7932993,24.4695865986,-35.3794308067,0.001,81.1272239334,0.0246526369698,T3_MTF_Trend_v1.0,0.0811272239334,-0.060296731747
T3-H1-CNYRUBF-000003,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2023-03-17 20:00:00+03:00,11.22,11.1469214503,0.0730785497066,2023-03-20 14:00:00+03:00,11.1856411144,ATR_TRAILING_STOP,9,-466.506365191,-0.497531570851,0.05,0.1,0.684195296715,1.36839059343,-0.034358885631,-0.497531570851,13577.4591237,27.1549182474,-493.661283439,0.001,73.0785497066,0.0273678118686,T3_MTF_Trend_v1.0,0.0730785497066,-0.524899382719
T3-H1-CNYRUBF-000004,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2023-04-03 18:00:00+03:00,11.44,11.3647057793,0.0752942207484,2023-04-04 16:00:00+03:00,11.4826289618,ATR_TRAILING_STOP,13,558.965999193,0.539602659926,0.01,0.15,0.132812318138,1.99218477207,0.0426289617929,0.539602659926,13112.3530971,26.2247061943,532.741292999,0.001,75.2942207484,0.0265624636276,T3_MTF_Trend_v1.0,0.0752942207484,0.513040196298
T3-H1-CNYRUBF-000005,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2023-04-05 18:00:00+03:00,11.6,11.5312883638,0.0687116362166,2023-04-07 14:00:00+03:00,11.9383614032,ATR_TRAILING_STOP,26,4887.98618752,4.8952611478,0.03,0.5,0.436607271371,7.27678785619,0.338361403173,4.8952611478,14446.051298,28.8921025961,4859.09408492,0.001,68.7116362166,0.0291071514247,T3_MTF_Trend_v1.0,0.0687116362166,4.86615399638
T3-H1-CNYRUBF-000006,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2023-04-11 12:00:00+03:00,11.96,11.871098454,0.0889015459736,2023-04-12 19:00:00+03:00,11.8926892968,ATR_TRAILING_STOP,22,-788.33376093,-0.779634396909,0.0673107031793,0.03,0.757137600277,0.337451949474,-0.0673107031793,-0.779634396909,11711.863399,23.4237267981,-811.757487728,0.001,88.9015459736,0.0224967966316,T3_MTF_Trend_v1.0,0.0889015459736,-0.80213119354
T3-H1-CNYRUBF-000007,T3_MTF_Trend_v1.0,CNYRUBF,SHORT,2023-05-04 12:00:00+03:00,11.37,11.441204479,0.0712044790278,2023-05-08 10:00:00+03:00,11.1914554448,ATR_TRAILING_STOP,28,2590.45130007,2.47940238576,0.01,0.31,0.140440603408,4.35365870564,0.178544555178,2.47940238576,14508.7107108,29.0174214216,2561.43387865,0.001,71.2044790278,0.0280881206816,T3_MTF_Trend_v1.0,0.0712044790278,2.45131426508
T3-H1-CNYRUBF-000008,T3_MTF_Trend_v1.0,CNYRUBF,SHORT,2023-05-10 13:00:00+03:00,11.03,11.1330488331,0.103048833123,2023-05-11 14:00:00+03:00,10.9695362411,ATR_TRAILING_STOP,16,621.190468736,0.567340329526,0,0.21,0,2.03786878157,0.0604637589416,0.567340329526,10273.7653036,20.5475306071,600.642938129,0.001,103.048833123,0.0194082741102,T3_MTF_Trend_v1.0,0.103048833123,0.547932055416
T3-H1-CNYRUBF-000009,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2023-06-13 20:00:00+03:00,11.77,11.6882096912,0.0817903087581,2023-06-14 13:00:00+03:00,11.7455909858,ATR_TRAILING_STOP,8,-317.744525101,-0.32288683858,0.0244090142214,0.1,0.298434063791,1.22263873946,-0.0244090142214,-0.32288683858,13017.5074757,26.0350149514,-343.779540052,0.001,81.7903087581,0.0244527747892,T3_MTF_Trend_v1.0,0.0817903087581,-0.347339613369
T3-H1-CNYRUBF-000010,T3_MTF_Trend_v1.0,CNYRUBF,LONG,2023-06-16 19:00:00+03:00,11.8,11.7296311735,0.0703688264904,2023-06-19 11:00:00+03:00,11.7304286178,ATR_TRAILING_STOP,7,-1049.24149572,-1.01708932398,0.0695713821644,0.03,0.988667647795,0.426325142769,-0.0695713821644,-1.01708932398,15081.5099985,30.1630199969,-1079.40451572,0.001,70.3688264904,0.0284216761846,T3_MTF_Trend_v1.0,0.0703688264904,-1.04551100016
