trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R
T3-H1-GLDRUBF-000001,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-09-15 15:00:00+03:00,5975,5925.3017582,49.6982418001,2023-09-19 11:00:00+03:00,5947.93095115,ATR_TRAILING_STOP,25,-544.668138439,-0.544708381312,32,23,0.643885957348,0.462793031844,-27.069048845,-0.544708381312,20.1214361671,0.0402428723342,-544.708381312,0.001,49698.2418001,4.02428723342e-05,T3_MTF_Trend_v1.0,49.6982418001,-0.544748624184
T3-H1-GLDRUBF-000002,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-11-20 12:00:00+03:00,5524.1,5555.48121621,31.3812162076,2023-11-21 13:00:00+03:00,5521.97742644,ATR_TRAILING_STOP,17,67.2699141149,0.0675746134609,1.9,41.1,0.060545773224,1.30970067343,2.12257355516,0.0675746134609,31.6926185909,0.0633852371818,67.2065288777,0.001,31381.2162076,6.37323928674e-05,T3_MTF_Trend_v1.0,31.3812162076,0.067510881068
T3-H1-GLDRUBF-000003,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-12-01 12:00:00+03:00,5766.5,5736.51340782,29.9865921844,2023-12-04 10:00:00+03:00,5818.37292359,ATR_TRAILING_STOP,14,1721.61041501,1.72980388259,0,103.5,0,3.45154258822,51.8729235862,1.72980388259,33.1889991152,0.0663779982304,1721.54403701,0.001,29986.5921844,6.66964751347e-05,T3_MTF_Trend_v1.0,29.9865921844,1.72973718612
T3-H1-GLDRUBF-000004,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-12-04 10:00:00+03:00,5874.5,5833.22609555,41.2739044466,2023-12-04 19:00:00+03:00,5840.44989713,ATR_TRAILING_STOP,9,-835.242048744,-0.825027419205,35.3,27.2,0.855261949972,0.659012040772,-34.0501028661,-0.825027419205,24.5297951677,0.0490595903353,-835.291108334,0.001,41273.9044466,4.84567677038e-05,T3_MTF_Trend_v1.0,41.2739044466,-0.825075875973
T3-H1-GLDRUBF-000005,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-12-06 10:00:00+03:00,5901,5865.23846421,35.7615357875,2023-12-06 14:00:00+03:00,5869.60727362,ATR_TRAILING_STOP,4,-881.423121049,-0.877890887207,31.3927263804,19.3,0.877834961197,0.539685994322,-31.3927263804,-0.877890887207,28.0773039706,0.0561546079412,-881.479275657,0.001,35761.5357875,5.59260097743e-05,T3_MTF_Trend_v1.0,35.7615357875,-0.877946813217
T3-H1-GLDRUBF-000006,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-12-12 00:00:00+03:00,5595.7,5638.19477212,42.4947721229,2023-12-13 20:00:00+03:00,5596.96724406,ATR_TRAILING_STOP,28,-29.6802024846,-0.0298682402039,36.9,37.7,0.868342107901,0.887167953059,-1.26724406118,-0.0298682402039,23.4210625986,0.0468421251973,-29.7270446098,0.001,42494.7721229,4.70646128944e-05,T3_MTF_Trend_v1.0,42.4947721229,-0.0299153048168
T3-H1-GLDRUBF-000007,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-12-29 18:00:00+03:00,5914.6,5872.82879879,41.7712012101,2024-01-04 12:00:00+03:00,5903.23360239,ATR_TRAILING_STOP,26,-270.743627774,-0.272158742952,11.3663976129,27.9,0.272110863075,0.667924292138,-11.3663976129,-0.272158742952,23.8196513085,0.047639302617,-270.791267076,0.001,41771.2012101,4.78798775726e-05,T3_MTF_Trend_v1.0,41.7712012101,-0.27220662283
T3-H1-GLDRUBF-000008,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2024-01-22 10:00:00+03:00,5705,5734.46082872,29.4608287227,2024-01-23 10:00:00+03:00,5718.5128468,ATR_TRAILING_STOP,15,-455.124983511,-0.458739532764,13.5128468031,25,0.458671646011,0.848584411365,-13.5128468031,-0.458739532764,33.6809104804,0.0673618209608,-455.192345332,0.001,29460.8287227,6.78867529092e-05,T3_MTF_Trend_v1.0,29.4608287227,-0.458807419517
T3-H1-GLDRUBF-000009,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-02 16:00:00+03:00,5934.1,5903.40122826,30.6987717381,2024-02-02 18:00:00+03:00,5903.40122826,ATR_TRAILING_STOP,2,-987.715611436,-1.00006514919,30.6987717381,2.2,1,0.0716641049606,-30.6987717381,-1.00006514919,32.1744342042,0.0643488684083,-987.779960304,0.001,30698.7717381,6.51491863278e-05,T3_MTF_Trend_v1.0,30.6987717381,-1.00013029837
T3-H1-GLDRUBF-000010,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-06 19:00:00+03:00,5890,5864.52615058,25.473849421,2024-02-07 16:00:00+03:00,5864.52615058,ATR_TRAILING_STOP,13,-977.837811833,-1.00007851189,25.473849421,4.5,1,0.176651746881,-25.473849421,-1.00007851189,38.3859461392,0.0767718922784,-977.914583725,0.001,25473.849421,7.85118875027e-05,T3_MTF_Trend_v1.0,25.473849421,-1.00015702378
