year,month,trades,PF,expectancy_R,net_R,max_drawdown_R,recovery_factor,win_rate
2023,11,0,,,0,0,,
2023,12,0,,,0,0,,
2024,1,2,0,-0.530363874917,-1.06072774983,-1.06072774983,-1,0
2024,2,4,0.635060734306,-0.125938270374,-0.503753081496,-1.38037511677,-0.364939265694,0.25
2024,3,2,0,-1.00023198755,-2.0004639751,-2.0004639751,-1,0
2024,4,1,0,-0.161376790374,-0.161376790374,-0.161376790374,-1,0
2024,5,3,0.26853238764,-0.487721462532,-1.4631643876,-1.4631643876,-1,0.333333333333
2024,6,3,6.92015929183,1.86151434573,5.58454303718,-0.943309590485,5.92015929183,0.666666666667
2024,7,4,4.85210062063,1.2266880546,4.90675221839,-1.27378609793,3.85210062063,0.5
2024,8,2,,0.802894546883,1.60578909377,0,,1
2024,9,1,,3.17804304835,3.17804304835,0,,1
2024,10,1,,1.49430573348,1.49430573348,0,,1
2024,11,3,,0.75294824457,2.25884473371,0,,1
2024,12,1,0,-0.0746360990105,-0.0746360990105,-0.0746360990105,-1,0
