trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R
T3-H1-IMOEXF-000001,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-01-09 19:00:00+03:00,3163.5,3151.99630303,11.5036969725,2024-01-10 22:00:00+03:00,3162.80951163,ATR_TRAILING_STOP,19,-60.0231710858,-0.0601970282384,9.5,15,0.825821474843,1.30392864449,-0.690488371502,-0.0601970282384,86.9285762992,0.173857152598,-60.1970282384,0.001,11503.6969725,0.000173857152598,T3_MTF_Trend_v1.0,11.5036969725,-0.060370885391
T3-H1-IMOEXF-000002,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-01-26 12:00:00+03:00,3177,3165.79126212,11.2087378804,2024-01-26 17:00:00+03:00,3165.79126212,ATR_TRAILING_STOP,5,-999.398029718,-1.00017843222,11.2087378804,0,1,0,-11.2087378804,-1.00017843222,89.1624052932,0.178324810586,-999.576354528,0.001,11208.7378804,0.000178432221481,T3_MTF_Trend_v1.0,11.2087378804,-1.00035686444
T3-H1-IMOEXF-000003,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-01-31 12:00:00+03:00,3212,3200.70641483,11.2935851739,2024-02-02 11:00:00+03:00,3221.90420562,ATR_TRAILING_STOP,31,867.6822581,0.876799126956,10,24,0.885458412544,2.1251001901,9.90420562067,0.876799126956,87.6074559972,0.175214911994,867.507043188,0.001,11293.5851739,0.000177091682509,T3_MTF_Trend_v1.0,11.2935851739,0.876622035273
T3-H1-IMOEXF-000004,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-02-12 20:00:00+03:00,3254,3241.14142806,12.8585719378,2024-02-14 21:00:00+03:00,3253.24346159,ATR_TRAILING_STOP,31,-58.7222160774,-0.0589908748929,8,16,0.622153069462,1.24430613892,-0.756538408484,-0.0589908748929,77.6196098162,0.155239219632,-58.8774552971,0.001,12858.5719378,0.000155538267366,T3_MTF_Trend_v1.0,12.8585719378,-0.0591464131603
T3-H1-IMOEXF-000005,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-02-15 19:00:00+03:00,3267,3254.24093615,12.759063851,2024-02-16 15:00:00+03:00,3262.9086256,ATR_TRAILING_STOP,12,-319.858824389,-0.320820903823,4.0913743966,11.5,0.320664152511,0.901320044662,-4.0913743966,-0.320820903823,78.1788204607,0.156357640921,-320.01518203,0.001,12759.063851,0.000156751312115,T3_MTF_Trend_v1.0,12.759063851,-0.320977655135
T3-H1-IMOEXF-000006,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-02-27 11:00:00+03:00,3225,3209.06682213,15.9331778716,2024-02-27 15:00:00+03:00,3209.06682213,ATR_TRAILING_STOP,4,-994.288410231,-1.00012552424,15.9331778716,2.5,1,0.156905296618,-15.9331778716,-1.00012552424,62.4036471723,0.124807294345,-994.413217525,0.001,15933.1778716,0.000125524237294,T3_MTF_Trend_v1.0,15.9331778716,-1.00025104847
T3-H1-IMOEXF-000007,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-03-18 10:00:00+03:00,3328.5,3309.21898668,19.2810133197,2024-03-18 11:00:00+03:00,3309.21898668,ATR_TRAILING_STOP,1,-984.344278056,-1.00010372899,19.2810133197,0,1,0,-19.2810133197,-1.00010372899,51.052517922,0.102105035844,-984.446383092,0.001,19281.0133197,0.000103728988038,T3_MTF_Trend_v1.0,19.2810133197,-1.00020745798
T3-H1-IMOEXF-000008,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-03-21 11:00:00+03:00,3298,3282.40649888,15.593501116,2024-03-21 15:00:00+03:00,3282.40649888,ATR_TRAILING_STOP,4,-974.499814225,-1.00012825856,15.593501116,2,1,0.128258560096,-15.593501116,-1.00012825856,62.4939714934,0.124987942987,-974.624802168,0.001,15593.501116,0.000128258560096,T3_MTF_Trend_v1.0,15.593501116,-1.00025651712
T3-H1-IMOEXF-000009,T3_MTF_Trend_v1.0,IMOEXF,LONG,2024-04-25 18:00:00+03:00,3446.5,3430.14784713,16.3521528744,2024-04-26 15:00:00+03:00,3443.86514205,ATR_TRAILING_STOP,13,-155.452839753,-0.16125448232,2.63485794657,16.5,0.161132174265,1.00904144713,-2.63485794657,-0.16125448232,58.998565731,0.117997131462,-155.570836884,0.001,16352.1528744,0.000122308054197,T3_MTF_Trend_v1.0,16.3521528744,-0.161376790374
T3-H1-IMOEXF-000010,T3_MTF_Trend_v1.0,IMOEXF,SHORT,2024-05-24 15:00:00+03:00,3387,3409.42630299,22.4263029925,2024-05-24 18:00:00+03:00,3409.42630299,ATR_TRAILING_STOP,3,-963.197857834,-1.00008918099,22.4263029925,6,1,0.267542982988,-22.4263029925,-1.00008918099,42.9494713488,0.0858989426976,-963.283756777,0.001,22426.3029925,8.91809943294e-05,T3_MTF_Trend_v1.0,22.4263029925,-1.00017836199
