trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R
T3-H1-USDRUBF-000001,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-02-20 23:00:00+03:00,74.79,74.3314168332,0.45858316675,2023-02-21 13:00:00+03:00,74.3314168332,ATR_TRAILING_STOP,5,-1000,-1.00436125908,0.45858316675,0.19,1,0.414319612616,-0.45858316675,-1.00436125908,2180.62954008,4.36125908016,-1004.36125908,0.001,458.58316675,0.00436125908016,T3_MTF_Trend_v1.0,0.45858316675,-1.00872251816
T3-H1-USDRUBF-000002,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-02-22 18:00:00+03:00,75.09,74.5862207038,0.503779296162,2023-02-24 11:00:00+03:00,74.8098209289,ATR_TRAILING_STOP,8,-550.568598564,-0.560124390323,0.28017907112,0.4,0.556154397877,0.793998489114,-0.28017907112,-0.560124390323,1965.05968973,3.93011937946,-554.498717944,0.001,503.779296162,0.00396999244557,T3_MTF_Trend_v1.0,0.503779296162,-0.564094382768
T3-H1-USDRUBF-000003,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-02-24 14:00:00+03:00,75.9,75.3233162493,0.576683750699,2023-02-27 10:00:00+03:00,75.5520129743,ATR_TRAILING_STOP,11,-594.021237494,-0.606895937812,0.347987025701,0.48,0.603427832464,0.83234528356,-0.347987025701,-0.606895937812,1707.02122097,3.41404244194,-597.435279935,0.001,576.683750699,0.00346810534817,T3_MTF_Trend_v1.0,0.576683750699,-0.61036404316
T3-H1-USDRUBF-000004,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-03-20 11:00:00+03:00,77.64,77.1972091822,0.442790817845,2023-03-20 14:00:00+03:00,77.1972091822,ATR_TRAILING_STOP,3,-978.43704743,-1.0045168055,0.442790817845,0.06,1,0.135504164906,-0.442790817845,-1.0045168055,2209.70491708,4.41940983416,-982.856457265,0.001,442.790817845,0.00451680549685,T3_MTF_Trend_v1.0,0.442790817845,-1.00903361099
T3-H1-USDRUBF-000005,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-04-03 18:00:00+03:00,78.73,78.2748348174,0.455165182605,2023-04-04 16:00:00+03:00,79.0769653179,ATR_TRAILING_STOP,13,738.355135738,0.757890390333,0.08,1.07,0.17576036801,2.35079492213,0.34696531791,0.757890390333,2128.03729256,4.25607458512,734.099061153,0.001,455.165182605,0.00439400920025,T3_MTF_Trend_v1.0,0.455165182605,0.753496381133
T3-H1-USDRUBF-000006,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-04-05 18:00:00+03:00,79.91,79.4760922473,0.433907752717,2023-04-07 14:00:00+03:00,82.178880431,ATR_TRAILING_STOP,26,5103.1875972,5.22433723943,0.13,3.27,0.299602851495,7.53616403376,2.268880431,5.22433723943,2249.2095782,4.49841915641,5098.68917804,0.001,433.907752717,0.00460927463839,T3_MTF_Trend_v1.0,0.433907752717,5.21972796479
T3-H1-USDRUBF-000007,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-04-11 12:00:00+03:00,82.34,81.7099463042,0.630053695821,2023-04-12 12:00:00+03:00,81.9710889274,ATR_TRAILING_STOP,15,-601.295093633,-0.588697558773,0.42,0.28,0.666609850535,0.444406567023,-0.368911072626,-0.588697558773,1629.91880226,3.25983760451,-604.554931238,0.001,630.053695821,0.00317433262159,T3_MTF_Trend_v1.0,0.630053695821,-0.591871891395
T3-H1-USDRUBF-000008,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2023-05-04 12:00:00+03:00,78.51,79.0162728404,0.506272840378,2023-05-05 16:00:00+03:00,77.3090307325,ATR_TRAILING_STOP,19,2421.73468069,2.36822750876,0.09,2.2,0.177769757376,4.34548295808,1.20096926752,2.36822750876,2016.48347396,4.03296694792,2417.70171374,0.001,506.272840378,0.0039504390528,T3_MTF_Trend_v1.0,0.506272840378,2.36427706971
T3-H1-USDRUBF-000009,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2023-05-10 13:00:00+03:00,76.46,77.150909312,0.690909311967,2023-05-11 14:00:00+03:00,76.3070015128,ATR_TRAILING_STOP,16,231.425159107,0.218550372031,0.07,1.16,0.101315757058,1.67894683124,0.15299848717,0.218550372031,1512.59769549,3.02519539098,228.399963716,0.001,690.909311967,0.00289473591593,T3_MTF_Trend_v1.0,0.690909311967,0.215655636115
T3-H1-USDRUBF-000010,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-05-16 12:00:00+03:00,80.21,79.5466148479,0.663385152106,2023-05-17 17:00:00+03:00,80.3196621813,ATR_TRAILING_STOP,20,173.13454516,0.162292117889,0.33,0.87,0.497448577123,1.31145533969,0.109662181312,0.162292117889,1578.79902706,3.15759805412,169.976947106,0.001,663.385152106,0.00301483986135,T3_MTF_Trend_v1.0,0.663385152106,0.159277278028
T3-H1-USDRUBF-000011,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-06-02 16:00:00+03:00,81.23,80.8027519677,0.427248032297,2023-06-05 12:00:00+03:00,81.3331497227,ATR_TRAILING_STOP,11,253.270638434,0.236747076869,0.12,0.64,0.280867297048,1.49795891759,0.103149722744,0.236747076869,2455.3690664,4.91073813281,248.359900301,0.001,427.248032297,0.00468112161746,T3_MTF_Trend_v1.0,0.427248032297,0.232065955251
T3-H1-USDRUBF-000012,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-06-13 19:00:00+03:00,84.32,83.7802944456,0.539705554369,2023-06-14 13:00:00+03:00,84.1886177754,ATR_TRAILING_STOP,9,-255.978529236,-0.247138877058,0.131382224648,0.68,0.243433152735,1.25994626977,-0.131382224648,-0.247138877058,1948.34978568,3.89669957137,-259.875228808,0.001,539.705554369,0.00370572432285,T3_MTF_Trend_v1.0,0.539705554369,-0.250844601381
T3-H1-USDRUBF-000013,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-06-16 19:00:00+03:00,84.18,83.6320943212,0.547905678842,2023-06-19 12:00:00+03:00,83.7762342337,ATR_TRAILING_STOP,8,-772.988208391,-0.740575945708,0.403765766267,0.35,0.736925682393,0.638796080267,-0.403765766267,-0.740575945708,1914.44712001,3.82889424003,-776.817102631,0.001,547.905678842,0.00365026331581,T3_MTF_Trend_v1.0,0.547905678842,-0.744226209024
T3-H1-USDRUBF-000014,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-06-20 18:00:00+03:00,84.74,84.3207995626,0.419200437409,2023-06-21 10:00:00+03:00,84.4126054718,ATR_TRAILING_STOP,7,-813.149907945,-0.785768569842,0.32739452818,0.19,0.780997582454,0.453243801877,-0.32739452818,-0.785768569842,2483.70036135,4.9674007227,-818.117308668,0.001,419.200437409,0.00477098738818,T3_MTF_Trend_v1.0,0.419200437409,-0.79053955723
T3-H1-USDRUBF-000015,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-06-28 15:00:00+03:00,85.92,85.4200108218,0.499989178156,2023-06-30 11:00:00+03:00,88.05,ATR_TRAILING_STOP,26,4400.62031204,4.25609211753,0.15,8.79,0.300006493247,17.5803805043,2.13,4.25609211753,2066.01892584,4.13203785168,4396.48827419,0.001,499.989178156,0.00400008657663,T3_MTF_Trend_v1.0,0.499989178156,4.25209203095
T3-H1-USDRUBF-000016,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-07-04 15:00:00+03:00,89.65,88.8755292673,0.774470732707,2023-07-04 18:00:00+03:00,88.8755292673,ATR_TRAILING_STOP,3,-1076.95198753,-1.00258240875,0.774470732707,0.42,1,0.542305838378,-0.774470732707,-1.00258240875,1390.56512021,2.78113024042,-1079.73311777,0.001,774.470732707,0.00258240875418,T3_MTF_Trend_v1.0,0.774470732707,-1.00516481751
T3-H1-USDRUBF-000017,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-07-05 13:00:00+03:00,90.47,89.5343026466,0.93569735341,2023-07-06 13:00:00+03:00,92.1104127311,ATR_TRAILING_STOP,15,1869.12324295,1.75100712336,0.24,3.2,0.256493191015,3.41990921353,1.64041273113,1.75100712336,1139.42254134,2.27884508268,1866.84439787,0.001,935.69735341,0.00213744325845,T3_MTF_Trend_v1.0,0.93569735341,1.7488696801
T3-H1-USDRUBF-000018,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-08-01 16:00:00+03:00,91.99,91.5316745586,0.458325441357,2023-08-02 10:00:00+03:00,92.0576370111,ATR_TRAILING_STOP,10,160.091902876,0.143210490068,0.06,0.65,0.130911345053,1.41820623807,0.0676370110675,0.143210490068,2366.92752014,4.73385504028,155.358047835,0.001,458.325441357,0.00436371150176,T3_MTF_Trend_v1.0,0.458325441357,0.138846778567
T3-H1-USDRUBF-000019,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-08-02 12:00:00+03:00,92.69,92.211754489,0.478245511018,2023-08-03 11:00:00+03:00,93.4457722649,ATR_TRAILING_STOP,15,1716.80307644,1.57611989565,0.06,1.71,0.125458574347,3.57556936888,0.755772264919,1.57611989565,2271.58782629,4.54317565258,1712.25990078,0.001,478.245511018,0.00418195247822,T3_MTF_Trend_v1.0,0.478245511018,1.57193794317
T3-H1-USDRUBF-000020,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-08-04 12:00:00+03:00,94.67,94.0096379209,0.660362079073,2023-08-07 18:00:00+03:00,95.6759392168,ATR_TRAILING_STOP,22,1680.97659819,1.52028598945,0.02,2.18,0.0302864150347,3.30121923878,1.00593921678,1.52028598945,1671.05185895,3.3421037179,1677.63449447,0.001,660.362079073,0.00302864150347,T3_MTF_Trend_v1.0,0.660362079073,1.51725734795
T3-H1-USDRUBF-000021,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-08-08 18:00:00+03:00,97.01,96.1658552827,0.844144717291,2023-08-09 19:00:00+03:00,96.7229930572,ATR_TRAILING_STOP,17,-380.890711705,-0.34236658345,0.29,0.89,0.343542989797,1.05432158938,-0.287006942797,-0.34236658345,1327.11323285,2.6542264657,-383.544938171,0.001,844.144717291,0.0023692619986,T3_MTF_Trend_v1.0,0.844144717291,-0.344735845449
T3-H1-USDRUBF-000022,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-08-11 11:00:00+03:00,97.84,97.1746670019,0.665332998116,2023-08-14 18:00:00+03:00,100.364252147,ATR_TRAILING_STOP,23,4235.73837109,3.79096205076,0.21,3.78,0.315631421551,5.68136558791,2.52425214698,3.79096205076,1678.0171411,3.35603428219,4232.3823368,0.001,665.332998116,0.00300601353858,T3_MTF_Trend_v1.0,0.665332998116,3.78795603723
T3-H1-USDRUBF-000023,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-09-14 19:00:00+03:00,96.9,96.0917856029,0.808214397111,2023-09-15 14:00:00+03:00,96.1633923507,ATR_TRAILING_STOP,10,-1056.09901068,-0.913875887313,0.736607649299,0.29,0.911401296404,0.358815681874,-0.736607649299,-0.913875887313,1433.73342876,2.86746685752,-1058.96647754,0.001,808.214397111,0.00247459090948,T3_MTF_Trend_v1.0,0.808214397111,-0.916350478223
T3-H1-USDRUBF-000024,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-10-03 00:00:00+03:00,99.7,99.178061769,0.521938231049,2023-10-03 10:00:00+03:00,99.178061769,ATR_TRAILING_STOP,1,-1148.17433397,-1.00383187105,0.521938231049,0,1,0,-0.521938231049,-1.00383187105,2199.82799816,4.39965599632,-1152.57398997,0.001,521.938231049,0.0038318710549,T3_MTF_Trend_v1.0,0.521938231049,-1.00766374211
T3-H1-USDRUBF-000025,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-10-04 18:00:00+03:00,99.83,99.3084642044,0.521535795573,2023-10-06 12:00:00+03:00,100.457490461,ATR_TRAILING_STOP,24,1367.56893013,1.19932412317,0.49,1.41,0.93953282624,2.70355364285,0.627490460726,1.19932412317,2179.42584904,4.35885169807,1363.21007843,0.001,521.535795573,0.0038348278622,T3_MTF_Trend_v1.0,0.521535795573,1.1954892953
T3-H1-USDRUBF-000026,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-10-09 15:00:00+03:00,102.01,101.198158841,0.811841158501,2023-10-09 17:00:00+03:00,101.198158841,ATR_TRAILING_STOP,2,-1150.28069485,-1.0024635361,0.811841158501,0.24,1,0.295624331788,-0.811841158501,-1.0024635361,1416.87900744,2.83375801487,-1153.11445287,0.001,811.841158501,0.00246353609823,T3_MTF_Trend_v1.0,0.811841158501,-1.0049270722
T3-H1-USDRUBF-000027,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2023-10-31 10:00:00+03:00,92.19,92.7635519287,0.57355192871,2023-10-31 16:00:00+03:00,92.6082328965,ATR_TRAILING_STOP,6,-830.373849405,-0.732685002898,0.418232896549,0.47,0.729197960313,0.819455007426,-0.418232896549,-0.732685002898,1985.4340877,3.9708681754,-834.34471758,0.001,573.55192871,0.00348704258479,T3_MTF_Trend_v1.0,0.57355192871,-0.736172045483
T3-H1-USDRUBF-000028,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2023-11-15 11:00:00+03:00,90.02,90.4695154767,0.449515476748,2023-11-16 20:00:00+03:00,89.4877702504,ATR_TRAILING_STOP,25,1338.4094395,1.1795583847,0.24,1.28,0.533908202086,2.84751041112,0.532229749648,1.1795583847,2514.721209,5.029442418,1333.37999708,0.001,449.515476748,0.00444923501738,T3_MTF_Trend_v1.0,0.449515476748,1.17510914968
T3-H1-USDRUBF-000029,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2023-11-20 11:00:00+03:00,88.73,89.3490296967,0.619029696652,2023-11-22 12:00:00+03:00,88.3412237429,ATR_TRAILING_STOP,33,718.315972609,0.624810504546,0.06,0.98,0.0969258830788,1.58312275695,0.388776257094,0.624810504546,1847.63333537,3.69526667075,714.620705938,0.001,619.029696652,0.00323086276929,T3_MTF_Trend_v1.0,0.619029696652,0.621579641776
T3-H1-USDRUBF-000030,T3_MTF_Trend_v1.0,USDRUBF,LONG,2023-12-05 13:00:00+03:00,91.67,91.2186028785,0.451397121475,2023-12-06 14:00:00+03:00,92.6831145934,ATR_TRAILING_STOP,17,2583.04596579,2.23996686138,0.05,1.72,0.110767210559,3.81039204322,1.01311459343,2.23996686138,2549.60888191,5.09921776381,2577.94674803,0.001,451.397121475,0.00443068842235,T3_MTF_Trend_v1.0,0.451397121475,2.23553617296
T3-H1-USDRUBF-000031,T3_MTF_Trend_v1.0,USDRUBF,SHORT,2023-12-12 12:00:00+03:00,90.4,90.932873535,0.532873535031,2023-12-14 14:00:00+03:00,90.00739842,ATR_TRAILING_STOP,34,866.923828089,0.733009906261,0.12,1.03,0.225194144785,1.93291640941,0.392601579962,0.733009906261,2208.15165383,4.41630330766,862.507524781,0.001,532.873535031,0.00375323574642,T3_MTF_Trend_v1.0,0.532873535031,0.729256670515
T3-H1-USDRUBF-000032,T3_MTF_Trend_v1.0,USDRUBF,LONG,2024-01-03 20:00:00+03:00,92.05,91.5605354533,0.489464546736,2024-01-04 11:00:00+03:00,91.6765668324,ATR_TRAILING_STOP,7,-904.308281333,-0.767028317159,0.373433167592,0.23,0.762942219374,0.469901245215,-0.373433167592,-0.767028317159,2421.60675541,4.84321351081,-909.151494844,0.001,489.464546736,0.00408609778448,T3_MTF_Trend_v1.0,0.489464546736,-0.771114414943
