trade_id,strategy,symbol,direction,entry_time,entry_price,initial_stop,initial_risk,exit_time,exit_price,exit_reason,bars_held,gross_profit,gross_R,MAE_points,MFE_points,MAE_R,MFE_R,profit_points,profit_R,quantity,costs,net_profit,tick_size,initial_risk_ticks,cost_R,strategy_id,initial_risk_points,net_R
T3-M30-GLDRUBF-000001,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-08-01 20:00:00+03:00,5723,5701.2507459,21.7492541002,2023-08-02 15:30:00+03:00,5741.42985858,ATR_TRAILING_STOP,21,847.378880069,0.847286922892,18,57,0.827614589313,2.62077953282,18.4298585818,0.847286922892,45.9785882952,0.0919571765903,847.286922892,0.001,21749.2541002,9.19571765903e-05,T3_MTF_Trend_v1.0,21.7492541002,0.847194965716
T3-M30-GLDRUBF-000002,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-08-02 21:00:00+03:00,5786,5756.81639618,29.1836038202,2023-08-03 09:30:00+03:00,5756.81639618,ATR_TRAILING_STOP,8,-1008.47286923,-1.00006853163,29.1836038202,0.1,1,0.0034265816044,-29.1836038202,-1.00006853163,34.5561458223,0.0691122916446,-1008.54198152,0.001,29183.6038202,6.85316320878e-05,T3_MTF_Trend_v1.0,29.1836038202,-1.00013706326
T3-M30-GLDRUBF-000003,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-08-04 16:00:00+03:00,5834.7,5808.70587241,25.9941275924,2023-08-04 19:30:00+03:00,5851.649026,ATR_TRAILING_STOP,7,650.981448652,0.651955944208,5.9,62.6,0.226974341764,2.40823623634,16.9490259983,0.651955944208,38.4081922298,0.0768163844596,650.904632267,0.001,25994.1275924,7.69404548352e-05,T3_MTF_Trend_v1.0,25.9941275924,0.651879003753
T3-M30-GLDRUBF-000004,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-08-07 11:00:00+03:00,5932,5891.36210503,40.6378949664,2023-08-07 17:30:00+03:00,5892.89620698,ATR_TRAILING_STOP,13,-966.961123442,-0.962298688148,39.1037930153,13,0.962249473,0.319898459572,-39.1037930153,-0.962298688148,24.7280646935,0.0494561293869,-967.010579571,0.001,40637.8949664,4.92151476264e-05,T3_MTF_Trend_v1.0,40.6378949664,-0.962347903295
T3-M30-GLDRUBF-000005,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-08-08 15:30:00+03:00,5917,5879.5704458,37.4295541977,2023-08-09 09:30:00+03:00,5941.46524886,ATR_TRAILING_STOP,19,650.514328134,0.653581090764,4.5,58,0.120225850841,1.54957763306,24.4652488593,0.653581090764,26.589319891,0.053178639782,650.461149495,0.001,37429.5541977,5.34337114847e-05,T3_MTF_Trend_v1.0,37.4295541977,0.653527657053
T3-M30-GLDRUBF-000006,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-08-10 14:00:00+03:00,5970,5932.30295179,37.6970482053,2023-08-14 11:30:00+03:00,6173.5,ATR_TRAILING_STOP,57,5407.6451207,5.39824759997,20,432.8,0.530545518871,11.4810050284,203.5,5.39824759997,26.5731946963,0.0531463893926,5407.59197431,0.001,37697.0482053,5.30545518871e-05,T3_MTF_Trend_v1.0,37.6970482053,5.39819454541
T3-M30-GLDRUBF-000007,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-08-15 15:00:00+03:00,6000.3,5917.29430684,83.0056931565,2023-08-15 18:30:00+03:00,5930.64808758,ATR_TRAILING_STOP,7,-885.950931973,-0.839146205226,69.6519124244,39.7,0.839122110493,0.478280446682,-69.6519124244,-0.839146205226,12.7196928431,0.0254393856862,-885.976371358,0.001,83005.6931565,2.40947328303e-05,T3_MTF_Trend_v1.0,83.0056931565,-0.839170299959
T3-M30-GLDRUBF-000008,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-09-11 17:00:00+03:00,5914.5,5948.63929701,34.1392970132,2023-09-12 11:00:00+03:00,5828.15028046,ATR_TRAILING_STOP,19,2648.08011092,2.52927643787,0,157.1,0,4.60173506031,86.3497195411,2.52927643787,30.6669219656,0.0613338439313,2648.01877708,0.001,34139.2970132,5.85835144534e-05,T3_MTF_Trend_v1.0,34.1392970132,2.52921785436
T3-M30-GLDRUBF-000009,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-09-14 10:30:00+03:00,5874.3,5904.67722673,30.3772267324,2023-09-14 12:30:00+03:00,5902.10319886,ATR_TRAILING_STOP,4,-982.469999807,-0.915330392253,27.8031988605,19.2,0.915264553458,0.632052430893,-27.8031988605,-0.915330392253,35.3365814033,0.0706731628066,-982.54067297,0.001,30377.2267324,6.58387948847e-05,T3_MTF_Trend_v1.0,30.3772267324,-0.915396231048
T3-M30-GLDRUBF-000010,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-09-22 16:00:00+03:00,5860.4,5882.84838505,22.4483850458,2023-09-22 17:30:00+03:00,5877.71739346,ATR_TRAILING_STOP,3,-820.496138711,-0.771520687182,17.3173934567,18,0.771431593913,0.801839417992,-17.3173934567,-0.771520687182,47.3798866304,0.0947597732608,-820.590898484,0.001,22448.3850458,8.90932686658e-05,T3_MTF_Trend_v1.0,22.4483850458,-0.77160978045
T3-M30-GLDRUBF-000011,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-10-02 11:00:00+03:00,5787,5823.26317778,36.2631777829,2023-10-02 14:30:00+03:00,5823.26317778,ATR_TRAILING_STOP,7,-1055.39602952,-1.00005515236,36.2631777829,0.9,1,0.0248185640373,-36.2631777829,-1.00005515236,29.1037932704,0.0582075865408,-1055.45423711,0.001,36263.1777829,5.51523645273e-05,T3_MTF_Trend_v1.0,36.2631777829,-1.00011030473
T3-M30-GLDRUBF-000012,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-10-06 15:30:00+03:00,5792.5,5821.0403174,28.5403173958,2023-10-06 18:30:00+03:00,5815.68011134,ATR_TRAILING_STOP,6,-848.608011847,-0.812258357766,23.180111338,17.4,0.81218828146,0.609663857577,-23.180111338,-0.812258357766,36.6093156099,0.0732186312198,-848.681230478,0.001,28540.3173958,7.00763054686e-05,T3_MTF_Trend_v1.0,28.5403173958,-0.812328434071
T3-M30-GLDRUBF-000013,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-10-09 13:30:00+03:00,5934,5901.75310452,32.2468954848,2023-10-09 17:00:00+03:00,5927.51162867,ATR_TRAILING_STOP,7,-208.524072045,-0.201271199284,6.48837132741,45.7,0.201209177809,1.41719068806,-6.48837132741,-0.201271199284,32.1381224228,0.0642762448455,-208.58834829,0.001,32246.8954848,6.20214743134e-05,T3_MTF_Trend_v1.0,32.2468954848,-0.201333220758
T3-M30-GLDRUBF-000014,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-10-10 17:30:00+03:00,5919.8,5876.91191227,42.8880877279,2023-10-10 19:30:00+03:00,5904.46479843,ATR_TRAILING_STOP,4,-369.816450978,-0.35760982553,15.3352015697,47.8,0.357563192534,1.11452859133,-15.3352015697,-0.35760982553,24.1155259224,0.0482310518448,-369.86468203,0.001,42888.0877279,4.6632995453e-05,T3_MTF_Trend_v1.0,42.8880877279,-0.357656458525
T3-M30-GLDRUBF-000015,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-10-24 12:30:00+03:00,5839.6,5871.8335345,32.2335345006,2023-10-24 20:00:00+03:00,5853.38420897,ATR_TRAILING_STOP,15,-440.70854936,-0.427697712444,13.7842089699,24.6,0.427635665261,0.763180345597,-13.7842089699,-0.427697712444,31.9719869542,0.0639439739084,-440.772493334,0.001,32233.5345006,6.20471825688e-05,T3_MTF_Trend_v1.0,32.2335345006,-0.427759759626
T3-M30-GLDRUBF-000016,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-10-25 11:00:00+03:00,5805,5835.1490633,30.149063296,2023-10-25 17:00:00+03:00,5826.01660373,ATR_TRAILING_STOP,12,-715.327329418,-0.697156111292,21.0166037266,16.8,0.697089774239,0.557231242478,-21.0166037266,-0.697156111292,34.0362952419,0.0680725904837,-715.395402009,0.001,30149.063296,6.6337052676e-05,T3_MTF_Trend_v1.0,30.149063296,-0.697222448345
T3-M30-GLDRUBF-000017,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-11-16 16:30:00+03:00,5540.8,5568.67941323,27.8794132313,2023-11-16 19:30:00+03:00,5554.86061129,ATR_TRAILING_STOP,6,-513.923367517,-0.504408438217,14.0606112864,33.6,0.504336700696,1.20519035753,-14.0606112864,-0.504408438217,36.5505707432,0.0731011414865,-513.996468658,0.001,27879.4132313,7.17375212817e-05,T3_MTF_Trend_v1.0,27.8794132313,-0.504480175739
T3-M30-GLDRUBF-000018,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-11-20 12:30:00+03:00,5516.9,5539.41062471,22.5106247128,2023-11-21 00:00:00+03:00,5510.06919615,ATR_TRAILING_STOP,23,307.656359933,0.303359144259,6.1,33.9,0.270983150304,1.50595554022,6.83080384961,0.303359144259,45.0395541588,0.0900791083177,307.566280825,0.001,22510.6247128,8.88469345261e-05,T3_MTF_Trend_v1.0,22.5106247128,0.303270297324
T3-M30-GLDRUBF-000019,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-11-28 18:30:00+03:00,5665.7,5645.54330865,20.1566913511,2023-11-29 09:30:00+03:00,5680.9095421,ATR_TRAILING_STOP,13,767.350891241,0.754466188746,1.1,40.8,0.0545724484659,2.02414172492,15.2095421014,0.754466188746,50.4519390607,0.100903878121,767.249987362,0.001,20156.6913511,9.92226335744e-05,T3_MTF_Trend_v1.0,20.1566913511,0.754366966113
T3-M30-GLDRUBF-000020,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-12-01 12:30:00+03:00,5775,5749.80822289,25.1917771057,2023-12-04 09:30:00+03:00,5833.53027795,ATR_TRAILING_STOP,25,2380.58227726,2.3233088203,4.7,95,0.186568814907,3.77107179067,58.5302779487,2.3233088203,40.6726631188,0.0813453262377,2380.50093193,0.001,25191.7771057,7.93909850667e-05,T3_MTF_Trend_v1.0,25.1917771057,2.32322942932
T3-M30-GLDRUBF-000021,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-12-04 09:30:00+03:00,5871.2,5839.40921968,31.7907803175,2023-12-04 11:30:00+03:00,5839.40921968,ATR_TRAILING_STOP,4,-1048.4216729,-1.00006291132,31.7907803175,4.1,1,0.128968208992,-31.7907803175,-1.00006291132,32.9787964446,0.0659575928892,-1048.4876305,0.001,31790.7803175,6.29113214595e-05,T3_MTF_Trend_v1.0,31.7907803175,-1.00012582264
T3-M30-GLDRUBF-000022,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-12-04 12:30:00+03:00,5880,5845.68728724,34.3127127559,2023-12-04 18:30:00+03:00,5860.52071457,ATR_TRAILING_STOP,12,-589.235460954,-0.567757074957,19.4792854282,21.7,0.567698787523,0.632418665186,-19.4792854282,-0.567757074957,30.2493365646,0.0604986731292,-589.295959627,0.001,34312.7127559,5.82874345793e-05,T3_MTF_Trend_v1.0,34.3127127559,-0.567815362392
T3-M30-GLDRUBF-000023,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-12-05 16:30:00+03:00,5867,5842.52300113,24.4769988664,2023-12-06 14:00:00+03:00,5889.95357264,ATR_TRAILING_STOP,25,967.810364097,0.937679197099,13.6,53.3,0.555623672421,2.17755453971,22.9535726445,0.937679197099,42.1638225599,0.0843276451198,967.726036452,0.001,24476.9988664,8.17093635913e-05,T3_MTF_Trend_v1.0,24.4769988664,0.937597487736
T3-M30-GLDRUBF-000024,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-12-11 20:00:00+03:00,5615.2,5645.76999928,30.5699992764,2023-12-12 10:00:00+03:00,5628.59637816,ATR_TRAILING_STOP,11,-456.502783258,-0.438285197042,13.3963781565,19.5,0.438219773423,0.637880289877,-13.3963781565,-0.438285197042,34.0765823364,0.0681531646728,-456.570936423,0.001,30569.9992764,6.54236194746e-05,T3_MTF_Trend_v1.0,30.5699992764,-0.438350620662
T3-M30-GLDRUBF-000025,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-12-14 18:00:00+03:00,5768.9,5730.22355498,38.6764450193,2023-12-14 18:30:00+03:00,5730.22355498,ATR_TRAILING_STOP,1,-1037.155388,-1.00005171106,38.6764450193,0,1,0,-38.6764450193,-1.00005171106,26.8162026651,0.0536324053302,-1037.20902041,0.001,38676.4450193,5.1711060802e-05,T3_MTF_Trend_v1.0,38.6764450193,-1.00010342212
T3-M30-GLDRUBF-000026,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2023-12-18 20:30:00+03:00,5660.6,5692.94242634,32.3424263442,2023-12-19 15:00:00+03:00,5692.46535111,ATR_TRAILING_STOP,20,-1011.63746801,-0.985311082375,31.8653511078,0.5,0.985249244095,0.0154595698752,-31.8653511078,-0.985311082375,31.7472562779,0.0634945125559,-1011.70096252,0.001,32342.4263442,6.18382795006e-05,T3_MTF_Trend_v1.0,32.3424263442,-0.985372920654
T3-M30-GLDRUBF-000027,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2023-12-29 12:30:00+03:00,5888,5856.24863551,31.7513644913,2024-01-03 16:00:00+03:00,5914.09365183,ATR_TRAILING_STOP,38,835.508538845,0.821748994085,15.5,54.5,0.488167996819,1.71646166624,26.0936518315,0.821748994085,32.0196093762,0.0640392187524,835.444499626,0.001,31751.3644913,6.29894189444e-05,T3_MTF_Trend_v1.0,31.7513644913,0.821686004666
T3-M30-GLDRUBF-000028,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2024-01-15 13:00:00+03:00,5790.1,5813.41934068,23.3193406766,2024-01-15 23:00:00+03:00,5797,ATR_TRAILING_STOP,20,-303.295155594,-0.295977493348,11,15.1,0.471711449845,0.64753117206,-6.9,-0.295977493348,43.9558196513,0.0879116393027,-303.383067233,0.001,23319.3406766,8.57657181536e-05,T3_MTF_Trend_v1.0,23.3193406766,-0.296063259066
T3-M30-GLDRUBF-000029,T3_MTF_Trend_v1.0,GLDRUBF,SHORT,2024-01-22 10:00:00+03:00,5705,5725.79707495,20.7970749501,2024-01-22 15:00:00+03:00,5710.22799316,ATR_TRAILING_STOP,10,-256.908269465,-0.251477343427,5.22799315951,25,0.251381176057,1.20209212401,-5.22799315951,-0.251477343427,49.1408962534,0.0982817925068,-257.006551257,0.001,20797.0749501,9.61673699209e-05,T3_MTF_Trend_v1.0,20.7970749501,-0.251573510797
T3-M30-GLDRUBF-000030,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-01-26 12:00:00+03:00,5809.9,5791.6722254,18.2277745972,2024-01-26 18:30:00+03:00,5808.64899962,ATR_TRAILING_STOP,13,-69.9641553237,-0.0687412704137,1.25100038263,26.6,0.068631547749,1.45931144025,-1.25100038263,-0.0687412704137,55.9265658871,0.111853131774,-70.0760084555,0.001,18227.7745972,0.000109722664681,T3_MTF_Trend_v1.0,18.2277745972,-0.0688509930784
T3-M30-GLDRUBF-000031,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-01 12:00:00+03:00,5869.6,5847.77170499,21.8282950094,2024-02-01 15:00:00+03:00,5847.77170499,ATR_TRAILING_STOP,6,-1018.7160769,-1.0000916242,21.8282950094,5,1,0.229060492257,-21.8282950094,-1.0000916242,46.6695212091,0.0933390424181,-1018.80941594,0.001,21828.2950094,9.1624196903e-05,T3_MTF_Trend_v1.0,21.8282950094,-1.00018324839
T3-M30-GLDRUBF-000032,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-01 19:30:00+03:00,5886.7,5864.64474656,22.0552534412,2024-02-01 23:00:00+03:00,5864.64474656,ATR_TRAILING_STOP,7,-1008.52798274,-1.00009068134,22.0552534412,2.9,1,0.131487947202,-22.0552534412,-1.00009068134,45.7273359124,0.0914546718249,-1008.61943741,0.001,22055.2534412,9.06813428978e-05,T3_MTF_Trend_v1.0,22.0552534412,-1.00018136269
T3-M30-GLDRUBF-000033,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-02 13:00:00+03:00,5895.8,5876.28893371,19.5110662903,2024-02-02 17:30:00+03:00,5906.17795158,ATR_TRAILING_STOP,9,531.071976426,0.531798284496,8.6,41.5,0.440775500018,2.12699805241,10.3779515819,0.531798284496,51.1731021518,0.102346204304,530.969630222,0.001,19511.0662903,0.000102505930237,T3_MTF_Trend_v1.0,19.5110662903,0.531695778565
T3-M30-GLDRUBF-000034,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-16 14:30:00+03:00,5896.3,5873.89562608,22.4043739156,2024-02-16 17:00:00+03:00,5873.89562608,ATR_TRAILING_STOP,5,-1003.75148467,-1.00008926828,22.4043739156,5.5,1,0.245487779338,-22.4043739156,-1.00008926828,44.801585996,0.089603171992,-1003.84108784,0.001,22404.3739156,8.92682833955e-05,T3_MTF_Trend_v1.0,22.4043739156,-1.00017853657
T3-M30-GLDRUBF-000035,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-19 11:00:00+03:00,5909.3,5890.4838415,18.8161585046,2024-02-19 16:00:00+03:00,5896.00245855,ATR_TRAILING_STOP,10,-702.265597256,-0.706814913838,13.2975414522,10.7,0.706708622216,0.568660175636,-13.2975414522,-0.706814913838,52.8116870162,0.105623374032,-702.37122063,0.001,18816.1585046,0.000106291621614,T3_MTF_Trend_v1.0,18.8161585046,-0.706921205459
T3-M30-GLDRUBF-000036,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-22 20:00:00+03:00,5984,5954.29774635,29.7022536549,2024-02-26 09:30:00+03:00,5955.51211888,ATR_TRAILING_STOP,10,-946.348703287,-0.959182473048,28.4878811158,6,0.95911513809,0.202004873762,-28.4878811158,-0.959182473048,33.2193433215,0.0664386866429,-946.415141974,0.001,29702.2536549,6.73349579206e-05,T3_MTF_Trend_v1.0,29.7022536549,-0.959249808006
T3-M30-GLDRUBF-000037,T3_MTF_Trend_v1.0,GLDRUBF,LONG,2024-02-26 18:30:00+03:00,5997.6,5976.54541156,21.0545884411,2024-02-26 19:30:00+03:00,5995,ATR_TRAILING_STOP,2,-120.676096497,-0.123583512795,7.1,251.1,0.337218655205,11.9261414538,-2.6,-0.123583512795,46.4138832682,0.0928277665363,-120.768924264,0.001,21054.5884411,9.49911704803e-05,T3_MTF_Trend_v1.0,21.0545884411,-0.123678503965
